Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38
ADCYAP1R1	Not-coupled	-	-	-	VIP and PACAP receptors	classB	-0.33114213230289735	0.08947310535443291	-0.12400540754218951	0.3656861930915923	-0.31365077605484604	-0.049581473828294545	0.20746913196675704	-0.013856431292137445	0.1050148376755115	0.41013155035696364	0.2961075617443787	0.07370077094347395	-0.11938308541076742	0.15873557037357203	0.3494118461404393	-0.2342156721600356	-0.12395515126578215	0.0944859446011374	-0.1901236253915415	-0.0513703349110346	-0.017040997740578	0.02554824679544391	-0.3856784169281217	0.1652935155836788	-0.08855013482236006	-0.12428288739281869	0.10236028864071255	0.0022083112117558144	-0.09818622034384927	-0.021537590813730093	0.24922441787421656	-0.2952662715057332	0.2563386037302361	0.017262786705283552	-0.34516894094774675	-0.15981955623149197	-0.058745516305704876	0.11899947322533408
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.1858814502420509	0.2507264689348935	0.05268083757663555	0.2120012345443481	0.10768227629442297	-0.059598285481622854	-0.3793923839637053	-0.3927341914711145	-0.29168154793815165	0.005479537556907348	-0.022372774135701774	-0.034176541933222664	-0.18901474838197288	-0.16878978892927926	0.04370836197940993	-0.10767966873713575	0.03837168852567282	0.2888971489487985	-0.19117904505189398	-0.026736915404604357	-0.1506684482239212	-0.18485096799690445	-0.27632117424052705	-0.05177138623913464	0.019099307005528563	-0.22993659060362281	0.05880192332539719	0.005637279905467316	-0.34266601965167853	0.0016591718646198792	0.09545280109519667	-0.20970623292148588	0.12554213621341276	-0.0925991336112194	-0.3625091673597981	-0.05236983046369799	0.02105794766777412	0.4348247851073696
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.11483945892632821	0.34634434768511496	-0.13930352927480522	0.13723221185583467	-0.3931804127127078	-0.11802166908235513	0.040056359579213066	-0.17668239094248486	-0.05601990707626768	-0.11025565153662505	-0.20152216787557345	-0.05786742013873321	-0.17755881394681364	-0.03906334661807787	0.1163484345821661	-0.1211533094830588	-0.2614671819035146	0.2686245723296953	-0.17007725137833338	-0.24357847616957715	0.16513225631429512	-0.08406333264302188	-0.3848290980325084	-0.08678602395645024	0.033925028709791125	-0.09460961379506365	0.12452075951666139	0.2685547541351347	-0.05585896081056028	0.15321220958093512	0.23646378781913632	-0.23041569756027186	0.01647026407438208	0.13227896093197125	-0.3068890624403745	-0.1314087441029891	0.23892648378647788	0.18707217505455978
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.24963553937377117	-0.11866623950202343	-0.2771233131346042	0.35143264423800286	-0.40599633728301043	0.0033264124294235817	0.12197774707658994	0.05503509524433318	-0.22254812904925114	-0.030078238915906132	0.11786049877835228	0.20073193584780824	-0.1618214502223281	0.03757574470211236	0.31354165310619764	-0.3964899976480361	0.0621489483785697	0.18020735524548193	0.3518177255102625	0.037180670096643526	-0.04853454989204756	-0.020527458661003938	-0.3734838203983462	0.3485792864964794	-0.2514048770594844	-0.17078300255758594	0.050725818824075904	-0.033344260815806	-0.06587582330554759	-0.0710671979263292	0.2772808392828747	-0.3012861840281645	0.20429242000680575	0.038735575458480456	-0.15527403835383757	-0.21826520411619516	0.017010011562910196	0.27356627162334296
ADORA3	Coupled	-	Coupled	-	Adenosine receptors	classA	0.3860140929338957	0.38335983316954747	-0.0915397013593205	0.08209074562294945	0.19325874425321302	-0.19028795867959314	-0.19678456085660406	-0.21001214158742004	0.5949202218941513	-0.11274396965314849	-0.10482648149773197	0.3053237297335454	0.15657717723212575	-0.2387652486058716	0.33344584235170166	0.004743689589376694	-0.28785898629183765	0.13660384130675296	0.2844444630087969	0.19897576613671017	0.04503609546795599	-0.2293189698458974	-0.16683297062236585	-0.10048513714516376	-0.0984552230516267	0.167088392411775	-0.21683910770319556	-0.214215613048962	-0.2072890038893496	-0.042675439225480366	0.11228772276921863	0.07174361688583224	0.014414578178370994	-0.22102535807315601	-0.1708228239628795	0.0605616481442347	0.05144596004675465	-0.2827581602941342
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	0.34883564994263183	0.3308396709816271	0.10975438522685707	0.055049253651416406	0.35068703729650225	-0.23471303385535036	-0.15839090735927905	-0.36899374422327735	0.2505350113139528	0.07113239745454678	0.08224425584578754	0.07144658134323242	0.27207284711673535	-0.1703240733370655	0.40136795388763713	-0.10783419760461709	-0.16249644026927448	0.24478728249342235	0.05529299883482257	-0.025074285058928048	-0.1919838838154008	-0.19751140157803054	0.058149009965589464	-0.13026443468941898	0.1554579574048457	0.01409715529670488	-0.25379085373443605	-0.07749300190404627	-0.2655157417614679	-0.0851687857373994	0.07900343709660505	0.13318948402400607	0.05005501947251569	-0.2718616313511798	-0.029453773040240005	0.14892680967628033	-0.0687081757120689	0.003996981968375489
ADRA1B	Not-coupled	-	-	-	Adrenoceptors	classA	0.3552712189888743	0.09338665562660635	0.2788170294822455	0.27184418403976807	0.47848674550349035	-0.14217752504138875	-0.3011813012507595	-0.2014763176631368	0.2566161073082084	0.024927687198780045	0.048063524596249296	-0.022674158399499104	0.30211898950340366	0.14685866151829838	0.20745408361545725	-0.18623423079001153	0.03587646604710179	0.5934500245021233	0.12033272652033634	0.12578695414450142	-0.07292558014092138	0.02325973623015103	0.27315746604574065	0.23653930316918031	0.15405974011147444	0.07599171468837551	-0.3261961704519141	0.050549872735522985	-0.05733305819865399	-0.13424784814191354	0.0757225026318901	0.1392707401255522	0.025359214330801984	-0.12470015059135783	-0.23625309579253526	-0.2903066393731243	0.5592805221162315	-0.27054670679416787
ADRA1D	Not-coupled	-	-	-	Adrenoceptors	classA	-0.14947205074166114	-0.4231423086143878	0.15534942333978993	-0.4949529111149668	0.27299031806404345	-0.40124647194331114	0.12761699999615955	0.21262224566045376	-0.17349708874909087	-0.1807438235209291	-0.07343509486918971	-0.1309746774488783	0.15809940837170544	0.16163811455130253	0.18152660761974515	-0.10188904084557472	-0.04217952984106725	0.21211088781536938	-0.2306922435488584	-0.005412826914435594	-0.10444726569571632	-0.0437444221461669	0.2699895912278999	-0.005262587826726673	-0.07733639964414964	0.10288503139916924	-0.0038058812275613783	0.3420701065112221	0.07964193049716041	0.3337873158614083	0.29640554111130346	0.1880207873990273	0.13789170322499245	-0.40871622568358595	-0.16684944261179807	-0.14191417755203237	-0.38745213188391225	0.11205766559585255
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.11548939102113913	-0.43472473810726064	0.14518023693916862	-0.2942805729988772	0.27544221279553743	-0.3692060946838849	0.3360369488796587	0.18247716531118138	-0.04772431856908885	-0.0424061602710767	0.026332102727012568	-0.3026667212422736	-0.1655327737080671	0.14232317651384893	0.1760732619596079	0.04608027706030301	-0.01607474196080679	0.1621388782479448	-0.13657866487447404	0.2435085792748645	-0.0018497819132286225	-0.10252695439452969	0.2654693196789028	0.034187679852146956	-0.43471439603125556	-0.15465752372964253	0.17305628051497954	0.18732848219410206	-0.1726784983539121	0.22731704913540196	0.16543121795075325	0.21648774910683222	0.22588473841005188	-0.33778602345468706	-0.17549002752744142	0.1474926762265323	-0.48656543688547055	-0.058673454596463934
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	0.4375014148568803	-0.20104209104356907	0.1846302845061198	-0.3181414443257956	0.16951094552102275	-0.45025175818193064	-0.014151867334788048	0.18740466970651343	-0.11100075505606416	-0.18171097512380155	-0.13323151208670475	-0.4324494572425368	0.1601641199733021	0.43937664415467764	0.22474785826247023	-0.1387738740025698	0.24059258144497553	0.20999842156729656	-0.10431417306009104	-0.24521187969985123	0.13336621023615794	-0.03368310697191314	0.34066795537335803	0.2478560040506912	0.16077256600029824	-0.06661218812234436	-0.05413015216827235	0.17334807051379678	0.11571106734598423	0.12200749397821628	0.2038070547227644	0.013377259598417226	0.20733484933056623	-0.27106480650042136	-0.04941968374510658	-0.10538873917401961	0.20826257391977385	-0.08107537722304786
