Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53
ADCYAP1R1	Coupled	-	-	-	VIP and PACAP receptors	classB	-0.0252783476794341	-0.20099627328659145	0.22425858976455282	0.4810829660009266	0.06902135536727773	-0.16022263190666622	-0.11494553386516722	0.059782502595937946	0.32318173788959803	0.1898911692833251	0.12480362162989025	-0.042103912466736164	-0.00990135790340157	0.1402601710715282	-0.16361427577465298	-0.11931704225683405	0.25328680305367834	0.011031055068835111	0.22418964363754107	0.038590776321581824	-0.04254779159600042	-0.0005198566426646666	-0.1421553745427273	0.06181990860645256	-0.4358455543412313	-0.019646223141572768	0.12066891231858382	0.20283985769418775	0.10967363381569635	-0.18962736347544576	-0.2656559396176428	0.10261775088343408	0.010561289209161058	-0.00018714643339234544	-0.1037976753590758	0.17535355968319816	0.2899507016445955	0.5198070547818986	-0.10306720885048655	0.15397050576832327	0.026668369489572956	-0.11880607040345857	-0.004573765286087989	-0.3917600395676546	0.08535028482341768	-0.1343153131446637	-0.20611993411244123	0.1444755450656887	0.03474234262479571	-0.2837629026138129	0.0022033843449560148	0.0919012762867563	0.06616659512074376
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.2050361821197256	0.21416611590155046	-0.3861325983265758	-0.04917197784735503	0.11290606527591651	-0.0066802587395945155	0.08507805059238828	-0.07039821139202773	0.22946374657953839	0.09768816795268329	0.20069085864451586	0.0547377709774683	0.16905680029692183	-0.2446774996823893	-0.018729129610095114	0.08955566896577351	0.23135157673284137	-0.06818437232468305	0.10949307475984155	0.22738055469006438	0.051592211821563295	-0.305086698968408	0.08539776881459277	0.04839178350811816	-0.27959038389246543	-0.12171681314542784	0.013125941218816555	0.14746330354169354	0.3783762459044075	-0.3139218969419505	0.008013316693305947	-0.28919934218804116	-0.039883944702388874	-0.2176834858999282	-0.009491265436786387	0.1600045055179185	0.1795165826599114	0.3924299350541443	-0.21904831973488603	-0.1146403942996464	0.17106185751798755	-0.07055054384789154	0.2325719900268628	-0.0521726460046492	-0.02604282225035774	-0.15370416888274707	-0.014458209907461524	0.08605602269268435	0.04415214361222054	-0.03550475016430956	-0.21683756985519556	-0.10615171881159192	0.012216031746627491
ADORA2A	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.3183111180501076	-0.244777576625466	-0.23602461404776295	0.43955237141723397	0.3258329694306017	-0.19998949103199007	-0.08521144304423521	-0.13322744282255528	0.08534081838409506	0.13467453358484224	0.1282205091213388	-0.2529569493608905	-0.14022998511020052	0.008812155923304076	0.032879653608056676	-0.1902522088227872	0.25628619632776756	-0.11855255061578347	0.05803989830102583	0.23198829894188575	-0.11765147601212905	-0.0014079216351515786	0.22376988407220413	0.2058711205616798	0.04254274561298022	0.17116523024023095	0.12896482750001326	0.22973809914987986	0.16218256651349322	0.12488699994225219	-0.10200455903296626	-0.27839926138877746	-0.14942691103967004	-0.18178377980283947	0.06185928440611891	-0.28881081029264083	0.16637533245997518	0.5991405025137434	-0.040232758501650395	-0.24681675668997194	0.04696829748926495	-0.10623236621251327	0.20709506819491932	-0.0048615486587287714	0.06265804985405792	-0.12547459876333575	-0.13209551558860436	0.1928780355566545	0.046982012162745786	-0.07990822512778971	-0.0873355030422948	-0.1795830314119755	-0.18750935172304298
ADORA2B	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.20027810878917063	-0.3752667935013842	0.2733856286040363	0.018007745938076653	-0.07056438537642118	-0.2373446951597074	-0.28567448898149217	-0.22913020306763643	0.08410796654278786	-0.21441045350642363	-0.08714428863963232	0.35795367585611093	0.0935348439988545	0.015541171029617233	-0.2271185001253017	-0.17521762625773663	0.07401291038950653	-0.05129719806641073	0.19759051835469005	0.11938322827572928	-0.004547164411623229	-0.14657402545928622	0.048928243403302096	-0.19545515179197406	-0.1424788613943855	-0.13437623565762316	-0.00026143896665278994	0.365960716152182	-0.053830103037999504	-0.30683131645218836	-0.41278327170375023	0.17689966854741138	0.13175505197192688	0.2225628182001487	-0.2068414758347149	0.25721069229027027	0.3532769273295142	0.16801718792157214	0.12302946916789474	-0.13297335446689984	-0.2545218794238067	-0.40090650026045316	-0.08263750829305079	-0.07372913895195238	-0.02958934187778272	-0.24658441865604777	-0.24589056805979687	-0.046787904839559705	0.11406225777468772	-0.12158966454294254	-0.11688659163479842	-0.11082452063922453	0.07253114152414769
ADORA3	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.08399131238850652	0.06759722829296118	-0.25721080123829	-0.2131070019355168	0.12076428947823797	-0.0947658967513622	0.197506220252697	-0.3376192406742014	-0.15621992846410448	0.11574053010783546	0.07397255625492008	-0.08978484330209006	-0.19397735713426992	-0.12810120039992795	-0.03964911677065999	0.13228240210500433	0.012874282934518508	-0.09019000469170903	0.12043118351190187	0.142476798535461	0.05778384020499549	-0.2889447104395516	0.23361466019147775	-0.308948558581365	0.028571576376034642	0.1547670951167307	0.13659389127331376	0.09371382510192616	-0.4864141574851125	-0.14428360307342192	0.19821712344037812	0.04814400368028585	-0.2854966713316034	-0.010974591231422444	0.05418636476658666	0.18533344036569102	-0.03560894789124593	-0.0239724274165096	0.18220662790800607	0.22364175150615676	0.10935695857417303	-0.07373612364462624	-0.11074389998112508	0.004363835935530122	-0.08535134074739094	-0.07639019905909761	-0.10274893295866713	0.4439933307527837	-0.29861845386043295	0.37462489077158817	-0.12709910771478225	-0.2025097468797278	0.011390507259954899
ADRA1A	Coupled	-	Not-coupled	-	Adrenoceptors	classA	0.015460155555526696	0.3310930059149814	-0.3360642795392295	0.07193225072605212	-0.007760969135937272	0.017044022845679827	0.40265157135673846	0.07181434922666229	0.0013558242683447265	0.049147024785273136	0.23008983103406086	-0.007533753292849519	-0.11624773516043273	-0.25825608141375067	0.026286381094517336	0.1369569360138109	-0.00832997566698454	-0.019852207260685123	0.20599381462813776	-0.026095236939754324	-0.007011582254772912	-0.2487514839575405	-0.005336242799569215	0.15811245351397135	0.16717286942730872	-0.029816012266797105	0.22177604277470445	-0.0476891989838371	-0.3262738154754986	-0.06121457614363403	-0.16885513148572923	-0.10402301594367719	-0.14897724226057515	0.07491267270612624	-0.09422247720140106	0.34029033546112836	0.031802094347524255	-0.136433839442247	-0.1785765934390414	0.33980811363746033	-0.06280473467789596	-0.010451097518815093	0.24726929957566773	-0.08715863292793402	-0.09527659859001304	-0.1852769144612739	0.08583127061580685	0.28222297443009564	-0.1540700046099756	0.1474275575889377	-0.1511886000470853	-0.003881445731389113	0.09156238326023201
ADRA1B	Coupled	-	-	-	Adrenoceptors	classA	0.11128255325477057	-0.07447368937676994	-0.22111599879824162	0.013731626553699128	0.05904143174765598	0.03764487030130989	0.41585678021554534	0.1639174120134577	0.08371415599250218	-0.03965541911540202	0.10366666114069126	0.11802857280215022	0.04924737423460679	-0.012646829264850095	-0.2135398262697638	-0.14860321074807417	-0.06514117000597444	-0.35632514269361293	0.1303032755375477	-0.042965457688375765	-0.02920592497542667	-0.10788199887641241	0.1646913253413506	0.23951164141943862	0.18039412293962825	-0.2215592701377955	0.389117045807593	-0.33406873921645475	-0.33158599214617074	0.10494667374204958	-0.11870119297966227	0.19048139875974796	0.17177624898499547	-0.010678450665465243	-5.84068799318039e-05	0.2451097630801879	-0.0019532897536407934	-0.042715756510901565	0.061372077551520084	0.2606268547432273	-0.06375613637519328	-0.016620807009257863	0.037257918702067155	0.16975941540352874	-0.0630131441817035	-0.33381305498134434	0.06555891603736565	0.5373366840248376	0.02945722067425605	0.43292994299880166	-0.25398567670587113	-0.16058256638495394	-0.006489087135133882
ADRA1D	Coupled	-	-	-	Adrenoceptors	classA	0.3660300252481387	-0.03379497287447757	0.5625908863738944	0.019391630126834904	0.1817013140179714	0.23380331152840642	0.626148363635067	-0.1582244404287086	0.2654009309409867	0.16249003707034648	-0.31659014122729107	0.25262370981039606	-0.1948780080321314	0.11503391792032257	0.005520290981646779	-0.06029684104075591	-0.18389217024862936	-0.030671415571847063	-0.014720343705752864	-0.05228003038626052	0.0873493491309282	-0.26225533672124146	-0.29387155735912235	-0.054107460197988975	0.279142996613136	0.08958680701678974	0.07618316550549281	0.06434369982498057	0.2754435246195491	-0.19231812768328654	0.007570600655012161	-0.37944967003641744	-0.1193751868914066	-0.18601026757189199	-0.11173783455003373	-0.16109030729656917	0.023465611773390762	-0.28707963152958177	-0.025264375877231383	0.043987897136199806	0.06911364861440873	-0.11624903641124724	0.10614903054934621	0.030798655577165657	0.11897865785501523	-0.2882230688220294	0.2584456416089905	0.13192620621158138	0.2510347523036782	-0.2693551080681304	-0.22167823785047575	0.05966379448434507	0.05242828438434097
ADRA2A	Not-coupled	-	Coupled	-	Adrenoceptors	classA	0.43770134697675483	-0.31930327567479116	0.375537529909844	0.006904587154027772	-0.11098567400384236	0.2130141747034069	0.5095479637886411	-0.12451282252639138	0.11792311775885583	0.21289926885238664	-0.4138182761045938	0.061737356638599965	0.2368285993336499	-0.17686062826264984	-0.014852831959077538	0.12065995570934226	-0.14612507865860058	-0.04374648514233695	-0.0391637470963021	-0.08790423978642406	-0.08484989837479381	-0.16704112538901017	0.020399274357300094	0.0031366085068968994	-0.07795422185734491	0.19620087031286243	-0.16957457352927063	0.16704896204394276	0.15449649486355227	-0.12589118925649861	-0.18451522531957973	-0.46130566611829493	-0.05650539359046669	-0.16078926806287228	-0.17073057183208917	-0.06540199242787849	-0.12957537026809043	-0.2514854161040667	0.16659694653632504	-0.014891443838802004	-0.022125785907300258	0.20026765310250422	-0.28010677125731975	0.042883757093418434	0.0376818529444168	-0.1549423515242156	0.060827926081807954	0.4373078109080683	0.10717484425926536	-0.4863179637468003	-0.15508083745524345	0.17606358761812138	0.08003773995731121
ADRA2B	Not-coupled	-	Coupled	-	Adrenoceptors	classA	0.2686720705301297	-0.14325705293717733	0.3915072787050291	-0.006299926975153552	0.04044858817539547	0.05203172951428559	0.49215484292158346	-0.19016523533920524	0.2404861704866551	-0.1557222527616415	-0.30607657997581633	0.06875693845826512	0.14784923245667403	0.4040665899515526	-0.10261887513247736	-0.2098288009092591	0.13996374604687012	-0.25339712047494567	-0.231205678192687	-0.055686138798742055	-0.2748458775171402	0.016553686196511055	-0.07367438082960559	0.16586398779406286	0.1026410809420946	0.03630158347750061	0.2157275813565036	-0.20793846596278714	0.03508466105478167	-0.18785869916170717	0.02627214491013786	-0.03934975743609231	0.31922970140737844	-0.18009835277478445	0.10800200715159891	-0.10766209593476156	0.05859833326135163	-0.17970396985348336	-0.2736317374065627	-0.13713905531496576	-0.1649611930536228	-0.29291316651252763	-0.14546476548466566	0.23479555392463752	-0.28645199613788264	-0.05757459218873443	0.18434451047751146	0.3125902452618328	0.10339711614020579	-0.008683768954029262	-0.08265186528380612	0.01440773942307563	-0.1803894196497381
