Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
ADCYAP1R1	Coupled	Coupled	-	-	VIP and PACAP receptors	classB	-0.23851258505182288	0.10056121955985764	0.19736384190460002	0.12410117529026973	-0.12147029103322403	0.18827067157287272	0.2904138865524048	0.0720133493359045	-0.07585927076211733	0.20265485477534048	0.06760599040240164	-0.28799881263669064	0.005036846436872787	-0.4676208360923879	0.30280119182315907	0.11537866184159093	0.07633747385127823	-0.09535736713799296	-0.10321816912613714	-0.04586360764134483	0.06897151856596616	0.07965079152840543	0.11202079235073871	0.034675131068234555	-0.30330797102518936	0.26811939700024506	-0.03873709246430891	0.5793499753063229	0.04946027660946257	0.10360052379572085
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-0.2943535921674833	0.1630432605363389	0.02060322635546924	-0.03902989997446159	0.1513340834882893	0.11054879181403453	0.09352082945375331	0.15254300697245643	-0.05792941859966877	0.13478312863218478	0.17623768511284696	-0.46710351042249576	-0.05398378830395127	-0.41481162493393453	0.22164037251553004	-0.07377460416641125	0.017480096046286645	0.05482107550218561	0.19565811763913105	0.1691511733895338	-0.13911698360225275	-0.13631463155123985	0.01900838560394462	-0.16415380407535735	-0.1383707162605262	0.08969394370318882	-0.06896429573830096	0.5191556716614386	0.1110404714590906	-0.04110415534239993
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.22102330826465127	0.07710177339290843	0.19019253831235725	0.0708494532577407	-0.06762518968989824	-0.057249824043355935	0.14867911032258307	0.1028516086991222	0.02579607132603159	0.1693322464938895	-0.06275213464291213	-0.3146528457516722	0.038473576029489684	-0.44694496945454365	0.1992882714531818	-0.06165433093460881	0.005481907703058264	-0.049013044416653995	0.04645794671454657	0.020767794311665425	0.07062715147171655	0.0992691049287007	-0.12382129361367344	-0.005040062299521907	-0.37306628281578835	0.233668416436872	-0.014172118915301346	0.4552524525187249	0.05640956593002351	-0.0077262649431652595
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.2419676868832912	0.1368251520720987	0.15380333614442268	0.18636371912077493	-0.3060551696057191	0.016965496915724212	0.23365131949869403	0.12529096406783735	0.07148111181847218	0.10336707250268372	0.006247111082732102	-0.3805244500955425	0.0787946189275296	-0.41702910612099386	0.21840643121711556	0.20395180265756505	0.04094186555870457	-0.04010614150219568	-0.09065290360958186	-0.07312051213688436	0.15228725355687708	0.04593726808807871	0.16429829111515631	0.03951284354897067	-0.30048760901086397	0.31171010046830583	-0.17556171942569834	0.49320642625987665	-0.04295912298373454	0.029740369908277463
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.347866910862933	-0.009650216851926983	0.05815426180666503	-0.29007746521311834	0.020298298865063548	-0.23153985313733108	0.07342362426135654	0.08939566193814247	0.456300232725546	-0.1781709866544053	-0.09883135502819143	-0.03556743963595358	-0.04221785654115859	0.10251612342588878	-0.059250008653263714	-0.20706827666656707	0.03978129469439621	0.04401267253650187	0.5080027399587963	0.03619165651571832	-0.09491874920452505	-0.038672512156851004	-0.042153204663739424	-0.2579183264998568	0.06590099385976347	-0.05349669521752044	-0.07493000098013052	0.07955188615799418	-0.08037341170377081	-0.01767282090663388
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-0.3488512616785995	-0.01900833372648491	-0.04691587516122981	-0.31014363660055033	0.2256965181986364	-0.2120682757226727	0.040890077743829176	0.16873618959548	0.45372361765701347	-0.19634876164886966	-0.0620825926077054	-0.028494900071979294	0.10748229261748624	0.11713847915213695	-0.1501837262862817	-0.23636658138643293	0.06573709648620947	0.027873470985155992	0.4092069325718193	-0.3094809334409074	-0.22039341385656647	-0.12337322745852806	0.13740847281878688	-0.31139492933846535	0.08498523522500628	-0.16367378948720152	0.08397024221326584	0.17437390318921717	-0.004645270227144486	0.009179165210079516
ADRA1B	Coupled	Coupled	-	-	Adrenoceptors	classA	-0.3195279829618697	0.035941354029951196	-0.0746526640375582	-0.27184064603876884	0.41968993995465653	-0.005602264741718728	0.29695890955919124	0.3923394681685915	0.07709103875063891	-0.210209374859287	-0.13415300917643558	-0.30065412306164896	0.11485560861632343	0.08893435914423675	-0.3558917070607411	-0.21411797088359275	-0.006520842452294078	-0.05585951025183128	0.2759749318239881	-0.42252365271295733	-0.2018560514729832	-0.21953229378085765	0.028884472767187183	-0.3517159522631126	-0.004369297297882989	-0.2752077245488981	0.003581544358038957	0.07934077691228296	-0.1686125017064375	0.00773238659851279
ADRA1D	Coupled	Coupled	-	-	Adrenoceptors	classA	-0.30300108312669205	0.0015291669675603736	0.0029536108128495483	-0.41922609434212943	0.3703404915280225	0.25599395253020557	-0.07847952829216831	-0.11774301618444731	-0.44499120396611747	0.3607860702778756	0.07029414155403113	0.22359663957600123	0.3270457654950076	0.49299724404031714	0.10824220762656823	0.3532485744188217	-0.3483512201890044	-0.07741784902609997	0.08316982042123196	-0.07970948515952407	0.05511335256089167	-0.05674158792472753	-0.13706083191017807	-0.14342884624684898	-0.010771030802706718	-0.07593315809127758	0.009453362742949065	0.2324355806867884	0.14297269074419205	-0.032281882866671115
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.2977024091009006	-0.05217493014502539	-0.005563092016647371	-0.4083347903954609	0.33100203541121614	0.2381443985827344	-0.1758069853062001	-0.02378040195601386	-0.2881580040234023	0.2885889262080076	0.12033630850274195	0.09503548319919185	0.29824979642338134	0.46582681849434016	0.2844838683841348	0.3781825501520746	-0.38211760652718746	-0.21771084741022664	0.1411883592295408	0.1734563117771725	0.18401143061131642	0.05695090814259114	0.04951934871462822	-0.107512894968467	0.0841151430533965	0.045405960509690424	0.1277406625021178	0.18888484918784984	0.10983294344448646	0.03866144485211419
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.289353523173021	-0.1222046968965866	-0.1911080518038158	-0.3327353378989679	0.2987703319348038	0.18887151653120515	0.13415692247209254	0.0645737032921321	-0.4288120715708065	0.09084508295611098	-0.02770942744459175	-0.08322594884737991	0.5013348928429414	0.5122607636613742	-0.15092965463226476	0.20813256689506218	-0.19344361604687815	-0.3348293471720051	0.06691167105460005	-0.2283792101678615	0.2343006288379045	0.05079497564702787	-0.13209354316875782	-0.0779570684619309	-0.21544540945168708	-0.18098176362610266	0.10902946485379321	0.11881067873985943	-0.1000506534399503	0.09835658712401774
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.3323228819787073	-0.03802555662897407	0.027373704477196312	-0.26628704500666717	0.30976420985064945	-0.15948240593204605	0.1097064784815985	-0.12078784094718209	-0.14485854483026378	-0.2701723505783396	-0.20800233567894313	-0.32032051074048823	-0.09210634286643528	-0.17798883508920663	-0.06445566300770968	0.1867813393271156	-0.4216475394588847	-0.03148264235737281	0.12566643511430062	-0.2783943624881575	-0.08049952767280169	0.1127524268406848	0.09751014553558039	-0.05043915584181483	-0.13494708577088307	-0.13673673202958062	-0.08503584958058225	-0.20038281915082065	-0.014313850426780156	-0.04610748739922198
ADRB1	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.33949576737623116	-0.034529931001122414	0.2476712171045676	-0.254022958620268	-0.07694971467210258	-0.04427971739138418	-0.02570468325407294	-0.2107730784741899	-0.40595994439742733	-0.24064202101149473	-0.06091292612295712	-0.01745498246887309	-0.37937402101594714	-0.2538962107379845	0.0728654827013866	0.13846657992262376	-0.23122904631491717	0.26777812076471086	0.2343570942729375	-0.011033058955908734	-0.08256306848612958	0.1083250665326922	0.027704504655426676	-0.08084673765001504	-0.09908601249238495	-0.0040620677105832155	-0.02371333886463003	-0.13920321542435313	-0.025697515440306344	-0.22824432678176068
ADRB2	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.2631306527215107	-0.029935529427776074	0.25326081701835096	-0.15429497656744118	0.4157519984913833	-0.2339531304282773	0.05318647488687178	-0.27513896567008445	0.06267852345235377	-0.28364037242907575	-0.19999389135618523	-0.10675649678284432	-0.307569246780503	-0.29890146650063376	0.07674061229616852	0.25492607085718366	-0.33583688856369437	0.06984303206693358	0.02399847856870769	0.07838467758562935	-0.010090927041299812	0.2293045282013969	-0.010189015547590392	0.029044606800710835	-0.03164456082325646	0.11337929991362676	-0.249187882977231	-0.30446374253742353	0.033856689403499146	-0.0030332446222979823
ADRB3	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	0.2904637705067964	-0.34679996169320826	0.06815758610195037	0.11404024145236133	-0.2083072810878713	0.027341530383336615	-0.18364008820649702	0.16187477147452578	0.271432159067331	-0.3494385848070555	-0.06144694616536352	-0.2284151083258185	-0.052370012122102724	0.24078876520425882	-0.09362089169017562	0.061994084998655094	-0.19891323155217464	-0.08720162751006523	0.11904195305655632	-0.04160265082664702	0.046188661404571806	-0.09752244720153505	-0.20059638870516114	0.08574750812306318	0.11421034997463396	0.2143906468723597	-0.027122230985824253	0.13839352444575898	0.1395260273028971	0.0944562548905302
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	0.220119847351248	-0.3287907969851386	0.08409892887165009	0.03120950730322885	-0.008022948690250907	0.14471387311392628	-0.2892972911799195	0.14464299295395447	-0.22315122988997613	-0.2737740836905835	0.1871395017346978	-0.1319409521279856	-0.13111012614630704	0.11591043520939148	-0.16999051406760854	-0.1321008834132357	0.0669739135334156	-0.00045766818279562027	0.11718996525429086	-0.018970559951190603	0.10500029153875648	-0.12072032863440524	-0.13475753387996736	-0.0020980230770690817	0.1415832397003135	0.14238108258523052	0.17923787570590285	0.17518111814049306	0.2061379235348275	0.0832881281511802
APLNR	Not-coupled	Coupled	Coupled	-	Apelin receptor	classA	-0.04352455007050243	-0.029288831612296378	-0.35666790509477286	0.325986046728505	-0.021235723108605265	-0.32895920404619583	0.09141693253319204	0.2667208778028743	-0.23821776895288616	0.09655672327188286	0.3274508381698902	0.2550221049980919	-0.25427590910730574	-0.07089849697608226	-0.4219720645754845	0.12553905624523823	0.24458268071650904	-0.08939900684680452	0.12038906260600563	0.06893487212773688	-0.06377185646302684	0.014722820238282764	-0.19199407480603808	0.04659195289784042	0.021794674258398476	-0.17837601889263974	0.0006645723331021319	0.13219653667605097	-0.09113124493827349	-0.13934928009586772
