Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-0.21612838363954015	0.43031387494360035	0.1902569312838237	-0.29557147845306186	-0.07556357467190314	-0.10015981106841566	0.38916238235598233	-0.5488177467081785	-0.02302414570336665	0.0899002661048989	0.024921578087446397	-0.3159170079675017	0.004838700053145985	-0.16264641527118423	0.15277109190170074	-0.09822143255779589	-0.1333765470423777	0.23625867870199294	-0.3109996623657426	-0.0006322533517689462	0.1872146297197724	0.041733717247723956	0.2389962536852201	-0.035539046237379274	0.19598421398506385	0.13254605015882895	-0.29285871824190923	-0.3401566720295232	-0.22127106140274175	0.15613111145706224	-0.21816904491228567	-0.15453312589393273	0.07101209023920897	0.14935854921206648	-0.24506197083159023	-0.12622476907002605	-0.06057469756242228	-0.07384622951719755	0.16066055624895853	-0.03019578230261968	-0.1521121192224423	0.1871264261411961	0.19754295609298284	0.13107771804693433	0.05659698906978173	-0.16608341881520647
ADORA1	Coupled	Coupled	Coupled	-	Adenosine receptors	classA	0.05458230920041854	0.23081529929430725	-0.1275060223067853	-0.19727561192020399	0.22308635136595506	-0.23355706244139846	0.31406830546944414	0.22799553359395563	-0.3642547321442006	0.42247974318927456	0.07167685064719423	-0.07769850516887936	-0.3029916287718771	-0.10857640980037211	0.04387969452982378	0.08218106765932717	-0.012058363624866647	0.08303264162141348	-0.07358335555448847	-0.028922671913098785	-0.34738048452094916	-0.05800112593487436	0.08587434711354062	-0.009625138306483273	0.49929955265494047	-0.15898712115969743	-0.2731890004003562	-0.2838932965081652	-0.3038575180064935	0.08600043379186782	-0.13475924254278393	-0.13259071263688865	-0.09605322614968828	0.2289322056595412	-0.048851412968487266	-0.11523849250939197	-0.13888155864230187	-0.17215798505054616	-0.12201460908484169	-0.31892145341702094	-0.08247141179379618	0.05997644881216983	0.11289568822137563	0.031511310980173096	0.10016220168172643	-0.11331158863502941
ADORA2A	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.18980928566380043	-0.06969436230942294	-0.3347379005929528	-0.46812410001869215	-0.05209519168302146	-0.08292492719045087	0.11915990882122504	0.007365149701190516	-0.010034423621222574	-0.027373213865938616	0.04930717485511256	-0.15572116157564686	-0.0033701897946195065	-0.38284520812023226	0.2821131880315698	0.26974051525701975	0.09331872880139207	-0.036383209689353754	-0.17672272570379496	-0.10116879738302342	-0.16388354126707058	-0.07732654901411061	-0.09670835431851496	0.2474794060360974	0.32131435806310094	0.20858913075667976	-0.26803943796223095	-0.24525345212565813	-0.1545037125912026	0.11546561199772425	0.02819297332768707	-0.3659345150365498	-0.006314493391360243	0.01719929404485682	-0.03144521867463645	-0.32850291029400314	-0.061627475994642154	-0.0015093512230340061	-0.07500969502094393	-0.220844429765927	-0.3253349648599275	0.4132241073200178	0.15931566292024518	0.09512546673352934	0.10767315821185636	-0.021219246399655212
ADORA2B	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.32903912330257284	0.3070034958362746	0.29281884419252796	-0.20473359711922592	-0.18358366767265158	0.0611408381129904	0.4363990242417994	-0.2620139824174581	0.030661318219016933	0.21373941372410998	-0.13629078524269897	-0.284262342505079	0.04963567769321428	-0.06177945139274334	-0.16890290740307615	-0.09377867875791614	-0.14614835194572284	0.15723282816493353	-0.08946431564314468	0.21237612215164967	0.19088712290185303	0.08772574917160092	0.016795342493124983	0.09036091134708382	0.24188014801541974	0.15344684469885142	-0.32760273721534405	-0.12466728794292767	-0.01881857704576326	0.003304651057785657	-0.04146338836521827	-0.1899626032526455	-0.02334982357592943	0.10293591927294402	-0.25596014531625555	-0.3216594838049664	-0.056402797212676055	0.12730821484997426	-0.1563121968621152	-0.0733502390807563	-0.07262655331094742	0.23716076834145394	0.12772063457145003	-0.13145832080621572	0.04941887732978723	-0.3444209919930198
ADORA3	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.046994634853935985	-0.08286132553989144	-0.21238197902941267	-0.032679619035743276	0.36616359282619293	0.0897468066876895	-0.07090201258898304	0.09412340411015312	-0.2964975940747563	-0.006300947116707914	-0.3170086946602075	0.10405058425068628	-0.0856147016904345	0.11807112313247807	-0.19900062031504995	-0.003996996817733673	-0.11615774956079954	-0.17301508538687776	-0.14651836440773036	-0.06243088565233264	-0.163183232292341	0.35872846597746155	0.18002204340007635	0.37886401722274815	-0.2189784362229472	0.06782782347659227	-0.15307025934368598	0.2478659737425639	-0.011821732144631903	0.3454006078892892	0.00588615629218796	-0.08191357667765585	-0.3309517660750079	0.024553134441700188	0.23444960621784533	0.156396089878103	0.0007635250883917147	-0.2117444010688823	0.1794669471341931	-0.314261539391235	-0.15843224802099093	-0.2870406312265946	0.23958433054364783	-0.006970393761954152	-0.09057608923360586	-0.25401123635970296
ADRA1A	Not-coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	0.1309692874185515	-0.11031113285459965	-0.32930520037502403	0.17050047980299057	0.49843073461845605	-0.24744782752933744	-0.0833990872246498	-0.12093107083810388	-0.38928138583697314	-0.34673098945361785	-0.20811585037202035	0.018699079892268787	-0.2401534358002702	-0.05146567404829636	-0.27291432547923633	-0.09976564873407295	-0.09752120529957006	-0.2037094444386109	0.2766805898680226	0.09551787425155522	0.0038379283647260645	0.14095406378501227	0.23098864905682098	0.12280345279681538	0.19300125521759612	-0.03253288626918439	-0.0016620633797784785	-0.07945028611823676	0.21981023023998025	0.3514237118421152	-0.06813224392839358	-0.1573331924135956	-0.13638331554117067	0.1324019176871803	0.32004524009854324	0.2575933100207132	0.02501570950300724	-0.22688953023574868	0.10215663009805477	0.088781105651026	0.042838644066406036	-0.15516574658123342	0.22497838117131988	-0.09010077862029457	-0.009894501742511387	-0.04250412102315999
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	0.3087371681325355	-0.09966063655560264	-0.1242707634966502	0.20087358002681388	0.5904667884026779	-0.14691954140465438	-0.06130229811769624	-0.17701427207234444	-0.2374645777106168	-0.16948886103756158	-0.11610337661235794	-0.27716045492885255	-0.1110697263410239	-0.2434723354966841	-0.13168281603742737	0.2256227886350494	0.20003997365660578	-0.16241667117740954	0.10323576629602052	-0.27238662331636276	0.4583039080041625	-0.10615792855573311	0.1806994568951306	0.4786403551249569	-0.09688388794193681	0.19234844149273184	0.5010453279539501	-0.17886641748429447	0.3431064584263587	0.40824933665789476	-0.06965260170503515	0.006254040328190787	0.04316243957673925	0.19030065346495117	0.294091700896001	-0.3227611102376244	-0.17626513593617144	0.08073240042807807	0.06420434037383371	0.032567303496076	0.13155951427414803	-0.09666089391208466	0.44097179632390904	-0.05675522597474352	-0.06700386414027786	-0.20639825241215523
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	0.26095696587428063	0.6113819388930651	-0.17638834303171902	-0.007381691494300233	0.2731027573784371	-0.47124015185910073	-0.22221937593249208	-0.17434595408857417	0.2876178320449889	0.08506596850111797	0.25158702687289064	0.45124111024596536	0.13689173162900423	-0.10372006090188819	0.08325236595320187	-0.24268164228114256	-0.18698548983547428	-0.3864038895649282	-0.10872268529241222	-0.05916097702698287	0.030475325280818595	0.13609426721924725	0.09796806754078356	0.21817491796483554	0.0922312261764901	-0.031617333664752494	0.1372940328506085	-0.158208541226957	-0.1683761033918599	0.16158003179342942	-0.06185876080209959	-0.14464502551013433	0.4556404185823243	-0.3981864706610193	-0.02962387707709489	0.17917102044727673	-0.11505897774046711	0.09399365779229787	-0.3059993550565946	0.18402370774415394	0.043723663008356575	-0.02869071922287972	-0.25029355511039864	-0.08567886460377373	0.1411722479178583	-0.09966521517284863
ADRA2A	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	0.24548940604482095	0.32429616078646845	0.018823254590358253	0.14503226347156276	0.32413492427674756	-0.34637619393780417	-0.22816397397420446	-0.05856099665536972	0.36452621159548365	0.11742737156084294	0.16542399591209217	0.3812295246721023	0.1325781138983314	0.08471045861307312	0.12007588199503272	-0.21321568209056382	-0.200951913447088	-0.05462150364440416	0.21683634079098485	-0.16118710005283754	0.06675363003993696	0.0834548331305873	-0.18728092265358234	0.3641160716473716	0.06403850658207398	-0.13556663241281267	-0.25226955349742936	0.09080877769031552	-0.31760532655456886	0.35507451282481944	-0.09309140910313357	0.057935892874818186	0.692528615143787	-0.03781512926363105	-0.12532180257325037	0.18073943033460044	-0.0694190677374008	0.061005159516095725	-0.28101783712402223	0.05039607736226188	-0.28913703277806657	0.1502855788613735	-0.16826731193206027	0.07407416888623436	0.0012284471577275729	-0.043705911874618364
ADRA2B	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	0.1710059006416509	0.1707794986921657	-0.40536069116203033	0.3551833896311116	0.2105806906792967	-0.48149935318177817	-0.22020698098004196	0.09970409647312814	0.614744201524824	0.15594192073721755	0.02151324955321529	-0.038456453790144764	-0.05448950773513214	0.030307232485193524	-0.23334709839745488	-0.5062353087287429	0.1927067485977273	-0.11120876140531934	0.05025962221127069	-0.1696600124808072	-0.10933899977489733	-0.12395004676540414	-0.09417584387317321	-0.05844307525838187	-0.03984699320739414	0.06218863199105599	0.37216677623532934	0.0880717587622243	0.004093984676014533	0.06585399472436694	0.08793647242186842	-0.179193272924996	0.2861753168254028	-0.2311555178502585	-0.09691445651210154	-0.2730405590116808	-0.2649724168954784	0.03853427096493182	-0.09707790645178613	-0.0984457889243529	-0.00055809995286888	0.04513465655284628	0.07364158170771429	-0.20044274888299682	-0.08187542249219541	-0.0765132295915817
