Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	0.32189496685950136	0.3911507560180589	-0.12178057027181492	-0.117892712308922	-0.010326542164873404	-0.20710462406512986	-0.14373635802837428	-0.36216735523975596	-0.10606539424941187	-0.015545650839061313	0.1281252655786957	0.01661769082937867	-0.26089040588314305	-0.003022742843224118	-0.21603409038419938	-0.14418539415986287	-0.19767388656954435	-0.1331730766477555	0.30873512987077123	-0.15382668361146498	-0.10267526430274336	0.058054477342384815	0.1567946800457753	-0.01510065479789596	-0.021559061960806182	-0.25125802268997893	0.07962111720083327	-0.40006686360147337	0.08757616099524235	0.20218243409555156	0.16928342799531326	0.21042783435298676	0.12026740630141627	-0.14770168321408345	-0.1334591662052123	0.03420701143534835	0.2455353058077718	-0.1644060664951875	-0.047394175017338995	0.3297738928522315	0.23890928700977684	-0.1765997145637673	0.3085413414811651	0.16962024596513686	0.0448652541731013	0.12589501332909836	-0.01975376170899497	0.4724612306612388	0.00676914951322358	0.1818836793951441	0.10171333845815095	-0.053558717139663474	0.1397899994201095	-0.07936273287894455	-0.1894058689726757	-0.1216281413279576	-0.06477465381815524
ADORA1	Not-coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-0.4331548874899157	0.2354838264297243	0.2862396653758544	-0.11631549630651423	0.23538347340058735	0.12583535903789198	-0.1248040651079111	-0.4113448853624031	-0.13237862206505555	-0.07013748090554621	0.006742466012525503	0.030219394961055187	-0.02084126872017996	-0.09791271185014074	0.4012735491150258	-0.14576370502879618	-0.19272959365919112	-0.046914497901604534	0.1106567103034538	0.1719521035797481	-0.1999720267175006	-0.011535306568386663	-0.12805591936794444	-0.032971345077817016	-0.0846207742943085	-0.1401837588325076	0.18355365734852747	-0.4426938326952657	0.10041712068836364	-0.003497806631083468	0.08546190647736752	-0.1568709357683495	-0.08330674903590829	0.05999554560530182	-0.22096018064567835	-0.2377695096755399	0.03133840126854138	0.24536921984849996	0.1331715397054799	0.06550512222906055	0.15173806216815655	0.151750641168006	0.14776624217176698	0.03319877078782235	0.15508399482696847	-0.19919877688412838	-0.01663360580201223	0.10735277835156046	0.050044654875253246	0.2268886012369867	0.2211724095682512	-0.15775220244939903	-0.3348612572591526	0.16855149789545812	-0.2765671396565984	-0.05409218937903534	0.05214896858156475
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.25665719335869197	0.2563553675548102	0.1332663490904083	-0.17421701567991046	0.05768513136931037	-0.21588280942468083	0.2686825685493588	-0.27735183322902596	0.09685030294404684	0.010775913524625836	0.10657619243067797	0.05155176983922851	0.1088054976982875	-0.03660311490050337	-0.02052213530692381	-0.2566595427090758	-0.23191097950320302	0.003848317748965818	0.27970444869361333	-0.36588546668653765	-0.4458308661578474	0.23679451712073846	0.013166385185531872	0.23323398285059688	-0.34700919034283567	-0.2206762224804205	0.06035879671943014	-0.2234103575781867	-0.18425711592369537	-0.08424493527690508	0.003094121769871968	-0.1425327739851946	-0.04742219754181046	-0.048020932056518084	-0.16334280907888005	-0.24741905312677726	0.06588124127859392	-0.10080755212417973	-0.11097039575450487	-0.023347940056552573	0.22307891852505635	0.20386277974069145	0.0413723021278244	-0.05786698770765301	0.06925173137668182	-0.15739666852338757	-0.027548357494793275	0.26724185386785415	0.1448002142122966	0.2716257912950892	0.1299502539946198	-0.035029371678008916	-0.08187993456725116	-0.42517418637054505	-0.17192634761801193	0.1356338323821385	-0.04098404068543507
ADORA2B	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.3026387539109822	0.5581647321778672	0.13861611815525762	0.014680984160435428	-0.4705937672436357	-0.40035944463670925	0.314107349451994	0.11063555610258449	-0.16229167008391943	0.061689440500140996	-0.17816870272800148	0.011489141959007397	-0.06304553974448471	-0.24504451005916708	0.07371898371899614	-0.2509842725012057	-0.13270729373530166	9.552427327461621e-05	0.09381943488700424	0.41274507394352056	-0.0544463675177332	0.013763355566918153	0.020859078132139365	-0.24834677641640623	-0.09239891051096027	-0.1689952534783694	0.14412301793389412	-0.23881216646865994	0.08009346004237505	0.05824570457597147	0.2210760703011377	0.18807037986941094	0.044827446293060534	0.0023736161580364128	0.16011759781227947	-0.07283184676171905	-0.0018305763358653407	0.13347690522572025	0.19090492694186575	0.21342107846915395	-0.2566349499134952	-0.07036032848533037	0.029579133156701534	0.43292509938194607	0.1805457762528802	-0.16716649941231568	-0.22940349766041399	0.10706603457424352	0.06346069952758379	0.07190131174536724	-0.028684402509635352	-0.20690222700421598	0.1389801741472418	-0.15319946455061542	-0.12588963376118353	-0.09609754712797469	-0.06363452312035121
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.036206463245729174	0.057509234017306926	0.254084505063791	-0.14431945846519817	0.05773391040023291	0.08899180147435302	-0.14179339971468288	0.1846509185433661	-0.252177923160549	-0.26830635146820425	-0.04473135347211428	0.16901039095579623	-0.2005178422992704	0.022208927436793518	-0.05441154993173759	-0.2985650652239894	0.12436529168055702	-0.3338126126474456	-0.10521235057395827	0.11899923909089188	0.17285768333305435	0.06616698734227133	-0.04460580284686718	-0.2207073326429061	-0.28341924214120956	0.00855052709076885	0.06357803658750212	0.27540609535250615	-0.35480704908658633	-0.014041665510425174	0.1548413323901853	-0.2744929617790023	0.30010964326416684	0.18290407801585787	-0.10717770447993748	0.25194884371291953	0.11255868119128724	-0.3077134781484673	0.06370610836513478	0.054480086959210354	0.19835649727265686	0.2245094280248878	-0.10296595596548923	-0.01491905923803725	0.10417491639746633	-0.34792718282341534	0.20472139665071828	0.06777641356065835	0.00718012850918753	0.07996571314551945	-0.1874543405261368	-0.21449814344199428	-0.24377682614280302	-0.07716729513948734	-0.11831448702480425	-0.1050369273076268	0.07075952647883953
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	-0.043723931803812205	0.10018096765968358	-0.08575573805635245	-0.17270581983999617	0.38167388137528685	0.3434839797241771	-0.044486793089391276	0.10918340215980903	0.2882516639345622	-0.19288489636069248	-0.2926862473252471	0.03563112889284424	-0.2267210593418662	0.2939392050939748	0.3624622823094639	-0.24473661531675361	0.15568390988010986	-0.1469555406586606	0.10435311454653375	-0.007794268439597491	0.1323876467253489	0.16687895231914343	-0.021078355380862345	-0.07617165605151552	-0.06283420646792501	0.17752174724387249	-0.013830389737902998	0.2370123170921505	-0.22417733426830783	0.1305517900055392	0.033712458620318804	-0.15731935114265358	-0.013411910248436142	-0.13820392204246462	-0.18267083319153762	-0.07599275354579854	0.2535448362702397	0.18856884843315247	0.10557011606156358	0.2589595025899054	-0.0048731169495744055	0.05160028716131975	-0.017373892641591025	0.054746341763712014	0.07421803696775672	0.12952648100985154	0.046395942491333685	0.3032940750106269	0.061264864097467564	0.0280234044996822	0.02592284984234678	-0.25396209669336084	-0.21374829233349574	-0.03782261327182379	-0.09282543644120858	0.05420527481378437	-0.13284983626470317
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-0.0994661996811336	0.5194781838653626	-0.16201513631422823	-0.35732635775982224	-0.19565512319761127	0.4620619209190824	-0.0555403031716331	0.14392742150646634	-0.107366691879662	-0.2011821118661983	0.12887860284897026	0.24968705325775015	-0.09914158627398541	0.384718336678156	0.12463059498142785	-0.26801858326911454	0.2154892903389884	-0.4362737089018262	-0.2057265065714907	-0.14147235485119486	0.3395604952117866	-0.027045259374258935	0.036151958163579474	-0.09264729963779159	0.0014273608734272191	0.21189990509889436	0.24734923808693698	0.343871416455609	0.08938484991593763	0.19296599960865343	-0.3016960052497591	-0.09331298093905184	0.06425793806746381	0.1570001270306049	-0.19223686838297394	-0.20525975743136862	0.0028914891274889705	-0.1327474834758431	-0.09558084573105166	-0.11669345669852492	-0.1569249025986999	0.03901921905353603	-0.28041249607921087	0.18146517983363872	0.042058368183876475	0.23898914017934694	-0.08594932504657851	0.0993707498545208	0.25997391514572726	0.21316226487269727	-0.2266567350914121	-0.16487187423376545	-0.0730594205695562	-0.23002656321047257	-0.19616914824943224	0.3942570895377766	-0.031143781310323193
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	0.2397661844337268	0.11892261652530423	0.1890033637818107	0.22150731480392674	-0.17822658849623288	0.5811781851860893	0.16052259936703286	-0.04088428029954038	0.04247267754360376	-0.2902954230917527	-0.19412974213177994	-0.1837532679708354	0.2692989001054809	0.16278161515477194	0.17959743510215462	0.024870317055348833	0.27734033279809606	0.07924137953466753	0.130405802776148	-0.0231570558575651	0.03515096168580158	0.3963891684535974	-0.09655915908033914	0.29118971204212935	0.19509314936068273	0.24075104322471544	-0.1816179386874229	-0.058842656439995505	0.2513817665892607	0.12062937032891294	-0.012655910689401893	-0.2912243657940871	0.04897332329523859	-0.11926467694174869	-0.15616573543438747	0.0912593149844815	0.1617757619896315	0.10194118260501521	0.25774138172576716	-0.2603751941471457	-0.12023854495341488	-0.24354321484636607	0.02495240540772823	0.04214939956164478	0.014303005570448297	0.24690099587965159	-0.03551092710725157	-0.11929639759760338	-0.032368616642234505	0.18871944557486744	0.1142218489251978	-0.27293735062029534	0.23475248435738907	0.2063594533297281	-0.2497347741592382	-0.30440043360848257	0.0855710135366286
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.045314291112390236	-0.28509717899331355	0.12954466403364726	0.1768078394291718	-0.3758528049109736	0.43773347383973626	-0.14193409342746063	-0.4849908630663474	0.14873697266125915	-0.2553888449764859	0.46309038494448723	0.2531824592356944	0.15204062469961746	0.16689005397814263	-0.26423200873940933	-0.1541697824081304	-0.00976218607008196	-0.04700454875426047	0.11329325755035022	-0.0518968603881918	0.26290857200723294	0.017621652543325556	-0.06515076152816286	0.3485664607262733	-0.015939195764540545	0.24827174438205785	-0.26550671857863023	-0.08257250472976281	0.06803746422501845	-0.0949016995368998	0.026336967347475163	-0.07836215094633438	-0.017872238292741104	-0.027079150988660355	0.18102255787811541	0.2617163237868588	0.4857196095736011	-0.012986081848864356	0.4991424874945614	0.09289721764281154	0.1512944499831531	-0.371533623688167	-0.13480342626686187	0.12061899250589066	0.07827266187253949	-0.12694590171134035	0.020286235942299474	-0.10952145603141149	-0.2993715524365271	0.24225346561590144	0.04908199695342429	-0.10973903804853966	0.2203601651556429	0.03154340638574752	-0.032503742178694915	-0.26394325575319705	0.11333172891464231
ADRA2B	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	7.961090071445786e-05	0.20060240621162093	-0.04403869743380787	0.2919007750525749	-0.1593263220565708	0.4975743679977332	0.4522183755792964	0.010940502864709137	-0.2823207393791585	-0.1547999325858679	0.045213936520746296	-0.06128392458527445	0.05600382628356145	-0.08937760805692882	0.05192390703590848	0.02951146034016256	-0.03788101592378985	-0.19358150868113852	-0.08208136792987726	-0.211400589832766	0.2809927905337967	-0.049455271838425324	0.05564266520900693	-0.037327096388011474	0.061795802029816424	0.33415156842075816	-0.1357149662772739	-0.23005536665699983	0.057448261755939124	-0.024662969723210432	-0.5461145459253698	-0.29961797228806525	0.15463333671830143	-0.1705083461642507	0.1400065389344045	-0.015413334766077948	0.03317731923116578	-0.2642732353801203	-0.10643787093416412	-0.32434155575864304	-0.23640782107072422	-0.20508234903809136	-0.06855093168961358	0.1046496019526196	0.44458603315490786	0.0877293747458104	-0.10956803533927957	-0.06505819570773791	0.1966400989257152	0.26119389602415694	0.26302001306215805	-0.021560332634976934	0.2669479713960009	0.059835980349246504	-0.03286873757325821	-0.028029545533241444	0.08452706288630787
