Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21
ADCYAP1R1	Coupled	Coupled	-	-	VIP and PACAP receptors	classB	-0.17794921057280505	-0.18508363488202512	-0.0024536178029431776	0.054546588018949835	0.5828725052581568	-0.13403820472420458	-0.0681174806256198	-0.05436427285274475	-0.0004696464861602555	-0.3910233529225409	-0.13285326164922145	0.12351021197945716	0.11850093875126	0.2009570569491331	-0.3816971184564557	0.09040495925520742	-0.24726631771230115	-0.0002527598350966782	-0.1812353053605377	-0.0648156417742138	0.012125295596459404
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-0.05602398382879464	-0.28823428335979806	-0.015465727588250745	-0.35928911377706224	0.5556217010541107	-0.3232804789014045	-0.189479993944949	-0.2465250018199271	-0.12547361764567963	-0.3493137403805195	-0.06751787077927753	0.0535385832094793	0.250280256429141	0.1324226951165888	-0.051539165804136464	-0.1055330604616464	-0.20730888879738935	0.1587785077446465	-0.03737603922611326	-0.07333079344051976	-0.12334623242878284
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.22890344373180407	-0.1381057836975589	0.07925367647408772	-0.11305754505863146	0.5141460252255654	-0.17097849444937713	-0.13369686612107434	-0.30450703694413467	-0.17698285434153274	-0.18930683486859134	-0.15385994606556563	0.10664241608523922	0.12435644616397332	0.09668775935459929	-0.4427990999686747	0.06758526189387487	-0.1726822241607817	0.052659369674616506	-0.07509756376292806	-0.09723341602104814	0.04171727564598354
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.1647758735130037	-0.172477133669355	-0.04232391864143627	-0.028194973699901333	0.3870084060390771	-0.07679347703490372	-0.02362468858031446	-0.09317701840233106	-0.013477136831681849	-0.14805173094013996	-0.09986100855988572	0.08634810084401646	0.0939607669811483	0.19587678276397008	-0.38070963444979533	0.2183478902974818	-0.24056612238834568	-0.08792304130219937	-0.1729652283158687	-0.0934475800338764	0.07565867397878952
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.043341312741483444	-0.2833474737280325	-0.23739020848231313	-0.3300013027438413	-0.12249614421132252	-0.10394996903717632	0.02787746923993463	-0.014353945940223118	-0.11051366395135685	0.2174344116752915	-0.3577721499803988	-0.13307368247746432	0.19371482277578167	-0.16958814834987299	0.04293967662385194	-0.025509141857139365	0.14939952345399868	0.056319955654309806	0.13261762993869433	-0.052654071548305294	-0.05339627507699092
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-0.01209909879566947	-0.31762872976721285	-0.0028341218133094083	-0.3330312906757227	-0.04521318046960575	-0.21574871720051833	-0.16798374503843558	-0.004023592776003926	-0.1246899818297198	0.017176951919466218	-0.21305855790447734	-0.17959825935774554	0.09329742379504403	-0.07331762413764889	0.1520589916355919	-0.1970733405828455	0.07653141473370849	0.21064047734661998	0.06831155217985911	0.02386677608098945	-0.0888021520394495
ADRA1B	Coupled	Coupled	-	-	Adrenoceptors	classA	0.05150020571509291	-0.3567636816737313	0.3344704437839226	-0.1874204046140972	-0.03494688297607451	-0.19192121388943553	-0.17918231804483523	-0.14180912377823052	-0.3027154416177415	0.06921831340234876	-0.036484863055987055	-0.2027308169129027	0.06245223973043412	0.1907063215011626	0.29459961611680613	-0.06976999338771761	0.14403963206301987	0.20197244729238256	0.055902917755233414	-0.04034929955920089	-0.12435232921845889
ADRA1D	Coupled	Coupled	-	-	Adrenoceptors	classA	-0.03847655988560427	-0.29799460024503516	0.2568004769449766	0.24689896989687457	-0.14648481449868325	-0.3310765642230265	0.09479460201263933	-0.4029489678686323	0.3438719237964566	-0.35573157257939453	0.1738186578189878	-0.26707287449647976	0.00932474487569177	0.020369450210555497	0.13582115115363	-0.2622878830568001	-0.0036539193179267434	0.010867581939808538	-0.19076236566624719	0.05197448354282096	-0.044405693218824684
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.05803820712674389	-0.2788378704460616	0.035169975345850056	0.23561962558053998	-0.11205979376672959	-0.40228176861632364	0.13790098226527006	-0.2856739922864071	0.512684469097095	-0.3107395376121314	0.07178109596511946	-0.1997249575682691	0.15571440453607202	0.05693704480008005	0.06290461326005335	-0.31415435765928423	-0.020561584449551792	0.07660069242134668	-0.10446227212739918	0.09869543241206309	-0.031605903381944904
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.12372193825096821	-0.2558628526156919	0.36552729774073006	0.24311340351729505	-0.24140493148937286	-0.2942245249513239	-0.12141720525001816	-0.4240820226162294	0.20266398116820736	-0.17444607547078964	0.22254863791841029	-0.229163843127078	-0.0008703112508106926	0.23807151371354884	0.04082083405818685	-0.30423494970624065	0.0037659862892823136	0.06202593370346386	-0.14665694503099005	0.07986672599362422	-6.223171266999487e-05
