Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	-0.3393793415581609	-0.05708998797611527	0.5376751815006174	-0.17869392401499443	0.26869377913329623	-0.10587258554101836	-0.048040445699564074	-0.3953799356572486	0.22589083314136676	0.03470852635424606	0.06318165045676097	-0.06688788983237673
ADORA1	-	-	Coupled	-	Adenosine receptors	classA	0.12918637094861735	0.12720163023414166	0.25993191660052556	-0.1940168368028017	-0.18235589787433304	0.21470546980159666	0.39962525437950036	-0.3817272047270587	-0.06535907802476634	-0.16176999804026299	0.16128804121946147	-0.07507270213212837
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	-0.31046049569420975	0.07238480816304817	0.42513169836759435	0.046918921683697684	0.21064975351638018	0.23786409056985294	0.12835269689276949	-0.01620681955697172	0.10611113110080285	0.021237034520218585	0.07949141274066918	0.03901846485138714
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	-0.45551397566986673	-0.27036036031445	0.08910427652541637	0.2755676865584064	0.2493737121409447	-0.1016178726193563	0.11028685485567219	0.056549495246039624	0.3496487494567911	-0.19065670634674226	0.10048298273231593	0.05017889022251292
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	0.3376822524452976	-0.18128682528949444	0.0656945325626183	-0.03491758033332413	0.021919789225671955	-0.2007836475399215	0.034471773137818976	0.024410632635636715	-0.02811898108499266	-0.2546256958104284	-0.0283716569628791	-0.074817500115999
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	0.5036833707249765	-0.07255043639229396	-0.23520793713741822	0.2209286729855403	0.4077320085959214	-0.24063016056458747	0.030815326365746847	-0.01004656698815916	-0.17815502176491496	0.0518929405899314	-0.05380906816302671	-0.28044607251690506
ADRA1B	-	-	-	Not-coupled	Adrenoceptors	classA	0.5540187784377096	0.1559036943931401	0.04655552071219006	0.05831413667861821	0.6823243319916997	-0.28732624816570584	0.5001609286186168	0.05398749387131761	-0.4074479620607936	0.26540439187333015	0.30789416859847935	0.044502754772091264
ADRA1D	-	-	-	-	Adrenoceptors	classA	0.43498689683197655	0.09973206081317765	0.4144659728570959	0.006020034511891377	0.07172020041305573	0.0893780521707385	-0.019318911484873053	-0.0193818764597641	-0.30790097383384396	-0.13342902134317183	-0.37458384897599756	-0.28684595452728534
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	0.3676673232193268	0.09085926912050936	0.18453051074203386	-0.4287642358419107	-0.017103726861965002	0.2925539345417937	-1.134308262704017e-05	-0.19296031434530597	-0.03917244175562135	-0.18666677962825445	-0.2311998737166111	-0.025615640073216456
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	0.4177115268947748	0.3075410232526056	0.3343418286958528	-0.4330136353567499	0.07828376523729912	-0.11763109888975104	0.1352572161433628	0.4112590415219394	-0.15910370580306438	-0.14965184603070358	-0.20897815847819373	-0.26604423541228917
