Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	-0.22327644744372022	0.1211836671311756	-0.18917530506480504	-0.21476124160929236	-0.24071336853890907	0.1412815811724842	-0.3642290979706673	0.2522862469834833	0.29584112658002415	-0.1201631329530342	-0.15675776439920003	0.0276018549226963	0.0391812358636845	0.14438996682084415	0.23791337230289084	0.41450271116882803	-0.11274924340060585	-0.08132982988079046	-0.04831433344001963	0.0369627954275809	-0.27096586467135647	0.24801949696631262	-0.04688312189871588	0.07802110259502629	0.01877534433161597	-0.1505086869342555	-0.054386507819889456	0.2627673709390499	-0.13330236017235877	0.21945658067886556	-0.1550451347507864	-0.08313505542803083	-0.09349621846965328	0.1742722259324054	-0.39535669438646837	0.11755768321842458
ADORA1	-	-	Coupled	-	Adenosine receptors	classA	-0.2862145723604966	0.18482434386831126	0.064885912934282	-0.1553489139388593	-0.43187609249408787	-0.13490013118488264	-0.1839812554704154	0.07620723040595212	0.21836860246501474	-0.2575333652032398	0.2301351651520434	-0.09730743181827434	0.020769446083323474	0.2433747211337568	0.175840823960539	0.12569317484143552	-0.06021191844951478	0.11982799337232579	0.022084130323853958	0.024096847917318358	-0.32006462344990366	0.12479134751921055	-0.02409308103331197	0.021751156446619485	0.08092431064198094	-0.15670633709228254	0.15328845789560236	0.5057213891544393	-0.19788926108224836	0.14337512778567424	-0.2764595539426299	-0.06440597525344234	-0.06925440213152029	0.12886952300434842	-0.1277434204385278	-0.03708584298775021
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	-0.22839759333558515	0.12804240414313506	-0.17000350673081835	-0.34087646412677425	-0.3089584038832387	-0.03443537541759101	-0.16533125214674124	0.09298217513698184	0.3790385406212183	0.012572607785956535	0.01800368030403588	-0.029048875189860553	0.04543650628411079	0.1629205221174226	0.2580632432285535	0.37616086287709766	-0.02278195530149996	0.09884670813951106	0.0977257320276378	0.006735883506466646	-0.19027692790312112	0.27231074275179934	0.026027722135565663	0.05309175226356234	0.22294409959884068	-0.1902950617792067	0.09371529593189237	0.32339769856061695	-0.2404918531786078	0.06844717955713722	-0.11180048764298563	-0.0995382026152175	0.15861691094769922	0.010899888101830419	-0.32113274542313064	-0.00035803224159388725
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	-0.23926161538578827	0.11066163543486547	-0.4302979456921917	-0.19161787833143668	-0.3099171897024351	0.1600440409325388	-0.41151551108138956	0.37188748880471856	0.16277255353664896	-0.0925860856088231	-0.023436603175567727	-0.08536271702239391	-0.2605867919506887	0.08873523775695015	0.13393841407801702	0.4316176279608119	-0.2068933004616094	-0.26830065357959954	-0.0684752916981352	0.006425955059436419	-0.17141988426527868	0.15902873902323333	3.31731496643382e-05	-0.09475108799447832	-0.06256482350839473	-0.23160011521200058	-0.15388708190090322	0.1842674094637266	-0.08204324147175648	0.11603024556780936	-0.2291037315233195	-0.050269382852516475	-0.0331428224253016	0.19469830035260055	-0.3038005442929639	0.01606438147520805
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	-0.3754197705718751	0.031667133444714814	-0.01996366942820548	-0.17836109261653876	-0.2367974439280443	-0.3831629870943512	0.0685959979903084	-0.02660619786097713	-0.08411299910258696	0.16520193830918542	-0.2257098531677185	-0.009657842565013971	-0.28671166771204115	0.20628667174125617	0.14245443443002576	-0.1811903928025641	0.0545793814735305	0.12400292419891938	-0.14652184135992866	0.09808554558786334	0.24782716175381897	0.22167564479733035	0.16154797037002044	-0.07368474967504343	0.012023742952764855	0.13203416009111585	0.3173284168342196	0.14787685665435682	-0.09306748908470154	0.07104500179378953	0.008742583248502573	-0.08483072215200507	0.12489776121451068	-0.20799975560860035	0.23363272248434358	-0.018052324436017946
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	-0.3575013878451894	-0.0021072214907980505	0.18102394680823936	-0.10606898372748169	-0.14441889384602177	-0.299665044499387	-0.23395724101922385	0.13702674671512255	-0.1324737407880691	-0.025758278607363107	-0.1815214466992292	-0.07854194084913237	-0.12221576851957365	0.05833677861907333	0.07872460730812232	-0.2749985958104675	-0.1892576353439003	-0.03845138360272251	-0.23724460404788594	0.18464002593487963	0.31479744175668406	0.0027526309775645842	0.34279565340773566	-0.1645678625593112	-0.015795045414043543	0.17678607898124887	0.32732802035926456	0.002444443447644932	-0.18429260923340235	0.1437181172887968	-0.05239458131520653	-0.15227021208943753	0.046544138313370086	-0.11020580465519174	0.10280326510064347	-0.04997296619479227
ADRA1B	-	-	-	Not-coupled	Adrenoceptors	classA	-0.3122276211071481	0.061183083142084	0.3671718675988133	-0.10772511795045714	-0.07675061888956297	-0.1223264917396363	-0.4232844264410446	-0.03833860152968922	-0.0594154042348151	-0.12455855475153808	0.03958824327855403	-0.03501438559785361	-0.04070016834305484	0.0149404609673676	0.14820800187881256	-0.3089626644407324	-0.012358826489095639	0.13368667848445237	-0.2545372731512989	0.14163571581097956	0.5300626068189904	0.08544527989325161	0.3944501168852771	-0.1612746936658465	-0.1139734861630813	0.07025666750051793	0.321687383274102	-0.011107119015654593	-0.04860239539594072	0.16350259156769048	-0.21565230467462243	-0.3351628260072781	0.28998047384167364	0.03802537494838952	0.07455770232050365	-0.2474788694008979
ADRA1D	-	-	-	-	Adrenoceptors	classA	-0.32024077447161353	0.030591049887179762	0.33812673928838827	-0.39251116588401397	0.4636535510637929	-0.04117355063253148	0.15619061356853253	0.23783144891176317	0.11199304243606645	-0.05639438287527067	-0.2095337471131775	0.13490092487204583	0.22262665647277807	-0.020447367582464883	-0.202899823614247	-0.2660621227243759	-0.22660474025255353	-0.14100126599056836	-0.17131485352978065	0.5946730201914018	-0.1576689335091729	0.1597947407031828	-0.3174628359375968	0.12525382618031608	0.16565965016627476	-0.19512753492021742	-0.005382168811540444	0.052100911480628	0.02267828751164315	-0.0006216234022395074	0.03419179646126891	-0.16516732729003317	0.01469803005708085	0.16295388545039421	0.04510254208484002	-0.09208699083117289
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	-0.3075558301951666	0.015297041169203293	0.3241357114492643	-0.4195031361449881	0.32383324295438454	0.05661126139651508	0.12851030324739732	-0.044424598382920504	0.10817584541267258	0.0377517363376308	-0.15868522862315387	0.049790910269569257	0.07691949591605296	0.1873328887991806	-0.24198183530153994	-0.22754272168103848	-0.2103544844620342	-0.1415395465550001	-0.24626202329317518	0.6237557624137379	-0.27429595642606475	0.21668212442951426	-0.21603373431276143	0.254532225029371	-0.26771490956800664	-0.17519323368240639	-0.015254362255172647	0.2145041931236513	0.10096801396372111	-0.06834879380400946	0.12209146092443639	0.15738018743708765	-0.19028314873330393	0.2279006964279675	0.11036761394247097	-0.043274298575111385
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	-0.30931384665490946	-0.08887928532878138	0.31685056631042546	-0.3612606107790915	0.580997883670789	0.06326395338720493	-0.2726810787978731	0.1660059097142368	0.18036670448494393	0.09898852361629641	0.07674890241005193	-0.02939028396736967	0.19271960930681922	0.023192246822805233	-0.08617504962249499	-0.16788161431147258	-0.06498192800333163	0.016666611610757307	0.15694104325330768	0.5490696615638164	0.26382697202686384	0.17793660325099125	-0.13246311007062775	0.06421477969531285	0.09315148326161415	-0.1994241441518467	-0.004613425667629052	-0.02231422859577519	0.08564856628772197	0.032331180085886015	0.07315301474909988	-0.12345881483275695	0.41266338215921783	0.2169993832256203	-0.0913051853849578	-0.1164651597138242
ADRA2C	-	-	Coupled	-	Adrenoceptors	classA	-0.3187717786371147	0.040686645188544944	0.4030236901503168	-0.24956495745095672	-0.18415864652515015	-0.024407409860212077	-0.07256417546054182	-0.05802535703410967	0.0413743963634077	0.094744175088265	-0.10370579327386203	0.011722646783388089	0.08843620712112979	-0.12293104936771336	-0.15563671332041049	-0.20367485809021907	-0.26301620991258856	-0.18446199282343767	0.23523523686771425	-0.1939317662199	0.18525830481166	-0.10406191075017411	0.059150657441106	0.07734885081153442	-0.21578245792268666	0.36898318785042644	-0.05982783787685884	-0.03660647371688465	0.12651968007446868	-0.018599446007997074	-0.13725677920544774	-0.38897458300863375	0.31462885111195493	0.11618991399212454	-0.2667159071916753	-0.18148702212498702
ADRB1	-	-	Coupled	Coupled	Adrenoceptors	classA	-0.3642121527397615	-0.002142992200819909	-0.029830249219975766	-0.2632140994407076	-0.42074986589606433	-0.3363308989497719	0.34199596779265834	-0.09815843938881726	-0.058625690779155415	0.13387397320831487	-0.13970542326854102	0.2511904602355988	0.31741069297428054	-0.07990806175429066	-0.10083569088489122	-0.0973106327225283	-0.024938263114130724	0.0125984316998102	0.0902431130422568	-0.16934268894568424	-0.050919656427832055	0.0036765163000190134	0.07092994093641762	-0.09952825181477784	0.503547835252928	0.3879807954878738	0.07114171704240006	0.04536978713434746	0.04296418978620468	-0.21404968934763388	-0.14932352273205937	-0.17480013320415225	0.08085704020685944	-0.18081780178704338	-0.007066947360235614	0.07651216390756443
ADRB2	-	-	Coupled	Coupled	Adrenoceptors	classA	-0.2188415616100624	0.07067951675717075	0.5165553701925479	-0.3710840318473908	-0.39316547582693506	-0.05749326584924312	0.2180203824078379	-0.09340371944871716	0.001689225003218349	0.19166528590583584	-0.10261453376988874	0.08416029132874563	-0.1136962109139765	-0.04830445863447658	0.05217339753840191	0.027063169590052567	0.015406782480572251	-0.16267802273385432	0.09752437486635396	-0.4064925925930661	-0.016486555666401094	0.01504910405619176	-0.2591851248819573	0.16238827188189983	-0.13964845824132877	0.40645158640838747	-0.10474435204904976	-0.060476444260336534	0.07799632429705174	-0.15659116678972756	0.051263541505390586	-0.17603340003909196	0.12060538793532263	-0.06315725146573253	-0.16821430657092348	-0.08130530259556265
