Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	-0.2195055487631489	0.02521568655693412	0.1349208277831883	-0.0032865359166285866	-0.17477987250564292	0.0010285123501840771	0.44670303955285834	-0.34061169303177274	0.19947980873611468	-0.05547504968874888	0.17715167676294735	-0.2705882383560771	-0.23514069761758055	0.12724347626482566	-0.08495023630355505	-0.016477692979796395	-0.08467883853671977	0.07100553086303042	0.19042397743240866	0.06832468163158353	-0.23885284684576652	0.37345534172667383	0.15074066519252682	-0.016699160700093953	-0.40787913826311284	0.13179111135874177	0.20902387291597174	0.0036183063062090273	-0.2771348311827368	0.30682156715686476	0.16543545689006045	-0.21641680336865007	-0.03152876686087809	0.0014658418029472732	-0.15336405443286938	0.14343435582858258	-0.21493572625227506	-0.19560782934279503	0.053800157664652654	0.1946077677296864	-0.11593545948028314	-0.3029808818563126	-0.1532831882640429	0.14759810367769272	0.0333023867302206	0.1253484868472608	0.16892466234471715	0.21879637610056193	0.12051771215471127
ADORA1	-	-	Coupled	-	Adenosine receptors	classA	-0.0016526034213940016	0.016374069769709204	-0.258299140960309	-0.02276457358516643	-2.920596624042355e-05	-0.287754677565251	0.021478169941830192	-0.18054611239115279	-0.05083441357362186	-0.1404285669285024	-0.23981490206597833	-0.060838915711664825	-0.009607101122240572	-0.003944478693639765	0.033426859672313805	0.17898932572935197	0.0793227534892992	-0.27107498344766146	-0.023487814572267646	-0.26176480717381123	0.013916200337242906	0.48038015560173947	0.04837213931780689	-0.2625194911138529	0.11191766129245011	-0.07729645128122876	0.18490477081899603	0.012417492359008768	-0.007286650787963048	-0.03911973523663564	0.014226022647447555	-0.39111421995657514	0.26477609811988156	0.017850163174323894	-0.3732903992163501	0.10723453074731673	-0.13638112602165384	-0.22748575802984172	-0.07957873032240805	0.15777954369439698	-0.21708469086647195	-0.2775814295357564	-0.017134382504757652	0.07872740801017239	0.26470170841972723	0.025482971834934413	0.1484337016429699	0.10422688285775443	-0.07045934691600769
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	-0.20131218313598156	0.04835391290169854	0.11959258033354084	-0.010401154296997842	0.1346202867162955	-0.3049999290634255	0.2903462295021152	0.18461925904678894	0.03210689848215231	-0.1428570981553424	-0.4426108656526244	-0.2719807482902207	-0.0638949587226754	-0.13339282108342193	-0.21597192611106547	-0.1032514754460875	-0.012403713261261195	0.08448521948609497	0.0012160110150620821	-0.14442628913593203	0.08335339876928319	0.37483042309471415	0.06816023397113341	0.0385907949638478	-0.05355475067008726	0.0024305411695295653	0.2542648697175875	0.1296497454684303	-0.14251762016284367	0.12645209703102409	0.3490311331485318	-0.4377558201699265	0.10810716066558634	0.034203461065825495	-0.31977544178260736	0.2505851517458466	0.0672553050896177	-0.21697259317833234	-0.18153836980878155	-0.03746734272151865	-0.02419219355879257	-0.16548013288958	-0.09214412264359034	-0.006353690665978142	-0.06670776443602952	-0.03123780630379254	0.1568201823486319	-0.06163576950101292	-0.1282583939334322
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	-0.36273179707930064	0.2598431909078314	0.13667761089307567	-0.06428211516026891	-0.2457757575821298	0.09947553779492653	0.48125815365684926	-0.21129228796336502	0.2343726801183791	0.20698244295964377	0.14447208720030733	-0.13275913695137556	-0.2700034185219476	0.035729739971184775	-0.1267882599594918	-0.030867139010457068	-0.20594698402941075	-0.10560367734947936	0.44483144455507784	-0.022218698089075655	0.13216607404102995	0.4690296519329923	0.08985534445343184	0.028822560709940354	-0.18143612273584278	0.2517355954207246	0.12933926837228663	0.004894164448091304	-0.05569409378844326	-0.09070225979601651	0.17580016956053401	-0.21659910948831	-0.0455790926897344	-0.00119113749863154	-0.20817792387708783	0.1932144681081332	-0.2155540723836827	-0.15128208558867093	0.15616948085097052	-0.27500671988936976	0.01983635353376455	0.023524015708102957	0.0472975772703154	0.20595552619325144	0.1269610083971939	-0.05205839578871641	0.09726290825613797	0.07104182197147262	0.17851322518508414
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	-0.08837390545867685	0.19631781393275982	-0.06312564242553069	0.10160380324370497	0.32275214934404056	-0.16410102594585652	-0.14715989322532508	0.012895213249919692	0.4308456313899466	0.14161856930735706	-0.09236020080756122	0.4708923178178401	0.14238358843294757	-0.09309099117930149	0.07376863027415044	0.05293651884834253	0.274012120873108	-0.08105461577038159	-0.07620169428087403	-0.1798453520530753	0.022815848481064254	0.07980291195383203	0.05416902262112444	-0.05908299927201579	0.011507308482910261	0.04488200473998064	-0.272318005399548	-0.2975772915937112	-0.3666930772947563	0.20937758041670115	-0.1169192841359068	-0.05216697225133409	0.28981385377780156	-0.12490101569167943	-0.3361750480366811	-0.18232907390626324	0.10355499270244388	-0.18912736408562117	0.11471957908146292	0.3838961840297896	0.1580642461266405	0.13590691273313996	0.18282311296125842	0.15521915504040643	-0.003971653872554702	0.015967675729620465	-0.14596960569684192	-0.19491621420096117	0.0048148232124533815
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	0.1064921874426456	-0.17007833423583626	0.02321572127656371	0.15692768702413526	0.20708777228974148	-0.2035283655594826	-0.27566973182059096	-0.050459318331631794	0.2017992994678641	0.12288274442472798	-0.05126517136350077	0.0498561842825731	0.0538373481904042	0.18378465360554627	0.25981989588160515	0.07611009971628495	0.4928241997628639	0.06930520178623006	-0.06974556670545606	0.22914887180421967	0.06840290663561518	0.2969388698839209	-0.22301918338760957	-0.1945259225863341	0.18220066972820836	0.15191300366175506	-0.11541214918653725	-0.01649953510066924	-0.48194424727715646	0.06645571225121169	-0.24561019975782777	0.1827339272067643	0.1362967075320527	-0.12573663260586668	-0.2280437762623344	0.007113233732338454	-0.08874053551819822	0.0038460311026931224	0.13095146425166135	0.38383450573426114	-0.005702141318591582	0.029940172882888853	0.03049977297189269	0.25287443419079103	-0.06577190969707321	-0.09991093728246596	-0.11056711431374872	-0.15973658450586883	0.050181662744638346
ADRA1B	-	-	-	Not-coupled	Adrenoceptors	classA	0.21891963045423024	-0.3150800390833036	0.43179447523351944	0.03524527819371036	0.07092999489672519	-0.21689839230216712	-0.3436489691713074	-0.2174081429541359	0.02344564974164773	0.2080429987328177	0.009080331612215513	-0.2603711882951275	-0.21775354057616994	-0.15149067401348199	-0.12133466859534973	-0.0037923185621995697	0.7932762882122516	-0.1473678900666162	0.011927964689752485	-0.22889172033965768	0.4471025675283101	0.04655370668711781	-0.1312080367822406	-0.10488158601288092	0.03940970340027188	-0.03055046555766148	-0.07292606026832099	-0.041292041376520816	-0.4279841470983259	-0.010718308707916542	-0.22009503257552976	-0.07718127817579658	0.12643822166402485	0.19487174175270228	0.07918443610958974	0.5061250248793875	0.16200738436235537	-0.05883360676881185	0.21575703017821918	0.27655800548224047	0.4702622174685038	-0.06709263939441361	0.18019184302355526	0.38419780047970253	-0.030026683352343642	0.08166222664531307	-0.2015973065335276	-0.23544405534895554	0.17433088727566853
ADRA1D	-	-	-	-	Adrenoceptors	classA	0.3320002176273688	-0.10999438994581758	0.10934151780214145	0.43661668898853884	0.4844608274125891	-0.14153208331057293	0.21769861903654297	-0.49617086938330573	0.04927348201323948	-0.10827264744462467	-0.11293327234164276	-0.10943195254606863	0.43204936065341354	-0.13143664443290523	-0.09410061733447057	0.23011590197281045	-0.033441913731880796	0.02053067103104261	0.08748840651857329	0.11450142098003852	0.16468072003048098	0.04999550167659453	-0.11167214309543783	0.16360984091081593	0.06404195756690917	-0.10094369413534919	-0.02301838634724873	0.19828560047516502	-0.13017057260636683	-0.2312230100700515	0.0058070960965609835	0.17318915105371593	-0.17143423982236747	0.09604444319462044	0.24973965565950265	-0.16046813498568158	-0.14135897865473845	-0.04614486261779324	-0.16534468893185145	-0.4342298643923211	-0.11623440296973997	-0.3325905574422211	-0.08094486215355295	0.5027507068805311	-0.0779315396880844	0.35769533184139923	-0.019128183553229813	-0.15581854212517746	-0.02028564852505835
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	0.2789602204710527	0.3604978303658223	0.037398739229662685	0.39613152585187095	0.3288416931645701	0.1953836022644604	0.30924470402835064	-0.23150082710219969	-0.08220990278824167	-0.042449812436277906	0.06576403473907748	0.10601462360109833	0.3870391821959844	0.003048738863635393	-0.18129195569795367	0.38089529594841537	-0.0624406188868857	0.28385464785384407	0.020332272999354323	-0.12820873292386134	-0.0666650307704889	0.196083561735401	0.02296098421078265	0.16632986022461727	0.10957157741950219	-0.40460055985615556	0.07263470663642745	0.14740107446514325	-0.02022404635197823	-0.0842608778707877	0.10198310216542336	0.2215261675883538	-0.03971988561506088	0.23544852335926064	0.06296141690720256	-0.21920488122146808	-0.08779848065879473	-0.0841148102531239	-0.3445326335396062	-0.15141668459808003	-0.10141650045872884	-0.2819529744308947	-0.15301548655946262	0.42976276893644544	-0.28598889748687983	0.09039427859901666	-0.1497285133299254	0.10336758471686787	-0.0025414794158401003
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	0.1569354538464363	0.08830849144345847	-0.15214210501891923	0.5210405004716485	0.21219729423198194	-0.056068413859450945	0.27035521934274587	-0.1851100792598899	-0.19461485896128386	-0.07367061221291726	0.12127282637747717	-0.028636221664488065	-0.11571975804596406	0.08354960545187363	-0.19796796323876298	0.12056935847484107	0.03757784828298457	-0.4139628813654739	0.0981721894212111	0.10003985358251835	-0.18891339116294834	-0.04243325819047299	-0.11420546790102813	0.06891692246428087	0.4229670063077433	0.0387909629807308	-0.10080950673775145	-0.09236578089939056	-0.16259826835345406	-0.06913376251004931	0.16305413345137307	-0.10323271500439662	-0.1953491438447971	0.2620330076957928	0.48480045677815675	0.11298945352945021	-0.10236985231199558	0.17246285930372396	-0.13960622754546206	-0.2316198652262798	0.2724305603876766	-0.28309652855667233	0.138241161013757	0.13170481140945034	0.0488639676176654	-0.05332365834093223	-0.16241568770247805	-0.3811417671606446	0.05638241568467774
