Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-0.07335676890933036	-0.052336750853760355	0.02143875738502103	-0.2965000078566396	0.11729987774626503	0.040399242990485015	-0.16596337211298842	-0.1422834084660189	-0.218105093359259	0.07921906877325878	0.1355530496311457	0.05917254356954195	-0.16219866491409604	0.20524698707600392	-0.4584212631096725	-0.024177011867865947	0.09735931588197087	0.1285660604410817	0.12049040657842768	-0.016215185276521365	0.1279611623885922	0.19290693021871827	0.10903586390326926	0.07021203263142424	0.31279114605260955	-0.22865029140514656	0.07131294598623684	5.21552051078796e-05	0.4314013417335891	-0.006749831089375421	0.05623885500795563	0.21101506242060375
ADORA1	Coupled	Coupled	Coupled	-	Adenosine receptors	classA	-0.09558147608175599	-0.20895795780234064	0.08954795584396477	-0.36703107999177276	-0.09040779704054733	0.2867997266331089	-0.24190733566153005	-0.3618357009759297	-0.22171439453878516	-0.1182109267711475	0.004011604026358183	0.0922995713089182	-0.07632741054438708	0.03800473609211612	-0.4564991748275169	-0.2302916462244894	-0.11370981314960339	-0.01226846241466345	0.10385940171142423	-0.2895096822717472	0.09460994179026488	0.12934131213121994	0.059485324715196485	-0.040613036800610375	0.1343775261159316	-0.44677481180959844	0.15507590928899323	-0.01735694086446904	0.14868399212841074	-0.18824462860333466	0.27978054669933494	0.1488119954514288
ADORA2A	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.1372816336535314	-0.018661819922724775	-0.04865986412606153	-0.3976228533560624	-0.01883497327231062	0.1011857452528282	-0.03968138134775513	-0.194827190256353	0.010698689603325429	-0.08130934710045232	-0.0931998726238708	0.1367300073472346	-0.08381160064592431	-0.032515183010668726	-0.3318298539231757	-0.19025129373798513	0.05653217917912505	-0.11703806085994192	0.14120149255201803	-0.15602909021538033	0.07382654451886554	0.2856785982455521	0.12752000577022105	0.24509423320107884	0.19525800098624913	-0.29305413319028056	0.13933722340417434	-0.1426812679980752	0.4528330044696003	0.0027734539011888683	0.1273937539323185	0.12065765731219896
ADORA2B	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.04367411619510518	-0.011109238946035431	0.08635238556563286	-0.23379073805211195	0.021872632507787385	-0.07932384898757548	-0.23275871274346963	-0.06498532057767763	-0.17613253829509645	0.3081942995635355	-0.09867027451029041	0.2638345335158898	0.18120204997537628	0.09451358992243898	-0.38996680498336717	-0.023308385432914826	-0.010628210399203513	-0.02939045068787326	0.006661748475798707	-0.10412629220756368	0.21492436419359454	0.1482359744274078	0.037971633273479535	0.09952308391555285	0.35542489642439856	-0.2028747194735503	0.06005545381113104	0.1028684726502187	0.4586209263053423	0.21150511965800808	-0.10648906966192671	0.24180841285753085
ADORA3	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.1733925058049932	-0.2784291175633327	0.012610717085957865	-0.18797244560656828	0.06092863403764903	0.05077894542609505	-0.13902356013605655	-0.2638931283745843	-0.24924957236492598	-0.10872533741168186	0.008060762713226513	0.25726712048307315	0.15324429550426824	0.20426148484319764	0.4114069302219116	-0.2030375445795051	-0.20930343641405472	-0.29615892063390226	-0.018938489531727457	-0.0952747533537227	-0.05466457331331778	-0.02939449688835039	-0.16312480166756646	-0.06191404800130232	0.0012571214890704813	0.31596549927819	-0.02178569849779683	0.1458165374543642	-0.05439999307726184	0.028607180178346448	-0.09014090033973493	-0.09549236055386538
ADRA1A	Not-coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	-0.1783007644487168	-0.34567325209688254	-0.0030094050152882604	-0.18758694103203724	0.0035629915628016284	0.2928146026235274	-0.10941618335500629	-0.1237986873618071	-0.08071162492642243	-0.1544146473486076	0.02172613712728624	0.032637679108983166	0.07481177228405234	0.3168759496161591	0.30287170348408393	-0.22676363083723686	-0.14043700791991492	-0.22402629754197348	0.06628773604729009	-0.20032196424004042	-0.07479624334561069	-0.1396410665369037	-0.12175835368340396	-0.2073084073685272	-0.029459017104898018	0.37611627375235407	0.02762574236531591	0.08749828136019087	-0.18380644379906266	-0.11062797273572379	-0.11581339519044277	-0.04147321828406147
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-0.1389154131211537	-0.39142578034248554	0.05400296229833469	-0.28798192726720917	0.007345195593662411	0.4105373949032065	-0.2072243637504285	0.16567585122108885	0.08865454349432136	0.018549721685866476	0.05745235982091783	-0.10023024719226847	0.03356831089169437	0.2739923330709588	0.3699255124616349	-0.08060384690660909	0.002699538327345419	-0.04234704807199494	0.07900202812429914	-0.31471925355924374	0.08564835228861904	0.08525769304415756	-0.158601334292835	-0.06338683582476376	0.06563326614948756	0.49892064750405923	0.0667648376317797	0.0037960164661183238	-0.29701713267056656	0.09885177787467109	-0.18882337049648412	0.1349742560700232
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-0.2041191716370474	-0.36084573070800113	-0.1357497225772981	-0.15304326306041716	-0.20949892000229706	0.20051962024787115	-0.1560740488368323	0.3324829364279566	-0.07216248247257188	-0.3227018019712707	-0.20575169864049425	0.0015180081948294277	-0.14737701978752615	-0.12938249923576664	-0.28904437341743877	0.18017807087489646	-0.13954893759976403	-0.17700500904906688	0.320301967457979	0.1004047620832392	0.15542921736851675	-0.2940173482072527	0.07930096566588801	0.07455152273726691	-0.07165191356608103	-0.07854737877715331	0.07884688717950093	-0.38910032817692897	-0.20910285529147782	0.18030802843540197	-0.22381921588628104	-0.010036817019007509
ADRA2A	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.21593637858586787	-0.34844937741855125	-0.16834646023714814	-0.2184335511772162	-0.17346991111647178	0.21951882592106703	-0.21698091142595896	0.0855589876090711	-0.23463261918530667	-0.34655365940619265	-0.15723198477298736	0.14381898975231136	0.02313236542897139	0.06393323040585792	-0.3327716647075065	0.2597023817882315	-0.19242424276691686	0.006732891728849097	0.12500235882934804	0.1530136264568343	0.059506934875471644	-0.4053532266297698	0.025918956811053315	-0.04079001624087944	0.0030899208940552538	-0.13600352704348964	-0.01949456626901832	-0.21835766612712254	-0.1263090538530819	0.1732862088252743	-0.11113984754381372	0.0481374906244399
ADRA2B	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.2840833065260943	-0.3151148779039373	-0.19982765718542764	-0.25211946088512827	-0.20818045497477194	0.25399604107319657	-0.1148014380407795	0.3958118626025766	0.17710038407100748	-0.15063402854494592	-0.33890172866977963	-0.12656785290520636	-0.15571999269546496	0.052456594726977245	-0.05243550521797943	0.23841466447013696	0.0631876428186059	0.22251269835941453	0.07507353572202496	-0.061666970089419966	0.1902969409671674	-0.3121106221851197	-0.05093057889933278	0.022275612778568158	0.03413607272530228	0.11989560435450083	0.06728893414867433	-0.3824927595668113	-0.14484333634089416	0.26384434895557546	-0.22523718824741154	0.1290321246370904
