Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21
ADCYAP1R1	Coupled	Coupled	-	-	VIP and PACAP receptors	classB	-0.2049789956574473	-0.18305169951296577	0.04859270108904481	0.3194842239642893	0.27490036162939874	0.02925823923621099	-0.2703807522918318	0.4176375558861703	0.20945860233164726	0.12825855197801728	0.010403433587083101	0.27374971662546627	0.0013366866471612537	-0.04906123108489088	0.1510274262564642	0.0797677026357431	-0.055908842392773786	-0.29527225757340364	0.10618480562059249	0.10559123354085664	0.05190260325934953
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-0.07247300666669633	-0.2906484243236464	-0.014826970436955156	0.4546541570144037	0.3279335164876795	0.38845157195756186	-0.4017773569424395	0.06343185036926749	0.08797770050637693	0.09669739743494003	0.16286420733740622	0.2444109249937443	0.10770905540527338	0.09651017498155731	-0.002856295221713989	-0.10353283854935896	-0.12153882770984936	-0.2289906501602438	-0.08430568000402665	0.10588009326569298	-0.06237445952877861
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.24153737794346733	-0.14328056806181483	0.11247878351636433	0.21202686802388604	0.37086306373485756	0.16387841437840436	-0.21863367976541992	0.46736598382522737	0.16401640361604383	-0.002322976599616891	0.06499297625893864	0.20936634928952944	0.059981482209576	0.14594352848556566	0.08458387555865154	0.16365291991930175	-0.15959798408561143	-0.19664489239247626	-0.04129043946253266	0.08590736348393689	-0.10326830983944008
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.18904194693669632	-0.17537648689803864	0.028006704885165254	0.21452056666825337	0.22661799636057095	0.0909734206007843	-0.15690946582092186	0.41858027270700027	0.25956874305992017	0.13875546494435417	-0.08300625933054351	0.24234860199174457	0.08358026075752252	-0.008383880475347522	0.1410811522879727	0.16794349820692642	-0.09735745044499157	-0.28297381345473066	0.15142770200566935	0.06320941892896663	0.11072390436479541
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.03764021276665051	-0.28797468813274285	-0.2577703696828776	0.27676314796785795	-0.04308029082864202	0.34687564136878446	-0.11743124705021882	-0.030420521758286235	0.0754620876948549	-0.3321089539382956	0.025764842432275583	-0.19106155048490958	-0.05559550799666771	0.17530287267248013	-0.075119310959403	-0.040072273399237385	0.11701629921599706	0.2369377009939734	-0.13139522727393205	-0.060788339966374706	0.04426151190270543
ADRA1A	Not-coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-0.002118602676038774	-0.3174408424252032	-0.05430470151314727	0.26122745161304106	0.04257850447321306	0.27633457760769226	-0.21639556952534844	-0.16192392811297188	-0.041794038450187976	-0.24186964046595127	0.1709927028287709	-0.12307754725969836	0.08716627794248598	0.08057120502834654	-0.12549083322912846	-0.20675968640907266	0.04686260858322126	0.010464192082761803	-0.17015613683920447	-0.057910169056158964	-0.0021012715291060563
ADRA1B	Not-coupled	Coupled	-	-	Adrenoceptors	classA	0.04714628082393738	-0.34774679588981644	0.27962815112162626	0.07117460734147198	0.055560140422942376	0.13619746671171287	-0.15609061762194437	-0.2974917500547005	-0.055099806366879264	-0.17928796121148763	0.20860498216519294	0.18222485409282724	0.14800956064593643	0.2399492392832895	-0.31240329177198833	-0.11375662517050117	0.05507625055340244	0.06521068016741403	-0.1629398040938503	-0.09151256203419597	0.020034350845606716
ADRA1D	Not-coupled	Coupled	-	-	Adrenoceptors	classA	-0.05455423158728175	-0.28193091240695495	0.2392919639587881	0.05454101076852392	-0.37871139261902514	-0.2828688747675867	-0.21771243588526554	-0.12028656555451256	-0.08465325116826111	0.1741759713873137	0.05087828062161162	-0.0029679436573189053	0.0036261293487692367	0.25884280846173174	-0.0067608844160085045	-0.34986572240060937	-0.09955407658967867	-0.1025843597529848	0.07854495235793518	-0.20440620809682594	-0.2125824839041384
ADRA2A	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.07179647320269167	-0.2687760495816363	0.04391481003111527	0.271964357385684	-0.4675826574244788	-0.20122172420217452	-0.3279068518851121	-0.04578964612044736	-0.06393816562723266	0.15570370963213864	0.13869162901219537	-0.026140539188182786	-0.1202874839125005	0.17095527883368516	0.042354142001123224	-0.40298564237916434	-0.1854727534273248	-0.08688270601179889	0.0960344939467478	-0.17710265710208384	-0.05434030259921173
ADRA2B	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.13484162172875655	-0.2380792094784222	0.34386646805022647	-0.059194772430087056	-0.4234767678155159	-0.27581490225443134	-0.1698218182496058	-0.023025394108255274	-0.1329803848419374	0.11895738240090264	0.12267362509687646	0.21400998292106135	0.009387128802279236	0.2306262141885328	-0.16804336924947003	-0.25364378677333715	-0.15463246303212194	-0.19085153401896796	-0.024625798278419184	-0.20966004746796688	-0.1957602294858846
