Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51
ADCYAP1R1	Not-coupled	-	-	-	VIP and PACAP receptors	classB	0.1607588397071526	-0.01047305051195334	-0.1748878340069757	0.4905106361510312	-0.1167497428412945	-0.11725776849290057	0.1838055455296862	-0.34401693635951586	-0.43198074436764994	0.19338768726235103	0.21754895312872008	0.11936407230687539	0.22721297471872023	0.03925086814978493	-0.04247717685741888	-0.055921108338178066	-0.12018120719050446	-0.1769666739787952	0.031001428260572172	-0.09254975780726621	0.21226291705991118	0.08012210665211224	-0.292470102620713	-0.40791852483839697	-0.004071705519746888	0.06020771370877484	0.12756503845121253	0.049526577334149405	0.4665246212646271	0.36042387918191515	-0.14274678888217157	0.23921194810305862	-0.07295009935533071	-0.026698431032968983	0.011712637302388288	-0.03985254737751327	-0.13640160119625389	-0.2677375531034963	0.06014791681861743	0.30113952078727685	0.07517105932680151	-0.23058982314691606	0.014097439852047563	0.05262993948725389	0.06196394225919438	0.03299215702800782	-0.1311687607355146	-0.061119497999319365	0.22927259977547773	-0.05931447804212873	0.42687771769142263
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	0.25505725877070773	0.22004837034062608	0.12116448378387049	0.13078841491183266	-0.15351648795570919	0.17027866930143795	0.04641655082520044	-0.06419108860748939	-0.298284512973217	0.1447430163802154	0.1332178954487434	0.12171119973027018	0.3113097533112455	0.20788144137410544	0.12325593101815602	0.0022850179396413845	0.057148291484324536	-0.10242850889265274	-0.061650322686756964	0.11435112391367508	0.16458500830896158	0.07337917110916242	-0.21054299512467176	-0.11786209267715805	-0.11490864248461814	-0.19827023538009203	-0.12393070682008948	0.2632363125263883	0.03755406489905095	0.13917737235152067	0.04436485288791694	0.1586356228022789	-0.4712792587652026	-0.07744284558638281	0.5481966315752584	-0.06414225051097887	-0.007379653389389445	0.10780739491740694	0.1785856669622752	0.2889343751992694	0.1431148090681216	-0.19131549469271678	-0.15590903693416774	0.09767561972950528	-0.14184207202048574	-0.06003882643554469	0.031696151263633676	-0.14383899442739323	0.019330116625301298	0.009650853280890498	-0.16974970656548286
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.4922470400086612	0.24091598458061472	-0.1791869585030618	0.32083969911148746	0.15301491340546153	0.17628281572028162	0.1688451673278648	-0.35751454725399334	-0.2192464860991176	0.202167554738188	0.04934685995704178	0.0654016291481183	-0.053719560963690204	0.18196526394339063	0.0837576999731878	0.09655406894683788	-0.32542546347407647	-0.10648256636856282	0.05299887270925343	0.23058114162766846	-0.17015714028970713	-0.10769259800490742	0.03383798983205022	-0.31731381071635106	0.03336548455082232	-0.17560334836540523	-0.3531451710174008	0.23444200469270807	-0.026251514392699862	0.22287550245284626	-0.0903612176503406	0.09116191951729434	-0.12716120810732487	-0.08771013938932216	0.10741858133873386	0.0949871748033717	-0.26351637551963913	-0.051032081470573906	0.12300749241332996	0.26000919416236745	-0.24978555441193007	-0.1384172281401169	-0.3027603449752503	-0.16333789548502686	-0.07401529642003074	-0.08680424270649713	0.03684024325357735	-0.1954318650996082	0.07822595928423774	-0.23267897953225675	0.13446688204884782
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.15794486944296587	0.21794168288596494	-0.3151259084151918	0.4817284241263468	-0.16609783122556387	-0.27906728037333345	0.436660965020582	-0.41526262495358407	0.0961462178850448	-0.14435980818320263	0.06361960366003533	0.16000993459672408	0.18717767304270616	-0.12408185578486963	-0.015760300438034322	0.08866804926123042	-0.09031817303592961	-0.38421265897176793	0.03199630130484187	-0.080195515351485	0.3652527489205372	0.056955571639971496	-0.21427994584779492	0.0803960660405958	0.10324084555815925	0.00462305620323925	0.20800391323147174	-0.02636228806833156	0.308123645234824	0.5193388842299737	-0.17664181333029402	-0.0926138723528641	-0.11628876544031527	-0.09384785833881716	0.0026339294094089513	-0.16958411418741381	-0.08143685927249734	-0.003198770897632211	0.149906345178635	0.04094777126539153	0.2820634812282705	-0.07095660105431327	0.12338597447952092	0.007053782734181458	-0.11980083474920128	-0.07750688575398668	-0.20623263601458713	-0.07989524611186893	-0.16059652299800145	0.10582116795844285	-0.045139958458874245
ADORA3	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.4584157422372675	-0.07491532504818901	0.2413458763858361	-1.3976741308646156e-05	0.09445643192865562	-0.030458788564212837	0.006585084575123153	0.10348736894383723	-0.05826059320049612	0.12818241841093256	-0.178877394259157	0.032559337784874895	0.18421218468107053	-0.05861593468781682	0.2490475052526317	0.040789578323345094	-0.04615275771600852	0.25399796789586987	0.5145017635656364	0.31163655006155105	0.07812792114703135	-0.08211229537090174	0.11655167979078067	-0.28260499952915374	0.02360366156780206	0.010069026476477824	0.03980105488514074	-0.28525620660639006	0.00022729480225330438	0.24089606774847322	-0.14004818536873379	0.01583938001362367	-0.32721103973719284	-0.1119626709552831	0.07599904507744802	0.1839930061817689	-0.15011781276282812	0.19906611934610488	-0.01371100111960848	-0.05920719684778694	-0.28088614894403185	-0.160723821378789	0.17898281676136862	-0.36508989268321257	-0.10904026419009726	-0.10701055552205016	0.1336739666965909	-0.1967236844024092	-0.04102740338141533	0.12465526515283785	-0.448554438293939
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-0.32421544213896997	0.0047547329293358195	0.44391521439678305	0.05355300302035617	-0.06396464835887501	0.2731482993320318	-0.35568143335662455	0.19161379399592815	0.03292897774039803	-0.023190080913937997	0.029195923913516556	0.05182070803758348	0.4371801386114465	-0.016705366116524078	0.15317188174936022	-0.2956701452832771	0.26705902774957624	0.2566287327996718	0.2287741860565326	0.16223847112971912	0.09855966392389004	-0.04652434008319663	-0.03892427901980666	-0.16127388829513045	0.04668861930823817	0.040592127466756577	0.0669568389477462	-0.08103238741607342	-0.11019048408514175	0.33930934898214915	-0.394691715728972	0.04463658224846987	-0.2835615269846957	0.08164671902120735	-0.095744236911551	-0.06255430351540649	-0.07089210419549055	-0.034292635279275674	-0.04174794040375623	0.026682003017297205	-0.007638069757755919	0.062173105302924234	-0.11610125208718637	-0.13778666039172166	0.2384324007255387	0.044312032033149554	0.07702759509067876	-0.12973946889658206	-0.03663248527781449	-0.10105699395321427	-0.2332224712861867
ADRA1B	Not-coupled	-	-	-	Adrenoceptors	classA	-0.2504720132487122	-0.05237447086868962	0.3669609738659	0.006665781162323484	-0.26160536797464895	0.6972483027071612	0.09282892821637978	0.11799028865509721	-0.17211826237324612	-0.302483026127155	0.03663189653236114	-0.09091643966026937	0.12946021597692642	0.06622994903389698	0.3964145234783024	0.2043317265083367	-0.05570293992246831	0.1420228957665358	0.6279982927882239	0.06514310709293658	0.023094538507231296	-0.0977875309915116	0.030354180096671988	-0.12007717196677908	0.22057285304556293	-0.07191080871307554	0.07498640333383813	-0.36967651876561197	-0.21325883097819417	0.36810545671225425	-0.23582676717675297	0.052742645864601326	0.018899342523971806	0.34583291263385535	-0.1710628829579123	-0.24562444945769019	-0.1322070783981241	0.02206043353776431	0.12819027014038456	-0.055848685973236986	-0.13799486940350383	0.053555383572630504	0.11651683659290961	-0.0953649018749401	0.0905506894994439	-0.012147451966548366	0.10312969670761123	-0.07026771978765951	0.12804754461371518	-0.35498679611753814	-0.2182103535702714
ADRA1D	Not-coupled	-	-	-	Adrenoceptors	classA	0.07952482804356074	-0.43405745369102083	0.6456705121235508	-0.1319094769643075	0.16302795112756538	-0.03167961183186828	0.09486772543858145	0.11961763445385781	-0.0012889292751746598	-0.4529099506773531	0.07077050080552919	-0.2631917490419209	0.09615569393019463	0.19702005651599583	-0.2182240165574013	-0.31587887619336813	0.02963937350631123	0.02432534699923007	0.07700949634008045	0.1284050927824822	-0.1314461917479052	0.0886067738611856	-0.17951590059548536	0.11344894990533982	0.02869899804731574	0.40294387486602645	-0.11039339670354027	0.44799081703009214	0.3426546792393445	-0.1525711423770832	-0.16101480052911854	0.06279160828088066	-0.0024751234960073494	-0.1664119782542075	-0.06506728275374499	-0.3728869718767249	-0.2013897033889511	0.09014780244749122	-0.055286742313438615	0.16481900315931655	0.07897407376910485	0.08599610924345687	0.01957138968212085	-0.09681814448859151	0.06085619387304974	0.1763620925769511	-0.37625133849244236	-0.24606153657306462	-0.01864732075443737	-0.11730126016774498	-0.08650332750106578
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	0.18548960410318568	-0.30559435373865085	0.5817401018781528	-0.3310429264043807	0.2887965995654595	-0.19338185578881625	0.08458865790075339	-0.11566602423100658	-0.18309188356070225	-0.2055140804953699	-0.061153542152016606	-0.17025266929705538	0.22984550992739947	-0.0046041570358393916	-0.0903615187225367	0.1163841879046865	0.11576297662195448	0.09490599346237098	0.34112966722666604	0.055788902382918185	-0.2863561143913248	0.1800727915711786	-0.06556602848162091	-0.0009256198057732845	-0.04220802150196071	0.3728982053278202	-0.1407343408300334	0.626258041622887	0.23891137415056202	-0.12569319071290155	-0.37515076809830744	-0.17293836845661742	-0.05349270177899553	-0.12382600787875499	0.07335498364616758	-0.11616533517925154	0.013701317289938373	0.12165675760974298	-0.13007683337921852	-0.1174925093060605	0.13672019894994214	-0.11581627327745957	0.04786089546401111	0.13974033612274642	-0.10986540455086909	0.14658487574096113	-0.36011491558341474	-0.09316211302070787	-0.0934848415020215	0.12983810057463924	0.16515469948713798
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	0.18521216461265683	-0.15833447275557158	0.46817260751492806	-0.22424490757496643	-0.013081062679543507	0.33303409446162274	0.23597288819615533	-0.13797742308448518	0.15840424379820506	-0.38861100461475107	0.18155975543989555	0.11256611782981349	-0.10244822281024524	0.2504448566066891	-0.21803795341497698	0.3277498043518624	-0.023334537407361283	0.06191226802733675	0.4608860510134849	0.2055094692380737	-0.019408116639114046	-0.07924937977196914	-0.22154846841543172	0.2635385045130465	0.191317450595526	0.19931321414677372	0.1320464282315173	0.11696674268648057	0.10200201288056565	0.08956675703097303	0.25811693358949517	0.009944395294125018	0.2790151104927179	0.2619698115430554	-0.35046947908410997	-0.3503195550581265	-0.13121414664420553	0.1447668853651636	0.12964111127949426	0.23108911793022135	0.05971768955801635	0.011839054369341311	0.03867798853955009	0.06715299204400177	-0.23586775145415587	-0.025887078849304204	-0.09546487537969606	0.06024008019688296	-0.055922265261680676	-0.05721488283838739	0.1648931126268783
