Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54
ADCYAP1R1	Coupled	Coupled	-	-	VIP and PACAP receptors	classB	-0.14884251429771883	-0.11453533613811752	0.4959127121597567	0.2820198369356159	0.4579205316670878	0.1798500196465406	-0.03251355433930434	0.02498578267426701	-0.20725874656299198	-0.36653169528104773	-0.2185443460378826	-0.32139470086530497	0.22193617639844399	-0.1825400191026476	-0.26814464838913277	0.16842625473579967	0.2980386256672458	0.0815199726285791	0.2775407310998318	-0.22235430198804854	0.0005221027616595833	-0.33878973189453215	0.0933160380275865	0.08291361101933677	-0.12709969161179338	0.021885304255822337	0.09166425189763948	-0.10946231157108645	0.040943482281372436	0.062039326672337206	0.23855966373540555	0.16420695961136852	-0.2069146648772413	0.35791011390620664	0.14536193810594913	0.08236076119573356	0.038052469309659505	-0.039123944049014356	0.29426297994978606	0.13039513537501468	-0.19063355047225608	-0.05654909194073457	-0.0038439384810395488	0.02218599204323655	0.19990578485023952	0.06778310697556254	0.06567973973384775	0.20126744908464156	-0.03835008951103206	0.13890678879497947	0.21998858000801022	0.04127842894688702	-0.03239667431517776	-0.15919489619683846
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.048693238718604204	0.08993621645540585	-0.02274099389477149	-0.0047471882214416925	0.08335879463895182	0.29772084683081224	-0.125013914382313	0.1432849013176555	-0.26037447489035853	-0.08238015087009296	-0.09966783750245765	-0.005252450487940282	-0.20972357844340522	-0.378807995813417	-0.19214986359119732	0.003982474927078255	0.21888250999056116	-0.11747222053185485	0.19365336055920745	-0.12886312665146243	0.13580016589560645	0.07649643577332875	-0.11348038194138756	0.32558107803925246	-0.049757538652898524	-0.21075869113451126	0.2273219340051973	-0.013975789891365916	0.03348422468064272	0.04354017634752362	-0.0292647521083622	0.17501313156975346	-0.0028022095894912587	0.24325130958629848	0.1987946977806104	-0.2587758431673065	-0.20916362591986395	0.4231120647658091	0.07016912973241339	-0.2500444212984288	0.250977389739253	0.19457814759527917	0.02439849718250465	-0.10335029389942546	0.17821748482628347	0.02493825394221259	0.010709463368776415	0.04182901149254044	-0.1280212109915423	0.2244761698229176	0.31229058211095023	0.189202309661006	0.01852285953910706	0.015314170358374474
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.17012348533048363	-0.1325817356592834	0.1576033171957239	0.10691006673931924	0.031653945227722725	0.30809655998815627	0.20189939889106923	-0.10304191188998334	-0.08525372894922277	-0.08478640433752664	-0.1532649311449431	0.08054506470922985	0.08254443197076607	-0.03774165412363358	-0.19966339658948798	-0.39311305994726814	0.27075093252521576	-0.06028483312657576	0.5301635558678469	-0.03405139745793067	0.3780714104067633	-0.17582857658163478	-0.10682211815579125	0.12296085051135326	-0.28762004878663217	0.14297484851827652	0.30892891524148175	0.08940078380574719	0.06774909020237523	0.04212828839896279	-0.21520560703596645	-0.05216017880375609	-0.06892935176730924	0.1921564460525043	0.16801462330435735	0.05252570083386407	-0.2807084097473603	-0.002781866002768136	0.0858217235128971	0.0037593720556076955	-0.11699747948542986	0.01714999833223285	-0.050287134876941815	-0.334868965388208	0.12049583252827642	-0.00887513408946838	-0.0662677239809913	0.1784521104317437	-0.06666216295302736	0.13136501917609023	0.1322507477884834	0.13240560580070931	-0.2371433338787504	0.07296710856048576
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.29570376784619806	-0.23919887283496896	0.06970229046180136	0.10551595904990392	0.3081948548022558	0.028635033733854794	-0.2423612994026801	0.20453267888495844	0.22272703966138274	-0.23716358975911508	-0.3811525108617116	-0.12367007472352005	0.3574933497314696	-0.2365931183682286	-0.34197957249190936	0.0608939932026154	0.08237311130498505	0.20145710518954293	-0.028882722868677106	-0.17989847288994407	-0.1565496811271393	-0.39433159179376276	-0.2344330385529591	-0.05173321769775185	-0.3217059599238433	-0.05772404651132912	-0.2409419597666107	0.07317721825138052	0.1351552961742244	0.13377109724030214	0.020747385692277433	0.14615544237738362	-0.05869805196057157	0.26507742949102703	0.3134258747308912	-0.07110233691666348	-0.1505476587184547	0.004816231614765586	0.0037985398460409145	0.09775626776564676	0.2190383818843964	-0.03758237141603022	0.03794807524334908	-0.11964199594212258	0.2794582141369009	-0.009768027109748495	0.18954718469036144	0.07255969941031655	0.03781690439824632	0.1975415891091496	0.006854461125518969	0.1602123086886499	0.13558432239599116	-0.24669921007033788
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.03933884787702721	0.24893908200393913	-0.21152559473258967	-0.1478796325228352	-0.30152008167371674	0.2538261105948424	-0.37918012804783574	-0.12147169420721826	0.1691830407438869	-0.17832516849768054	-0.007864859487638683	-0.26374892633962593	0.14397136989870588	0.057877687412615966	0.048618337195444075	-0.10733288320814656	-0.1108504169333604	0.047674525339491125	0.09458460551002282	-0.19695060462485833	0.33261968538983444	-0.17658472966635566	0.5123881547427457	0.1266362193729324	0.13667188821190918	-0.0347198475857681	-0.09489263698241521	0.10466923298947867	-0.20830432570262344	-0.29857128876790645	-0.3249745137967955	0.3683123334588703	-0.300961070203344	-0.018665871471558907	-0.13772670168296772	-0.07171939829463787	-0.05027063159618181	0.2717693354338809	-0.07784971439492866	-0.020333349062145935	0.35180918235128555	0.18714132678174822	0.10219446407207035	-0.16379394559018487	0.06148575766998274	-0.09549728427358946	-0.1258099243459354	-0.048806987521375585	0.11208661206045474	-0.0015131547052021606	-0.0761285951914873	0.01843969413115941	0.10100856423237949	0.29008302083143733
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	0.13445536390430632	0.3905095330180425	-0.06969715359469177	0.2678075352946383	-0.11766089764314358	0.04627361490718354	-0.06425402956062834	-0.2194677491454503	0.12941335912826377	-0.03722426039398739	0.1274634740169897	-0.40401840550121254	-0.06900833002131974	-0.027426590925347955	0.06770531234722711	0.041743758447798915	-0.18813915260867314	-0.23158309629119317	-0.10160800224314986	-0.23274988439859204	-0.08885311881098105	-0.06976508387299618	0.5180213283744922	-0.06750209525959808	-0.22008833428818367	-0.2901082042513841	-0.0068800997460689356	-0.04129709662372844	-0.018650005355921873	-0.20932117393311825	-0.24120663152527028	0.21472904431512227	-0.23745485433584626	-0.05936364193489448	-0.2763473541645316	-0.02668395417998782	0.4179368566712811	0.18821380616133407	0.08034059532422815	-0.21206255168553226	0.12722970646125123	0.18233621493472024	0.12022693480847618	-0.007320629844161479	0.032418354852945315	0.029049611638618588	-0.10712627239995663	-0.004141890150570617	-0.0259742703834569	0.3363774304960539	0.019850691086574637	-0.047240795869090114	0.04349927807802269	0.12265304325159916
ADRA1B	Coupled	Coupled	-	-	Adrenoceptors	classA	0.1987121913641403	0.34086147398747096	-0.13455078722078198	0.056632667310811825	-0.16151737926440757	-0.17443170154629795	-0.23923746652174763	0.3268086554947393	-0.00835726045170692	-0.03955958201683351	0.3114327597989471	-0.3070183030738539	-0.04539142563607565	-0.003891031835996268	0.07072018887163894	-0.04015686948863731	-0.04922531825744821	0.3207668162815528	-0.029125743980082927	-0.011342350522368693	0.15535099115877077	-0.22581439785749213	0.40966805757719466	-0.0759685579558396	-0.18275121166368363	-0.310927312795958	-0.18736173609478315	-0.040037078129670244	0.07913203068296701	-0.08868719049773681	-0.03877276129572511	0.04318230574264631	-0.14832712642249285	-0.09447539815836713	-0.4505638538411357	-0.007030543008215006	0.07793320401184703	-0.0923377247861606	-0.16960997662038785	0.09523855247318742	0.055743091781650225	0.3953962664777157	0.05890714346443231	-0.22977750570804634	0.20534217060006119	0.1228092815671073	-0.09157615689891581	-0.06297767035415772	-0.2908498587929091	0.45310796846596674	-0.33280252495682594	0.2039128243301317	-0.3483835305734249	0.28176071188313295
ADRA1D	Coupled	Coupled	-	-	Adrenoceptors	classA	0.3368260547240671	0.5856206255078564	-0.40880410024833563	0.19403799572867642	0.10769090656425509	-0.17643530034025193	0.06672663777435416	0.2208440018614747	-0.014425459658123278	0.2752946442832046	0.01482778606458676	-0.044930704897145145	-0.12622257391789435	-0.43907460427788375	0.39191557735696875	0.11567948808436052	-0.1304707271802044	-0.31791843683068916	-0.018775593221889614	-0.2905197401715857	-0.032748322443007696	-0.17397089121157944	-0.47489787999300925	-0.12540728358958667	-0.16864753203453575	0.15369712532984287	-0.07776931854003652	-0.2322896785513388	-0.09213013758547751	-0.0062048435742162	-0.11689808017282365	-0.21173040872896884	-0.11133630529679558	0.34729177658446003	-0.18935917909262112	0.04656467079910514	0.015051970904096948	-0.24343085661960875	0.39825379516881776	-0.1900815906974529	-0.012983356491846685	-0.11412878692642466	-0.18773502961888935	-0.008422571754821098	0.24962477251980897	-0.16396662322675143	0.04009292002961899	-0.16308976489805085	-0.035697217857545	0.08191358730475096	0.052382495338431444	-0.2851384988241035	0.14762848997494304	0.13892668799951316
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.3084505914460665	0.5387470315225096	-0.35922685420911477	-0.1654292320232763	0.03517671766069174	0.09008989208382304	-0.008018851613530777	-0.04427038112399441	-0.3202966449782429	-0.05255528096873847	-0.11455742624984659	0.022565946921045982	0.12646839895373158	-0.21279209271034535	0.3078051230097647	0.029111012057771314	-0.1384213573742539	0.08380981154843561	-0.03797407646727401	-0.15936800862660014	-0.1420416689277904	-0.2743059688773052	-0.4467598360704452	-0.13799948465186943	0.08141338647970525	-0.10302937330578293	0.06983667747850272	-0.3097232322267786	-0.005968358236420457	0.22128510233541435	-0.0854912300819403	-0.25050807889765153	-0.11125186393906084	0.07044069865288102	-0.01581432580959494	0.25530896502701134	0.014736879131709455	-0.2472825698581511	0.3140058488353804	-0.3641494274148096	-0.26359755735898827	-0.018673499948555983	-0.0415957679164762	-0.14534298059272177	0.0788528946874092	-0.03546311110034286	-0.1431998760188131	0.13625252480230857	-0.07061588719183268	0.05601178420438896	0.17026406042810865	-0.31619564667590805	0.45810933090767403	0.1850220101766529
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.17313927859981845	0.5289325205130184	-0.0628669598278182	0.2465715737078676	-0.056269850163945145	-0.3080727630126484	0.055188629913248896	0.34586630376246985	-0.13042458113578426	0.12797712885124587	-0.06253340618229185	0.12175752584491015	-0.2975498870306061	-0.0064405624469239435	0.20721160571751088	0.0979188085418099	0.07245416930452908	0.3667434868063952	-0.19053584512046634	-0.07076070663273107	0.131054066740546	-0.21832708762064781	-0.048111391453132125	-0.2110674582568684	-0.18532003810969544	0.04476763111964948	-0.3404380532180226	0.07730838182876783	0.057376952077158115	0.12016755691062263	0.040909609023600545	-0.08171335315056863	0.16103897450363905	0.19168059795055603	0.19253552724582423	-0.06179159525745365	-0.06026084464119786	-0.41321544789567755	0.1262035787034626	-0.09543730134508704	0.02301593287052841	-0.06058347821190228	-0.024831647485891492	-0.005066819503325147	0.259286814764043	0.04490703368177904	0.3755351235735567	0.19409710309369818	0.08101102592631097	0.00786430941176641	-0.18964310918606217	0.17314870441283667	0.03312851303031132	0.33824935947644796
