GPCR	169bip	169bin	194bip	194bin	269bip	269bin	312bip	312bin	378bip	378bin	390bip	390bin	655bip	655bin	658bip	658bin	661bip	661bin	673bip	673bin	730bip	730bin	K_TIL	F_CTL	K_CTL	O
PTGFR	5.57721	5.18794	3.08099	3.81672	1.23561	1.02789	1.93204	1.74864	1.9185	1.31841	1.46345	1.68221	0.97486	1.54098	1.23259	2.11531	1.33396	2.04172	1.57671	1.46063	1.15922	2.23296	2	0	6	1
AVPR1A	1.39925	1.24148	1.38381	1.1702	3.34165	2.72677	1.09166	1.90439	2.62	1.89494	2.14564	1.31441	0.97486	1.54098	1.74992	2.2715	1.77048	1.14062	1.22042	1.63914	4.18937	3.2978	4	6	7	1
ADORA1	1.36196	1.62764	1.38381	1.1702	1.23561	1.02789	3.16958	2.34023	2.09419	1.77069	2.14564	1.31441	0.97486	1.54098	2.06708	2.00465	1.33593	0.85418	1.22042	1.63914	3.24756	2.7884	5	4	2	1
ADORA3	1.36196	1.62764	1.38381	1.1702	1.23561	1.02789	3.16958	2.34023	2.09419	1.77069	2.15176	2.02618	0.98349	1.4606	2.06708	2.00465	1.33593	0.85418	1.22042	1.63914	3.24756	2.7884	2	1	6	1
MTNR1B	1.36196	1.62764	1.34858	1.33804	1.23561	1.02789	1.09166	1.90439	2.70426	3.22506	1.46345	1.68221	0.98349	1.4606	2.30814	2.21689	1.33396	2.04172	4.25281	4.71862	1.15922	2.23296	3	1	2	1
NPY5R	1.39925	1.24148	1.38381	1.1702	1.23561	1.02789	1.09166	1.90439	1.6493	2.31492	2.15176	2.02618	2.23544	1.98857	1.23259	2.11531	1.77048	1.14062	2.12435	1.31946	1.15922	2.23296	14	1	1	1
PTGER1	5.57721	5.18794	2.10452	1.87074	1.23561	1.02789	3.05575	2.52197	2.70426	3.22506	1.46345	1.68221	0.97486	1.54098	1.23259	2.11531	1.33396	2.04172	1.57671	1.46063	1.15922	2.23296	0	1	1	1
GPR39	5.57721	5.18794	2.65007	2.31415	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	1.46345	1.68221	0.97486	1.54098	2.67643	2.32666	1.77048	1.14062	1.22042	1.63914	1.6951	1.43415	3	7	4	1
LTB4R	2.16561	2.43601	2.10452	1.87074	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	1.46345	1.68221	0.97486	1.54098	2.67643	2.32666	2.77131	4.03227	1.57671	1.46063	1.59766	1.94718	0	1	2	1
C5AR1	2.16561	2.43601	3.54317	2.83399	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	1.46345	1.68221	0.98349	1.4606	3.3456	2.73077	1.33396	2.04172	1.57671	1.46063	1.6951	1.43415	0	2	3	1
CCR5	1.36196	1.62764	1.34858	1.33804	3.34165	2.72677	1.09166	1.90439	1.9185	1.31841	2.14564	1.31441	0.97486	1.54098	1.23259	2.11531	1.33593	0.85418	1.22042	1.63914	1.6951	1.43415	2	6	4	1
CCR6	2.16561	2.43601	1.34858	1.33804	0.67008	1.39222	3.3433	3.2778	4.00512	4.43064	2.09327	2.85052	0.98349	1.4606	1.23259	2.11531	2.77131	4.03227	3.51977	3.66229	1.15922	2.23296	1	5	5	1
EDNRA	1.39925	1.24148	1.38381	1.1702	0.67008	1.39222	1.09166	1.90439	3.90487	5.21507	3.70494	4.59635	2.23544	1.98857	2.30814	2.21689	1.33593	0.85418	2.12435	1.31946	1.6951	1.43415	1	3	6	1
PTGER3	2.43933	2.71015	1.38381	1.1702	1.23561	1.02789	1.93204	1.74864	2.26244	2.73811	1.46345	1.68221	0.97486	1.54098	1.23259	2.11531	1.77048	1.14062	1.22042	1.63914	1.15922	2.23296	1	1	2	1
CYSLTR2	1.36196	1.62764	2.65007	2.31415	0.67008	1.39222	3.58376	3.64786	3.20552	4.06552	1.46345	1.68221	2.69887	2.78777	2.30814	2.21689	1.33593	0.85418	2.77302	3.64395	3.23352	2.36793	1	3	7	1
OPRL1	2.43933	2.71015	1.38381	1.1702	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	2.15176	2.02618	0.98349	1.4606	1.23259	2.11531	4.26641	5.58514	1.57671	1.46063	1.15922	2.23296	1	4	4	1
CYSLTR1	1.39925	1.24148	2.65007	2.31415	0.67008	1.39222	1.09166	1.90439	3.20552	4.06552	2.15176	2.02618	0.98349	1.4606	1.74992	2.2715	1.77048	1.14062	1.22042	1.63914	3.23352	2.36793	4	4	6	1
CNR1	1.39925	1.24148	1.38381	1.1702	1.23561	1.02789	1.93204	1.74864	2.65139	2.80855	2.14564	1.31441	0.97486	1.54098	1.23259	2.11531	1.33396	2.04172	2.6361	2.40286	1.59766	1.94718	2	2	5	1
CNR2	1.39925	1.24148	1.38381	1.1702	1.23561	1.02789	1.93204	1.74864	1.9185	1.31841	2.09327	2.85052	0.98349	1.4606	1.23259	2.11531	1.33396	2.04172	2.6361	2.40286	1.59766	1.94718	0	0	4	1
P2RY2	1.39925	1.24148	2.65007	2.31415	0.67008	1.39222	1.09166	1.90439	3.30809	3.75041	3.00061	3.2532	0.98349	1.4606	1.23259	2.11531	1.33593	0.85418	1.57671	1.46063	1.15922	2.23296	1	2	2	1
CXCR2	2.43933	2.71015	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	2.15176	2.02618	0.98349	1.4606	2.30814	2.21689	1.33593	0.85418	2.12435	1.31946	1.15922	2.23296	1	3	4	1
