GPCR	169bip	169bin	172bip	172bin	194bip	194bin	196bip	196bin	269bip	269bin	276bip	276bin	308bip	308bin	398bip	398bin	633pos	655bip	655bin	684bip	684bin	702pos	703pos	730bip	730bin	734bip	734bin	H_TIL	C_CTL	O
PTGFR	5.90369	5.31475	5.57559	5.2004	3.39636	3.03678	3.01014	3.85893	1.27766	0.99594	0.98114	0.85509	3.30658	3.61052	3.09327	3.75369	1	0.95384	1.6525	4.04853	4.59619	1	1	1.3067	1.33054	1.56182	1.65681	2	2	1
GPR183	1.36103	1.11736	1.38836	1.51607	3.89222	3.49645	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	2.2111	2.00818	1.78607	1.47668	1	0.95384	1.6525	4.06724	4.47359	1	1	3.02724	3.82057	0.84516	1.16863	0	1	1
ADORA1	1.14099	2.3807	1.23543	1.73703	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.98114	0.85509	1.45392	2.72909	1.183	2.61271	1	0.95384	1.6525	2.26766	2.10692	0	0	3.02724	3.82057	1.56182	1.65681	0	1	1
ADORA3	1.14099	2.3807	1.23543	1.73703	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.98114	0.85509	1.40997	1.7485	1.183	2.61271	1	1.13194	0.94615	2.26766	2.10692	0	0	3.02724	3.82057	1.56182	1.65681	0	2	1
MTNR1B	1.14099	2.3807	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	1.45392	2.72909	2.29043	2.13391	1	1.13194	0.94615	2.54789	3.27296	1	1	1.3067	1.33054	1.56182	1.65681	0	1	1
PTGER1	5.90369	5.31475	5.57559	5.2004	1.88809	2.38388	1.11743	1.47864	1.27766	0.99594	0.98114	0.85509	2.2111	2.00818	3.10205	2.73003	1	0.95384	1.6525	1.62866	0.96869	0	0	1.3067	1.33054	1.56182	1.65681	2	0	1
GPR39	5.90369	5.31475	1.98469	1.60517	2.33769	3.50596	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	2.29043	2.13391	1	0.95384	1.6525	2.65236	3.48238	1	1	1.57766	1.6619	1.78679	1.0206	0	2	1
LTB4R	2.13658	2.23899	1.38836	1.51607	1.88809	2.38388	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	1.40997	1.7485	2.29043	2.13391	0	0.95384	1.6525	2.54789	3.27296	1	1	1.78704	1.05724	1.78679	1.0206	0	1	1
C5AR1	2.13658	2.23899	3.51171	3.4227	3.71653	2.92716	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	1.40997	1.7485	2.32571	1.5137	0	1.13194	0.94615	2.65236	3.48238	1	1	1.57766	1.6619	0.84516	1.16863	0	0	1
GNRHR	5.90369	5.31475	5.57559	5.2004	1.23506	1.63831	2.89857	1.71804	0.58956	1.55377	0.72712	1.28301	1.45392	2.72909	1.183	2.61271	1	3.87454	3.96666	3.40019	5.27243	0	1	2.8946	4.01523	0.84516	1.16863	2	0	1
CCR5	1.14099	2.3807	1.98469	1.60517	1.23506	1.63831	1.785	1.44202	3.12428	3.42624	0.98114	0.85509	3.30658	3.61052	1.183	2.61271	0	0.95384	1.6525	1.62866	0.96869	1	1	1.57766	1.6619	0.84516	1.16863	0	3	1
CCR6	2.13658	2.23899	2.11887	2.23497	1.23506	1.63831	1.785	1.44202	0.58956	1.55377	0.72712	1.28301	2.34604	2.60865	1.183	2.61271	0	1.13194	0.94615	1.52816	1.61238	1	1	1.3067	1.33054	1.78679	1.0206	0	2	1
EDNRA	1.36103	1.11736	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	2.34604	2.60865	2.37321	2.10789	1	2.19761	2.00015	1.62866	0.96869	1	1	1.57766	1.6619	6.38124	6.11708	1	6	1
PTGER3	2.20056	3.63194	1.23543	1.73703	1.25409	1.34181	4.2755	6.21902	1.27766	0.99594	0.72712	1.28301	2.2111	2.00818	2.37321	2.10789	1	0.95384	1.6525	3.65723	4.33271	1	1	1.3067	1.33054	1.56182	1.65681	0	3	1
CYSLTR2	1.14099	2.3807	2.11887	2.23497	2.33769	3.50596	1.785	1.44202	0.58956	1.55377	3.73128	4.08216	2.2111	2.00818	2.32571	1.5137	1	2.83874	2.58961	1.52816	1.61238	1	1	2.8946	4.01523	1.78679	1.0206	0	1	1
OPRL1	2.20056	3.63194	1.38836	1.51607	1.25409	1.34181	1.785	1.44202	0.58956	1.55377	0.72712	1.28301	1.45392	2.72909	1.78607	1.47668	1	1.13194	0.94615	2.54789	3.27296	0	1	1.3067	1.33054	1.78679	1.0206	0	4	1
MC4R	1.14099	2.3807	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	1.45392	2.72909	1.183	2.61271	0	2.19761	2.00015	3.17509	3.55459	1	1	1.57766	1.6619	0.84516	1.16863	0	3	1
CYSLTR1	1.36103	1.11736	1.98469	1.60517	2.33769	3.50596	1.785	1.44202	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	1.78607	1.47668	1	1.13194	0.94615	2.26766	2.10692	1	1	2.8946	4.01523	1.78679	1.0206	0	1	1
CNR1	1.36103	1.11736	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	1.45392	2.72909	1.78607	1.47668	1	0.95384	1.6525	3.10633	4.11238	0	0	1.78704	1.05724	0.84516	1.16863	3	3	1
ADORA2A	2.62866	2.19538	1.23543	1.73703	1.88809	2.38388	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	2.2111	2.00818	1.183	2.61271	1	0.95384	1.6525	3.17509	3.55459	0	0	1.78704	1.05724	0.84516	1.16863	0	1	1
ADORA2B	2.62866	2.19538	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	2.94927	2.62185	1.183	2.61271	1	0.95384	1.6525	1.52816	1.61238	0	1	1.78704	1.05724	1.56182	1.65681	1	1	1
P2RY2	1.36103	1.11736	2.11887	2.23497	2.33769	3.50596	2.89857	1.71804	0.58956	1.55377	0.98114	0.85509	2.2111	2.00818	1.78607	1.47668	1	1.13194	0.94615	1.62866	0.96869	1	1	1.3067	1.33054	1.78679	1.0206	0	0	1
F2R	1.14099	2.3807	2.11887	2.23497	2.33769	3.50596	2.89857	1.71804	0.58956	1.55377	0.98114	0.85509	2.2111	2.00818	3.09327	3.75369	0	1.13194	0.94615	2.54789	3.27296	1	1	1.57766	1.6619	0.84516	1.16863	0	4	1
PTGER4	1.14099	2.3807	1.98469	1.60517	1.88809	2.38388	3.01014	3.85893	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	2.37321	2.10789	1	2.83874	2.58961	1.52816	1.61238	1	1	1.3067	1.33054	0.84516	1.16863	3	4	1
S1PR1	1.36103	1.11736	1.38836	1.51607	1.25409	1.34181	1.785	1.44202	1.27766	0.99594	3.73128	4.08216	2.34604	2.60865	1.78607	1.47668	1	1.13194	0.94615	1.62866	0.96869	0	0	3.20905	3.83985	0.84516	1.16863	0	3	1
PTGER2	5.90369	5.31475	5.57559	5.2004	1.88809	2.38388	2.768	2.96165	1.27766	0.99594	0.72712	1.28301	1.40997	1.7485	2.29043	2.13391	1	3.70557	3.84977	2.65236	3.48238	0	0	1.57766	1.6619	1.56182	1.65681	1	3	1
ADRA2A	1.14099	2.3807	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	1.45392	2.72909	1.183	2.61271	1	1.13194	0.94615	1.62866	0.96869	0	0	1.3067	1.33054	0.84516	1.16863	1	1	1
