Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-26.371125735673782	-1.8426901126681958	10.0175640014944	-2.3451175952321806	-9.472997702357555	-3.784307281833679	3.36079951859132	6.937369996044312	11.545120993752006	-4.499701008721535	-12.978041261170647	-0.5521896307117425	-1.5990169117920727	-1.3683978852583896
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.8376451900526476	-16.87187322555698	32.18934425440955	-11.587023999177488	-22.203227672395062	-6.195431509356993	5.340058766772957	4.070152118396529	3.5586495641273794	-3.1201144432993018	-3.951011008382585	1.6780385756802076	-5.345085208565224	-2.1795378750165924
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-1.2742482462172566	-15.044921542328048	29.221230543094826	-4.892812752402762	-22.235893190299706	-11.905841176050192	3.6728998581727086	-2.0577021511085123	-0.27865766443519807	-4.287030847942566	-0.34031163695187255	-1.396186131591141	-5.706934620907912	2.865124837321405
ADORA3	Coupled	-	Coupled	-	Adenosine receptors	classA	-33.43797154210563	1.813034183389842	-5.366759683265734	-5.975924733798966	-1.6453694030716761	2.3066176829496507	0.6361786871578669	-2.821048266705578	4.292869843840466	-4.170796800178353	-9.944644087835414	5.037052077566883	-1.8634532944308861	-4.7869618356421
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-41.05009681203592	8.42788205581667	-13.687913873970508	-8.926157498982164	6.447300828258916	8.098775327919341	3.5530839138758	-2.8787059965606394	5.94836165044824	13.422469786465161	-0.3931060543298066	-6.391722388815726	-4.223609648328895	-3.282870797594378
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-41.101050620194336	6.4998678569193	-9.984754692969068	-9.402103354637484	3.938895612352331	7.970763621918799	6.455159265287595	-7.452762292105157	9.096276513308798	9.386224113867078	-1.64776374002662	-4.541862002943096	-5.647032115435403	0.9331026142711508
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-33.84932473432182	5.501648642415375	-6.483302359245453	-14.533538488880712	2.4932060211722864	10.034076933255994	9.56007136181657	0.7468293175028956	6.008170879275172	12.9500446181022	5.775439107937074	-4.343063092741443	-6.518987498914683	-6.862688045286056
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-28.424787844980074	4.359803099378106	-1.9287061751370118	-13.052424085973621	1.3859947597599978	8.756157023220329	12.40522006077896	10.884676444771511	2.3356011269918895	4.734052353287813	-0.5306347543976476	4.5648985566729445	1.6995680172790657	-5.760464378441682
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-24.456703069848682	0.6851527597855556	3.4991538755239597	-15.015103678652515	-5.3023391072734745	3.962318872819844	5.623900130226689	5.669312023034793	-6.543339138323653	-7.01907553027654	-7.160593123726965	6.3572671017557445	2.87233338999011	-0.5160375033571385
ADRB2	Coupled	-	Not-coupled	-	Adrenoceptors	classA	26.41722400812849	-19.79214193939444	3.8131548916413656	-5.099849796349262	-2.2467606916697935	4.205429300782212	-7.465046699786645	-3.448807926811267	2.5723465121022033	-3.7418118209862774	2.490162227278253	4.078700652454209	-2.6042628859819477	-1.1993861773574823
