Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38
ADORA1	Not-coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-4.9713462500525765	1.6492719341189104	2.335537033415686	-2.707774647095296	-1.0114326663832833	0.5458358615577217	1.9327410601163977	5.223632064957868	1.5687539647510393	0.8683570256098057	1.9500604462633129	-0.8234857503804913	0.38862729246454436	-0.00314381215327502	0.23249324728380696	0.681734916733823	-1.1111075905360621	2.5066265420447373	0.43322391492839396	-0.7494450720602158	1.4429070913955144	1.8915236964884379	-0.11655571543259231	-0.061418268559699854	-0.8120300254660101	0.21798138691914173	1.4865658070343422	-0.0673810958408458	-1.267831961935585	0.4938035805787813	-0.5333940022748855	-0.07641182381114019	-0.32272272102691973	-0.7946835118933279	-0.5876464896594982	-0.7963022719814613	-1.1557411677936245	0.957791908485268
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-6.459723905781276	-3.362903831417518	-0.045481463061331114	-2.3893898140216856	0.8429552905120172	1.0042153476545062	0.6381863144362455	2.8094652121105144	0.48691931768114005	-2.2298218905140956	1.0833870503648106	-0.7295483839270548	-1.368352898540579	-1.1057834445800196	0.2484676918273355	-0.11145478052975817	-2.384598751976292	2.922906151513515	0.6608520496841219	-0.45351509317502275	-0.9226149474421503	1.1618347389224504	-1.2583147214050017	1.6109345342514296	0.2456957052607742	0.12577662159508743	1.6392880255945224	0.1514501845855903	0.3104826306971235	0.4244458626426808	-0.2352153981228108	0.27695085003768455	0.6390835759238767	-2.122202153243722	1.5622420381094109	0.2723969489695504	-0.01875976639086665	0.050563816449077675
ADORA2B	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-5.807181222607788	-8.055682471075249	-0.3767529211031438	-3.6954620314128244	1.8388178415828342	3.602130160706796	3.745810592027019	-0.8253070756418762	0.016242992587520443	2.012453572460587	0.08214720534532279	-0.9062291659634524	-0.12992299606889024	-0.29518868229506257	0.898728942593626	0.30454719950729847	-1.7744716126616897	-1.3254513366342675	0.3565142110723629	-0.7168045125959803	0.5243662941415004	1.1218102263580105	1.57068943891324	1.6987196123925354	-1.6325805243493272	0.6487251693817984	0.31669507584738216	1.3399615402501825	0.5280774447382853	2.3294178369601486	-1.4013901511029143	0.2691843480169198	-0.2256311766070955	-0.7767459381749734	-0.3871115383894846	-0.5799447998778704	-0.7483811048984131	-1.0158298837661626
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-3.2614719589921553	1.998705789428822	0.42092628390467074	-3.511451502136245	-1.845578764384456	-1.620222254510435	-0.014899359591628296	1.6223299341002448	1.7693144668166578	1.827875531845541	1.3303001258038447	0.9778950946836404	-1.2597978152667841	-0.32158105701810163	-0.7925472080342716	-0.43710864049176845	-0.02066835645111614	0.023421098147263432	-1.6079223533607532	-0.9882661903210005	-0.6523536230938639	1.922131444647143	-0.957106937559446	2.4417072474991754	0.9274342870839504	-1.0086880244145071	0.4432760715899338	1.8639888576591717	-1.3792979719067022	0.9055050973715525	0.17243678154731157	-0.013056750136871189	0.46402206897390214	1.435167073265648	-1.4590800038684892	-1.0455360892037393	-0.0013482498789202056	0.03548076243606326
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	16.355228032016242	8.498316661042049	3.3049455681694737	-0.3483297309922061	-0.3263640370854785	2.9830492934888886	1.7461862587753774	-0.2522641313745388	3.3919485538600744	0.25782783739868803	2.3334959268747153	1.0318930094280345	-0.8711690213867997	1.0850891201856356	-1.8165052141235023	0.8967049356050738	-0.23822779610750788	-0.846772731516621	2.6533320179938142	1.9138457058644518	-1.2386763800418925	-0.07262638522724045	-0.020223571295615972	-0.21989059506017009	-1.8604739573685456	0.3194393372842689	0.3047473030211536	-0.40668069260032336	0.24711572906783713	-1.7428612042735134	-0.6473553680024686	-0.3929814135155158	-0.9197674585065149	0.2725380926882149	0.29154360063569656	-0.3726037958967254	1.1971563763170296	-0.09643461706520542
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	9.526542658159336	6.510036244316444	4.593517279792525	0.7338552548716697	-1.13605887654627	1.1437819721434297	1.2961238993745214	-1.0578344310281307	4.1943404607083306	-0.9812378349193399	2.0315014466083987	1.5328416440629584	1.1863398358726263	-0.7314264475709576	-0.5951628710707326	0.3613611334098816	-0.7876208160328839	-0.8682290356510498	1.1209347051187946	1.6457406369405443	-1.706419322512213	-0.9610868359487054	-1.0027661410037045	1.7319603505783527	0.22781736702912395	0.8149063365969829	0.14257291217274554	-0.697568654741088	0.679290106976133	-0.6809664578853457	-1.010489509698776	-0.79086790844783	1.6432443147976104	0.20868695846065802	-1.6930282798672494	-1.1399501497439033	-0.7779255617576885	1.1685949725199631
ADRA2B	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	18.96302621451875	6.815157621925236	4.566877494104689	0.5018567085703851	1.360546118594201	3.917317157841071	0.6346378034578681	-0.4541945914378898	-1.451837736274032	-0.9398968212315555	1.3146630728682276	0.5455816943553107	-0.7300876845786014	0.5437437707231664	-2.899432137701234	3.053502363912801	-0.9581793645831093	0.0930866950075918	1.7171072540155727	-0.8512519999588622	0.36995468716070296	0.7215190793092867	0.5127072421517661	0.5929104126599136	-0.2794409630825545	-1.1954370960874259	-1.811276196196782	0.14093803982583228	0.24047126003393615	0.36382503199971056	-1.3765837958368825	0.7930272292523183	-0.9370166739456832	0.38807643214579446	-0.1846873744605755	0.5424353574818594	0.5136547466407211	-0.5012647153950486
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	4.838988016880095	4.812320279529271	3.0820325538520303	0.7816914050194886	0.23880226346315508	1.9523741448553644	-1.8173492292010527	2.1090531624538293	-2.181451692965454	-1.4660269428283905	0.5417123246793984	-0.31753734443591586	2.2237694275471505	3.0706473649741675	-1.4902587874180135	0.5902227361295381	-2.34842455706723	-2.884902195106609	0.13348756002583076	-0.8397683840045682	0.8328633477839085	0.2053206465420608	-0.29956603093150475	0.412199126342593	0.6375544247289014	-1.6297121711363556	-0.038236086607379004	2.9611339892351936	0.636198597493835	-1.179625932887902	0.48863023846111253	-0.8112647106256595	1.1430823803687744	-1.0237986006773259	-0.13132903078856067	0.24986456094593973	0.6287160213078082	-1.3815895437128167
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-2.853531279800745	2.0715049238305463	-2.727242856840371	-1.3470178717496044	-3.05881750154429	-1.122046559731124	-0.6043139671474548	2.9553892413928233	0.214686632150724	-0.8505316305193142	1.0095126037693598	0.5288675231787503	0.08869870940215659	0.5464011890230509	-0.01073520264213363	1.895741636932328	-2.1736908522053717	0.9231506297329032	0.7955435818520543	1.1537741866692957	0.7144593990933243	0.36053743384667075	0.7350875486358232	-0.7764574522199467	-0.8480447505146691	1.3949511915625699	-1.3545603038883405	0.6398110046647881	-0.7214151290196082	0.4086256010120159	-0.6775885331033947	0.49971719167846007	-0.08777743130634776	0.5139790252018572	0.8871514417332284	0.7108773048588957	-0.7897274331285922	0.43930833791561186
ADRB2	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.7951363922985882	-4.979715136632084	-0.8729851076563547	-1.2684850010556548	1.18983182368472	0.06743637906706353	3.3909079965872095	-0.3246037116920988	0.32356351031581126	0.7312167961607559	-0.22027605614798348	0.645105603906187	0.4413065569871562	1.9409695831176161	-0.7457302260893549	-0.5176998659176133	0.09312687810139636	0.19456731354316376	-0.3365214313735062	-0.36323041826351754	0.08626534673775853	-0.45636194880722436	0.6833706076787344	-1.1209126977378068	-0.6923244564818462	-1.1124865924431488	0.23037529953324984	-0.17040223197523724	-0.005069092391431053	-0.5442859578008601	0.99205010211325	-0.800970935665578	1.5065001828231752	0.4157895948303441	-0.04159144853273614	0.31045700154881634	0.039605846314336966	0.1508136574420274
