Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-2.0192248751599338	-7.289712474344123	3.213719223732199	-3.789340044857628	-0.5195302466934372	-3.0367491149821837	-4.116074008070496	-5.8473666544145235	0.23491118518549028	-1.6740456712269227	0.866843242839607	-1.5452760784933137	1.8445327497032675	0.025959276115378755	0.7936385555983871	-0.5456537144674891
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-7.3947750644082415	4.120975780552868	-2.475273630377663	-1.59220637893002	-2.7557308558778915	1.4967880384143692	1.707635541674749	-5.276528130803617	-0.011569922386360808	-1.1765494553877647	0.06696000234675009	-3.952237607053694	-1.8565090261976382	0.13341180361293994	1.1673638488428038	-0.43123919230577606
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-7.149421327918472	6.046762080266044	-6.738599894263954	-2.1111090200933074	-4.142279678511107	1.299932749711104	6.611901651980713	-3.5505806348154145	0.13410719439073981	-0.5178463034824544	1.4253187032730705	-1.4663304821592376	3.3208719833258904	-0.24052335901190067	1.2838739531485603	-1.692336731721797
ADORA3	Coupled	-	Coupled	-	Adenosine receptors	classA	-1.2226512568750405	-5.84084529009886	9.196639856876587	-0.4064605085760184	-1.4661738219193743	-0.033352641388353185	-4.210487088832893	-4.72009866282462	0.10583521097541734	-0.7224026099237802	1.8440049631031135	0.03674276616615298	0.25358040493313244	-0.26778428944345317	1.2209625445682675	-2.831703890467204
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-0.037420719672897104	0.827431423432966	18.317985966334877	7.290183146080939	8.097426171846466	3.2278314313716456	-1.4067314479479598	1.831235041062097	-3.3314233024940343	-0.6558629337332444	2.2424693828178004	-1.7116344724858714	3.750032672098038	-0.7296950850191007	-0.2503871697939044	1.7371438579495053
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.3110718897251548	-1.3718929814282363	17.243283686565082	5.344226887586235	7.643197854895798	3.1700845170096774	0.36184240276006324	-1.7809238833514494	-3.792265131221935	1.4174149565753882	0.7606260322086376	-0.3463096555297406	1.7522091524757497	-2.2153913868102366	-1.0029316630804432	0.8488683695363676
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.748148262880913	2.614945967893134	17.941182201566722	5.444182268915621	6.870460844507434	-1.179594648642797	3.3179814503442944	3.742828417818392	1.2597492033138484	-2.9475018953660514	-1.5643038848681947	-2.811289405622601	1.4640604933638068	-3.1201072178154883	-0.4874606550617287	0.4918136951005807
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.9880540760460867	-1.2635310603063838	10.429264199118613	1.494229424028285	3.770652601161266	-5.977562035546887	-0.348497256845541	0.7987914387494057	4.97137603127647	-3.5388551280166753	-4.0167429573730775	-0.3090996252053609	0.21524745730287187	-2.8873856433211342	0.9178531605212535	1.2949825745940216
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-1.2902738499483257	2.2574704518545428	6.302513256772045	2.1718917970914666	-4.098537126782731	-3.986360203130777	-1.3603243504110725	-2.6922623909729575	2.794817766891582	1.4703693481698132	0.7479079104910341	-1.212498937546469	-0.2315893610390247	0.046896412058024486	-0.9078372053978391	2.428476787833794
ADRB2	Coupled	-	Not-coupled	-	Adrenoceptors	classA	-7.019139288687158	8.400446147883587	-3.8243658257598048	2.3557915241403014	-3.7373994582643824	-0.6374951880785771	-0.6394181466466843	-2.0431161354392806	-1.4935003188728804	-0.19578906700165735	-1.3203781603326445	0.5579594168171776	0.44929648071187783	-1.8046007279492426	1.4989054995852733	-2.070730640894914
AGTR1	Coupled	-	Coupled	-	Angiotensin receptors	classA	-5.239932956094291	8.58607002522589	0.7600432755256971	3.37836726766336	-2.0677764919464097	-3.6564732531183983	-2.5532990534219038	-0.3480554666403043	0.3182934859455224	-0.8752240043676636	-2.0777407476603362	0.8056213355144572	-0.017139166479127155	2.354372039240315	-0.13364327881623056	1.0942574158780367
APLNR	Coupled	-	Coupled	-	Apelin receptor	classA	-3.2653529021283574	2.290163409402584	2.205772727975347	2.959045274049796	2.1474233584741156	0.8278986019749582	-5.242922395486491	1.8767792986339633	1.5413510748368644	0.8031293020262806	0.5562942257010952	-1.457986553337162	-1.0102228919853249	3.769398833550676	-0.9998021882868122	-0.8038522285039674
AVPR1A	Not-coupled	-	Coupled	-	Vasopressin and oxytocin receptors	classA	-4.55155357039678	3.2007788581798926	-0.9479080863721625	1.7481497000988073	7.626738442484686	-1.9668209342180851	0.996239567962083	1.064349572325686	2.5445828484758852	0.42966074329423093	-2.064730488309153	-0.39885269456769185	-1.3804878822567628	2.1144214270275974	-0.9135103576024394	0.18974288889799723
AVPR2	Not-coupled	-	-	-	Vasopressin and oxytocin receptors	classA	-6.535722060998653	6.950206394743442	-5.112402993572308	2.1305822796305884	1.3600011215885746	3.6116045104048804	2.065247436992174	0.5237908581702021	-0.1210018500715584	1.5107386041824251	-1.2957275648599695	1.748189917898487	-0.062126497412126294	-2.0506888322576953	0.6084216488711839	0.39147409304764647
BDKRB1	Coupled	-	Coupled	-	Bradykinin receptors	classA	-3.883874286468168	-2.4182222716566653	-3.036274919341242	-1.1298702725367622	-1.7626682975920345	3.7134537021386693	-0.3105501299144782	0.4120376946952907	-0.594281041137026	0.05445168591081918	-0.947526387092631	2.2948317226781705	-1.0607010753488164	-0.9894118310736186	-0.6559166148658457	1.299320892834991
BDKRB2	Coupled	-	Coupled	-	Bradykinin receptors	classA	-6.526662076898408	3.7739621180367338	-4.700951941014368	-0.7366465546551098	-0.6988858958722767	-0.41482022736449736	1.8978904711476228	0.7480821643430134	0.22940780281048795	-0.3834985422099894	-2.5774492321842297	-0.04946429298900387	1.1700094636902891	0.07521659752606302	-0.6621236641477	-0.34766381140728825
C5AR1	Coupled	-	Coupled	-	Complement peptide receptors	classA	21.815483266591627	-12.963826036093357	-8.828061667009619	7.6140240183539865	-5.881528341561403	-6.524245248035713	2.252431586976602	0.41910208055625753	-0.14863322203810683	-0.7656330806215311	-0.4651820774888078	-2.258665013939023	0.23689318985297478	-0.2230267311513128	1.132215084748944	-0.0011623826845185527
CALCR	Not-coupled	-	Coupled	-	Calcitonin receptors	classB	-6.048905058980015	6.784631122400379	4.24221730516825	2.6886780746573016	-0.1897252879241516	-1.881373604036652	-1.322006693069738	1.3763279240352755	0.3535744408690307	1.2168606513483673	3.468689094700323	1.6515737980616219	-1.7916116386444043	2.294207366408513	0.7813244618504308	0.11275360191747308
CCKAR	Not-coupled	-	Coupled	-	Cholecystokinin receptors	classA	-6.445248624447588	11.583798278911331	-4.411712542593037	4.775699187190667	-2.2517758722943966	1.1727414400928249	-0.3177967900552175	-2.2528356278881865	-1.0294200251755363	1.2474437936581584	0.05003853627215066	1.6545983014211154	1.2617133345494291	-1.1685713941473053	-1.0423813233734764	-1.0363034555753337
CCR5	Coupled	-	Coupled	-	Chemokine receptors	classA	-6.601004191828728	4.817092785114968	-4.400854238373832	0.38813399140168064	-3.3805096561811565	0.38017350199008293	-0.593024421088383	0.24932953610244502	-1.5783932462754722	-1.83004159778268	-0.40130693535422596	1.2834986049507626	-1.0308497567658588	-1.7635110789026982	-0.5560222486480395	-0.6053394689593184
