Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-2.899884242521108	2.4350975907938888	-0.3509553100280727	-3.6697991632559304	1.1551294161259014	0.4619926831672434	1.5394290983469272	0.8904941014668178	-0.4890426319382902	1.509691713491161	-0.8220739324015085	-0.029439925884973833	-0.10655728019284276	0.7755253294172355	0.2353682647402901	0.5555557387335381
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-4.0646786375138	-0.08865345733829898	-1.0111377058865518	-1.7209190324052932	2.004948658645608	-0.9230886709085946	1.146968806975441	-0.07212229642504575	0.6445692381787282	0.010233493387568578	0.07048365023320195	1.065212269552678	0.2991449766223575	-1.0249839471728746	0.3677798708503811	1.9362662400368458
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-8.869558041161879	-3.259670077149289	-0.8452383547138551	-0.19178940582772172	0.6987130394559187	0.7425045436132471	-1.2274724681008116	0.6500999457758683	0.795095520954124	-0.02373871120178277	2.2470531365102486	0.12505085927504045	-1.2163800392226192	0.1846954838845104	-1.0674375785287329	0.6895074422906335
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	2.3260520341648054	0.3076357210480563	-1.1382825892138186	-0.6600179016692854	0.3739882247779481	1.1333338221547886	-0.3518589034620634	1.8613163406969822	-1.907917049180635	0.23702046152063602	-0.3647285447864629	-0.3317391993670742	-0.3299876266745352	-0.5166956587115515	0.6961629096969305	-0.11082505294147542
ADRA1A	Not-coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	3.5134339501318315	4.663940784325667	-1.7144181562745238	-3.9772452897700354	-1.5876819802355933	-1.1350049868116343	-0.6291611635176675	1.036782603604073	-0.14381305264834532	0.18764512019939428	-0.6416395188547296	-1.672540925331335	-0.6187091860622979	-0.10125268490263674	-0.21524104564581512	-0.2643073793917188
ADRA2A	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	2.7961831089878664	3.7623181436887756	0.16590813233572702	-1.7365310098411928	-1.6683636293300848	-0.9817823104501888	0.1811433365617973	0.18967967345115808	-0.922338319584494	0.38161867213420403	0.08274759013880234	-1.479694804647425	0.24042196999530288	0.5804680713304867	0.8429942858542068	1.0283260404492258
ADRA2B	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	3.948857138279104	5.435058619440896	-1.9945103673005262	0.0022137790384325886	-0.8612458744863831	-2.2993515241642295	-1.298527886165759	3.689056192100228	0.20681439966452558	-0.44821810655520145	0.7013988965881962	-0.7041082263580594	0.31345879342800004	0.040547030036540865	0.4081787518255568	0.8319116721782888
ADRA2C	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	4.669212798087717	3.8614156965596513	-1.1057637926990282	0.41444566824368745	-0.6812711577938202	-2.774997517850065	0.23025398405411468	-0.4310260559246575	-1.0052567664770484	1.311657723321037	0.9306477662923751	-1.6772086509864426	-0.31636241270153753	-0.24871440365844424	-1.3077433400107596	0.7955701706373398
ADRB1	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	1.7450841653768119	-1.374568711360525	0.5104456978519104	-2.394787354638921	0.41068794630710187	0.5160379951193353	1.9692163317489801	1.0662902778818908	0.3047836132135576	-0.290066398050793	-1.5067582798085475	0.29989840308165083	0.2752937351463535	-0.5100732837874012	1.1651414203828903	-0.19207392507603568
ADRB2	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-5.468006081853963	-1.850653263041323	-0.19400879573416077	-1.4365987217732474	-0.08777577396874761	0.22281422591944397	-1.8618736346940101	-0.7257162015001445	1.1204328947810553	-0.0631814387536438	0.10499168802365563	-1.7856957185834748	-0.030378624372484037	1.2149752357742116	-0.39239324981147394	0.008597801881722425
AGTR1	Not-coupled	Not-coupled	Coupled	-	Angiotensin receptors	classA	-1.2546617297846447	0.18485222897547934	0.17056643325046408	-0.8476542119221034	-0.42713017400766473	-1.1811121051856328	1.9112434489234364	1.1046578716331847	0.4706308748511158	-2.4040433768349905	0.346961779696991	1.259044164689734	-0.8814720582888241	0.11018027269436195	-0.734964930712482	-1.4584037651127406
