Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-21.079913385607764	-9.823580481796387	8.083752098937168	-6.464128058419734	-6.286564419417126	4.245580134353036	-3.06288428563376	5.095364947346096	9.138551191055118	1.480109144749818	-9.99411591707053	-2.5116206880762215	-3.5358643147720095	0.9599390297585704	4.4445164109891655
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	3.3637261107743233	-24.291579498539722	32.02415162727258	-14.69678772339175	-10.311774844957991	3.71670999262978	2.3925577435363583	1.8315735773867818	4.3988587529994545	-2.975316787559006	-2.265592387226433	1.5054814563257122	-2.2746790425476946	0.18596928863777354	5.4149117272718135
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	3.9231046766839657	-20.961330213751758	31.952003770388064	-7.991962295437113	-12.444921637441587	-0.2385323789670751	8.898353265430934	4.284393007234249	-0.3530707988077359	-1.1871523176339307	-0.22703591803232198	0.5354012764222835	1.6362390934967312	0.5369345974782122	10.35674484513761
ADORA3	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-26.310076764693463	-5.107454299660514	-5.798999206317923	-7.5029791197898605	-2.113262545850289	-0.06986764132293216	-2.1052502162021773	5.777147388271079	-0.46955571726793355	-1.5267938497718558	-8.707420037206116	1.4619726417610772	-5.432125455237447	-3.6630979709797797	2.4398365729092526
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-35.31289613418666	-0.27631886061670646	-16.824414646604296	-10.930596535297788	3.9759666114452252	6.7053518874044045	-6.0407747175753475	-8.004290721877274	-4.259549972531237	6.383575655117753	2.343818196046245	-5.260855488423644	0.5158141630056128	-0.8051873044104985	-0.5484643895692798
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-34.29585271525138	-2.7102682153029884	-13.072743089198742	-11.276414366237113	2.978001334078103	8.289185349868315	-6.533338074219582	-1.8818535062560207	-8.339047399572637	8.404290346729182	-1.2489583577765326	-3.2280929245173433	2.394451341127303	-1.4926813493733135	1.9058027961252524
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-28.622079240007867	-4.679547387269183	-9.41617853338659	-16.929836753617824	3.3193964287736595	12.722933845975415	-5.781124313611894	-8.301603204428341	-1.7267001150234864	5.22727887727707	8.724539639738893	-0.9757708911416616	-3.0566306524822044	-2.576491204474667	1.4584564313280144
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-21.74909536134499	-5.622799509864887	-3.358924214288909	-13.753199058698357	1.194838613000652	14.651957044777811	-5.756069159588192	-5.346556033526832	8.044787199613603	-1.86856510518253	2.348840433821578	2.806259427523663	-10.142518217857901	-3.3199523210610566	1.1507326734528889
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-18.74319958356328	-7.671899543880183	2.541096842435744	-11.57322904404391	-1.5710721071139877	2.789288681394799	-0.6543668637585379	1.141624710515574	2.204402609248209	-10.490516942094663	-6.321116958968634	2.9835236279370925	-4.109241738555416	2.432297658045881	-2.3560156264147505
ADRB2	Coupled	-	Coupled	-	Adrenoceptors	classA	25.50814998876786	-13.058395333767047	3.406068423452006	-2.802938996649218	1.1633047396795555	-7.247360110655151	-5.812781837723528	4.210464652217305	-0.40672215825194613	0.49852486288350517	1.708745502868418	5.21540075641865	-0.37558703361577805	-0.5322797343315852	0.9819976468247098
