Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-54.01139149008989	-28.609505603857908	-2.634742739693046	13.970551428992323	10.013254306900203	-5.664432732599874	4.434109243301127	-5.198309011797533	13.562888246918552
ADORA2A	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-20.707967733688125	-45.80652774293043	9.489834290835795	27.57513748133658	32.31919716994227	3.6531824606988677	22.787629568970132	5.188842975195598	3.07064072121431
ADORA2B	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-26.312352270049946	-40.214493688312096	8.867154016038779	32.72874543615127	41.71414488672912	6.51814307062901	16.65532519216791	-0.14307658739146312	0.320169832446516
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-55.48108829816275	-22.025913544988708	-4.999928745005248	-5.7067177852637965	-6.527778117397234	-14.385484765010407	-3.9295335599605736	1.3508115239699943	5.891173604066376
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	-54.28650124053792	-22.490588694539372	0.2465928034294671	-7.814470293385258	-11.549200574065965	-25.75923004907941	-16.637220287690322	3.216286701566667	-0.40885625837228173
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-51.18461838786141	-25.200702212523588	1.0520811626168947	-5.315588609633682	-10.37568539225489	-26.18260372952957	-12.468809225439871	5.13919496028896	6.643397769880675
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-43.43711134995203	-28.803246657509426	7.097392566018843	-6.881817418480153	-10.485048647136637	-23.330607641132406	-9.244208611815129	10.27568811715107	0.1598411150283256
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-57.32046202607467	-19.722144503852373	5.883741659051356	-8.629810188639416	-13.287933380220236	-8.671585190767612	-1.3746590039264601	13.865195483910908	0.23384357079534102
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-51.04977289294997	-27.467463512606205	8.112290954749255	-2.4124135866166636	-2.1347551294523086	-7.117740893005011	6.216279750425409	8.96704922715111	-3.2886482903314174
ADRB2	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	87.35536154097784	-25.562243609225913	9.7972589802588	3.5764303471077206	4.341995105325021	-3.1244532644522893	-3.1037075830464493	-8.781209340693614	4.543104463786969
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	68.52678248625753	-28.414714645698897	14.729013381245455	-1.8007559258986896	-5.328053762160879	-3.6812507164566988	-1.9454735046173746	-5.77957559766482	6.23375498266445
