Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-3.6104170447960184	5.207088697227791	3.79338449236985	-5.026118894892684	0.6726464807345025	2.3033979583961894	-2.7468071644921035	-6.355153296773791	-1.6450879995318632	1.6273912667508854	-0.47086175585903756	0.9418337383493084	1.894094116157666	1.0214867781947896	-0.8313319105284693	0.6599487884544742
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-7.376198431036482	-2.0544298964091894	-3.926895879183177	-1.9661657614440973	-2.774613367291876	-1.542593764954596	2.5879636108176296	-4.506122475271485	-1.7906148419352046	1.7372160656348303	0.014078367731046043	3.3293304840626674	-2.090545776234321	1.7977416779671693	-0.514151174978247	0.9826579967453576
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-6.679772917224427	-1.3213146012372294	-8.004828559693976	-1.611091688655596	-4.369467333487009	-0.7368303907727944	6.653314554321744	-1.6068179062613517	-2.387524624913695	-0.01025394592196153	-0.7736486209498699	1.3374897799637717	3.5011202451332575	1.2100109519581999	-0.5704067599266529	0.306754974696586
ADORA3	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-3.041724629111828	0.2595010379939471	9.283757716220146	-2.767008025026854	-0.8955383676528026	-0.4953650913085087	-2.8209194170996716	-5.046485201393048	-1.5596971868189484	0.22544868040890495	-1.4227512032957303	-1.392106468936156	0.18016049119554936	0.8671127215652525	-0.2886275143132488	-1.6276435519107446
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-1.0400203940177046	-10.675790687999694	17.34902919477324	3.23685740439707	7.072661297649677	-5.438555128473238	-2.6970054328637665	2.380830377097233	-3.2476587583383587	0.4107847659157449	-0.7363843109881227	1.6540637089056083	3.8433632132861932	-0.7648043496481507	-1.1890715137235826	-0.6023366390443677
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-1.1935817780612836	-8.975967560791448	16.04241057216916	2.206755427680573	6.8076789221077325	-4.7671369770880245	-0.5180729516443816	-0.48915813898007154	-3.3310719397925173	-2.3233357221324646	0.25466162529933367	0.7066570373989493	1.2520345006473894	-2.4828642574025683	-1.3541130330468318	-0.03984815639844757
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-1.1664443895568108	-10.906589392218983	16.627307351537183	0.8729044168385307	5.852539375623084	-0.3061685142428036	2.270047390950144	3.773667589247314	0.5517903845917114	3.7064645430138126	2.587349960887242	3.129458771564761	1.1660709448447901	-1.9800768057663682	-2.471539168021154	-0.6983385154785621
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-1.803475985954269	-2.701971998381477	10.396670386833234	-1.321669012977737	4.382721791625489	4.653207405664076	0.6901522723794126	-0.5422795929314627	3.8132192138083036	4.726479422460457	3.5923612528371884	1.0175583016570864	0.5643410593684142	-0.9510036447484477	-2.406077388649946	3.2506810207986327
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-2.278921373862078	-3.6650863750909846	6.335506252329699	-0.5150349000462824	-3.464295229263104	3.0734185033126384	-0.17499124132658625	-3.417049785697718	2.035774834486673	-1.0119759799976804	-0.7349394869452689	1.6567609612799237	-0.03328927417348326	-0.21561660791949905	-0.15838182117611974	2.5410525453272133
ADRB2	Coupled	-	Coupled	-	Adrenoceptors	classA	-6.734014606135149	-6.494315009126483	-5.288066766289118	3.099711694088708	-3.5545304095206682	0.28791844642324843	-0.4797906192872583	-1.938368733186876	-0.9389892928400546	-0.3705194829345401	2.4202705370537902	-1.1103510442471645	0.33553441774990195	-0.022671736278323296	-1.3248260367000482	-0.34105069855631026
AGTR1	Coupled	-	Coupled	-	Angiotensin receptors	classA	-5.243121192562266	-11.457425685103994	-0.314796143015703	4.018982713499036	-1.3310579357545775	3.326239585895314	-1.844419724669483	-0.7334239769797378	1.2873795446214762	0.899015236070475	1.977292110841008	-1.1823173287291973	0.5325944396756919	0.8273180860034921	1.9453377830429863	0.05858802500775649
APLNR	Coupled	-	Coupled	-	Apelin receptor	classA	-3.093696598768941	-6.883448415695947	1.6542737281078506	4.000853060450881	2.2313464554911135	-0.71157501856911	-4.524281373262002	0.5766065938590579	2.5288287552777464	0.3271091627864313	-2.304913170133474	1.2743334123518972	-0.6646705448375528	1.7608235627244275	3.8401766676650726	3.7471204764142665
AVPR1A	Not-coupled	-	Coupled	-	Vasopressin and oxytocin receptors	classA	-3.4922755608469607	-5.623879645607495	-1.0698414991298828	3.563865898671882	8.12213558132685	1.9247113028570033	1.6099233078256656	1.197323786347022	3.3638527190038814	0.602037404860384	0.32618718528517227	0.7743396153497287	-1.1071268834057022	0.6645720597980921	2.418457865986465	3.342798753002156
AVPR2	Not-coupled	-	-	-	Vasopressin and oxytocin receptors	classA	-5.56032362654776	-4.528024776190353	-5.936636000191259	3.548807452251805	0.7094727765335415	-3.7936689983998626	2.0567673292602726	1.2553783886693937	0.6317762874721253	-1.6699921460141705	1.7270834056353002	-1.7678825318139957	-0.15887816989643086	-1.367745428010573	-2.415177000520825	0.6973029166935194
BDKRB1	Coupled	-	Not-coupled	-	Bradykinin receptors	classA	-4.513253072283414	6.56117436767469	-2.7825270131526425	-1.6111171379551172	-2.4131742923205723	-4.068335116284906	-0.4629168339467237	0.38497268965658127	0.4601761496403735	-0.3876178601824861	1.6193503802247036	-1.9452406451306643	-1.5452466915799474	-1.198476282128567	-0.5408610446014805	1.128521473391247
BDKRB2	Coupled	-	Coupled	-	Bradykinin receptors	classA	-5.849425797658756	-4.534683051118339	-5.490062367489684	1.7383128280193672	-0.5722919091219681	1.4043234448997441	1.6072052387614708	0.9325776003293728	0.6836526109485235	0.2976646583573236	1.943139277315641	0.09625342242664321	1.0889037887313144	-1.2192307952875838	0.6847548904431782	-1.2400851681053082
C5AR1	Coupled	-	Coupled	-	Complement peptide receptors	classA	21.98272437376707	16.259623144678642	0.07644399000934621	10.702950928252347	-5.120577138155748	7.705571044700565	1.7677269708500905	0.1816833628334678	-1.350898555695749	0.5928286225378114	0.6810043799769822	1.7817726726776089	0.24122362905466965	0.95215930366679	-0.3798002423273432	0.5355481378685572
CALCR	Not-coupled	-	Coupled	-	Calcitonin receptors	classB	-5.9561031325420055	-9.530619654370506	2.909803654323354	1.7488576107904819	-0.14164466944739235	1.332767796092915	-1.6102085518336644	1.1675809326322548	0.3548172053442602	-1.5742050056901544	-3.8355874814072783	-2.007886548632292	-0.8123293252973646	1.5781046530619045	1.3474951994258528	0.5651941865861002
CCKAR	Not-coupled	-	Coupled	-	Cholecystokinin receptors	classA	-5.451233961051463	-8.952769205391832	-5.684425980102936	5.3806037618220195	-2.6016828227468705	-1.4852030897831687	0.037463506767654954	-1.9987351077573292	-0.2909087455971327	-1.7553468459877153	0.7126880622313275	-1.391833811324208	1.0789477224833512	-1.7929568466046502	-0.09508815998052778	1.3461395421515243
CCR5	Coupled	-	Coupled	-	Chemokine receptors	classA	-6.449367595787363	-1.3377334204293874	-5.437088464710475	0.900503791265967	-3.5908679218720745	-0.46107528396337905	-0.5700001423164806	0.229466448790072	-1.0551995530777465	1.5210217077778636	1.4128089921139348	-1.5769584605910347	-1.3716278911255206	-1.7591580455200089	-0.6001921180811457	0.6664133019391711
CCR6	Coupled	-	Coupled	-	Chemokine receptors	classA	-0.8263298553596925	-6.770088175519046	14.140459738511106	0.9587036481017349	4.050945141018668	-1.4153258217921285	-0.06377732904329173	0.10557515176915555	-3.2795316693014245	-2.6029167042829453	0.4250874642569704	-0.43136668659256555	0.6224464200022	0.4812269964272705	0.8056311790196277	2.5316499796275105
