Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-56.66241497690507	-27.983931084953525	-24.682965593701894	17.494331171965417	-0.4701839692444801	-6.118652508238509	3.401270265032002	-6.809724277525967	17.937280707517715	0.4220838949269537	0.6103223046086929	-9.30132925222704
ADORA2A	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-31.237811149967815	-41.216994651059466	-29.846131874506085	52.776974749539974	-0.8086214320662438	-5.770249889563483	19.41102499273952	6.648018363477667	5.813899044923197	1.896129670330208	0.04715231491776908	-2.216102930471161
ADORA2B	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-37.23965541148809	-36.391945932863955	-38.12670486757855	60.94356964053142	-0.2568434341812139	-1.9307841591169905	18.79133641916683	6.154344099177987	2.644693177642943	-8.81093961990739	1.3512346671020505	-1.453345113136653
ADORA3	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-49.94564779122288	-22.669337960740638	6.676876409672416	-14.157431063208172	-3.4757735927889115	-10.45555138551627	-7.72705399982781	-5.488503818354803	0.03882385512935232	-1.0735685364926175	-8.384426006405363	-14.060062813698265
ADRA1A	Coupled	-	Not-coupled	-	Adrenoceptors	classA	-51.612415262265756	-24.898167003512516	12.289252704651286	-16.9904261198955	-3.02895717466909	-21.403284852950375	-24.153657147582052	-10.392781854100932	-1.4420421638250636	23.912414937662977	-1.34976180175381	3.8651897002741578
ADRA2A	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-47.8197982993786	-28.81996660896732	13.724467394447046	-14.873154872051986	-2.3455154890861567	-23.826096427434052	-19.390103266088897	-4.268661853956381	4.951418585166233	19.745160683766354	-10.914601126502655	1.7532064391899338
ADRA2B	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-39.81755696440766	-30.695540768605788	14.922836823471739	-11.898989213802274	-4.3699946569801105	-20.068399586442155	-16.943411455187746	-2.6308868997941386	0.056228131716503156	30.048473549687472	3.845895155292976	0.434417133343303
ADRA2C	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-49.60140773612827	-23.484002381715044	14.344536804480702	-14.098412485284769	-1.363588431046012	-11.395920483100463	-5.410794253367409	9.553215013211389	3.8190483532070525	20.012613406515207	16.543164097983578	-6.548081858601697
ADRB1	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-48.27179020981641	-27.96261525733943	11.597819862032575	-4.3666090115520335	-2.7623195032260797	-12.217792185934433	4.922953208838789	10.747466498302941	-4.904500433283246	-3.907013905207908	5.153887155571082	-10.883870073475817
ADRB2	Not-coupled	-	Coupled	-	Adrenoceptors	classA	82.07686252388746	-23.602293547279814	2.7325371990144522	11.310275569877604	-3.8804826805153203	-1.3191259646336935	-2.9858660186266017	-5.366759600077735	5.894510561170635	-12.615526074839787	2.0704545614473573	-4.737274179492046
