Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-54.322026913011854	-32.65729790668754	3.0743425235104254	16.247333994692177	-7.624472598329497	-8.742156398041777	6.396170674067961	-3.6352340227682536	15.340255206789637	-1.7599252368169531
ADORA2A	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-23.944587454200146	-48.799936863372785	-9.545069384869961	39.311572849497175	-24.87722532654824	-0.9074580927299718	23.187509674213988	7.628374489905629	4.618246657050949	-1.3448744898227862
ADORA2B	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-29.394807457736626	-45.18266179834164	-7.095011021291143	47.67348649350664	-31.0442192683118	1.5550903166968173	18.847749261767955	3.080355255957344	3.2143884682091786	-8.269859618936152
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-53.90291520488156	-19.319745530192144	1.9005075969231064	-9.231316950741434	4.733633912213158	-12.325693787667275	-6.8597401147085675	-1.2624795109462654	4.924713475574495	-5.7920301980738484
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	-52.59781608232286	-19.076326979204133	-5.314493221824187	-13.534459830191668	8.86767926876539	-22.83992966610267	-19.15293036269118	1.6074650032144444	-1.9326963971980036	15.236864232117933
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-49.92907711313514	-21.979483938445355	-7.2487441826806265	-11.363866916356962	8.829724199031318	-24.339511971012755	-14.501931191264832	4.892914658976366	5.917504280350662	10.500088097542688
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-41.58501455081792	-24.574520556203513	-12.226656110825939	-11.986448540966043	7.6628776024437615	-21.425766889830534	-12.71794998535165	9.743283179390364	-2.5476697254664216	21.389158598344626
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-54.6472536699497	-16.723957346248444	-9.616538239804637	-11.98997664478624	8.179747364192473	-8.552059750968576	-3.749595361924706	12.79242793937064	-1.1312716303858552	18.466962443113623
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-50.93698725117117	-23.51847259031714	-11.736471912286028	-1.8257270627942737	0.11454500369557188	-7.213259863801412	4.695140318222896	7.863074448840383	-3.043597624359881	-2.519472424541068
ADRB2	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	82.62782018743653	-26.28826661338714	-13.286953888601342	4.815655430675501	-0.9614733284641673	-2.289546054924778	-2.4705109304989548	-9.028043755674672	5.067725191736511	-3.9120136792121762
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	63.4397992104403	-26.474964002015525	-18.321073972958047	-4.344284630251929	5.0453651656096525	-3.449434770677399	-2.23036279680721	-5.1003515358126865	6.101834246614032	0.8856499940985223
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	-1.7990606633721022	11.634323578755227	-0.016052096146942658	-14.554418040624137	-8.58336403637535	23.286108800546252	-18.018009897669238	16.07821236705074	3.2899134748153873	-10.277783369668775
AVPR1A	Coupled	Not-coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	2.022417724110022	13.557861175939351	0.7819194220032201	-6.215030236320629	-16.723188961199668	31.773267959626804	-19.032195883261313	25.835572649604444	6.24016706851241	-2.076558367348363
AVPR2	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	64.2247622601149	-21.681814039709437	-7.0708680416104	8.160480093377872	-4.1519035447459105	1.4676185100516914	-5.89551854700209	-9.52063343846443	2.829512651894472	1.187162396810196
BDKRB1	Coupled	Coupled	Not-coupled	-	Bradykinin receptors	classA	44.415666394074265	-12.27209844491731	-0.6059316989263274	-0.9453492085259823	-1.513892392720082	-0.9646761047441488	-17.750493223582062	-15.486240018096211	-4.917844817312754	-3.2647238868504065
BDKRB2	Coupled	Coupled	Coupled	-	Bradykinin receptors	classA	66.80360503297837	-19.81929351220998	-2.644029841730311	13.74455047626846	-6.7573737078814355	-4.256782083735106	-14.931535975260754	-5.937492943369351	5.403962444678386	-0.6506098706515292
C5AR1	Coupled	-	Coupled	-	Complement peptide receptors	classA	-1.190965785640898	85.44277550264079	-15.915030058681902	-15.952069289615537	-29.54391547885808	-10.705348278529192	12.757452147656416	-2.73846105788054	2.8071623804383865	-3.60692089736606
CALCR	Coupled	-	Coupled	-	Calcitonin receptors	classB	-3.6761203781300575	-19.080827709297488	-13.402067008858797	-28.252301069980625	10.943675885896019	23.020209219020984	9.416353101605795	2.825343586917521	3.73894484218863	-2.4828627197161683
CCKAR	Coupled	Coupled	Coupled	-	Cholecystokinin receptors	classA	82.0571250836657	-14.048918870317166	-25.027989113602608	2.4327357680311548	-13.730499548312903	-1.823707411468952	-13.893295580473223	0.9526761173375095	-0.4459470247586522	-2.7549604206898213
CCR5	Not-coupled	-	Coupled	-	Chemokine receptors	classA	83.32272508974818	-10.467173106848655	-19.305021983082472	-6.639296034247667	-8.642657785287645	0.7042779674443319	-18.542823073979292	-4.8254286142324165	-2.386868462155275	-5.931277831164287
CCR6	Not-coupled	-	Coupled	-	Chemokine receptors	classA	-43.2765134704429	-25.691433312905822	-22.55785644453744	-18.949939022383777	11.399913609186056	-21.180947252069252	9.036772199303709	15.668962649889359	4.5308540597984255	-1.8457503886458955
