Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-57.05582447461162	-28.071222201855782	-4.336110654773957	13.890015076184012	8.378200884369704	-4.806657147819691	4.686851446075373	-6.052532710665192
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-22.046237369165674	-46.44447390583502	7.39820007064601	26.521621633507017	31.880418824255305	1.1463348432957334	23.64192177136642	4.880168087248421
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-29.20861497064452	-40.80107195424497	6.601124339878255	30.507838215377017	41.72363235039422	2.5439886341128335	16.523777213216928	-0.44719038975547976
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-56.49365889061713	-21.246453036354875	-7.284985848923922	-5.183762930716199	-7.560422899634399	-12.529451777717757	-3.7762030173501517	2.1184225773017724
ADRA1A	Not-coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-55.52359527287181	-21.071038652815893	-2.769177635621841	-7.088668297245954	-16.293161006760403	-22.422722954878406	-16.436348805940256	3.5945018546130747
ADRA2A	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-52.1986187487139	-24.224946023969157	-2.747645424299007	-4.208858752589825	-15.14490961101485	-22.61380028348776	-12.13080327077181	4.98213045151453
ADRA2B	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-45.28209076876078	-27.888188636277686	3.501421194899975	-6.0228731208397885	-14.847695472632063	-20.274120611481468	-9.60926054435226	8.894807472404901
ADRA2C	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-58.423872851355384	-20.3008614942486	5.1312185025118024	-8.596893986945174	-13.892920881233426	-7.340344341848552	-1.4256764873523349	12.853665814658594
ADRB1	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-51.45271783424688	-28.530509707938773	5.526561116520377	-3.1057387794262983	-2.6336410230578235	-6.842553752016509	6.097928296442131	9.455550120392296
ADRB2	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	88.63546945427018	-25.35299441162116	7.123138599870506	5.377997991899671	4.9219867811343505	-5.49049924028875	-4.488377956791078	-9.68078868311676
AGTR1	Not-coupled	Not-coupled	Coupled	-	Angiotensin receptors	classA	70.69961942282772	-29.49840862271673	12.122636412111914	-0.21424582150531363	-4.854114080760745	-4.631313626440341	-3.284885543293678	-6.563564912077549
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	-2.0457531958480146	8.568955507557794	1.511011187516903	-18.895523821492944	8.177533720708006	20.536037353459246	-17.686034058771117	18.013608875634652
AVPR1A	Not-coupled	Coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	1.377105322971297	11.21066740263346	2.578430451974209	-15.757272413611862	20.108765765001966	28.974895582555096	-19.275532970173106	25.133984211040435
