Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-6.83896963744633	2.6046233002572596	-0.9664939258097323	0.5438678978139879	0.12908632711022966	-1.63348927535964	0.5845400960450459	1.142391302718779	-3.734099895636583	1.4212706772970545	-4.892881688645402	-1.0927706287262304	-0.2032654550899473	0.16130470733924585	1.7532834932328232	-1.3089044165827468	0.9501016027353139	-1.787364630118819	1.4844870102420167
ADORA2A	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-7.26598249285268	-2.529257695378249	0.9004186135241556	1.1545123289326018	-2.557363811380719	-4.601185184922569	-0.6988558430548307	2.1735051576124524	-3.557906190268933	-0.040988231049659866	-0.535661472181786	0.9161412307486276	-1.6378867378262483	1.5065496766782491	1.4978182397692608	-1.8604308905094629	0.9109673196058877	-2.344115850419707	2.6418910240365787
ADORA2B	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-9.402610993493667	-6.578734484688391	1.2093960581584497	2.246853770306674	-3.882706628994997	-4.584896609690656	0.5995423491034203	-3.413233801638477	-2.8704976016635393	-3.5779489429195035	-2.2555590048215017	1.5811782362481719	1.4037301886967761	0.7510965517672028	1.2986169458570114	-2.246807805325657	-0.2185947231707822	-0.45727378458230533	-0.28231174136035825
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.5354691686578958	3.0274966401108454	-1.9666405158422136	1.6444916281751494	-2.506172354851861	-0.1413424833291774	2.3724586691281386	2.7530140933075393	-0.9756867965840552	1.0592508028466394	-2.9380287233291114	-1.935330574824902	-0.4535605484523388	-0.74826837639055	0.09096079938041168	-0.8300158939199503	-0.22348209391967178	-1.6490583792735858	-0.15837469440947508
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	-3.78183063324515	12.523134337401745	-5.382416778161033	-0.12796102536155327	3.3864640890449147	2.143054129684488	5.978254087240977	-2.2244092294206825	-2.569292240529706	-1.2034411714337838	-0.6580634554535995	0.2440334943535733	-0.2948618975214226	-1.0153092328651938	1.203500158992229	0.6942955081702004	0.0737220134836281	-0.019714644269406896	2.8862489430768044
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-3.4113873486788955	10.127102803857213	-4.5836105279552815	-1.5147421866658137	3.500962145170274	0.6189853318030296	4.4621831937643455	0.1909051605627434	-0.13542970486535594	-2.0894910923403764	-1.7226879599341292	-0.9710504869610673	-2.7024551786532403	-1.968074953442018	0.40514380874932404	0.8058800123047374	0.32978292135128007	-0.8126912479343229	0.884821704942466
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-1.438137172660644	10.176717408283208	-5.887410542528996	2.0138273307851304	3.27097121962955	0.9745060866649587	-0.167659455208219	-3.6619323047894587	-4.0548029942901955	-0.0034775454580634763	2.2479266721937843	1.3748993134497276	-0.9247722147911875	-1.3135660915106597	0.05183019076693109	0.06863286626473748	3.037893717901299	0.005515179951063209	1.0669303505355483
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-12.406159974762202	8.543149330791701	-3.0530490625502185	-0.16781241430748828	3.875148466087656	-2.400820451773089	-3.3260976236469313	-3.949196539932128	-0.5789701362359937	3.9167810335950444	1.4761836117770308	-0.9867932197531124	-2.4066526498541005	2.551472567541625	1.9625883406960416	-1.3325704451741425	3.8379890078583587	0.5974783400424705	-2.8377321730701532
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-13.810819185323075	6.199490146934315	1.736789884272419	-1.7948347207812712	-2.4140081811752845	-2.443854073397746	-1.4922169673021106	0.4061783071218023	1.9541594854112023	1.1325038309591249	-0.6968090691688679	-1.3066210208513707	0.025722145258764043	0.570459868996108	3.0591248145018546	0.5270048039675993	2.172997592956485	-1.917118667567861	0.7387449107840691
ADRB2	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-17.784485010065833	-4.279223821797835	2.6528899744585464	0.8057428232907539	-0.6515619808936959	0.1179758740185774	0.18101384842170443	-1.015298138427352	-1.7821836331003247	-2.2807495514391514	0.265190562067536	-3.431937380141159	-0.4128344597605836	-0.9422334206662436	-0.26799003454454656	-2.4101337492789274	-0.17076450275122446	0.8441987952939267	0.37366118026834866
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	-17.589955339151107	-1.1804404717043286	1.5093924845729854	1.2868846299690864	0.8897272375206742	3.7428173741053374	-0.6124301952766028	-1.686415648731632	-0.2462443239764251	1.0768883056492902	0.3399627438693158	-1.3953152066868248	2.3361594002105845	-0.05595545462183674	0.662672666109328	2.5784210951002144	1.9246869703479517	-0.6734848458337573	-0.41617704395183464
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	-15.610268628965185	3.1900890259869863	1.2447513441420974	-2.0351006812422527	4.1824990739187475	1.9694459614812942	1.6957873411860391	1.2284766575338577	2.8326094926535283	1.966538628789897	2.73760004123851	1.8148713945650372	1.725864785964724	-0.023354681195409795	2.6918292270299253	0.8095990726972283	-2.2870056958811715	-2.9599637210169045	-1.4534594657738584
AVPR1A	Coupled	Not-coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	-6.423871388205797	-0.1931872540917284	-3.922003571025647	0.044802120022046955	7.379834803937691	-1.5437640131167893	-2.6291515365196854	-1.6375509598623843	3.938549147734306	2.0676981831342323	2.386211335591857	1.9686875642116444	-0.4011105134201787	-0.2919501581353584	2.16699106839278	3.302548482607197	-0.5379768938925271	-0.9424568396166163	-1.923116244612192
