Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-46.213041994079376	-18.320700972820553	-34.15184834552742	11.638760954987053	1.059077273630395	-17.712097130165983	8.346446265652935	6.134004205494604	15.599822357163767	12.38837302519703	-4.858330478524664	7.5349201349949135	-13.275950015081454	-8.001770372749958
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-28.39469573932284	-28.910502550719098	-37.72373647600256	49.94113644265316	-4.042541635833001	-18.50711213211285	-4.047200653963412	-12.805760290853176	16.39728860430234	0.2864704227804681	-1.6229466254412273	4.0304476724992515	-2.922154977903588	-3.594859137898957
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-33.74426182565573	-25.28882252691639	-44.54581500956654	60.07149317977931	-5.67319309685072	-4.450292662850483	-15.465451126441028	-11.767585197555787	8.195206739309084	6.684926445127771	0.49079272753050773	7.020156936248764	0.14199174252205915	-6.0882861976772515
ADORA3	Coupled	-	Coupled	-	Adenosine receptors	classA	-50.97951768281638	-21.70170492862814	2.0785206393038185	-17.614759140525674	-0.8289427780146393	-16.949068664139087	-4.7475534388340375	4.500448455984736	-5.19599240524384	-5.372846708521293	-10.558046191481626	-7.108787165030721	-11.632695602894758	3.6444510326455894
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-44.05100929505453	-21.69151484414376	4.312090722144108	-26.75266074833606	5.522275771688776	-38.38475421323356	21.580103920712524	10.223507596472931	-0.45923622589251517	-14.076299421031045	-0.7882952701136766	0.7156689880841761	-1.326772157632429	-7.790352177907619
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-40.37488010374517	-26.17124903689773	7.644285085810212	-22.50802706186312	4.535987712530872	-39.44344090464345	18.125375688063162	2.8250871998573954	-0.513348193690674	-5.487762012205996	-7.175383741009595	-6.261798027964692	-6.598987520558606	-9.05573039479306
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-36.20141913845033	-31.18253594222468	9.263461535358498	-17.11144509373245	0.31915405631305993	-29.41511934665717	18.461119950893842	-3.307089080271768	1.1062908296690372	-21.799104901660602	-9.263852403177262	10.072140547786596	-2.137871175164968	-14.364330626570478
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-47.87790458732047	-23.264748721221697	4.560655497220403	-21.69279631358966	3.3474562181218666	-22.62419759945282	19.845617345077045	-8.366677630490896	3.9323509329906488	-16.990487247088243	-8.194343630808701	15.392668325553798	4.350408204088168	-6.815834186455636
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-48.386550907869584	-25.915145937879323	4.460079268942315	-8.516173971328246	-0.6594442143530814	-18.674946894823908	-5.552467732109924	-8.195385620459062	-3.95827704601394	-3.294946794529577	0.37614895074836163	0.9392924285991793	0.8015191261939348	7.228059728628637
ADRB2	Coupled	-	Not-coupled	-	Adrenoceptors	classA	74.08903252438117	-26.64027202909322	7.544289299726733	15.512893607442765	-8.216479115140435	7.390120919018284	-11.850745678133055	4.237998143490489	-10.049450345950303	7.818039849544883	-15.170173421604481	3.0164741663649433	2.033032816968383	1.4628392207511598
