Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
ADORA1	-	-	Coupled	-	Adenosine receptors	classA	2.0241316105507274	-2.4354917388708373	1.1341735119458838	-2.996563421336334	1.0637065512581008	-1.8755409734702086	-0.05584639025414103	-1.4667324042255607	-3.42000767465456	-4.979175121790257	0.3920703029263051	1.017684581475041	-1.5844725899210401	0.4954048617396068	1.2030744927717205	-0.36870698007820185	-1.4136643829050048	-0.20625036554961224	-1.9046814209804925
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	-6.531352616988403	-1.851894678245103	-3.4850164933809427	-2.4111547601864602	-1.8145563588172076	-2.319356936368482	-4.134283966818095	-2.3372082016985516	-2.671128055101166	0.5333362131246941	-0.22714043489113325	-0.7818096736403675	-0.050924212129776554	0.18598659684223687	2.1867628160180295	0.21240948007246535	-1.6287401062544324	-0.4603070830015168	-2.0285990917150154
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	-8.76530282542373	-1.7580016218279715	-7.583875288352831	-1.9723737923923697	-2.8319255143443165	-1.3686836745379494	-4.69206318121213	4.15561525170989	-1.7618625614986516	-0.23957927107318377	-2.147446533385029	0.47043584883821177	-2.8685875403265944	-0.6289942239109878	1.3841256536984008	0.9497529078770427	-2.326520588877632	-0.22451809359936137	0.6694537839619689
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	3.8152151845665854	-3.3313455642442564	4.239302637218074	-3.3598380687104483	-0.4675976321207295	-3.454798675250519	1.0576121455207348	-0.8852903455796683	-2.3268586820960766	-2.9802276978427695	-1.056865583713042	0.5714772660170858	1.3899500806673966	-1.7330326540507388	-0.11294034863548377	-1.95773859659856	-1.3283279028061812	0.5287329324151735	-1.1849914286344352
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	-7.971707018233249	1.6521283721054398	16.10478324187491	1.8904875965425392	5.501459842025183	-4.9681682329897665	2.141520233100054	3.3989086470745185	-2.8687269026278885	-0.10048108440659835	-0.028158030340930607	1.3096545407228821	-1.451900292255606	0.8563933494236364	0.8276223204741199	-1.0704016031685946	-0.4716165167600574	-1.4532795874658502	2.126081214068357
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	-2.555968111618873	-0.29329930976057667	12.893402847590332	0.7116482386138908	5.619576856977717	-5.003557658075345	1.1558841669925723	1.4661674963641365	-1.4500601612585313	-0.3900285033788345	-2.526770467641936	0.5727609566172541	0.29359259654831227	2.8268588011224507	-0.942729418948571	-1.862121253179507	-0.21165906574563506	-1.3500356288585151	1.7773217660860516
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	-4.265435833888175	-0.013724909669322485	12.559284765905982	-2.9444797721890876	3.938307474486361	1.909112425002677	-1.341245135590897	1.7939593677602907	-3.0321972562296566	3.0000638601029435	2.9895593844463604	1.5635526018938897	-1.099422221802629	3.110346015123375	-0.812892313584799	0.7687408040568295	0.06548203268408459	-2.055989983025964	2.1921978238474003
ADRA2C	-	-	Coupled	-	Adrenoceptors	classA	-8.876501851885505	0.37313638166998486	8.09855924440213	-1.55546343542607	3.3734027822851314	4.360678319984242	-3.4045425013044803	-1.153301138478624	0.3345823447033321	-1.268305532346788	4.253549240611028	1.83209274577114	1.4852549650243188	4.211609762408851	2.7146036965295695	3.5842910937476216	-0.2511071638078767	-1.398374448936722	1.1818945122279498
ADRB1	-	-	Coupled	Coupled	Adrenoceptors	classA	-5.96374539637931	-0.4872232404016481	4.02491400435606	-2.4685703246049187	-3.264024914408196	-0.15478260800946914	-1.3961137934711456	-2.960768646659353	2.6760542533665315	-1.8456758763741499	-0.2931242716292733	1.515653882498892	-0.7476327719165539	1.2160918406016517	2.5174523862344302	0.36579740092009166	0.27163083904187973	-2.8887433673039777	-0.8843952409623105
ADRB2	-	-	Coupled	Coupled	Adrenoceptors	classA	-14.822062929026961	-0.880079907096753	-4.292376964896777	0.7219965466723688	-2.5215458863797324	-0.35529794393406466	-0.6035744343810368	0.2930607772366896	-1.923916230451193	-0.1381936359902639	-1.2890090492394985	3.011852807929124	1.3317361545164348	0.3268472048313647	-0.9815732034914825	0.48069045469134064	-2.654769012719966	0.5646400248139876	0.2513135551232518
AGTR1	-	-	Coupled	Coupled	Angiotensin receptors	classA	-17.02825327552651	0.602451225427994	-0.7894137478079921	1.0863972786327651	-1.3128896413523503	2.955492489607003	2.1860850027807808	0.3230904014631355	-1.1840305449961608	-0.370875656350885	1.260840850553673	2.8295965095028914	-0.4691762337992521	-0.8315258026272964	-0.8287669481474994	-0.3100073374974631	2.3209749750565414	-1.8549104089884918	-0.7803620477206892
APLNR	-	-	Coupled	Coupled	Apelin receptor	classA	-19.53780721134556	3.6283812171309378	3.0290922125260673	4.7269990485726385	2.5500474838037706	-0.7855473304891375	3.0396782159620463	-2.041442737009463	3.611831977947936	0.4521459715962429	1.911131378209361	-2.0356005602649194	-0.9322026349071697	-1.8486535714350005	2.1625712674876425	-0.7492896749079477	0.007149393961304933	-2.491394033632155	-2.4957321735141753
AVPR1A	-	-	Coupled	-	Vasopressin and oxytocin receptors	classA	-14.350051406147523	1.594444407781421	0.7244190415080214	4.073679258796461	8.263150158096941	4.422860330110438	-1.9595979530877665	-0.7442790204835853	4.4724116678357895	0.8218355146924422	1.7319249646931314	-1.0951314527545448	-0.5685881251898662	0.30273243406177985	1.2420896420161693	-1.5761380772576146	1.9933839223389973	-1.4783235787228242	-0.7781993907789992
AVPR2	-	-	-	Coupled	Vasopressin and oxytocin receptors	classA	3.123621671138095	-3.9491966359527537	-4.587320367194326	0.0997940742680459	0.5100611212067336	-2.422856028229393	-0.42763300696725204	2.9159083754051176	0.8491390318522941	2.1035189798626415	-0.0841277052182757	4.358375603140481	0.12072511458933381	3.2418983779370896	-2.1158068823046796	-1.6911782588238355	-0.7074321684507666	1.6259038232819951	-3.0899759615123243
BDKRB1	-	-	Not-coupled	-	Bradykinin receptors	classA	8.782989580519793	-4.516798093705571	-3.730369530535352	-1.5036100745731844	-1.2929518366549748	-2.483359949934227	-0.26345452616932813	-0.9661027787416961	1.6996316411545294	1.3110663549133226	-0.5199898019753013	1.1408908855083544	1.321761936010153	0.4575525101311834	-0.6325878824521798	1.6078186671752994	-1.0376880202889294	-1.01064034173495	-2.952801871886488
BDKRB2	-	-	Coupled	-	Bradykinin receptors	classA	-18.046451293064102	1.0485110519059813	-3.5648282689951536	0.3224120271965018	-0.9738000470922061	1.8333550528938989	-1.5884333946514975	-0.04530884230163914	0.5828990722234569	0.0004653526412662282	-0.4199603509922298	0.8798048545716405	1.9750203489728264e-05	-0.7505635049028576	-3.024096958353918	1.390349288959224	1.912404475094921	0.1838692255101686	-0.9036248517604384
C5AR1	-	-	Coupled	-	Complement peptide receptors	classA	27.625690959053095	1.4043156079580343	-0.3483130232891894	6.198237083070011	-7.777369427057372	7.086649270795814	-0.8705285715819243	-0.1727708005651798	-1.497384197849195	-0.8260241626334023	-0.493026995832338	0.6886051160082397	-1.5131956971040161	1.0580081590909358	0.9120976593756832	-0.10945045514781983	0.5652569690256832	0.23723297163665213	1.060875123023784
CALCR	-	-	Coupled	-	Calcitonin receptors	classB	-18.198799125958853	2.1245276410247764	2.8620169181944313	1.033923881516145	-0.5222076018626545	-0.09124469320457594	2.8918107384072442	1.3480603134027056	3.7665294714322286	-1.4336436723365114	0.2778177301165345	-2.33777759268676	1.1009621767322628	-1.1577719797101034	0.5553148279980443	0.4651020490717546	1.2547343121014487	-0.07282155619278528	0.0023921078349725643
CCKAR	-	-	Coupled	-	Cholecystokinin receptors	classA	-20.584441456082654	1.2501903434887343	-4.189461295143227	3.5031536059605823	-1.8054356788398527	-1.974680339298766	-1.141721641089808	0.6464571311100731	2.0161489790755267	-1.4309643559040817	-1.8263162074456414	1.205777238688558	1.1235601573118987	1.6535344700208687	-0.6887132220981115	0.45173337756865245	-1.1873639525435755	-1.9640749485442333	-0.04778242550566429
CCR5	-	-	Coupled	Not-coupled	Chemokine receptors	classA	-10.167297453322973	-1.1644145967750648	-3.692289741778572	-0.436889431874535	-3.02495111990925	-0.4284229171177341	-0.6847527794118617	-0.35615966321774	-0.3607010404614337	0.8984754024929557	0.0026659929117357054	-0.8179844537413946	3.1299644154763175	1.2082383750977512	-0.9331309991847841	0.9704743049039225	-1.0863866641646207	-2.3714822754646274	0.5245039187314672
CCR6	-	-	Coupled	-	Chemokine receptors	classA	-4.954220510771369	-0.36127343990920824	11.023363880683046	0.18530083598663044	3.604088134102193	-1.3050773945001073	0.9445964946047669	1.868128365924043	-0.9433722406604145	0.8367988881569132	-2.9074689783856122	0.3830314719117129	-1.400812655445887	0.2607753705414587	0.2293522181575613	1.3566791219925967	-0.9418345045603569	1.7572483783723551	-3.462462837497231
CHRM1	-	-	Coupled	Not-coupled	Acetylcholine receptors (muscarinic)	classA	-8.571513624517431	-0.6739532636930995	9.519447882021767	-5.973672816621339	-3.500628016678967	5.3638528684524465	0.5898712441289538	1.6902274672604423	-1.5336919890621958	2.197069141227188	-2.559750770328553	-0.42003438214070105	-2.113352042974691	-1.6733413767176855	1.8164366199302293	0.7924381247291828	-1.38014084356095	0.7448928084121443	-1.7685852920532692
