Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18
ADORA1	Coupled	Coupled	Coupled	-	Adenosine receptors	classA	0.32309268864470236	-7.498300488480305	-4.648804863295892	4.278422841286333	9.45798370186219	4.622839091814701	-5.6375426884354995	-5.968387857788023	2.87934940577779	5.221136061760285	-8.782224673961636	0.2209882473084451	-3.5537400753679615	-2.3599709028222517	2.8160182108796237	-0.13750447602127858	-1.4303195929231987	-0.6354143331171659
ADORA2A	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-29.718529160941628	11.542610212830162	-13.858482794364464	8.033305938328505	15.662548287705924	4.440084809257296	0.07874383992836478	-4.8727165896008575	-0.6466561746578774	0.3892867010553293	-2.1225897942276535	2.4389201018857265	-1.8716809920983901	-1.5151076407155866	2.7381700401382103	2.8623547556153914	-4.026532763890395	-0.5181087533977251
ADORA2B	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-27.641449664969137	13.693113309795322	-6.733343353447903	7.432357340570019	17.2420387856151	-0.8408621484358254	5.007898771813239	-0.735853713096805	-4.122021952968433	0.45273274573104055	0.09094367644930684	1.7160614286083444	0.6184999367640822	-8.493777213226506	3.301898444677341	-0.9488084644247763	-1.837621122826834	2.155974112047211
ADORA3	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	10.343457409451634	-15.362740862330645	-6.897492990784923	0.33795370538310643	4.310475760808758	-0.4127945389199634	-4.251597768684221	-1.4083459218632877	-1.8646602866429713	1.2998273557197515	-8.966402457272897	-0.9941046697898179	-0.9422992794123886	-4.213202814560035	-3.1135513424728347	5.062299156879005	-0.9438987953204847	-1.6627496791754333
ADRA1A	Not-coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	21.541935557014853	-24.302831814846094	-10.286325668615028	-1.7586813042197176	-4.8889273947199445	8.300781533941162	0.16126280433657936	8.373135857290237	6.399788861248846	-1.4751286358842128	1.8055355148921777	-2.9273141014965436	-3.0083670935688898	-0.942571217178946	-0.4431209088863378	-4.089306955341053	-0.1371538605332861	-5.512777670872504
ADRA2A	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	18.372701017832963	-22.682512176931432	-10.788628018148447	-0.7892355819622447	-2.142805629204252	9.01143706197927	-0.1997865541104133	11.54891365150744	1.90892049111521	1.6330609368784914	-1.6167393148386242	-3.769550797173708	-0.4955923281415024	-2.954010702946612	0.19151819502455802	-1.4978849232132259	0.07231014419268235	-5.4176482214935895
ADRA2B	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	13.72027961858278	-18.591653328789786	-16.44480259328228	1.4503647885210502	-2.6052577296163415	14.47446276306028	1.4018828767916172	4.870054150928724	6.093391818826381	-1.4461187025378555	7.161774265691349	3.182481828658353	-1.024245138104144	-0.7658816425136378	-2.8799443407161887	-0.69077447500779	-2.0288750972102934	-2.7397099878931184
ADRA2C	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	8.715972825528237	-13.419332508182148	-12.568420763611977	4.148975292134833	0.6947905805594793	14.695364193757724	-2.422668437265386	-6.547256568869457	5.464765994092936	-0.9864467032865307	-0.08929553604616661	8.054231139827563	-3.0151163844947235	1.5852403677827038	-3.8420700848789013	1.7305312918420435	-5.135859039601612	2.2895423825656254
ADRB1	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	3.2116764626306242	-9.59606261712204	-9.638839076455382	3.3085328637036526	4.9048607677825435	1.071428619335278	-1.6760649905111997	-7.2402442872775445	-3.6306851845156176	-5.169707036868613	-7.888378406580006	1.7132756164200744	-3.0515537669113315	3.701362650150773	0.005819409406186967	-2.4550454221958744	-0.3799187818263406	0.3292174502793726
ADRB2	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-21.41218621683927	6.918845920302885	-3.497847478670373	-3.388661747873844	-2.0065063894308803	-5.175069585499986	-4.997624814248144	1.6946248290173078	-3.5220871680675843	1.5800020036047953	0.1378686226838247	3.6833500562430426	2.3863522190267115	-0.8814530093905532	0.012144428032778425	2.252001743771464	1.0199899928976115	-0.4273053147529127
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	-14.480604678982772	0.8831130275855621	-6.30603391179553	-2.203615926969673	-5.812292460566184	-1.7335168030657961	-5.337871874280891	-1.6376176231841737	-1.1556901184922153	1.530780526008977	-1.545771986462527	2.2918118441226314	0.22627843896587604	6.916741585623418	0.021099833948540887	2.4308515425474964	1.8709393659898292	-1.4682061497561691
APLNR	Coupled	Coupled	Coupled	-	Apelin receptor	classA	-0.7135613216677356	-9.86426926295958	3.3778411488983306	-3.1796865984550293	-12.396779221107485	3.362516513260628	10.117120289701372	-6.873849225354337	-0.8153051283539746	-0.1482385295038626	-4.398191400927993	-3.8295853031673124	-6.562008920150024	1.9003769514731232	-0.37474740934561457	2.60341155784274	3.32433526747927	3.8175217881091177
AVPR1A	Not-coupled	Not-coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	-7.163265890713607	-2.8686460983693975	7.7876155698953795	-0.5159993107532475	-12.298721918347406	10.882861467763451	15.04561337504261	-2.6052349776641046	-4.916288763026896	3.111170933107988	-2.009988884826693	0.2822447724796805	-6.721032563360349	1.1701934173468176	-0.5907029446598756	-0.8280463675452047	2.573001044678125	2.7008741085687036
AVPR2	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	-17.342321825987696	4.221076413070637	3.1880370877534916	-2.4622390585517437	-3.2499634728411104	-5.427331025666887	2.034530527761971	6.869063542473239	-0.7532329340380385	-0.2054922992466388	0.0874394650328955	2.8517645743023845	2.825868834904802	3.307393173305975	2.6793767063382643	0.3811919116211541	-0.17132033443151495	-1.7051122877724592
