Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
ADORA1	Coupled	Coupled	Coupled	-	Adenosine receptors	classA	0.841504572753398	7.039764080462948	0.060400463569886445	2.792805195778088	-0.045091326216590046	-3.16858477730708	5.561132906339857	-4.621478106391975	1.1951582627295114	2.292492768245935	0.9625041865469558	-1.68797164968466	1.5201905119969212	-0.35572486562103717	0.784537353550118	-0.13948294590663274
ADORA2A	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-9.63729786617147	-3.9889439825369912	1.5756521018576521	0.5898451903443388	-2.7318752881445367	0.3135677092181177	-0.8570821946144047	-4.997902031432874	1.0388432348181582	1.9239881642872532	1.5643283124114322	-3.2631093894102947	-2.1011026305521465	0.5920304450847692	0.9385556102518733	-0.23852231314662725
ADORA2B	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-9.439906499412416	-6.205758931850675	-0.9321430881793633	3.279703201554063	-4.261809489771134	0.4292124558993132	-5.6974332924605395	-4.5805552885238425	0.9755002828663839	1.2502776587091575	1.262548951782209	-1.6285102753515819	3.246033276840534	-0.08747456880622088	1.6625789346135704	0.4250406574161523
ADORA3	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	3.5946660530870664	12.446126635217798	2.4552643365610214	-0.2588245408903987	-1.789270593281113	-0.08571634766858328	5.255012294067889	-3.716247393507622	0.1831032791844743	1.2203307171423425	1.6813816938258117	0.041031425584445586	0.9519963527580544	0.7405313744438485	2.2250922671118527	1.8401870727746208
ADRA1A	Not-coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	2.9011577638615504	11.787809093830106	8.719495067292431	-12.03344568070005	8.071233539630294	3.060611364847043	0.7252937962115205	1.5734372144163131	-3.176271967712457	0.35107603634020995	2.1459939613620937	-1.406826446909276	3.360839429289369	-0.2771247009621218	-1.8346320033874284	-1.7586953022487375
ADRA2A	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	4.0282226544468225	13.86634358547582	7.506739234116419	-8.758715540827065	7.3117525200620745	3.5892599767787545	-0.2599580223266804	-2.85444313836507	-3.397679708002293	-1.3586108565161563	0.5941208518367921	-0.4765809024982044	1.9877493853419257	1.554296220370202	-1.3415365027528412	-1.2521892579031404
ADRA2B	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	2.3429898412939028	11.268945613291303	9.147800524003177	-9.708694375800764	8.121958210502276	-1.199033382611077	-3.4911880100917543	3.695284163379388	0.8192428148406121	2.627970247874705	-1.6649579807077841	-2.6721719428555764	1.5903235718703075	2.6887268575124827	-1.5883985549170785	-0.46043046749524913
ADRA2C	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	1.5493648998651597	8.045363095686636	4.6000802393503415	-4.2359864365813715	5.51355569789919	-5.871612062869071	0.7338386523161176	1.7659721076566386	5.125549748331024	2.7292490596615537	-4.093329415311498	-0.16768080334422686	-0.2113030398444646	2.193796084410994	-0.8953317642679325	-2.113494771883747
ADRB1	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.5250190233963423	3.134311227488025	3.5535330826272857	-4.072961292447589	-3.276060233033584	-5.18224272956304	1.4961220163075113	-1.6320155205005191	3.0146426692549695	-0.721327835445811	1.6778473585569103	-0.5702093210792443	-1.3473539610190135	-0.7387821797987076	-2.236131212924147	-2.014866810657187
ADRB2	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-10.21003725666951	-6.165335369865305	0.6669222552973025	-2.4184074240265847	-3.905704369862093	-0.7678448342769674	1.433817609609876	-2.6482963361252176	-1.098749802593024	-0.17091774112332656	-1.748734515617757	0.06572320672041795	1.1341471030507313	1.9253788362674014	1.82784978351708	0.7419156515219596
