Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.08304491051529604	-0.10934696961641224	0.3018175031156627	-0.14313237537800896	-0.16211279140306575	0.10787881772930326	-0.025249707167796197	-0.12884554891155992
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.828524101912242	0.27758878144211635	-0.02783698082628977	0.1817120724316719	0.02700356034911677	0.3122335526336147	0.07995387360430818	-0.04174696788371658
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-1.086817419936344	0.08409639731520346	-0.5075614035307653	0.3507321046834489	-0.05870797984965222	0.16720281652466282	0.28099362838769026	0.006908110298372507
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.6514618767170961	-0.264412464527816	-0.006796179873643061	0.07129658162406421	-0.032430527506674287	0.0856074570488117	0.10519937509427829	0.029762238688170177
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	0.8286114179426803	-0.058606476745548496	0.3809751035916158	-0.0028566704074772437	0.06816447968230396	0.30107727955962105	-0.1708501370650611	0.15996951513972107
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.6519845391898754	-0.13517598591877694	0.3684238038554659	0.0024940573620280265	-0.0814801833682305	0.1287815469349329	-0.06374062726407662	0.14399512421214253
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.7913740846239977	0.055557633827109904	0.6137269291304176	0.013330532970700082	0.0414043921489532	0.2686847078312312	0.018863304142443284	0.040281675204387316
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.8530042858477834	0.05220488077306758	0.48826800321941705	0.1558405704926944	0.06718089524136917	0.22332258188569173	0.04530413009847804	-0.1037231601200734
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.12219122246187228	-0.26416595319903996	0.002823490603866807	-0.24247528599537502	-0.0491001309615833	0.04050734737867617	-0.15807936226222694	0.046051921678115
ADRB2	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.6879396799757233	-0.08246631028792574	-0.3578750543913873	-0.031172628265358826	-0.025157009626513703	-0.016919773775973358	-0.05165508486350713	-0.05364832946413256
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	-0.28510706950726494	-0.011477001282977633	0.12941378062578968	-0.18959006994509556	0.08251865426706614	-0.07606179541163509	-0.13974869650315244	0.05724024993649874
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	0.27827032508296407	-0.2000125302499892	0.197376579731567	-0.2762044489253498	0.1804567245470387	0.05236658315454216	-0.09089446375121432	0.13382339206739197
AVPR1A	Coupled	Coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	-0.3018943720017953	0.2616816157394774	0.5469353809693469	-0.09879238563851629	0.14502977564368824	-0.029053331365588984	-0.018126116141297634	0.0033168597122827017
AVPR2	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	-0.7064004038128345	0.12376187082413619	-0.03635933069638825	0.12950194738011217	-0.22844130786507166	-0.011953834780440629	-0.09388466530322843	-0.08541067554635112
BDKRB1	Coupled	Coupled	Not-coupled	-	Bradykinin receptors	classA	-0.2790337284005773	-0.21848422037557075	-0.10627276530193408	-0.13513408372196514	-0.07159554894841887	-0.17534168379961076	0.03798591892118512	-0.06745694864746785
BDKRB2	Coupled	Coupled	Coupled	-	Bradykinin receptors	classA	-0.7011332179488381	0.13563191793141552	-0.07861893637641744	0.05784171818296184	-0.010486710871516536	0.048377741856713584	0.017088579715044898	-0.10996387951128844
C5AR1	Coupled	-	Coupled	-	Complement peptide receptors	classA	0.6624758346471801	-0.3267485886869087	-0.2007523586547055	0.14339691777245298	-0.20874462052406895	0.1582692568069083	-0.222516134634009	-0.007838305004212797
CALCR	Coupled	-	Coupled	-	Calcitonin receptors	classB	0.2956663608873082	-0.304936204992496	0.05241601700036951	-0.10057916443886283	0.05947822054645356	-0.15586489811990886	0.08053298192356743	0.15341848923607165
CCKAR	Coupled	Coupled	Coupled	-	Cholecystokinin receptors	classA	-0.7469133035562927	-0.012999370553274403	-0.3330917915923475	0.041825067359605436	-0.13054312943628577	0.02926841801693949	-0.11245522655180093	-0.005799467981629769
CCR5	Not-coupled	-	Coupled	-	Chemokine receptors	classA	-0.45593942906160506	-0.12074090300328243	-0.17955720397018327	-0.15144851121135364	0.06330998782953377	-0.12867683863974846	-0.006678248331835305	-0.007949547599814385
CCR6	Not-coupled	-	Coupled	-	Chemokine receptors	classA	0.7439806278793154	-0.16659376592099198	0.2531444296280713	0.058353059630794284	0.09697998692362199	0.008408269237929105	-0.047123878059255324	0.2433755293005571
CHRM1	Coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	0.7301068970958156	-0.3444311413307129	-0.17333701700103885	-0.09215766763285498	0.27369188720100573	0.21295997274324827	0.027032758971584924	0.08554063702161038
