Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	1.2970320730994176	0.05046110661772123	1.085397040635014	0.6229538327924221	-0.46993025798284677	-0.9529094417527972	0.09832150245226666	0.18256519908087432	-0.5721687253149109	-0.03941173696904625	0.2750154911493428	-0.463675500376804	0.1261151657354948	0.37107074313560123	-0.061642751569786325	0.2152154924169831	-0.24218866632127772
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	0.7867707218665186	-0.21640329690415597	0.8499246269524093	0.7434505593426088	-0.7296037625944184	-1.088988907480334	0.9165140864846141	-0.07028366380586412	-0.34919650026866655	0.549411294452024	0.0489459028408535	-0.47719539231576774	0.390520741379083	0.24834338182524676	-0.09523384402633399	0.13027022463184665	-0.11176474832369557
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.25871673453188876	-1.2198338574920566	0.3334033051208965	1.3997326809907706	-0.6025351853864814	-0.7828938203892158	0.8730727190967672	-0.2284982188661418	-0.16627405859061506	0.43178891382789586	0.07635610082112589	-0.48506261512522836	0.1369784502445329	0.45216964456227454	-0.019284714876199968	0.18582918080359104	0.06801892667504725
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	1.2794767042816286	-0.8484705465708042	0.23348388461874475	-0.20604553693225672	0.09619971983210177	-0.7281761651098718	-0.08236803907228622	0.24678356887526887	-0.02384279435393695	-0.13189331415756164	0.08755110289128101	0.4255853419112801	-0.00906408101792987	-0.007446945763637771	0.0799651379011053	0.13702200831795122	-0.12819206720379522
ADRA1A	Not-coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	2.7289265353228167	0.3226985200360896	1.0545902974422263	-1.2715994830977675	0.18596171023866437	-0.6351221769854665	-0.12764873127779108	0.4732114329392592	-0.021389940693103814	-0.04820996012607788	-0.19561990570225485	-0.11488284449806996	-0.5408118046757495	-0.08556018704778003	-0.19063327943226377	0.02281460252636356	-0.2192212787908597
ADRA2A	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	2.0739324219573265	0.33796181627182154	1.0611212338183151	-1.1149412342615506	0.337648383316052	-0.7286019621190655	0.06706697015603115	0.2821036369138052	0.08155859346465007	-0.10033691896150226	0.006690072254378999	0.23200174132041576	-0.14611239662579154	0.2944923873825037	-0.31467527775462417	-0.006732607176987838	-0.22365572044214513
ADRA2B	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	2.766780905821028	0.28380288852731334	1.2355880663339665	-1.4121894648681805	-0.08854427778307601	-0.06321323157202317	0.045343592201415886	0.309196565050648	0.21412090467395536	0.2678926165308598	-0.546477281583339	-0.19566520165126622	-0.5868084449033211	-0.15813761602669923	-0.12331061265984945	-0.21019379366424112	-0.10834835542551044
ADRA2C	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	1.498742390499152	0.1295415813967923	1.5584614015700586	-0.7455692528634045	0.1510170421303958	0.2186756470224513	-0.03707443310167105	0.22115619813982504	0.5649397572030831	-0.1350437092297843	-0.2154447773074689	0.25170923778486354	-0.057451577239649075	-0.22754343898280238	0.24609155373428795	0.15304747983458838	-0.11119000095251777
ADRB1	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	0.9233359393611016	-0.9633535756194642	0.21333245185959915	-0.20804673174335486	0.18799729643649107	-0.754921606912801	0.24685244937034176	0.07522843021388878	0.2875100939124309	-0.19927053734087027	0.29688927136253596	0.4698778294987257	0.3959345501407481	-0.27511098114957727	0.12842982385535956	0.33021445252216725	-0.1713797403016407
ADRB2	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-1.7143201458626818	-0.6333577970358371	-0.9567918209432564	-0.7706980733704323	-0.06266740187441464	-0.17980360791915112	0.2567696442533464	-0.47203889655733466	-0.31111876914666664	0.1894867735956714	-0.015623201208775894	0.006783987090434787	-0.1972832813600471	0.4191134317586124	0.2846395449709479	-0.1728579849128446	-0.0757268210023184
