Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-57.41052673292637	-33.40172903263834	-16.1011007155799	16.597754857796012	-3.798094034586163	-8.579318571120872	8.11833419605645	1.491999679229861	15.454103383160225	0.3016870901154704	6.155159829914338
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-34.67749261797765	-47.3932487859421	-19.495758678090525	48.87052141712432	-16.575151994247257	-1.8165205971415082	21.633023191973297	-10.448148042382877	3.724560409222808	-0.7679404890700119	4.660189645826918
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-40.877271152764976	-44.02772171409694	-25.976791976684034	57.834430413511235	-18.35174800886168	1.652443533155026	18.691097812323072	-6.018187502248983	5.559353745659875	-8.92221376469208	8.575732533873555
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-51.35571169746084	-20.545455557670017	6.632089003020614	-13.811834039907282	2.27000537609807	-12.019340007586074	-6.552461584565484	3.108146095687485	4.381868589472115	-3.9327654370747216	-1.4689325245221467
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-52.37108825782579	-22.633225473104652	13.887479468677338	-17.80106907615464	2.3010626754686037	-23.282496521874048	-20.47614688419392	2.4843565379456813	-9.111732680389878	15.187993365209563	-12.884683446040645
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-49.77760554489949	-25.22340215164956	14.70395880565972	-15.623740660941094	1.8837853529886546	-25.6703234643653	-16.71175197070581	-3.3747920222339385	-1.6206675950731881	11.24733362012024	-16.101321257251463
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-41.56534511843433	-28.22573088349903	18.158372249425476	-15.133886701135879	0.09694088448132461	-21.299822033546945	-15.440283668764271	-6.4688516775593685	-11.043756238452861	22.649358358253373	-9.111714580989707
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-52.289226133161236	-18.96934725557224	16.278984646076324	-16.11419268455219	3.201358637725648	-7.389104336914762	-6.015570801654305	-10.782806114029615	-3.5625835639096275	19.11137366826669	8.445562657605045
ADRB1	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-50.014856495840846	-23.50098513066222	12.896945027652198	-4.641296482036778	-2.0508912588202457	-6.463249373994531	2.9101969261466856	-7.819846158720816	-0.7112369652211558	-2.594440022490163	9.300330908197596
ADRB2	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	82.1529146828812	-26.065370877768206	7.046721896974248	9.62140803252915	-6.717791553559079	-2.8818773301851506	-2.0811423363962867	6.5523453264137865	10.909837886974762	-4.169624231008165	6.793887178912447
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	63.2154230822683	-26.298983008775235	16.382727299502594	-1.3350699508937947	-3.5041184744135836	-3.5771757733139617	-1.6018799686297058	3.1319653316320193	9.530155871704096	2.2822942185324773	4.807255349797076
APLNR	Not-coupled	Coupled	Coupled	-	Apelin receptor	classA	1.2836478503407738	12.933188416133728	4.973741351979297	-13.414387229586882	-5.1121384823281435	27.056001615446494	-21.493659433364428	-13.826162977672553	0.9932637460006425	-11.38410675180839	1.1326614530900614
AVPR1A	Coupled	Not-coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	6.17754857984602	15.830888537081274	-0.1368953508285096	-2.6415224389217866	-9.401561184506797	34.552552536305186	-24.768005594194626	-25.94740345289789	2.9190040854670953	-4.9515410105923365	-0.8326127071736175
AVPR2	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	65.05528486585717	-20.522035278913034	0.9879495341453048	11.495200435891709	-6.659960386531639	0.2389595814924757	-5.529304472795973	6.031792666054851	9.4124318994447	0.41775601575516647	1.6059367649313332
BDKRB1	Coupled	Coupled	Not-coupled	-	Bradykinin receptors	classA	45.55226325668746	-10.797131282902964	-2.0225081877135356	-1.7950506471363852	-4.082988397370202	0.6553341182026352	-16.9818790331676	17.8892471744006	4.331233814174282	-2.9468834525684975	7.142104337891816
BDKRB2	Coupled	Coupled	Coupled	-	Bradykinin receptors	classA	68.9243927181	-11.402773747049263	-7.605175472124658	14.06714375041315	-9.833454148907606	-1.461888134436673	-21.017087137653817	-2.0711564733347565	25.43105601696204	-1.2880359555984797	20.13696074200151
C5AR1	Coupled	-	Coupled	-	Complement peptide receptors	classA	-5.13085766391323	91.49677555333416	12.222069878208012	-6.264234771801461	-33.94077784429636	-6.927651118722813	10.271473363874366	1.837143421893634	2.2505882177920356	-2.5914453835386406	2.056813814732534
