GPCR	166bip	166bin	169bip	169bin	249bip	249bin	269bip	269bin	270bip	270bin	302bip	302bin	655bip	655bin	660bip	660bin	661bip	661bin	C_CTL	T_CTL	O
GPR183	1.86712	1.1446	1.34496	1.22632	2.04167	1.60139	0.54101	1.2805	1.61638	1.49305	1.42345	1.47186	1.14915	0.99859	1.56104	2.19891	1.41298	0.98215	1	2	1
LTB4R	2.94904	3.62641	2.1091	2.342	1.40153	1.60788	0.54101	1.2805	1.52502	1.6146	1.3931	1.98436	1.14915	0.99859	2.34173	1.57821	2.68432	4.22382	1	4	1
C5AR1	2.2848	2.37688	2.1091	2.342	2.04167	1.60139	0.54101	1.2805	3.30593	3.22926	1.82341	2.02797	0.94728	1.45152	2.68594	3.59861	1.33103	1.54273	0	5	1
CCR5	3.44517	3.64645	1.16789	1.83082	1.40153	1.60788	3.01653	3.71359	1.61638	1.49305	2.89035	2.55906	1.14915	0.99859	2.68594	3.59861	1.41298	0.98215	3	2	1
CCR6	1.72937	2.19633	2.1091	2.342	1.40153	1.60788	0.54101	1.2805	3.57256	3.67503	1.42345	1.47186	0.94728	1.45152	1.80643	2.17455	2.68432	4.22382	2	3	1
EDNRA	2.2848	2.37688	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	2.19445	2.00719	2.34173	1.57821	1.41298	0.98215	6	3	1
OPRM1	3.40361	3.6419	2.34507	2.85567	2.04167	1.60139	0.54101	1.2805	1.11709	1.59794	4.15706	4.48177	0.94728	1.45152	1.32369	1.71208	1.89694	1.14651	2	7	1
CYSLTR2	2.69084	3.39892	1.16789	1.83082	2.04167	1.60139	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	2.63798	2.84986	2.68594	3.59861	1.41298	0.98215	1	2	1
OPRL1	3.64235	4.52503	2.34507	2.85567	2.9692	3.7032	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	1.56104	2.19891	4.15354	5.87428	4	2	1
CYSLTR1	2.69084	3.39892	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	2.35013	2.35742	1.3931	1.98436	0.94728	1.45152	1.80643	2.17455	1.89694	1.14651	1	2	1
CNR2	1.8201	1.80357	1.34496	1.22632	1.40153	1.60788	1.45905	0.81634	1.61638	1.49305	3.47587	2.91596	0.94728	1.45152	1.80643	2.17455	1.33103	1.54273	3	3	1
P2RY2	2.2848	2.37688	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	1.11709	1.59794	1.42345	1.47186	0.94728	1.45152	2.34173	1.57821	1.41298	0.98215	0	6	1
F2R	1.72937	2.19633	1.16789	1.83082	2.48777	1.87993	0.54101	1.2805	1.61638	1.49305	1.3931	1.98436	0.94728	1.45152	1.32369	1.71208	1.33103	1.54273	4	2	1
PTGER4	1.86712	1.1446	1.16789	1.83082	2.75538	4.33564	0.54101	1.2805	1.11709	1.59794	1.42345	1.47186	2.63798	2.84986	1.80643	2.17455	1.33103	1.54273	4	10	1
S1PR1	1.72937	2.19633	1.34496	1.22632	1.40153	1.60788	1.45905	0.81634	1.61638	1.49305	4.12592	2.6956	0.94728	1.45152	1.32369	1.71208	2.68432	4.22382	3	3	1
PTGER2	5.11074	5.19314	5.84685	5.30089	2.75538	4.33564	1.45905	0.81634	1.52502	1.6146	1.3931	1.98436	3.6399	3.95364	2.34173	1.57821	1.89694	1.14651	3	4	1
ADRA2A	1.8201	1.80357	1.16789	1.83082	2.04167	1.60139	0.54101	1.2805	1.52502	1.6146	1.42345	1.47186	0.94728	1.45152	1.56104	2.19891	1.89694	1.14651	1	0	1
ADRA2B	2.2848	2.37688	1.16789	1.83082	1.78111	1.88856	0.54101	1.2805	1.52502	1.6146	1.42345	1.47186	0.94728	1.45152	1.56104	2.19891	1.41298	0.98215	1	2	1
ADRA2C	1.8201	1.80357	2.1091	2.342	1.78111	1.88856	0.54101	1.2805	1.52502	1.6146	1.42345	1.47186	0.94728	1.45152	1.56104	2.19891	1.41298	0.98215	0	1	1
AVPR1A	2.94904	3.62641	1.34496	1.22632	1.78111	1.88856	3.01653	3.71359	3.30593	3.22926	1.82341	2.02797	1.14915	0.99859	1.32369	1.71208	1.89694	1.14651	3	5	1
CXCR2	2.94904	3.62641	2.34507	2.85567	1.78111	1.88856	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	1.80643	2.17455	1.41298	0.98215	0	3	1
HTR2A	1.72937	2.19633	1.16789	1.83082	1.78111	1.88856	0.54101	1.2805	1.52502	1.6146	1.42345	1.47186	0.94728	1.45152	1.56104	2.19891	1.89694	1.14651	3	5	1
GPR68	3.64235	4.52503	1.34496	1.22632	1.78111	1.88856	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	2.63798	2.84986	1.80643	2.17455	2.68432	4.22382	3	7	1
CXCR5	1.8201	1.80357	1.34496	1.22632	2.9692	3.7032	1.45905	0.81634	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	2.68594	3.59861	1.41298	0.98215	2	6	1
CXCR4	2.69084	3.39892	1.16789	1.83082	2.69945	2.11321	0.54101	1.2805	1.52502	1.6146	1.42345	1.47186	2.19445	2.00719	2.68594	3.59861	2.68432	4.22382	0	3	1
HRH2	1.8201	1.80357	2.51646	2.39263	2.04167	1.60139	0.54101	1.2805	1.52502	1.6146	1.3931	1.98436	0.94728	1.45152	1.32369	1.71208	1.33103	1.54273	2	6	1
CHRM4	1.72937	2.19633	2.34507	2.85567	1.40153	1.60788	0.54101	1.2805	2.35013	2.35742	1.82341	2.02797	1.14915	0.99859	1.32369	1.71208	1.41298	0.98215	2	3	1
HTR2C	1.72937	2.19633	1.16789	1.83082	1.78111	1.88856	0.54101	1.2805	1.52502	1.6146	1.42345	1.47186	0.94728	1.45152	1.80643	2.17455	1.33103	1.54273	1	3	1
