GPCR	169bip	169bin	194bip	194bin	207bip	207bin	397bip	397bin	661bip	661bin	733bip	733bin	CTLL	S_CTL	O
CNR1	0.78683	1.63144	1.11425	1.40184	1.44715	2.15162	2.6477	3.46136	1.10321	1.52051	1.39408	1.44638	75	11	1
BDKRB2	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	2.08601	1.85829	1.10321	1.52051	1.16418	1.86746	59	6	1
GPR4	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	1.49985	1.88994	1.79611	1.58098	1.39408	1.44638	76	7	1
PTGER4	1.50985	1.37921	1.61744	2.24438	1.71218	1.36961	2.00364	2.92934	1.10321	1.52051	2.40383	2.90176	159	28	1
S1PR1	0.78683	1.63144	1.11425	1.40184	2.71066	2.18155	2.50627	3.12319	2.48664	3.04658	1.39408	1.44638	71	13	1
CCKAR	1.50985	1.37921	1.45656	1.3208	2.90104	1.93036	2.08601	1.85829	1.21694	1.26213	1.39408	1.44638	58	6	1
PTGER1	5.72542	5.48507	1.61744	2.24438	5.24652	5.04142	2.00364	2.92934	1.10321	1.52051	2.40383	2.90176	51	7	1
GPR39	5.72542	5.48507	1.99227	2.83322	1.44715	2.15162	2.50627	3.12319	1.79611	1.58098	1.16418	1.86746	109	17	1
LTB4R	2.3197	2.16012	1.61744	2.24438	5.24652	5.04142	2.00364	2.92934	2.48664	3.04658	2.16924	1.51012	67	10	1
HTR2C	1.50985	1.37921	1.45656	1.3208	1.71218	1.36961	2.51809	1.04926	1.10321	1.52051	1.16418	1.86746	90	8	1
HRH1	0.78683	1.63144	1.11425	1.40184	1.50877	2.55612	1.49985	1.88994	1.21694	1.26213	1.16418	1.86746	19	1	1
P2RY2	0.78683	1.63144	1.99227	2.83322	5.24652	5.04142	2.08601	1.85829	1.21694	1.26213	2.16924	1.51012	71	7	1
EDNRA	0.78683	1.63144	1.11425	1.40184	1.44715	2.15162	2.86993	3.96107	1.21694	1.26213	1.39408	1.44638	60	9	1
GHSR	2.97729	2.33633	1.45656	1.3208	5.24652	5.04142	2.86993	3.96107	1.21694	1.26213	1.39408	1.44638	43	7	1
HCRTR2	3.4357	2.25511	1.11425	1.40184	2.82341	2.90929	1.49985	1.88994	1.10321	1.52051	1.39408	1.44638	80	10	1
CYSLTR2	1.50985	1.37921	1.99227	2.83322	5.24652	5.04142	2.93641	3.15067	1.21694	1.26213	1.16418	1.86746	41	2	1
F2RL1	0.78683	1.63144	1.99227	2.83322	5.24652	5.04142	1.49985	1.88994	1.10321	1.52051	2.963	2.91631	53	13	1
GPR68	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	1.49985	1.88994	2.48664	3.04658	2.16924	1.51012	79	6	1
PTGFR	5.72542	5.48507	4.02511	3.02143	1.44715	2.15162	2.08601	1.85829	1.10321	1.52051	2.40383	2.90176	55	9	0
