GPCR	169bip	169bin	172bip	172bin	193bip	193bin	194bip	194bin	196bip	196bin	249bip	249bin	254bip	254bin	269bip	269bin	270bip	270bin	398bip	398bin	633bip	633bin	655bip	655bin	658bip	658bin	660bip	660bin	661bip	661bin	671bip	671bin	673bip	673bin	C_CTL	T_CTL	O
GPR183	1.21286	1.43916	1.43281	1.59782	1.44328	2.40942	4.01012	3.54986	1.64052	1.51429	2.18331	1.24411	2.44998	2.22705	0.601	1.34233	1.566	1.43402	1.69297	1.80471	3.04139	3.15106	0.98117	1.46444	1.19396	1.79505	1.63413	2.27815	1.40492	1.01397	1.90948	1.30637	1.42714	1.72371	1	2	1
ADORA1	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	3.19001	3.81091	2.35544	2.35102	1.26903	0.9111	1.11164	1.60967	1.24858	2.01712	3.0611	3.68317	0.98117	1.46444	2.26137	1.72517	2.14734	1.61264	1.40492	1.01397	1.82229	1.1437	1.12401	1.87129	1	1	1
PTGER1	5.89818	5.25998	5.29979	5.87148	0.76665	1.56249	1.85732	2.2204	0.96179	1.72918	2.26593	2.17875	2.67391	2.46863	1.26903	0.9111	1.11164	1.60967	3.06862	2.73719	3.0611	3.68317	0.98117	1.46444	1.19396	1.79505	4.02877	3.44367	1.27188	1.6621	3.39646	4.0432	1.42714	1.72371	0	1	1
GPR39	5.89818	5.25998	1.86927	1.49841	3.45764	4.75911	2.31859	3.14323	0.96179	1.72918	1.34584	2.06924	2.44998	2.22705	0.601	1.34233	2.1288	3.71946	2.27712	2.11951	1.97459	2.17931	0.98117	1.46444	2.42546	3.25278	2.14734	1.61264	1.77661	1.22287	3.65212	5.1051	1.12401	1.87129	2	5	1
LTB4R	2.15051	2.31135	1.43281	1.59782	4.29491	3.62936	1.85732	2.2204	1.64052	1.51429	1.34584	2.06924	4.19419	3.58381	0.601	1.34233	1.64399	1.3344	2.27712	2.11951	4.64168	5.85296	0.98117	1.46444	2.42546	3.25278	2.14734	1.61264	2.81835	3.15408	1.90948	1.30637	1.42714	1.72371	1	4	1
C5AR1	2.15051	2.31135	3.33833	4.07448	4.08752	5.14831	3.70633	3.02103	1.64052	1.51429	2.18331	1.24411	2.46092	2.77457	0.601	1.34233	3.3688	3.26559	2.34814	1.56843	4.64168	5.85296	1.0296	1.29619	3.33243	2.95388	2.87655	2.77453	1.27188	1.6621	1.90948	1.30637	1.42714	1.72371	0	5	1
CCR5	1.20034	1.77968	1.86927	1.49841	1.44328	2.40942	1.14997	1.78374	1.64052	1.51429	1.34584	2.06924	3.57284	3.39613	3.08357	3.57982	1.566	1.43402	1.24858	2.01712	4.64168	5.85296	0.98117	1.46444	1.19396	1.79505	2.87655	2.77453	1.40492	1.01397	1.90948	1.30637	1.12401	1.87129	3	2	1
CCR6	2.15051	2.31135	2.08489	2.28607	1.44328	2.40942	1.14997	1.78374	1.64052	1.51429	1.34584	2.06924	3.57284	3.39613	0.601	1.34233	3.63239	3.69365	1.24858	2.01712	4.64168	5.85296	1.0296	1.29619	1.19396	1.79505	1.85892	2.10042	2.81835	3.15408	3.90624	4.61809	3.58962	3.57432	2	3	1
EDNRA	1.21286	1.43916	1.43281	1.59782	1.78817	1.23809	1.2602	1.26899	0.96179	1.72918	1.34584	2.06924	2.80808	2.28183	0.601	1.34233	1.11164	1.60967	2.28855	2.35991	3.45704	4.24921	2.25613	1.85963	2.23564	2.22918	2.14734	1.61264	1.40492	1.01397	1.82229	1.1437	2.07128	1.66457	6	3	1
OPRL1	2.35342	2.83969	1.43281	1.59782	1.44328	2.40942	1.2602	1.26899	1.64052	1.51429	3.00658	3.70483	1.5432	2.57424	0.601	1.34233	1.11164	1.60967	1.69297	1.80471	1.97459	2.17931	1.0296	1.29619	1.19396	1.79505	1.63413	2.27815	4.23159	5.35134	2.64763	2.94815	1.42714	1.72371	4	2	1
MC4R	1.20034	1.77968	1.43281	1.59782	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	1.80779	1.80085	2.46092	2.77457	1.26903	0.9111	1.11164	1.60967	1.24858	2.01712	4.64168	5.85296	2.25613	1.85963	1.19396	1.79505	1.63413	2.27815	1.77661	1.22287	1.60191	1.57625	2.07128	1.66457	3	1	1
CYSLTR1	1.21286	1.43916	1.86927	1.49841	1.44328	2.40942	2.31859	3.14323	1.64052	1.51429	1.34584	2.06924	2.15566	2.11076	0.601	1.34233	2.1288	3.71946	1.69297	1.80471	2.15543	2.44354	1.0296	1.29619	1.80778	1.97993	1.85892	2.10042	1.77661	1.22287	1.90948	1.30637	1.12401	1.87129	1	2	1
CNR1	1.21286	1.43916	1.43281	1.59782	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	2.26593	2.17875	2.35544	2.35102	1.26903	0.9111	1.566	1.43402	1.69297	1.80471	2.80178	3.30809	0.98117	1.46444	1.19396	1.79505	1.33566	1.96281	1.27188	1.6621	1.82229	1.1437	2.6368	2.25887	3	5	1
CNR2	1.21286	1.43916	1.43281	1.59782	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	1.34584	2.06924	2.35544	2.35102	1.26903	0.9111	1.566	1.43402	1.69297	1.80471	2.80178	3.30809	1.0296	1.29619	1.19396	1.79505	1.85892	2.10042	1.27188	1.6621	2.64763	2.94815	2.6368	2.25887	3	3	1
P2RY2	1.21286	1.43916	2.08489	2.28607	1.44328	2.40942	2.31859	3.14323	2.82245	2.10221	1.34584	2.06924	2.44998	2.22705	0.601	1.34233	1.11164	1.60967	1.69297	1.80471	3.0611	3.68317	1.0296	1.29619	1.19396	1.79505	2.14734	1.61264	1.40492	1.01397	1.60191	1.57625	1.42714	1.72371	0	6	1
