GPCR	169bip	169bin	194bip	194bin	269bip	269bin	276bip	276bin	301bip	301bin	309bip	309bin	381bip	381bin	655bip	655bin	658bip	658bin	671bip	671bin	702neg	730bip	730bin	O
PTGFR	5.83935	5.46869	3.42231	3.19301	1.87541	0.927	0.81598	0.98907	2.51343	3.16054	1.80749	1.35924	2.26793	2.00339	0.98186	1.16934	1.85774	1.09435	1.68245	1.52163	1	1.63133	1.04804	1
HCRTR2	3.84496	2.08197	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	2.49844	1.75509	1.80749	1.35924	2.3419	2.32157	1.09378	0.97821	1.85774	1.09435	2.46091	2.51989	1	2.5344	3.0165	1
ADRA2A	1.11091	1.56768	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	2.71444	2.60148	1.80749	1.35924	3.31149	3.53144	1.09378	0.97821	1.85774	1.09435	1.68245	1.52163	0	1.63133	1.04804	1
GPR39	5.83935	5.46869	1.77563	3.67818	0.45622	1.03245	0.94938	0.83219	2.91926	3.39489	2.07591	2.23303	1.32245	2.61718	0.98186	1.16934	2.63367	2.47575	3.23268	4.53071	1	1.46825	1.67416	1
LTB4R	2.31719	2.07666	2.27836	1.95849	0.45622	1.03245	0.81598	0.98907	2.51343	3.16054	1.47478	1.81458	1.32245	2.61718	0.98186	1.16934	2.63367	2.47575	1.65689	1.99301	1	1.76177	1.61108	1
AVPR1A	1.07836	1.60796	1.46861	1.23113	2.90573	3.4042	0.81598	0.98907	1.81071	1.92012	1.47478	1.81458	2.92804	2.28604	0.98186	1.16934	1.56225	2.21309	1.68245	1.52163	1	3.55576	4.86784	1
GNRHR	5.83935	5.46869	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	1.81892	1.75762	3.20473	1.97497	2.3419	2.32157	3.57898	4.3557	2.98795	3.40004	1.65689	1.99301	0	2.65122	3.42122	1
EDNRA	1.07836	1.60796	1.46861	1.23113	0.45622	1.03245	0.81598	0.98907	3.00442	2.95154	1.47478	1.81458	2.3419	2.32157	2.169	2.25922	2.04804	2.515	2.43132	1.4422	1	1.46825	1.67416	1
CYSLTR2	1.11091	1.56768	1.77563	3.67818	0.45622	1.03245	3.73495	3.79586	2.49844	1.75509	3.07458	3.0651	2.28127	2.34237	2.98806	2.73713	2.04804	2.515	1.65689	1.99301	1	2.65122	3.42122	1
CYSLTR1	1.07836	1.60796	1.77563	3.67818	0.45622	1.03245	0.94938	0.83219	2.51343	3.16054	2.91028	3.14058	2.28127	2.34237	1.09378	0.97821	1.56225	2.21309	1.65689	1.99301	1	2.65122	3.42122	1
