GPCR	166bip	166bin	169bip	169bin	171bip	171bin	186bip	186bin	194bip	194bin	262bip	262bin	267bip	267bin	269bip	269bin	378bip	378bin	413bip	413bin	418bip	418bin	655bip	655bin	671bip	671bin	730bip	730bin	IP_Z_6qno	IP_Z_6vms	D_CTL	L_CTL	O
AVPR1A	2.94619	3.61852	1.16765	1.86124	1.85598	0.36776	3.17695	3.6154	1.26125	1.56935	3.20477	2.75416	1.94264	1.27405	3.23275	3.01307	2.34842	2.8147	2.46469	2.02538	2.1864	1.92033	1.09607	1.05952	2.10057	0.77293	4.1575	3.50271	0.42	0.719	4	2	1
LTB4R2	2.67928	3.47455	2.09446	2.52805	2.2426	2.50377	1.7621	1.73431	1.96457	2.05732	1.11891	2.41179	2.11249	2.28361	0.63659	1.22679	3.24054	4.21506	1.18171	1.52418	4.51167	5.058	1.09607	1.05952	1.77956	1.90446	1.5769	1.76604	-2.332	-1.136	4	11	1
ADORA3	2.01515	1.53351	1.3451	1.34415	1.46291	3.03692	2.2757	1.75222	1.26125	1.56935	1.18669	1.09707	1.32589	1.50096	1.18634	1.15449	2.08742	1.8818	2.46469	2.02538	2.27971	1.50942	0.93514	1.4328	1.52283	2.35256	3.3669	2.66358	0.657	2.11	2	4	1
MTNR1B	1.60559	1.60941	1.3451	1.34415	2.2426	2.50377	1.7621	1.73431	1.29217	1.53124	1.11891	2.41179	1.32589	1.50096	1.18634	1.15449	2.61368	3.61104	2.13352	1.84212	4.51167	5.058	0.93514	1.4328	1.52283	2.35256	1.19262	1.78966	-1.159	0.719	2	7	1
PTGER1	5.12144	5.15467	5.84066	5.33092	5.17281	6.85744	2.94238	3.419	1.96457	2.05732	1.93103	2.21029	3.28606	4.36483	1.18634	1.15449	2.61368	3.61104	1.18171	1.52418	4.08993	5.058	1.09607	1.05952	3.37598	4.09275	1.19262	1.78966	-0.153	0.855	0	11	1
GPR39	5.12144	5.15467	5.84066	5.33092	5.17281	6.85744	2.2757	1.75222	2.43702	2.72619	1.93103	2.21029	2.7421	3.41645	0.63659	1.22679	1.92038	1.35394	1.18171	1.52418	4.51167	5.058	1.09607	1.05952	3.428	4.69846	1.602	1.86256	0.499	0.312	1	10	1
LTB4R	2.94619	3.61852	2.09446	2.52805	2.2426	2.50377	1.7621	1.73431	1.96457	2.05732	1.11891	2.41179	1.32589	1.50096	0.63659	1.22679	1.92038	1.35394	1.18171	1.52418	4.51167	5.058	1.09607	1.05952	1.77956	1.90446	1.5769	1.76604	-3.023	-1.857	0	10	1
C5AR1	2.19068	2.7804	2.09446	2.52805	1.46291	3.03692	1.7621	1.73431	3.57659	3.05688	1.18669	1.09707	2.7421	3.41645	0.63659	1.22679	1.92038	1.35394	2.61122	3.67703	4.51167	5.058	0.93514	1.4328	1.77956	1.90446	1.602	1.86256	-2.043	-1.006	1	5	1
CCR5	3.45561	3.61433	1.3451	1.34415	1.93411	4.90416	1.78788	2.34888	1.29217	1.53124	1.18669	1.09707	2.11249	2.28361	3.23275	3.01307	2.04059	1.14967	1.18171	1.52418	4.51167	5.058	1.09607	1.05952	1.77956	1.90446	1.602	1.86256	-0.909	-1.659	0	3	1
CCR6	1.95851	1.72982	2.09446	2.52805	2.75657	3.60488	1.7621	1.73431	1.29217	1.53124	3.72476	3.00012	2.77072	3.00502	0.63659	1.22679	3.94462	4.87971	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	3.90194	4.43497	1.19262	1.78966	-0.745	-1.599	3	3	1
