GPCR	169bip	169bin	172bip	172bin	194bip	194bin	249bip	249bin	262bip	262bin	378bip	378bin	391bip	391bin	420neg	656bip	656bin	671bip	671bin	730bip	730bin	733bip	733bin	G_CTL	L_CTL	Q_CTL	Y_CTL	O
PTGFR	5.47377	5.634	5.59488	5.25083	3.04806	4.02377	1.88839	1.99645	2.21179	2.03295	2.03773	1.12776	1.15455	1.4657	0	2.14627	2.05826	1.97624	0.67507	1.29172	1.61526	3.12318	2.11413	1	8	1	1	1
HCRTR2	2.75029	2.01683	1.36251	1.2661	1.3735	1.24943	1.92469	1.5301	1.2285	2.58381	1.60984	1.97963	2.17221	2.59484	1	1.34999	2.20818	2.33819	3.88747	2.72866	2.49681	1.33789	1.63075	5	8	4	0	1
ADORA1	1.55096	1.19103	1.36251	1.2661	1.3735	1.24943	3.22889	3.53787	1.26442	0.9871	1.98162	2.22748	1.15455	1.4657	0	1.34999	2.20818	1.71314	2.02567	2.93674	3.60506	1.33789	1.63075	0	2	2	0	1
ADORA3	1.55096	1.19103	1.36251	1.2661	1.3735	1.24943	2.26562	2.47126	1.26442	0.9871	1.98162	2.22748	2.87749	3.15606	0	1.34999	2.20818	1.71314	2.02567	2.93674	3.60506	1.33789	1.63075	0	4	0	2	1
MTNR1B	1.55096	1.19103	1.36251	1.2661	1.39744	1.11963	2.25337	2.40978	1.2285	2.58381	2.67293	3.39403	1.15455	1.4657	0	2.90444	2.01945	1.71314	2.02567	1.29172	1.61526	1.33789	1.63075	4	7	5	1	1
PTGER1	5.47377	5.634	5.59488	5.25083	2.41182	1.59728	2.26562	2.47126	2.21179	2.03295	2.67293	3.39403	1.76098	1.92428	1	2.14627	2.05826	3.38628	4.45828	1.29172	1.61526	3.12318	2.11413	6	11	2	0	1
GPR39	5.47377	5.634	2.0018	1.56011	2.39744	3.0535	1.28512	1.92568	2.21179	2.03295	1.60984	1.97963	1.76098	1.92428	0	1.60952	1.8041	3.40126	5.16894	1.6553	1.56644	1.83157	1.24751	2	10	10	0	1
LTB4R	2.12584	2.35894	1.29856	1.7785	2.41182	1.59728	1.28512	1.92568	1.2285	2.58381	1.60984	1.97963	1.15455	1.4657	0	2.25283	2.36556	1.73301	1.63901	1.62642	1.71045	1.57316	1.88262	12	10	1	0	1
C5AR1	2.12584	2.35894	3.54414	3.41912	3.50686	3.07233	1.88839	1.99645	1.26442	0.9871	1.60984	1.97963	4.61061	5.4302	0	1.60952	1.8041	1.73301	1.63901	1.6553	1.56644	1.33789	1.63075	3	5	4	0	1
CCR5	1.55096	1.19103	2.0018	1.56011	1.39744	1.11963	1.28512	1.92568	1.26442	0.9871	2.03773	1.12776	1.15455	1.4657	0	2.14627	2.05826	1.73301	1.63901	1.6553	1.56644	1.33789	1.63075	3	3	4	2	1
CCR6	2.12584	2.35894	1.97094	3.06299	1.39744	1.11963	1.28512	1.92568	3.601	2.98013	3.97173	4.60858	2.32727	1.20428	0	1.60952	1.8041	3.86326	4.49534	1.29172	1.61526	1.57316	1.88262	3	3	2	3	1
EDNRA	1.34838	1.39335	1.29856	1.7785	1.3735	1.24943	1.28512	1.92568	1.2285	2.58381	3.87921	5.35185	2.55332	3.73231	0	1.60952	1.8041	1.71314	2.02567	1.6553	1.56644	1.33789	1.63075	1	3	4	2	1
PTGER3	2.25394	3.76674	1.36251	1.2661	1.3735	1.24943	2.26562	2.47126	2.21179	2.03295	2.22633	2.9126	1.15455	1.4657	1	2.14627	2.05826	1.71314	2.02567	1.29172	1.61526	3.12318	2.11413	0	8	2	2	1
CYSLTR2	1.55096	1.19103	1.97094	3.06299	2.39744	3.0535	1.88839	1.99645	1.26442	0.9871	3.14068	4.21976	1.15455	1.4657	0	1.34999	2.20818	1.73301	1.63901	3.11003	2.63194	1.83157	1.24751	2	3	1	1	1
OPRL1	2.25394	3.76674	1.29856	1.7785	1.3735	1.24943	3.06995	3.2781	3.01293	2.4109	1.60984	1.97963	1.76098	1.92428	0	1.60952	1.8041	2.6298	3.11531	1.29172	1.61526	1.33789	1.63075	0	3	1	0	1
CYSLTR1	1.34838	1.39335	2.0018	1.56011	2.39744	3.0535	1.28512	1.92568	1.26442	0.9871	3.14068	4.21976	2.32727	1.20428	0	3.20811	2.53295	1.73301	1.63901	3.11003	2.63194	1.83157	1.24751	3	3	0	1	1
CNR1	1.34838	1.39335	1.29856	1.7785	1.3735	1.24943	2.26562	2.47126	1.2285	2.58381	3.10642	2.34785	1.15455	1.4657	1	1.34999	2.20818	1.71314	2.02567	1.62642	1.71045	1.33789	1.63075	2	5	1	0	1
CNR2	1.34838	1.39335	1.29856	1.7785	1.3735	1.24943	1.28512	1.92568	1.2285	2.58381	2.03773	1.12776	5.30745	5.4302	1	1.34999	2.20818	2.6298	3.11531	1.62642	1.71045	1.57316	1.88262	4	5	0	0	1
P2RY2	1.34838	1.39335	1.97094	3.06299	2.39744	3.0535	1.28512	1.92568	1.26442	0.9871	3.26706	3.93206	1.76098	1.92428	0	1.34999	2.20818	1.97624	0.67507	1.29172	1.61526	1.57316	1.88262	5	6	2	0	1
CXCR2	2.25394	3.76674	1.29856	1.7785	1.39744	1.11963	1.92469	1.5301	1.26442	0.9871	1.60984	1.97963	1.76098	1.92428	0	1.60952	1.8041	1.73301	1.63901	1.29172	1.61526	1.83157	1.24751	5	6	1	0	1
S1PR1	1.34838	1.39335	1.29856	1.7785	1.3735	1.24943	1.28512	1.92568	1.2285	2.58381	2.03773	1.12776	1.15455	1.4657	1	1.34999	2.20818	1.71314	2.02567	3.33938	2.94427	1.33789	1.63075	5	1	1	0	1
