Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	Coupled	-	-	-	Adhesion Class GPCRs	classB	29.9447899496779	-23.4376338175245
LGR6	-	-	-	-	NA	classA	22.3668432797747	19.5933451946295
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-38.1653452156147	0.983841544708463
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	29.0129637695101	-23.8052906394683
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	-38.2018484688028	1.13626609737398
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	-40.7539585250196	15.735876282751
GPRC6A	Coupled	-	-	-	Calcium-sensing receptors	classC	-40.4718021287007	10.5577803983755
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	-40.0181117652722	9.52631465357052
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-7.44431267359313	40.2160231308718
ADGRF1	-	-	-	-	NA	classB	-39.6666479458241	10.5553979306808
GRM8	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	29.1892903755819	-24.2602015839607
LGR5	-	-	-	-	NA	classA	-0.065198482142483	35.209671130949
ADGRE1	-	-	-	-	NA	classB	-40.4387841182285	12.8689874342156
GRM3	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	-41.6820153157726	10.0571234904415
GRM6	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	21.5515855436027	18.7706485799395
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-40.9321360167799	12.8322978191601
GRM2	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-38.2811447364275	16.9398625462122
TAS1R3	-	-	-	-	NA	classC	-38.5881939742987	16.3339726385654
TAS1R1	-	-	-	-	NA	classC	-39.512297220106	16.0004314586325
TAS1R2	-	-	-	-	NA	classC	-0.259403533626088	34.4222245455131
ADGRE5	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-0.875405610353206	34.5133637406578
ADGRE2	Coupled	-	-	-	Adhesion Class GPCRs	classB	4.75248405661958	14.4257179959625
GPR156	-	-	-	-	NA	classC	-6.76305257793872	38.7514385879331
ADGRG7	-	-	-	-	NA	classB	35.7797267447501	-4.70208093914516
SMO	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	24.7057878997021	-18.0869187135124
TSHR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	-16.4269995789672	-37.9643137524223
RXFP1	Not-coupled	-	-	-	Relaxin family peptide receptors	classA	-16.4404603107547	-37.9622970060594
RXFP2	Not-coupled	-	-	-	Relaxin family peptide receptors	classA	4.15029792587178	13.661655147754
GPR149	-	-	-	-	NA	classA	-8.18261953492749	40.8807792168433
ADGRF2	-	-	-	-	NA	classB	33.5486215230384	-5.5090140368432
FZD6	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	24.4225814236504	-19.3962580352028
LHCGR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	-7.98319191232174	39.8777839019328
ADGRF4	-	-	-	-	NA	classB	24.6204209371162	-18.5187136072749
FSHR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	39.6729166402609	-6.98833218367956
FZD8	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	19.6671507124473	17.4343248248527
ADGRG1	Coupled	-	-	-	Adhesion Class GPCRs	classB	-4.24904008894186	35.7809846877625
ADGRL4	-	-	-	-	NA	classB	32.9582833985176	-5.62792046099421
FZD3	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-3.71203475178088	34.6509738024393
ADGRE3	-	-	-	-	NA	classB	38.8005258291108	-8.69244575514904
FZD1	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	20.5685264162166	-29.8653156335379
GPR50	-	-	-	-	NA	classA	-14.2384342796295	-11.5821543966253
GPR37	Not-coupled	-	-	-	Class A Orphans	classA	7.92010272631804	13.3996191283372
GPR153	-	-	-	-	NA	classA	20.6585183940509	14.8083664610813
GPR107	-	-	-	-	NA	Other	31.010125456884	12.4177341553422
PTH1R	Coupled	Not-coupled	Coupled	-	Parathyroid hormone receptors	classB	37.3568441456936	-7.72829458895127
FZD9	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	11.788103789344	-27.6834560263507
CHRM3	Coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-14.9851410147866	-17.4004692689811
GPR162	-	-	-	-	NA	classA	36.9473134712127	-6.43154924831049
FZD5	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	35.7301813810033	-6.80846905050644
FZD10	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	37.6189265275182	-9.83233232830065
FZD7	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	4.55990732861627	-33.2390361266712
ADRA1D	Coupled	Not-coupled	-	-	Adrenoceptors	classA	37.5484341704543	-9.39842679287357
FZD2	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	8.1294164512309	17.3709013522772
ADGRA1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	34.076221792529	9.06768098110691
GLP2R	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	31.7137022585954	11.9408734306663
PTH2R	-	Coupled	-	-	NA	classB	20.0907385514144	16.7839498245322
ADGRG3	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-0.00282626823342749	13.7722920830379
GPR75	Coupled	-	-	-	Class A Orphans	classA	35.891215229668	-7.71442823550841
FZD4	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	10.9635815688721	-28.781800286066
CHRM5	Coupled	Coupled	-	-	Acetylcholine receptors (muscarinic)	classA	-15.1048689518179	-18.109614297745
GPR161	-	-	-	-	NA	classA	18.9327375729649	17.1771996913313
ADGRG5	-	-	-	-	NA	classB	-10.5722278820253	-12.9343755799475
NPFFR2	Not-coupled	Not-coupled	Coupled	-	Neuropeptide FF/neuropeptide AF receptors	classA	-0.95873774841175	-26.7750309964975
ADRA1B	Coupled	Not-coupled	-	-	Adrenoceptors	classA	2.48276963572746	11.8386853545902
GPR176	-	-	-	-	NA	classA	16.3847097845666	-28.6147599376876
GPR101	Not-coupled	-	-	-	Class A Orphans	classA	8.37380070197423	-7.94450311160885
GPR135	-	-	-	-	NA	classA	0.268102486539083	12.3883582354981
PTGER4	Not-coupled	Not-coupled	Coupled	-	Prostanoid receptors	classA	9.84537684798964	-28.2016399530554
HRH1	Coupled	Coupled	Coupled	-	Histamine receptors	classA	-0.359312687315086	17.6841861660211
C3AR1	Not-coupled	-	-	-	Complement peptide receptors	classA	-8.09354833884482	-15.7181287710777
HTR2B	Coupled	Not-coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-13.055487322461	-12.3153852106764
GPR37L1	Not-coupled	-	-	-	Class A Orphans	classA	13.1306410246492	-29.2260612305716
CHRM4	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-9.05923192524694	-15.1911727727977
HTR7	Not-coupled	Coupled	-	-	5-Hydroxytryptamine receptors	classA	-7.34402045242031	-7.22790167470934
OPN4	Coupled	-	-	-	Class A Orphans	classA	34.8171083130687	11.7234227673651
GCGR	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	-3.50076371857706	-11.9949661258728
DRD5	Not-coupled	Not-coupled	Coupled	-	Dopamine receptors	classA	2.85689397749118	-34.8951065414825
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	34.5473232915246	17.1496954688852
CALCR	Coupled	-	Coupled	-	Calcitonin receptors	classB	-5.74821758941889	-14.7825456062459
CNR1	Not-coupled	Not-coupled	Coupled	-	Cannabinoid receptors	classA	-7.48546150635795	-12.3094138068615
HTR2A	Coupled	Not-coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	20.2121825029062	-29.7382382428586
GPR152	-	-	-	-	NA	classA	-8.11513942650607	0.488654014188877
RXFP3	Not-coupled	-	-	-	Relaxin family peptide receptors	classA	35.6725686203042	15.0105985141109
ADCYAP1R1	Coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	33.7223921754	10.6978888984886
GIPR	Not-coupled	Not-coupled	Coupled	-	Glucagon receptor family	classB	-1.33026841340258	-26.9679643410253
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	14.0007439240287	-29.0729013606316
CHRM2	Coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-7.31276962222382	-5.14762209171178
TACR3	Coupled	Not-coupled	-	-	Tachykinin receptors	classA	10.1291589983721	-35.109953996661
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	34.5788884412156	10.0573801898798
GLP1R	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	-12.4431606534296	-9.14708872185942
GPR142	-	-	-	-	NA	classA	6.09337830702648	-33.3144549844496
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	35.7757460375755	16.0284958354864
CALCRL	-	-	-	-	NA	classB	10.9066330788013	-30.1902262740621
CHRM1	Coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-7.5985229321199	-16.3553760282539
HTR2C	Coupled	Coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-4.00264632358012	33.8483062014319
ADGRE4P	-	-	-	-	NA	classB	34.040137975913	13.10511438943
VIPR1	Coupled	-	Not-coupled	-	VIP and PACAP receptors	classB	0.7239735161185	11.482084068717
GPR39	Coupled	-	Coupled	-	Class A Orphans	classA	1.58615730306901	-0.833030913063852
GPR61	Not-coupled	-	-	-	Class A Orphans	classA	10.2810986480803	-34.6698826611971
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	7.71054794642964	-10.1103612367588
CCKBR	Coupled	Coupled	-	-	Cholecystokinin receptors	classA	-4.74334314073318	-12.1931145710319
DRD1	Not-coupled	Not-coupled	Coupled	-	Dopamine receptors	classA	7.47300900749969	-13.9954340919314
NPY5R	Not-coupled	-	Coupled	-	Neuropeptide Y receptors	classA	9.35443711803332	-31.3030167361789
HRH3	Not-coupled	Not-coupled	-	-	Histamine receptors	classA	2.16528606353665	-7.54819082969233
HCRTR2	Coupled	Not-coupled	Coupled	-	Orexin receptors	classA	33.4540471056074	14.8483858954193
CRHR1	Coupled	-	Coupled	-	Corticotropin-releasing factor receptors	classB	6.40205940529865	-27.3671436480436
DRD2	Not-coupled	Not-coupled	Coupled	-	Dopamine receptors	classA	-12.3665735440502	-10.8934247547367
EDNRB	Coupled	Coupled	-	-	Endothelin receptors	classA	-5.190325213585	-41.7757761138584
GPRC5C	-	-	-	-	NA	classC	35.6738451874261	10.8878896281107
SCTR	Not-coupled	-	-	-	Glucagon receptor family	classB	11.2058927860709	-7.20053679962026
HTR6	Coupled	Not-coupled	-	-	5-Hydroxytryptamine receptors	classA	36.9240242258346	12.0897736553304
VIPR2	Not-coupled	-	-	-	VIP and PACAP receptors	classB	14.91771043529	-16.5903046549536
GPR150	-	-	-	-	NA	classA	-6.51102208887301	-20.0478770187877
GPR22	Not-coupled	-	-	-	Class A Orphans	classA	2.45491209172412	-10.103060066856
QRFPR	Coupled	-	-	-	QRFP receptor	classA	4.85013011832377	-9.24272478994219
NPFFR1	Not-coupled	Not-coupled	Coupled	-	Neuropeptide FF/neuropeptide AF receptors	classA	7.10021048910906	-10.9414725815146
CCKAR	Coupled	Coupled	Coupled	-	Cholecystokinin receptors	classA	-5.74895940687052	-1.80805978489019
EDNRA	Coupled	Coupled	Coupled	-	Endothelin receptors	classA	5.4999402769099	-6.12120425176998
NMUR1	Coupled	Not-coupled	-	-	Neuromedin U receptors	classA	3.3074141086549	-7.85209323426113
HCRTR1	Coupled	Coupled	-	-	Orexin receptors	classA	-13.6935220505241	14.0433435803294
F2R	-	Coupled	Coupled	-	NA	classA	-25.1744131461021	-5.87397054364506
AVPR1B	Coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	-13.6237098670829	10.9378421818483
OXER1	Not-coupled	-	-	-	Leukotriene receptors	classA	1.11578394709027	-8.16179158437907
GPR83	-	-	-	-	NA	classA	37.4432971924731	13.0878716213751
GHRHR	Not-coupled	-	-	-	Glucagon receptor family	classB	-10.5021377762277	-7.80762698347204
MCHR1	Coupled	Not-coupled	-	-	Melanin-concentrating hormone receptors	classA	8.96383900717095	-24.4111666438248
HTR1A	Not-coupled	Not-coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	23.0707009609863	1.79961798912299
GPR151	-	-	-	-	NA	classA	4.64756133287843	-36.1312677875387
DRD4	Not-coupled	Not-coupled	-	-	Dopamine receptors	classA	6.16353291505544	-17.6745577373035
GPR63	-	-	-	-	NA	classA	-0.448316850017747	-1.60533095534301
NTSR1	Coupled	-	-	-	Neurotensin receptors	classA	15.137559155873	-0.598898630721747
SSTR3	Coupled	Not-coupled	-	-	Somatostatin receptors	classA	-25.5335093883997	-5.73917365105689
AVPR1A	Coupled	Not-coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	-1.68273950792153	-5.41259751861692
GPR137	-	-	-	-	NA	Other	4.92369146784258	-6.17819562847702
NMUR2	Coupled	Coupled	-	-	Neuromedin U receptors	classA	-14.5080987329538	-6.00768994635826
GPR19	-	-	-	-	NA	classA	-5.22758446112236	-11.2368928465609
ADRB2	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	10.7918736853058	-9.13703440796393
MLNR	Coupled	Not-coupled	-	-	Motilin receptor	classA	-3.25098327681602	-24.9840921253518
ADORA2A	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	33.9439213822329	15.6935781362661
CRHR2	Coupled	-	Coupled	-	Corticotropin-releasing factor receptors	classB	0.354937730122767	-2.5014951288293
NTSR2	Coupled	-	-	-	Neurotensin receptors	classA	2.27491214716968	-34.9685567508165
ADRB3	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-5.38978995159993	-5.29715713061633
TACR1	Coupled	Not-coupled	-	-	Tachykinin receptors	classA	-1.63250232238026	-4.80979994468135
GPR143	-	-	-	-	NA	Other	0.488717027179572	5.77575653550068
GPR182	-	-	-	-	NA	classA	-6.63932089215355	-41.3840668274372
GPRC5B	-	-	-	-	NA	classC	-27.1670770725476	-0.890183063565501
PTGER1	Coupled	Not-coupled	Not-coupled	-	Prostanoid receptors	classA	0.415407473332925	-14.1045288944582
OPN3	-	-	-	-	NA	classA	4.34107447569234	-26.7159581655161
DRD3	Not-coupled	Not-coupled	-	-	Dopamine receptors	classA	14.1719470244214	-2.94943444498576
OPRM1	Coupled	Not-coupled	Coupled	-	Opioid receptors	classA	-2.49357371141395	-1.61883089222081
BRS3	Coupled	-	-	-	Class A Orphans	classA	-6.39342854854497	-5.54911244648479
TACR2	Coupled	Not-coupled	-	-	Tachykinin receptors	classA	-4.0430751421283	-8.00673123408851
TRHR	Coupled	-	-	-	Thyrotropin-releasing hormone receptors	classA	1.78286269405983	-17.2140225328095
S1PR5	Not-coupled	Not-coupled	-	-	Lysophospholipid (S1P) receptors	classA	12.4840083712874	-11.6281629685944
KISS1R	Coupled	Not-coupled	-	-	Kisspeptin receptor	classA	-13.0742971382796	9.11862958326445
F2RL1	-	Coupled	Coupled	-	NA	classA	11.388442184455	-24.0201767627415
GPR84	Not-coupled	Not-coupled	Not-coupled	-	Class A Orphans	classA	-6.65470202418739	8.60261638045485
