Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39
ADGRG2	Coupled	-	-	-	Adhesion Class GPCRs	classB	47.782040308381525	25.130748295685326	20.710365534784106	13.869673813256384	11.063981797218712	14.384246963997478	30.879685341524503	43.549442318887806	-0.41084115724661086	23.410358038825464	0.3566977276002159	18.00364929982889	-4.537867920662406	7.040853224673163	10.57699837314914	-2.1766294876049286	-1.6501641028180836	-0.9320884981862125	-1.192455765131661	0.9386021168711584	-1.0167513633496417	0.9566250682971589	0.8123579703268485	-0.9760211855069199	-0.5365185786149586	-0.6552659207152007	2.711713534465746	-0.6183094803197412	-1.631881163599218	0.8877315159015228	0.9710203916550291	-2.9014335723034232	-2.7461513645452182	-0.7115652143684745	3.1848500024679085	-7.17322286857599	-0.05487784847491774	0.8291381451202525	-3.1678872922613834
LGR6	-	-	-	-	NA	classA	37.41675649661135	57.94547686838202	0.6928263399999013	5.4610041888171015	3.8806034907222573	-14.257511921199463	26.54445220291821	-2.7879121755147365	-4.534558303395435	-14.983419756060215	-4.9612322305292205	-7.322906108131208	-12.34271819870141	6.902228560529284	11.181309459615418	-5.593877603211672	-10.045790772909777	3.7451857533923034	-9.107944026933405	10.263249623777394	2.542385931960282	2.1300260075189983	18.15529407495641	-4.90543201858514	0.9073063371426839	1.403263762200397	-10.354700559364723	-5.547787870892583	-11.511230716120918	-5.508110642394082	-9.156850000455565	-7.140083539366296	8.877098466109823	-5.404759471961267	-2.1459232673336097	0.37570742012956754	2.2882079764035885	-0.1412465327607471	9.711138244976608
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	14.83073159186242	57.546996158382136	10.601478854760211	37.187778539821394	20.2689351133593	23.45581463475929	-5.769140564835251	-6.320235346870437	-1.9901171532201967	-1.740230389398522	-0.28373669517735256	-0.7438058024415206	0.5996959295767976	-5.171328347089084	2.362469853988847	-1.0133932476355665	-2.2482427295843146	-0.4634750825336093	1.6749699624844991	-0.12730160995182885	2.2421919776297767	-2.117696267111921	1.224648383946879	2.1344522529042766	-1.1476418450869545	-5.520169815536098	0.6996471516038761	1.5685926528955032	0.7470802660774611	-1.5293106258396894	-6.841934238675257	4.554389275496488	2.0022107283975745	-5.30362203288405	2.105761020678229	-3.0186510000820643	3.8667714553184402	-2.8292482580130565	0.6435495127487154
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	45.96135949881774	25.891987967043757	19.556414100735406	14.519906311066913	9.398018028383557	13.878260755426284	32.689403496184966	43.084281469904745	2.1622970849115064	24.73583787887297	2.984274552224212	16.819586710541685	-0.8890090375497931	5.09930427517571	8.782965741174845	-4.146726811619602	-3.1993356839721847	0.22260055481404445	-1.8383006791577003	1.3639145237600638	-0.2992715575856587	1.0346600469723344	-0.3595439489215776	1.4110265758335219	-1.6055527991889122	-0.7812388567166701	2.0240251495210355	-0.5822711229637848	-1.2380569085268396	1.116704813364532	0.587736523837349	-3.814410901333679	-2.705120892901391	-0.5665566975697265	3.1736536021341224	-6.891602814208443	-0.5721594455406611	1.0925514996127987	-2.2987898434382883
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	32.40064313365578	45.729734403880784	17.460187320187188	37.93301862286193	24.50946818555317	22.901319355531438	-8.00990733138674	-10.617250541481928	-6.8945444173528445	2.4628465328116125	1.6151411502532653	-1.3420594156669978	-0.3198208013514884	-4.487528950177669	-2.34868067553485	-2.6263857585722548	-3.879805788925475	-2.0002592957398955	-1.359303968705568	2.8687173000292616	1.5048229810525526	1.4946413702833066	2.8537282770715136	2.0492223124874873	-0.4036209087205418	-3.146600265189033	0.9230306403647585	3.6845579097055303	-0.3928832215012814	1.1198471481332082	-2.6340046876085856	3.679229537350382	3.478319610230059	-6.1062517517434785	3.4276498271923064	-2.7193366062974738	7.265298412605938	0.7652941971709938	2.293804276511652
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	8.478276207287069	56.7573201587889	9.598353679827309	50.158450130565726	30.28108952253583	28.004549574887506	-7.531115526977343	-12.302007957126508	1.163634724032591	-1.6923372263835685	1.6890063564303242	-4.876339220536224	2.4092916988289548	-6.804740801149354	-9.080495561146881	-7.340267905503271	6.839204009667203	-4.194182033737313	1.8402509010821584	3.193603896282594	-0.3740340355823213	1.5987456527727315	0.8529577925350973	-5.16305089054585	-2.4958023203263338	-0.8745598951195681	0.6455150544032512	-4.3891275693999665	-0.9777516850056531	1.9291237836231976	3.8206951208027866	2.4611138972411157	-0.21286469128262317	0.08894128946201355	1.4874937119354055	0.18829079649121935	-0.34169269220341336	4.785545074707555	-0.06566996974507062
GPRC6A	Coupled	-	-	-	Calcium-sensing receptors	classC	1.1614165688955047	55.61593503040258	16.943908254778375	58.71310054313335	28.846818098883475	24.175016464124745	-13.751746427187339	-7.594381453539753	-2.4267684307452746	-1.746913538639269	0.3699042504779793	-2.1304735317222985	0.0854491663272744	-5.218370893259693	-4.3439172297011375	-1.7518819246818567	-0.12247799424236276	-0.04595738856440518	-2.109200354182461	-1.7883318017100405	-0.4486420748116776	-0.7587134347160688	-0.3986184781880192	4.054424864146906	2.745443253077066	2.318588122111939	-1.6508339402423586	1.4351271576144122	2.438086983062318	-1.6069119595521582	-0.9574955387374017	-2.39676843868824	-0.7616930416837759	0.4124774038521939	-2.0632895077194804	-0.5133400767183859	0.5527475260355348	-3.2975149807035296	-1.0758618565217786
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	0.8576246947686669	56.27561937578094	17.34966241071082	58.29291224068836	28.941447456208337	23.257242139601424	-13.994524666117826	-7.264102862380337	-2.923888142620331	-2.4544250701169887	-0.7071014332057908	-2.0367205739050314	-2.107336771734077	-3.3531265946093565	-3.190632146247349	-2.151409700775517	-2.055179696671608	-0.9049022241762589	-2.0079664518974156	-1.4448762342783867	-0.5709088152089163	-0.1495589967951249	-0.7522327256245619	4.070787506647717	2.3260976669194924	1.4487095857695929	-2.3669340544307333	1.697363750625171	2.8186934464419098	-1.399001253312899	-0.5319084028435798	-2.2796398575027745	-0.3039765798146638	0.7685749980094678	-2.0935926369466844	0.0038888158472074144	0.4718614311531569	-3.5812491003437015	-0.8236166598551052
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	35.65473031270489	61.71888235391516	-3.5621242235405575	4.838529169045927	1.3892893051530797	-13.962902965414512	35.08846280320448	-6.993318181928115	-1.8063134910707361	-16.723484679165235	3.696010980467832	-12.889046316700593	4.808649897948864	2.7210141519605027	-2.649864025603362	-0.805672003628975	-0.4166202063710662	1.589878168567012	-9.95093142659667	0.7368207912821173	3.5047326630840567	-4.625734044412456	-1.3108803001739089	-2.5279834410300497	-4.723880329098035	2.927435097738291	1.3585615507646671	-5.833078392077676	4.598371107758049	4.492816310262512	-3.1966257724521228	7.345519435737635	-6.495410168950065	-0.09072277145049423	2.5084290254724553	-4.228219734193978	-5.874754800183596	-5.3077273486474255	2.0849963280450767
ADGRF1	-	-	-	-	NA	classB	0.5784737703847257	55.25748178151222	16.222630240128954	57.993567668911126	28.031809231740464	23.426142508598897	-13.570713701030156	-8.530920687850049	-1.2329110830503436	-2.032556492287728	1.417202226665192	-1.7369233671434983	0.346994078852016	-5.46431086208064	-5.742307063623087	-2.3497490659836195	0.8174731011527843	-0.8875965026848324	-1.7271223553647532	-1.9281483441054252	-0.9065561674415276	-0.32768967260398946	-0.6556378122835378	3.307974048549004	3.3361670026138204	2.5720235772506297	-1.7767825593130853	2.084283889541119	2.5798622783394456	-1.0659085486733948	-0.46392274646306414	-2.193131762826474	-0.3646381121128731	-0.21621705517011813	-2.0478877247326843	-0.12246334539363381	0.7768190902884975	-3.0793737904361422	-0.39617247423192326
GRM8	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	40.67501840033261	23.86718622324023	15.559615540757422	19.230809481554573	9.60103002803868	13.969269855586294	33.76521089658012	47.02893302903462	4.799244373491445	24.113499771255302	3.0175027666630223	15.330127029265617	-2.286508759211784	4.880816671267133	11.977056441975009	-4.3718323949042635	1.3506520324203322	0.4432868545766155	-2.8298632400479415	0.8041048419202339	0.6225991840831113	-0.22305008196561865	0.610662081799397	-1.1592478407066924	-1.472876098688782	-0.9511818910177774	2.5704720748981984	-1.5134912510400524	-2.11769331250918	1.4266717972987768	0.4884265522779327	-3.126017330451514	-2.4150265755602764	-0.9322853223465043	1.5757402085396295	-5.681596406478917	0.5596571373975237	1.3592888339935272	-2.725888616355338
LGR5	-	-	-	-	NA	classA	-1.1349767859672584	68.38416884279295	0.497484275191692	19.78536138695161	-1.3037916041206485	-15.80133270838109	28.79313782293975	-0.42904798313130177	-2.4857975009991535	-13.23374746473584	4.988851340342206	5.58828156328616	4.0353614770949235	3.5925051178779976	0.6758951579907956	15.587021846616679	0.8337456509642587	0.5920777449255754	13.028065878241607	-11.98643360462399	3.3685950089805377	-14.288058834822918	-9.854669006460908	-6.267296892040903	0.16091247182170668	-8.842623219281258	-5.185211500016269	-1.189637900049899	1.6095027538588487	-3.389455287428536	-4.182127452006923	-2.7122297768096018	2.471797385688902	-0.9168696618699684	-1.0548193632194995	0.2325535010076569	-0.7936284334897246	-0.22888533318436977	-2.3775047644666256
ADGRE1	-	-	-	-	NA	classB	-1.7473105619363931	56.861879116865936	13.846723418649962	62.39319436488224	29.616362808612852	25.36188723664489	-12.52050459015709	-8.737693563314009	-0.4419885518019885	-0.4050809943848802	-0.4766781709342827	-3.1633476830473	0.901168701018362	-5.029779585863683	-5.114389410645181	-2.231658143767135	-0.08403721346462971	0.2740923197270281	-1.1800359151562776	-1.0850345126209673	0.42116893677527717	-0.9292606088676397	-0.313434628370742	1.7115648758324695	1.078249016807784	1.2831353105454169	-0.5484714655612386	0.7924172762038592	1.555558314027938	-0.22245930186103388	-0.21000838635376298	-1.3535318721420506	-1.0331914955919392	0.8384285338828594	-1.784072592757889	0.589553676706836	-0.6339014598221845	-1.8283918094979106	-1.413276841885679
GRM3	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	-3.546914775102856	56.46117509564476	15.940769900991688	62.19057135987581	30.655280087797482	24.665057315376995	-15.111735529922251	-6.050841545740839	-1.8791115214077454	-4.482733082431523	-2.2090174259305377	-2.66697892609722	-5.362236113148893	-1.7146498404803487	-0.687682867406956	-1.7765874435234235	-1.0326028960980917	-1.756697507127075	-2.8203352012612886	-1.3023308966904168	-0.5548800882653624	-1.4711114491848678	-1.0188042750541375	3.967086512352194	1.9308641266282904	0.4975042170827245	-1.104002808489583	2.21467721429734	1.7536366250081161	-0.7319791961787268	-1.444997278599189	-2.692487747944186	0.08808227525409618	0.2913383332404406	-3.233988147408035	-0.032395992066883095	-0.06469893743780064	-4.347658740869789	-0.4855462028736369
GRM6	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	24.2131024000982	63.39625586531275	3.4358804959373566	10.67114315485817	5.448381439187569	-16.40941705448024	32.609001690647744	-9.918786647960218	-4.708772749524746	-7.701716772456865	-1.5109173949628414	-5.601110368832353	-4.173006822814676	3.4954489720047217	7.286983573285866	-0.8663386655012736	-10.732284258353975	7.97673437084758	-9.325551600967337	7.108955994412762	3.1256719934631527	6.473643027047506	18.731349233229547	-3.8169532518030387	1.0459258019428983	4.767198619855395	-7.425660250742174	-6.880048837774485	-12.918787858955987	-4.674454436333798	-5.192919926252017	-7.7279167802460655	6.260840053966406	-7.38352822327303	-3.4950338357249007	1.485908096651587	4.799076187073143	0.9809986301840469	7.402972223031046
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-3.4358487332480596	56.67704079517404	14.836444599484725	63.42319121188997	29.967831983946013	24.852520343096838	-13.868620111335984	-8.24172146849948	-1.9777645188642592	-0.8991684233608316	-2.412526861442169	-2.232293207464711	-2.090426842276656	-2.3201813935018913	-3.027168147571034	-1.85850287408541	-0.5979900695097907	-1.634136766073924	-1.5760205071315956	-1.5013039110960147	-0.3744298131800965	-1.2941882308999975	-0.2918268154245672	1.6470979453832963	0.3890313220528358	0.8683167141101691	-0.4714326494741901	0.5549393250922993	1.0750096062018593	0.1402703338778202	0.03245922473636189	-1.6741701406427245	-0.6126929971213319	1.087096835774265	-1.9483572313594997	0.4415686230772825	-0.38012613811828294	-2.645246651743937	-0.9832183854883711
GRM2	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	2.544784126665425	62.610927863655064	10.34353631645804	58.71403476639828	34.94996956444047	28.639398109779673	-10.267668288334972	-9.155785889338038	-1.3405382902922052	-2.4492256290429357	-6.199564033867054	-5.246385469816461	-5.280978390296008	1.9352478053629927	0.35248452390061513	-5.609181137180358	-1.149953863953319	-5.123537980571743	1.409289245754346	3.7772384807931356	0.5974447337972333	0.5859833110027693	-1.9665099911129902	-3.5932505444305964	0.1262641308768655	-2.8426098201374064	2.028892908424548	-4.954545877812155	-2.596110948144868	-0.06370710719692606	3.329604352474863	1.1035378526790482	-0.9059033162683262	2.9456570094077805	1.9323844901470484	-0.31794706650015275	-3.28830529436399	4.349740759068009	0.4894851553446186
