Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35
ADGRG2	Coupled	-	-	-	Adhesion Class GPCRs	classB	37.98995471757766	-0.8697057277838607	5.035570336575265	10.346358317382613	20.578144875002558	30.288389072723785	4.343068672781343	11.078417298004615	6.501833241614784	2.4382625956599084	21.216769287295854	2.7726116250385253	-4.444707883885225	0.859106893029524	2.4754112498913132	-0.1895049590072091	-1.583700224786061	-0.19088544486825926	0.940870520405773	-0.5354416679489346	-2.244737923028967	-2.101942013386724	0.6293030814261782	-0.8740705006071314	0.7058383541058687	-1.75448290881921	2.377470001367133	-0.6756709972487451	-0.7671605133662455	-2.3976598905550093	-0.15553684302855095	-1.0716459393965663	-1.5331568242654643	1.5893484299498213	-1.0551462693436822
LGR6	-	-	-	-	NA	classA	56.88383297092824	11.395747292596745	9.555960295811715	-5.075786785590947	9.521683487391536	10.67585790165965	-9.716526672026164	-2.452253815901251	-4.5559784009558655	9.882978447419942	-7.90254537651137	6.759222021828467	-2.18601915254479	0.5026561932034298	-2.5242210236504685	-0.7888865901168652	-2.141454879023395	-5.708022147504826	5.078626298965397	6.499955739918442	0.5410161478908991	0.5159681499910281	2.6355906656841306	-1.7857820754160763	1.3495445366432335	2.6301376198994526	-0.7869737178555218	4.383300219146571	0.807283324444549	-3.345207750560904	-1.2180093103945904	-4.555648846721735	4.9358983014941975	-4.52173955109916	0.2710770710642841
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	40.9789539072073	16.38926859909993	22.217608103650694	13.422366573516397	10.472911345028072	-9.0792909135005	4.3227996450729345	0.9837732417297879	5.175226425991926	5.160524236772293	-1.9503115604489665	-0.31995754014169414	-3.744386174951817	1.276170623084413	3.1470793854772903	-0.15076662801386911	1.2844833780038376	-2.5522790568492004	-0.12936370312460768	1.753210865124172	-0.4760938174610147	-1.066409618927386	4.95752603371537	0.3539129347113219	-0.6195908996151156	0.4174247548234468	2.935926928633859	3.503193063029557	-0.953688503310446	-0.2603898345128855	0.025037848400235665	2.464444901791144	6.1414124273016	-1.4170514991737402	0.8624025595702339
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	37.24651669356002	0.6798563665848293	5.908302320706924	9.403411986418611	20.60919141434546	30.7278232192285	8.339306195141411	9.736555690742565	4.993266113937532	0.7912931111162949	20.36729883418648	2.9854883316473457	-5.351562025713095	0.24515973326697238	1.7642841040824024	-0.08007193557645086	-0.6161174362903045	-0.5150135141810985	1.1648979362859075	-1.3519663428185995	-3.4175440816330624	-2.3328574784798928	0.5694420683438941	-1.762944165599552	0.3720501811367015	-3.0322516093873806	2.464124970979083	-0.013314239288363422	-0.6929424371339292	-1.0385253758107889	-1.1080070361239056	-1.484801764626072	-2.494741780711728	0.8664938960861752	-1.9417806228045817
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	49.02848758990565	12.673838544047575	15.08641174967695	18.423290842901345	6.02064611164112	-10.59834154329006	4.462118026228958	-1.447906391764022	7.0373903931885415	7.797028267425474	-1.6004821184606761	-4.251662635156267	-7.28028865946098	-1.695488112573826	0.9766431602623188	-0.30168592902715013	0.07373301129500072	-0.8208468687047367	1.6106675177563776	2.1420971861490616	-1.4540635834784392	-1.0534969929666897	0.9168240593081187	-0.21893932874755132	2.8216865736470726	1.9489522808819073	4.148907219387899	1.9302467914682355	-0.10331084576854102	1.1302810518778958	1.8334932582296597	1.6707493741114186	2.3399315630083977	0.5538005898838743	1.4894882236210516
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	39.569036861674405	23.837288965456825	20.64746550359185	17.095823521572836	12.270507708162846	-14.336147216583361	7.356082665366349	-0.5163898905231692	4.3908944024816705	5.1704847512451515	-3.320507736818595	-7.860158882275398	1.415287568468008	-2.965934611928537	-4.359370912720096	3.4957382200530938	-0.7557527759427342	3.847778776696661	-0.9632758333466991	2.661226397035219	1.3963606959242651	0.8737333032801794	-2.7177183896828185	-0.6257947668810107	-0.9524648847440663	-0.6261711085344459	-1.2120039811418428	-1.9373177292769206	-1.4306259216239308	-0.9749365164981387	0.10617267377542983	-1.2733279319868254	-1.325798878439803	-0.07476473404013072	-1.5308550694733858
GPRC6A	Coupled	-	-	-	Calcium-sensing receptors	classC	22.50689284106455	21.495850047720058	32.212939550428686	21.120691473517617	7.555888398026171	-16.52916482299894	3.6077002206165583	2.6849618425591717	4.838721935514918	4.35657487085226	-2.7101477345840963	-5.89155045328775	-2.8269793530672387	-1.6639363594998857	-0.23975775832684043	2.17465030161301	-0.2781812051038111	-0.2597154637355283	0.1923583182304711	-2.9695360864222757	-1.8034007348117134	-0.22812441757726495	1.097351030435333	-0.7045900344646259	1.3698115432143427	-0.7819138823441297	0.22043252370403318	0.783940895910407	-0.0948875234540216	0.49535868381763853	-0.5753842215989742	1.1063693466249713	0.2791323302871325	-0.38120911049801004	-0.0013810303690452903
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	22.01730933408178	21.16728278045867	33.251847315812284	20.325626412375772	7.810753868387933	-16.383436437427306	1.5479487404733534	2.4166975032568483	4.573952576277569	7.4369117791716315	-2.5377529789922524	-4.90452908706073	-4.398762411647738	-1.6332354151485962	-0.29918449471315184	1.807953369949505	-0.21542174049945792	0.40748699727535426	0.18414005965889474	-2.676128119209503	-1.5449538668097693	-0.13459297603073345	0.9368936650146799	-0.21459708865667904	1.2129681508851817	-0.5442785919545511	0.36835808273747617	0.744747573418363	0.45242641478518986	0.6095358349427586	-0.7670320695294188	1.5309817614091248	-0.033718197249671636	-0.5806812168203679	-0.13680118938902586
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	58.16327656663971	17.207263379003585	11.196614597757609	-4.430349437680219	12.056532460498401	9.749858405825341	-0.9798251393100204	-4.966512412271671	-2.878123297212353	-2.0558227456753975	-16.06500031143411	3.402042173151633	3.457308150525109	5.1069930227430635	-2.487320886773197	-3.863894545458682	-1.2282546091469544	-5.35612871561694	0.8691456530309789	5.591221181999179	0.0027039317200268954	-0.5877341061326979	-2.2396172982183953	-0.03251931081777454	-0.9324534504807659	0.9555042813642134	-2.633810647871356	-1.5248019564706843	-1.9247699135353227	-1.5760377667613383	-0.28180865351662443	1.7615171670684038	2.4978787841641648	2.6477649266751797	-4.047787489184198
ADGRF1	-	-	-	-	NA	classB	22.79504562210323	21.717726824301902	32.134334703394714	20.677667557185018	7.163035066739535	-16.676552709130494	4.079948989869234	1.806033956013797	5.057164063980885	4.0906588221914575	-2.931337262207726	-6.215997947094303	-2.22412805630132	-2.229464053653866	-1.48410187894155	2.870520193898469	-0.4610894604267999	0.6153961698356163	-0.06432130848036668	-2.7565275188963163	-1.4291387479444435	0.441060204667787	0.6869813005159606	-0.6144626280799562	1.543961844342928	-0.6576638968858816	0.4485115372987139	1.0481360898281942	0.09272205224993259	0.32755455057159855	-0.23700414400408434	1.1990035458816355	-0.06724277670079444	-0.5167690129240567	0.06658904752095468
