Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	13.227410803259213	16.009731412596125	0.742285656192671	4.614737746306189	11.111565242835118	20.724640076326665	10.671511659432197	7.736713996904959	11.64645300453368	11.09537705568613	-2.311308805159023	-2.5349078506011193	0.6427709676227649	-2.1740891792891106	-1.7423598152714908	-1.2720109246534856	-2.5576308227873596	1.1625700514601987	0.029724203201917657	1.1685561510117304	-1.2679453221597825	0.9435411367585584	1.9501025199438806	0.9477174572094065	2.2644558699017985	-1.5149880145105614	0.8293482829368377
LGR6	-	-	-	-	NA	classA	46.52198584330807	11.587617565489388	5.8049223321466155	-6.91799594716151	9.97921184232086	7.97144497074056	-5.238402145488141	4.517267533580121	-10.875438257042655	-0.306393290757922	0.734765890050365	-1.7682082414734839	0.24178812852259277	-0.7116069764929812	-4.719991412281883	0.8414861085438954	3.4438433937416355	3.3649167506027435	-0.0023509991932207067	-1.6929262986660139	-2.2613960108683484	5.476256779667396	-0.6212229302708291	-0.7619312024269816	-2.814535565282231	-2.8298994452404234	-0.8338594140301991
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	31.149966508804052	22.747441937011512	9.240742038285406	18.30534773558667	3.693280395510348	-2.6434263970032195	-3.4487575227730476	-1.0634747476556874	1.64243058404529	1.5333836441248299	0.4155167076477332	-0.8394824825313923	1.4928210082316735	-0.9040675861450951	-2.2069600331523627	-0.2977353872420396	2.241863732546759	-1.1974900891069478	0.5633940706659982	0.6948814896939982	-2.6272113412823024	5.440736708247211	0.4314487187174376	-3.157527632790732	1.729355242073825	0.728807704411531	0.8166640747559182
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	14.089047703829886	16.233779410246058	1.7244632127343313	5.039503307202146	10.920530581740758	19.45144204303662	14.145901487622726	8.309183962174979	10.097357311572285	10.041292957941529	-1.6794639569578214	-3.4615841666490432	0.7005939141032892	-2.3233423931955786	-0.8009423585444134	-2.9445182050225456	-3.0547164112308485	1.3773864281248749	0.7676164704558959	1.382348738595366	-1.3556403118873417	0.40813877342917154	1.5896029370617057	0.4228534587755515	1.7588578770340513	-1.8797170526965803	0.6325145118605807
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	42.3180438602005	16.041668143493016	4.1777250405676964	20.543255376993695	1.5293394564271416	-3.6805890427317487	-5.5373320050633925	-2.668815830245425	1.1617921051024263	0.5051842768153882	-1.5904497054247182	-4.926160361225422	2.377317314195034	0.15257623699251713	0.008318233394667522	-0.5641786129816502	0.6891323501486459	0.48672310537459595	-1.218311255919122	-2.1229443644265014	-2.229470553510414	3.136624868877322	2.0104998182559304	-0.3708945440363676	1.2502345951570861	1.3275920764198392	0.589632900869694
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	40.54627657869398	15.160789479531019	12.612321507295457	24.179872851389785	6.249606757597344	-7.008028142133917	-2.114125073091625	-3.1221348427660107	-1.124496971693525	-1.6481025943179028	-3.5054442047792986	-0.9530318120585113	-2.304373994013742	3.3890938271328057	0.4802744516501577	4.082276420095073	0.3077670802202424	-0.9635817059818992	-1.713731575904681	-0.019623273544547962	1.6572220771002537	-1.2054358366671678	-0.6913556707989051	0.5776518428407489	0.03694150005257264	-2.557654556934985	-0.013306168765050266
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	21.843391834406297	26.614119189441265	12.526661779661797	24.814413124638943	2.0362247699233866	-6.7447631127879335	-6.7091232655970865	-1.557706071477037	1.3192804597076007	-1.9436354960919797	-1.677797739981058	-1.3917827235509799	0.38276876065410653	0.5265810427462265	0.929506476864178	-1.5073673914042387	-2.2812476320453725	0.0015335924981835223	1.3427287596642725	0.7374141462326085	0.0620234150764602	0.8144033034421903	0.7592893373146177	-0.028185451405137344	-0.09510435635188272	0.893168998404035	1.4021025064303514
GRM7	Coupled	-	-	-	Metabotropic glutamate receptors	classC	19.068772324892343	28.723437658087263	12.950412966906732	24.268391403121164	2.8783732617145366	-6.485055677046551	-9.34922539264538	-0.7474273317965667	0.4902642700209573	-0.3477119173465869	-1.6442988500339553	-2.866027811491768	0.5721526186112573	0.24650664024877655	0.6453381859462525	-1.3667076721219638	-1.731240880639682	-0.029342033584080097	0.8274419703459542	0.7017249030306763	-0.4181551902252205	0.3460396545636706	0.5233532994760859	0.5445726969351882	-0.11586833976178772	0.8221042215501434	1.2778288822049866
GRM4	Coupled	-	Coupled	-	Metabotropic glutamate receptors	classC	48.71139645504405	10.196984230228102	9.892113436826302	-2.37580236575834	7.915854006505363	4.791902610679707	5.247540165548099	-1.7265577487001798	-9.437368329594005	-8.62591019550705	1.459050373932523	4.087919833956698	-1.871520870880908	-1.7660969075663266	-3.4728191510647517	0.41015583404409095	0.23708827836700613	0.7794945054666751	-1.847221355377237	-3.754383572092472	1.4166245710634149	0.4029822247805487	-1.9817342827543087	-0.7406998244868195	0.1966191742341255	0.26725023021972943	-1.9554125031253127
ADGRF1	-	-	-	-	NA	classB	23.224827583460208	26.30549802712117	12.462591984856099	24.740411865719462	2.04136148984772	-6.702789168300546	-6.537804990575476	-2.5794063848704933	0.55879675281364	-1.7205290801487196	-1.9377228315813981	-1.6277283081162108	-0.6492690254549355	0.8362680880144636	1.2835718061001729	-0.7683074618280699	-2.124870511845709	-0.0566417548576111	1.0564195700713825	0.8210733049478758	0.09708923519810152	0.5099141387950028	0.878114241167508	0.3043526775930579	-0.11965124107933794	0.7099262583629472	1.4519526719940021
GRM8	Coupled	-	Coupled	-	Metabotropic glutamate receptors	classC	8.899699429918751	15.544800625293165	5.470826501037393	5.426443723709878	11.997261445674331	19.332221595817263	15.536517450172493	9.20269534209863	11.315149448530969	10.09914445109946	-1.0100406494154068	-0.9523846327020934	1.213191185906319	-1.1386654588789165	-1.394841619939396	-1.2778031314786533	-2.2739178194606877	2.42703093222256	-1.1439366180008301	0.5161068307207778	-0.5929386270925	-0.28376202636605175	1.4448441551793374	0.061988628257519905	2.1951855618429437	-2.4115389252664925	0.6896231888514277
LGR5	-	-	-	-	NA	classA	7.421337841075803	30.479200015650406	15.51342912525415	-1.5061985991593347	4.079561001055161	13.451749022656857	1.8959195799188455	-1.3748426485680643	-3.6107641463999074	-6.451244550794404	4.493895644582697	10.104606649029733	4.213813772074022	-4.110129633105007	-0.3260891471569816	1.699428479833353	3.1308924331027925	-4.9212983164041395	-0.49244025406088715	7.493908239582513	-1.8446802107682598	-1.1444818221952178	-2.449232754010458	-4.189647625048627	0.5565812969398336	1.562575624168681	-0.6107999560795471
ADGRE1	-	-	-	-	NA	classB	21.95655209810185	24.629608105016725	15.050043252074136	24.642970185893343	2.498534716629435	-7.97197275902527	-4.676267025177681	-2.3674231367186325	1.7326212404514354	-1.5537675213521855	-1.3210141117129832	-0.32912936662025116	-0.43006880931381203	1.3371645955227898	0.895390592474164	-0.3208174982895276	-1.9645951039455491	-0.5724740894495137	0.27553150491842393	-0.0810307449273151	0.46084518301262717	-0.6179850711949821	0.19570205390639855	-0.2775787140690478	0.15304886835620568	-0.01255376343499448	-0.33976772134602024
GRM3	Coupled	-	-	-	Metabotropic glutamate receptors	classC	21.44367422864103	26.65999425935274	12.658355134776285	23.79757026831243	4.177183305357744	-6.1280355624726255	-10.5745651099621	1.4412728464645979	-0.37938217188896756	0.34622400834669914	-0.0973006570723439	-1.6095397990508367	1.4017321633976816	-0.1146884679504615	0.08817288143852195	-1.4377042075107738	-1.8634289224101503	0.4887772552270698	1.3640405008855785	0.1475869505792837	-0.135092046029391	0.675973330568759	0.8636509441947883	-0.3664508945146186	-0.5514810253971237	0.5783249390990571	1.304569022089973
