Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-1.1411250835843	1.23853149139296
LGR6	-	-	-	-	NA	classA	-4.87515103358248	9.99797359045361
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-7.22169382811702	9.44988249167508
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	-1.11672647680774	1.2601856628677
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	-6.9364659395004	9.43040925159771
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	-7.26406214422478	9.49308050038489
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	-7.58040401919182	9.38109882344747
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	-7.67063423244959	9.36289050672377
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-4.95111910355321	9.50789601804955
ADGRF1	-	-	-	-	NA	classB	-7.58914499208285	9.36972360529077
GRM8	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-1.11266038011298	1.26434983279806
LGR5	-	-	-	-	NA	classA	-4.73190532030744	10.381977171983
ADGRE1	-	-	-	-	NA	classB	-7.51171283681862	9.43605967702737
GRM3	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	-7.57057537156644	9.39134251274195
GRM6	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-4.77200867171583	9.98437402091543
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-7.56828965189649	9.38202097745928
GRM2	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-7.39875967052579	9.46384732391542
TAS1R3	-	-	-	-	NA	classC	-7.51124211539485	9.39980854135407
TAS1R1	-	-	-	-	NA	classC	-7.38526110299651	9.48976812189753
TAS1R2	-	-	-	-	NA	classC	-4.75813830610014	10.4229726691464
ADGRE5	Coupled	-	-	-	Adhesion Class GPCRs	classB	-4.80541349549851	10.4826633537675
ADGRE2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	2.97144792469513	0.879053272423995
GPR156	-	-	-	-	NA	classC	-4.81069892957104	10.0405616278191
ADGRG7	-	-	-	-	NA	classB	-5.61884112992744	9.41235096465782
SMO	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-1.14437624706012	1.21513841020396
TSHR	Not-coupled	-	-	-	Glycoprotein hormone receptors	classA	-1.02622547732668	1.35217117802355
RXFP1	Not-coupled	-	-	-	Relaxin family peptide receptors	classA	-1.10664327741669	1.26553565051847
RXFP2	Not-coupled	-	-	-	Relaxin family peptide receptors	classA	2.93121727806739	0.762197940887812
GPR149	-	-	-	-	NA	classA	-4.83154159797053	9.4041171050814
ADGRF2	-	-	-	-	NA	classB	-5.62254501692363	9.43023897078001
FZD6	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-1.11779469410518	1.25018544686714
LHCGR	Not-coupled	-	-	-	Glycoprotein hormone receptors	classA	-4.9185596205907	9.48812318012923
ADGRF4	-	-	-	-	NA	classB	-1.073788816568	1.23784013599342
FSHR	Not-coupled	-	-	-	Glycoprotein hormone receptors	classA	-5.90890216047674	9.21464187251988
FZD8	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-4.96949722041499	9.55215296101201
ADGRG1	Coupled	-	-	-	Adhesion Class GPCRs	classB	-4.67827234017436	10.1259775486204
ADGRL4	-	-	-	-	NA	classB	-5.77016989890903	9.34364516598306
FZD3	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-4.68480918564851	10.3423405687892
ADGRE3	-	-	-	-	NA	classB	-5.90406462604017	9.16969875513994
FZD1	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	1.37924040994548	-1.79480363418011
GPR50	-	-	-	-	NA	classA	1.91967973030276	-0.500501965215479
GPR37	Not-coupled	-	-	-	Class A Orphans	classA	2.8689041606938	0.737531070821475
GPR153	-	-	-	-	NA	classA	2.75695357174242	0.761183092264566
GPR107	-	-	-	-	NA	Other	-5.24578609872	10.0831066504754
PTH1R	Not-coupled	Not-coupled	Coupled	-	Parathyroid hormone receptors	classB	-5.85568840371481	9.04401430502293
FZD9	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	1.99475004742166	-1.63665903753384
CHRM3	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	2.74852556827703	0.671548856672186
GPR162	-	-	-	-	NA	classA	-5.9824631335707	9.1954171552123
FZD5	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-5.96445444587519	9.17734483959367
FZD10	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-5.90247008267458	9.2251008839533
FZD7	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	1.89362555078281	-1.500557280888
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-6.01671089833545	9.11205196388596
FZD2	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-5.42843146167318	9.64590846851314
ADGRA1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-5.38019236848062	9.97434852597762
GLP2R	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	-5.37180245569542	9.97694711288853
PTH2R	-	Coupled	-	-	NA	classB	-5.00397684326914	9.81679424952551
ADGRG3	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	2.11962571586014	0.0927165587574195
GPR75	Not-coupled	-	-	-	Class A Orphans	classA	-5.96615108515171	9.15928944391298
FZD4	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	2.00327686537636	-1.57286368607732
CHRM5	Not-coupled	Not-coupled	-	-	Acetylcholine receptors (muscarinic)	classA	2.11543326205103	-0.0029898734800049
GPR161	-	-	-	-	NA	classA	-4.94274337850275	9.96311894804546
ADGRG5	-	-	-	-	NA	classB	1.84829369428299	-1.08516532920439
NPFFR2	Not-coupled	Not-coupled	Coupled	-	Neuropeptide FF/neuropeptide AF receptors	classA	1.78962198366005	-1.81246167213661
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	2.13144749829016	0.10380734980399
GPR176	-	-	-	-	NA	classA	1.67447128603455	-1.49900006318999
GPR101	Not-coupled	-	-	-	Class A Orphans	classA	1.14045406238862	-1.82308169024353
GPR135	-	-	-	-	NA	classA	1.11172155812058	-1.50379951513371
PTGER4	Not-coupled	Not-coupled	Coupled	-	Prostanoid receptors	classA	1.95659253409386	-1.63915926623172
HRH1	Not-coupled	Not-coupled	Coupled	-	Histamine receptors	classA	1.2242325231313	-1.39337352135081
C3AR1	Not-coupled	-	-	-	Complement peptide receptors	classA	2.01110896764307	-1.84097602801014
HTR2B	Not-coupled	Not-coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	1.70837877345227	-0.636576868789832
GPR37L1	Not-coupled	-	-	-	Class A Orphans	classA	1.8724034413141	-2.25236915390239
CHRM4	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	1.9568020504582	-1.4081572257426
HTR7	Not-coupled	Coupled	-	-	5-Hydroxytryptamine receptors	classA	0.99552577708734	-1.93625113761004
OPN4	Not-coupled	-	-	-	Class A Orphans	classA	-5.23628483704643	10.5182555953558
GCGR	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	1.90775021186666	-1.40476290427285
DRD5	Not-coupled	Coupled	Coupled	-	Dopamine receptors	classA	0.830587446424617	-4.37320483996829
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-5.21519828343509	10.5181874823012
CALCR	Not-coupled	-	Coupled	-	Calcitonin receptors	classB	1.92336492601069	-0.0635644563403213
CNR1	Not-coupled	Coupled	Coupled	-	Cannabinoid receptors	classA	1.82165270811525	-1.88154054926724
HTR2A	Not-coupled	Not-coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-1.91056536156642	-0.879330429898819
GPR152	-	-	-	-	NA	classA	0.25242356556359	-2.25237141253386
RXFP3	Not-coupled	-	-	-	Relaxin family peptide receptors	classA	-5.32680956469948	10.6094193697043
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-5.41041612221319	10.1165005252207
GIPR	Not-coupled	Not-coupled	Coupled	-	Glucagon receptor family	classB	1.84137759170651	-1.73045831914474
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	1.77795688680918	-2.43303446721598
CHRM2	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	0.763993440058237	-2.27988510598046
TACR3	Not-coupled	Coupled	-	-	Tachykinin receptors	classA	1.20384194991568	-4.47599957131303
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-5.35579084105753	10.3889447561163
GLP1R	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	2.01506143046783	0.00362421497842957
GPR142	-	-	-	-	NA	classA	1.2494264254879	-4.4486045731329
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-5.20434292140514	10.5374441669831
CALCRL	-	-	-	-	NA	classB	1.15336335721869	-4.56708591275303
CHRM1	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	1.78483869794758	-2.12191672461578
HTR2C	Not-coupled	Coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-4.93057627509431	10.3944637995336
ADGRE4P	-	-	-	-	NA	classB	-5.1567174085565	10.667222968104
VIPR1	Not-coupled	-	Not-coupled	-	VIP and PACAP receptors	classB	0.684099131727578	-1.24160073824915
GPR39	Coupled	-	Coupled	-	Class A Orphans	classA	1.12199472475947	-1.62264505165064
GPR61	Not-coupled	-	-	-	Class A Orphans	classA	1.20618008777307	-4.5068291908302
ADRA2B	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	0.231773628834643	-4.4619380830925
CCKBR	Not-coupled	Coupled	-	-	Cholecystokinin receptors	classA	1.80909661952895	-1.38621073334326
DRD1	Not-coupled	Not-coupled	Coupled	-	Dopamine receptors	classA	0.792628737244538	-1.51120485938169
NPY5R	Not-coupled	-	Coupled	-	Neuropeptide Y receptors	classA	1.07465332227545	-4.58920559556565
HRH3	Not-coupled	Not-coupled	-	-	Histamine receptors	classA	0.422420027918338	-3.7658607742351
HCRTR2	Not-coupled	Not-coupled	Coupled	-	Orexin receptors	classA	-5.17841128634874	10.7895209112673
CRHR1	Not-coupled	-	Coupled	-	Corticotropin-releasing factor receptors	classB	1.50375981411523	-3.91907717531774
DRD2	Not-coupled	Not-coupled	Coupled	-	Dopamine receptors	classA	0.79143695570773	-1.25267970185863
EDNRB	Not-coupled	Coupled	-	-	Endothelin receptors	classA	3.05179044094724	0.949965960883186
GPRC5C	-	-	-	-	NA	classC	-5.11050933591381	10.7681687154854
SCTR	Not-coupled	-	-	-	Glucagon receptor family	classB	0.828746518236213	-4.56673438765596
HTR6	Not-coupled	Not-coupled	-	-	5-Hydroxytryptamine receptors	classA	-5.15689039486508	10.7328038907663
VIPR2	Not-coupled	-	-	-	VIP and PACAP receptors	classB	0.364630055725473	-0.14637718474914
GPR150	-	-	-	-	NA	classA	0.699938034611305	-0.996719760795227
GPR22	Not-coupled	-	-	-	Class A Orphans	classA	-0.106015502254639	-2.45130282377778
QRFPR	Not-coupled	-	-	-	QRFP receptor	classA	0.239173625273441	-4.15771376182875
NPFFR1	Not-coupled	Not-coupled	Coupled	-	Neuropeptide FF/neuropeptide AF receptors	classA	0.0178750875790707	-4.34268618340677
CCKAR	Not-coupled	Coupled	Coupled	-	Cholecystokinin receptors	classA	0.580371918726504	-1.09550580212895
EDNRA	Not-coupled	Coupled	Coupled	-	Endothelin receptors	classA	-0.173503436262435	-3.79426353870948
NMUR1	Not-coupled	Not-coupled	-	-	Neuromedin U receptors	classA	0.214918196379236	-4.09426334518605
HCRTR1	Not-coupled	Coupled	-	-	Orexin receptors	classA	-0.0634029036528978	-1.17254528459562
F2R	-	Coupled	Coupled	-	NA	classA	-0.0411704020739765	-4.55519951445975
AVPR1B	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	-0.849613887880328	-1.11582956950056
OXER1	Not-coupled	-	-	-	Leukotriene receptors	classA	0.168843736698245	-4.02202880322989
GPR83	-	-	-	-	NA	classA	-5.11722539010467	10.7840769639155
GHRHR	Not-coupled	-	-	-	Glucagon receptor family	classB	-0.281614420152414	-3.27459330795083
MCHR1	Not-coupled	Not-coupled	-	-	Melanin-concentrating hormone receptors	classA	1.39689777465555	-4.20539422972083
HTR1A	Not-coupled	Not-coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	0.873575394068269	-1.0652421636636
GPR151	-	-	-	-	NA	classA	0.496482131217505	-4.87405130578627
DRD4	Not-coupled	Not-coupled	-	-	Dopamine receptors	classA	0.584286728037647	-0.899406572151296
GPR63	-	-	-	-	NA	classA	-0.404328800108507	-3.01907136831783
NTSR1	Not-coupled	-	-	-	Neurotensin receptors	classA	-0.582728794031061	-4.91450510196617
SSTR3	Not-coupled	Not-coupled	-	-	Somatostatin receptors	classA	-0.316799393935729	-5.01526622144447
AVPR1A	Not-coupled	Not-coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	2.90064041446547	0.825815528559496
GPR137	-	-	-	-	NA	Other	-0.439907465793989	-3.55435939869946
NMUR2	Not-coupled	Coupled	-	-	Neuromedin U receptors	classA	0.675370075379854	-1.45818761736718
GPR19	-	-	-	-	NA	classA	0.73701555327195	-3.60288834114797
ADRB2	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.0962707888375629	-4.38892176266993
MLNR	Coupled	Coupled	-	-	Motilin receptor	classA	1.54342676358806	-1.7150524705584
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-5.24585773960513	10.6862789063438
CRHR2	Not-coupled	-	Coupled	-	Corticotropin-releasing factor receptors	classB	-0.752644975914408	-1.92553728410578
NTSR2	Not-coupled	-	-	-	Neurotensin receptors	classA	0.458156178491099	-4.35608664500902
ADRB3	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	0.247616300283094	-3.53854132099399
TACR1	Not-coupled	Coupled	-	-	Tachykinin receptors	classA	2.57781760659852	0.55560848812823
GPR143	-	-	-	-	NA	Other	-1.00639306340895	-2.17770119194123
GPR182	-	-	-	-	NA	classA	3.07309892735702	0.977977550163117
GPRC5B	-	-	-	-	NA	classC	-0.243850702635595	-0.596596615893245
