Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29
ADGRG2	-	-	-	-	Adhesion Class GPCRs	classB	69.46880944897414	14.282930272871727	31.745226116880293	-5.4497272900484575	24.901584422344342	0.8645575521253827	17.611500167478226	28.34502594065078	-22.32983376693539	38.05812174934741	45.97851148158369	15.294164618559023	-18.388501220557387	2.653098631295743	9.399618037772248	10.249323075331363	-8.186292527284722	2.236657477616425	3.013549851769263	3.0986588838171505	-2.543294803196677	2.25554876384424	0.6971629130799906	1.0377527426309947	1.204992251018266	-2.587150235560236	0.49067061596283684	0.7511222632522794	-2.237539908022266
LGR6	-	-	-	-	NA	classA	74.35246374829137	54.09622013320987	35.68699020583079	-4.71499567455662	0.6895966369909934	0.7692272515757418	-2.798664397649569	40.08730957085985	-8.728454740918341	-4.66506587932671	-15.783431624355666	-4.92829534806688	9.078926293739043	0.6821408470702065	8.659130993257133	11.734072322184353	-17.482760545984892	7.4235441107687725	-6.641738176886747	1.2171237918432791	-7.774689317651677	-2.7306389197910543	6.773783313662964	3.961938153588317	17.742229306739528	-18.03759050218382	3.051854661668804	-5.2277427041609705	-1.3476391806496058
ADGRD2	-	-	-	-	Adhesion Class GPCRs	classB	37.97389329603902	52.441836321464294	59.42800675030733	-35.334179000216665	34.22488864558467	-17.617599143040003	27.699410192906864	-14.125709381338325	-3.3501611410949326	-11.324372794853355	0.32569416138199075	0.3267394759446413	-3.1837251353922027	-1.5295469379630944	-3.5067412988952804	-0.745239580398407	-1.0211950773336378	3.3084608285490225	0.003424569225904505	0.8439420418340767	3.6390803318789042	0.8800301263779237	1.177341399342015	3.5997866470715705	-2.9462584982671003	1.861789908962389	0.02052528925740102	-0.35038048499572727	1.5499082686270984
GABBR1	-	-	-	-	GABA<sub>B</sub> receptors	classC	67.11586345482354	15.181048350649275	32.78989109783071	-7.378810983232956	23.074754247869603	0.6530658097381579	15.533603861775104	29.027550859115834	-21.88633397867335	38.1106451343305	45.731043644991296	19.783305075460028	-16.931203917010944	1.6013088430199507	6.919900236207525	5.086078660406676	-9.443334544688346	0.3994650177052182	4.3911960943263875	2.59385018622175	-3.3357837348533	3.1434260690915408	1.459542747526246	2.0894366286253345	-0.11890482521031767	-3.0334581989712737	-0.6554518340658504	-0.09398885058859652	-2.775391981919398
LGR4	-	-	-	-	Class A Orphans	classA	53.99610791258688	44.905486640187654	48.60565133759793	-26.79149391094674	43.53775345494488	-21.606811045970236	35.1122483208517	-12.813039642815873	3.98573828938956	-8.881040036138442	-1.741234608914371	-2.8131056066508506	-4.07782913060056	-1.1268166701505835	-2.422087289949635	-3.998830059974302	-1.8730041044420274	0.9594703345568448	-2.1524352858540357	3.252975988105114	0.031606656363680784	0.39273060326193343	3.4996980545188068	6.190908280877837	-2.26058702528447	-1.0481425872503016	0.006424764377705925	3.5739811672758326	5.7682701541601356
GABBR2	-	-	-	-	GABA<sub>B</sub> receptors	classC	34.17639203328394	50.30251855379358	65.2222824141159	-45.822573609044696	46.11200389210936	-27.95919860610823	33.93651922832322	-19.166929320289427	-7.063897103487154	-17.60174488165738	-6.957356338710858	-0.24253586516779113	2.127724615372187	-3.208218070099532	-5.948890590696685	-6.509095341079241	5.982376679310971	-13.34607021358102	-3.6930146625450813	1.0238880499227685	-4.385455104285078	-0.8965459853139489	-1.9357493070071525	-1.7170678685621652	5.160145122315295	2.174894228547844	2.6383887687913865	-4.278712305137013	-1.527992212804513
GPRC6A	-	-	-	-	Calcium-sensing receptors	classC	32.99647105700077	42.2924087624791	63.59118794124538	-44.78278301945726	46.53613448461075	-29.795683661341123	25.73337926457868	-18.493811599879372	-2.567625391337033	-13.656862678853763	-2.4698026811894307	-5.1759674802485955	-4.163916380948267	-4.229528234451513	-0.8864640796603602	-4.059225168714052	-0.9563623829020801	-2.8587403703904184	0.396513510675639	-3.6940140934577417	3.1862710819307036	-1.0613547148929394	3.688180844492869	-1.0902819212977763	-2.369089632431152	1.3195305650247464	-0.36849729336912723	2.852765180339421	1.0623521654077366
GRM7	-	-	-	-	Metabotropic glutamate receptors	classC	32.700633634703806	42.936379210027525	64.30042963556306	-44.42397823729033	46.759224201815314	-29.464100726607587	24.647571003066297	-17.918127091137272	-2.6057380735076947	-13.920432923931811	-2.485934565325624	-6.836344069120531	-4.92680348347823	-3.161518013671939	-0.37086694336712084	-2.188905204933364	-2.905577305581224	-2.3879627505280694	0.2942788268263741	-2.2705336230680824	2.757884008119591	-1.404919860629703	3.440002742926455	-0.18903548754765018	-2.814177096663495	0.9972850436043824	-0.23676579044540044	2.4042968980976576	1.2952967736140721
GRM4	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	68.65765768038456	55.04567178345418	33.90685580957273	-10.567690875236028	-1.514261310196298	2.7590593430248864	-0.1693968918361215	45.51376454792306	-14.173587175094411	-5.664241593774313	-21.52233967211435	1.793485640583706	19.83064321907555	1.7566913221436595	-3.0525144533479103	-7.4450656330302944	-4.648744964315623	0.817113846968465	1.1172288592967554	-6.709343249028272	-3.9180673982385357	-3.583503663776149	1.5223259475186472	-4.040247068095713	4.933858475983487	6.4116069654768175	-7.426885839337868	-3.31856103633025	1.0759139101541277
ADGRF1	-	-	-	-	NA	classB	32.66336274799442	41.98680278833874	62.65024003046557	-44.639604988296604	45.140741646538245	-29.295153451027417	24.645604971354654	-18.556108963239595	-2.500094575535868	-14.609155153664334	-2.4803873189015744	-4.024796282277064	-3.676914105192085	-3.731424979486059	-1.8541764571419257	-4.667610284983708	0.04870623228750771	-4.9269824613147275	0.6366619599166495	-3.6846420618324554	3.789875182994157	-1.4517685567625875	3.3392618360478084	-1.0875413114087196	-2.5062235481831006	1.8606803312101228	0.6597778629049367	2.366633546456637	2.199018594140665
