Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.592982443391725	5.9748373292078
LGR6	-	-	-	-	NA	classA	0.608373365943301	5.95967636253569
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.774773561563866	6.34675207095368
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.45078857145888	6.04387675680231
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	0.635975712927566	6.27048587848555
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.295151289378993	6.30633363146107
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	0.721686163889945	6.38695387939934
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	0.764393587214925	6.32118300623045
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.280468818066538	6.04553899288372
ADGRF1	-	-	-	-	NA	classB	0.481667262908939	6.36798663828652
GRM8	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.211216398266641	5.97157888918123
LGR5	-	-	-	-	NA	classA	0.156864451022203	4.88398453037517
ADGRE1	-	-	-	-	NA	classB	0.356394451778399	6.30518293809048
GRM3	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	0.755415940586181	6.23807288378933
GRM6	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.408326735215488	5.88170914912697
ADGRD1	Coupled	-	-	-	Adhesion Class GPCRs	classB	0.741150172163311	6.22056819075052
GRM2	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.658920924447186	5.8268076685151
TAS1R3	-	-	-	-	NA	classC	0.471434216773312	5.74096603037892
TAS1R1	-	-	-	-	NA	classC	0.21424493552121	6.11430977090042
TAS1R2	-	-	-	-	NA	classC	0.22978080330215	4.75583919059667
ADGRE5	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.207697135227933	4.74032337514197
ADGRE2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.284120680205086	4.49181870275452
GPR156	-	-	-	-	NA	classC	0.240515932281355	6.04099342531373
ADGRG7	-	-	-	-	NA	classB	0.724177916359043	4.91565945411029
SMO	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.0548025730984667	6.1799247041602
TSHR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	0.0299903052790691	6.11086926453121
RXFP1	Coupled	-	-	-	Relaxin family peptide receptors	classA	0.000151190517149846	6.13450101552123
RXFP2	Coupled	-	-	-	Relaxin family peptide receptors	classA	0.0733639574905032	4.68149904333563
GPR149	-	-	-	-	NA	classA	0.00185244265988116	5.74257860759588
ADGRF2	-	-	-	-	NA	classB	0.319399650844207	4.16844112649471
FZD6	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-0.0828961403219615	5.98844909220053
LHCGR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	-0.0760904674414438	5.47680797514073
ADGRF4	-	-	-	-	NA	classB	-0.0313991356149126	5.85440134856429
FSHR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	0.759897976129752	3.49675774751413
FZD8	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.31603779997873	5.23591517010448
ADGRG1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-0.0473378678827143	5.95935883586284
ADGRL4	-	-	-	-	NA	classB	0.310212429254297	3.40235165121696
FZD3	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.0867553526484044	4.8650237329256
ADGRE3	-	-	-	-	NA	classB	0.632333646006559	3.49866779827772
FZD1	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-0.519336139990161	2.69946794013022
GPR50	-	-	-	-	NA	classA	0.716667656951792	3.67773026167833
GPR37	Not-coupled	-	-	-	Class A Orphans	classA	0.976996684606613	3.14701963384
GPR153	-	-	-	-	NA	classA	0.412871687447732	3.05276655569731
GPR107	-	-	-	-	NA	Other	0.378765352982291	3.24281923824271
PTH1R	Coupled	Coupled	Coupled	-	Parathyroid hormone receptors	classB	0.613569953510817	3.49998019482553
FZD9	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-0.669552498308129	2.59936256889349
CHRM3	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	0.992913645330306	3.08779131138761
GPR162	-	-	-	-	NA	classA	0.42618738925284	3.35816577212195
FZD5	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.500907859989723	3.36051447189138
FZD10	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.407262480526582	3.27610778214212
FZD7	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	1.07305869845681	2.98409379338332
ADRA1D	Not-coupled	Coupled	-	-	Adrenoceptors	classA	0.43202456610703	3.19927949705368
FZD2	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.485858350266209	3.40265630797034
ADGRA1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.4853238905478	1.90185352505831
GLP2R	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	0.278000659393082	2.75426720635932
PTH2R	-	Coupled	-	-	NA	classB	0.513832640492306	2.37628367083384
ADGRG3	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-0.577668798983594	2.3682848903697
GPR75	Not-coupled	-	-	-	Class A Orphans	classA	0.514845820846845	2.75595301273856
FZD4	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	-0.665969323683483	2.52594464610287
CHRM5	Not-coupled	Not-coupled	-	-	Acetylcholine receptors (muscarinic)	classA	0.342938609974766	2.22877403051068
GPR161	-	-	-	-	NA	classA	0.508823358377216	1.8099778837657
ADGRG5	-	-	-	-	NA	classB	-0.422631201128573	1.51737662134172
NPFFR2	Not-coupled	Not-coupled	Coupled	-	Neuropeptide FF/neuropeptide AF receptors	classA	1.08913935053256	2.3324777015991
ADRA1B	Not-coupled	Coupled	-	-	Adrenoceptors	classA	-0.797401377430003	2.17386431120671
GPR176	-	-	-	-	NA	classA	-0.572381802793244	2.404416436825
GPR101	Coupled	-	-	-	Class A Orphans	classA	1.29850023802588	2.149220020219
GPR135	-	-	-	-	NA	classA	0.421208598291588	2.25480831423694
PTGER4	Coupled	Coupled	Coupled	-	Prostanoid receptors	classA	-0.448312698263453	2.07614043204942
HRH1	Not-coupled	Coupled	Coupled	-	Histamine receptors	classA	-0.370325619205453	1.92839438704293
C3AR1	Not-coupled	-	-	-	Complement peptide receptors	classA	-0.963828522811423	1.11293216604124
