Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
ADGRG2	-	-	-	-	Adhesion Class GPCRs	classB	1.620100375854852	0.49603061087462236	0.5781962446923198	0.37767303243196904	-0.49074605584030256	-0.1743398926851621	-0.17551495869978945	-0.23260564956988475	-0.11504499400939391	0.03299383029520969	-0.14247279672705443	0.10740379000786694	0.05724758271444539
LGR6	-	-	-	-	NA	classA	1.6915168573740644	0.37551967983330475	0.6401457428169252	0.42419861685072047	-0.30653697890914794	-0.05874983934857626	-0.3237829835825489	-0.06036062233003294	-0.24236509490678115	0.06931521457126467	-0.018629391158635156	0.2592523290122013	0.051498234190209734
ADGRD2	-	-	-	-	Adhesion Class GPCRs	classB	1.6876982264650529	0.6067283951093075	0.19863936517225866	0.5053367489263816	-0.1629821548981439	0.09942590913369485	-0.24781292298794136	-0.2564172459272343	-0.12770364341661075	-0.13335365747984507	-0.10112944542025194	0.21249554684522484	-0.06548439967322027
GABBR1	-	-	-	-	GABA<sub>B</sub> receptors	classC	1.563366312452809	0.6586429437289129	0.2425497427679746	0.43989020171556303	-0.40739027376776943	-0.0859312457835453	-0.06307012559974018	-0.2647244507047883	-0.14143811970345846	0.1280252467135639	-0.16453043130755568	0.0718211980508342	0.05715839006992524
LGR4	-	-	-	-	Class A Orphans	classA	1.6293287593165184	0.6460565645775345	0.10017561516925444	0.5238880013750575	-0.17686000780688704	0.06892629431196964	-0.24380783080862756	-0.19600087050574636	-0.1669865290632998	-0.16498433660776243	-0.13021937921298551	0.1315486541010773	0.0019207516244466288
GABBR2	-	-	-	-	GABA<sub>B</sub> receptors	classC	1.4467078494914847	0.7897044664989062	-0.1268681956853232	0.5383755551115154	-0.25888830799892987	-0.10120820234301034	-0.2469565049788584	-0.06171423510557067	-0.1817127668181562	0.06796777943872019	-0.1682200716447079	0.03333478954539999	0.05106194471845819
GPRC6A	-	-	-	-	Calcium-sensing receptors	classC	1.6212381561355897	0.6053710065027481	0.09597542221698373	0.5790542042255806	-0.0675403795417055	0.09010853746928998	-0.3178686420261969	-0.08010593427371243	-0.13934722734402294	-0.11307096449849119	-0.05985189589958002	0.06412347282960305	-0.0351200729340573
GRM7	-	-	-	-	Metabotropic glutamate receptors	classC	1.6221262266303154	0.5663397058151778	0.18599492821518795	0.5475817872242534	-0.11906387688816768	0.09527091207159857	-0.25161650712737127	-0.14029511600755798	-0.05390398284785008	-0.08204295194057289	-0.09008833460932827	0.10462327572859408	-0.07694781678110742
GRM4	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	1.4831033065033328	0.7349299665508071	-0.0040910344111222295	0.526995235818717	-0.3019880446685729	-0.0016354620187707704	-0.075753732862465	-0.12113093435741766	-0.1320634596926406	0.12566784958770422	-0.11325324553614732	0.05346858359876382	-0.0681586331540368
ADGRF1	-	-	-	-	NA	classB	1.5906423224719075	0.6342530848834645	0.04927671688635547	0.5758498083534156	-0.08382691087447261	0.10559067554764051	-0.2599267006261529	-0.09034300904421791	-0.09245872491885973	-0.03673500559095129	-0.076271653435571	0.06495930455070828	-0.040612217836404986
GRM8	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	1.4484177485999714	0.6692183391864999	0.1945301133522286	0.45366232105988674	-0.5156119229773367	-0.15159354534456257	0.07361666352525208	-0.15214824920779543	-0.16202442089355737	0.08318936964945704	-0.09735310525147058	0.01931762564338715	0.09167902031690804
LGR5	-	-	-	-	NA	classA	1.5910835311336864	0.6540022396928485	0.05238088308012562	0.5692220914953435	-0.05528637122355534	0.19496763243763798	-0.0789371614546293	-0.17078415078569847	0.060833278357588755	0.15198351524124823	0.03980467150232461	0.031139004387607052	-0.026681413075044715
ADGRE1	-	-	-	-	NA	classB	1.5062950465961873	0.6489261951754125	0.07030003644383231	0.5545309439211836	-0.1431542664139431	0.04791055949809454	-0.14986827593273047	-0.03500717894808517	-0.013014519394475094	0.0028331444749026425	-0.029098180663809512	0.006266622694986149	-0.030503280163476785
GRM3	-	-	-	-	Metabotropic glutamate receptors	classC	1.6187097249888212	0.42903936308377416	0.40800012576840117	0.5391952114849269	-0.0833771453202262	0.1297174621846271	-0.21182206829796751	0.03374196756391826	-0.06808515344844505	0.006086253066625418	-0.0006714743345322005	0.04603310451976907	-0.03360616168893222
GRM6	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	1.4842738713297445	0.6224379228139761	0.16214707266233486	0.5160948110656867	-0.23316699288111825	0.06532676959958912	0.033684050590483766	-0.05647636307371113	-0.0001984955320725784	0.2436519742062815	-0.0200589292151423	0.06404059536311797	0.059733300732300876
ADGRD1	-	-	-	-	Adhesion Class GPCRs	classB	1.564508710254385	0.45722478252958537	0.4129948337942679	0.512884028854579	-0.1570136776932444	0.05281839798528273	-0.16346013175587304	0.0230302810084714	0.001462970317017352	0.08039949769170092	-0.03944990573814872	0.0027940899657375364	-0.027972367498914918
GRM2	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	1.4510608102861677	0.4655717482752718	0.5299224111905869	0.41776263253838497	-0.3557976982881636	-0.11560128060144986	-0.03197161181831528	0.03222082931079111	0.087553824092088	0.03084417142954842	0.09448056798352557	0.001912029089122269	0.001865093065556289
TAS1R3	-	-	-	-	NA	classC	1.3945677711569762	0.5813694634028731	0.3233855210455331	0.4264322493454494	-0.27081952180729124	-0.04912405678132578	0.01656302833471443	0.054022313636669914	0.12322412296855263	0.09702896827588325	0.03692284562802182	-0.030159098986972617	0.07353321071392331
TAS1R1	-	-	-	-	NA	classC	1.305186400513283	0.7278091539029715	0.045866041913773865	0.4605532454011617	-0.25994790349732483	-0.09444947695953472	-0.03330440280075474	0.13307848614470127	0.05067180024498242	0.03270014516153818	0.12250493509813873	0.017179378346547744	0.09888690476324516
TAS1R2	-	-	-	-	NA	classC	1.5131110359624849	0.5899366449979503	0.25144928702261077	0.47358816122097386	-0.05571529995195436	0.18976513562229194	0.04137922185667702	-0.03742425517464206	0.1819343767797425	0.024749648475782978	0.12359734720049595	-0.03893976483454818	-0.033460095720390076
ADGRE5	-	-	-	-	Adhesion Class GPCRs	classB	1.4563457932388422	0.6185452455769447	0.2510109626525711	0.42682243097626404	-0.11508195356289137	0.15874712339108482	0.15346150162025987	0.00488089458445284	0.13123573285543633	0.014357075477625625	0.2070622772202448	-0.028054314660682065	0.028897702039845992
ADGRE2	-	-	-	-	Adhesion Class GPCRs	classB	1.5976531267005323	0.5231372891871799	0.37332826585736056	0.4252156601952618	0.02617650387792449	0.472180005755275	0.31275472604993365	-0.09841311317510539	0.10785557617843239	-0.0652196677666595	0.1437409513310005	-0.02257589388331117	0.03427208043788765
GPR156	-	-	-	-	NA	classC	1.3306787782084784	0.7983481560136242	-0.02932492910003598	0.39453005222450255	-0.014122060970028582	0.24576059837147135	0.14469714355158858	0.2286600886227956	-0.03140724837745979	0.004142314475258803	0.07912789050029613	-0.1219655251536912	-0.06387279470161775
ADGRG7	-	-	-	-	NA	classB	1.4483262890576811	0.516677321889281	0.45607042761300354	0.27776298582227466	0.027544557662819335	0.1908448273626802	-0.027577369424916693	0.20181412680621322	0.20881934973941438	-0.125104191042815	0.08164982629648243	-0.09103529787721484	0.024624972675554052
SMO	-	-	-	-	Class Frizzled GPCRs	Frizzeled	1.1890253948001528	0.8305599570249516	0.021418871517328755	0.20691779936346844	-0.08357053386891462	-0.0490795531793027	0.1529278995978498	0.2489307053319254	0.13294747740032514	-0.17309187401644843	0.11389723376640783	-0.15158522633555563	0.06621986281825012
TSHR	-	-	-	-	Glycoprotein hormone receptors	classA	1.1277634152521245	0.9061619185441042	-0.06830324567760698	0.16066206741158157	-0.10546386072740344	-0.08384778877064683	0.15570912409635632	0.20551233704531743	0.258406599831078	-0.12543228012671453	0.05878237425248439	-0.17452496999247188	0.02794040445821683
RXFP1	-	-	-	Not-coupled	Relaxin family peptide receptors	classA	1.0517930526416253	0.9661608514713691	-0.128027073138247	0.13364415553572545	-0.17190743607838432	-0.17053133379022822	0.16133964196003397	0.2525579303565656	0.22069161960772796	-0.1161118443663041	-0.018840486533770583	-0.19241742256564928	-0.03489648236302139
