#GENE	ACC	ID	NAME	PC	SC
HTR1A	Q6XXY0	5HT1A_VULVU	-	Gi/Go	
HTR1B	Q6XXX8	5HT1B_VULVU	-	Gi/Go	
HTR1D	P49145	5HT1D_RABIT	-	Gi/Go	
HTR1E	Q29003	5HT1E_PIG	-	Gi/Go	
HTR1F	Q9N2D9	5HT1F_PANTR	-	Gi/Go	
HTR2A	Q5R4Q6	5HT2A_PONPY	-	Gq/G11	Gi/Go
HTR2B	Q29005	5HT2B_PIG	-	Gq/G11	
HTR2C	Q5IS66	5HT2C_PANTR	-	Gq/G11	Gi/Go
HTR4	G4MM89	HTR4_MAGO7	-	Gs	G12/G13
HTR5A	P47898	5HT5A_HUMAN	5-HT5A receptor	Gi/Go	Gq/G11
HTR6	G4MS67	HTR6_MAGO7	-	Gs	Gq/G11
HTR7	G4N3F6	HTR7_MAGO7	-	Gs	
CHRM1	Q5R949	ACM1_PONAB	-	Gq/G11	
CHRM2	P06199	ACM2_PIG	-	Gi/Go	Gs, Gq/G11
CHRM3	Q9N2A2	ACM3_PONPY	-	Gq/G11	
CHRM4	P08173	ACM4_HUMAN	M4 receptor	Gi/Go	
CHRM5	Q5IS98	ACM5_SAIBB	-	Gq/G11	
ADORA1	P34970	AA1R_RABIT	-	Gi/Go	Gs, Gq/G11
ADORA2A	P29274	AA2AR_HUMAN	A2A receptor	Gs	Gq/G11
ADORA2B	Q32ZE2	AA2BR_RABIT	-	Gs	Gq/G11
ADORA3	P35342	AA3R_SHEEP	-	Gi/Go	Gi/Go
ADRA1A	O02824	ADA1A_RABIT	-	Gq/G11	G12/G13
ADRA1B	P18841	ADA1B_MESAU	-	Gq/G11	
ADRA1D	O02666	ADA1D_RABIT	-	Gq/G11	
ADRA2A	P18871	ADA2A_PIG	-	Gi/Go	Gs
ADRA2B	O19091	ADA2B_TALEU	-	Gi/Go	Gs
ADRA2C	P18825	ADA2C_HUMAN	&alpha;2C-adrenoceptor	Gi/Go	Gs
ADRB1	Q28927	ADRB1_SHEEP	-	Gs	Gi/Go
ADRB2	Q4KWL2	ADRB2_TSCTR	-	Gs	Gi/Go
ADRB3	Q9XT58	ADRB3_SHEEP	-	Gs	Gi/Go
C3AR1	Q5REI5	C3AR_PONAB	-	G protein (identity unknown)	
C5AR1	Q9TUE1	C5AR1_RABIT	-	Gi/Go, G protein (identity unknown)	Gq/G11
C5AR2	Q9P296	C5AR2_HUMAN	C5a2 receptor		
AGTR1	O77590	AGTR1_SHEEP	-	Gi/Go, Gq/G11	
AGTR2	Q28929	AGTR2_SHEEP	-	Gi/Go	Gi/Go
APLNR	O97666	APJ_MACMU	-	Gi/Go	
GPBAR1	Q862A8	GPBAR_RABIT	-	Gs	
NMBR	P28336	NMBR_HUMAN	BB1 receptor	Gq/G11	
GRPR	P30550	GRPR_HUMAN	BB2 receptor	Gq/G11	G protein (identity unknown)
BRS3	O97967	BRS3_SHEEP	-	Gq/G11	G protein (identity unknown)
BDKRB1	Q8HZP1	BKRB1_TUPMI	-	Gi/Go, Gq/G11	
BDKRB2	Q28642	BKRB2_RABIT	-	Gs, Gi/Go, Gq/G11	
CALCR	P79222	CALCR_RABIT	-	Gs	Gq/G11
CASR	O62714	CASR_PIG	-	Gi/Go, Gq/G11, G12/G13	Gq/G11, G protein (identity unknown)
GPRC6A	Q5T6X5	GPC6A_HUMAN	GPRC6 receptor	Gq/G11	
CNR1	Q9PUI7	CNR1_TARGR	-	Gi/Go	Gs
CNR2	B6TYV8	CNR2_MAIZE	-	Gi/Go	Gs
CCR1	A0A059TC02	CCR1_PETHY	-	Gi/Go	Gi/Go
CCR2	O18793	CCR2_MACMU	-	Gi/Go	
CCR3	P56483	CCR3_MACMU	-	Gi/Go	
CCR4	P31384	CCR4_YEAST	-	Gi/Go	
CCR5	O97879	CCR5_TRAPH	-	Gi/Go	Gi/Go
CCR6	P51684	CCR6_HUMAN	CCR6	Gi/Go	
CCR7	P32248	CCR7_HUMAN	CCR7	Gi/Go	Gi/Go
CCR8	O97665	CCR8_MACMU	-	Gi/Go	
CCR9	Q1WLP9	CCR9_SHEEP	-	Gi/Go	
CCR10	P46092	CCR10_HUMAN	CCR10	Gi/Go	
CXCR1	P21109	CXCR1_RABIT	-	Gi/Go	Gq/G11
CXCR2	P35344	CXCR2_RABIT	-	Gi/Go	
CXCR3	P49682	CXCR3_HUMAN	CXCR3	Gi/Go	
CXCR4	Q7YS92	CXCR4_TUPCH	-	Gi/Go	
CXCR5	P32302	CXCR5_HUMAN	CXCR5	Gi/Go	Gi/Go
CXCR6	Q9TV16	CXCR6_PANTR	-	Gi/Go	
CX3CR1	Q2KTE1	CX3C1_RABIT	-	Gi/Go	
XCR1	P46094	XCR1_HUMAN	XCR1	Gi/Go	
CCKAR	O97772	CCKAR_RABIT	-	Gq/G11	Gs
CCKBR	P46627	GASR_RABIT	-	Gq/G11	
CMKLR1	Q99788	CML1_HUMAN	chemerin receptor 1	Gi/Go	
GPR183	P32249	GP183_HUMAN	GPR183	Gi/Go	
GPR3	P46089	GPR3_HUMAN	GPR3	Gs	
GPR4	P50132	GPR4_PIG	-	Gs, Gi/Go, Gq/G11, G12/G13	
GPR6	P46095	GPR6_HUMAN	GPR6	Gs, Gi/Go	
GPR12	P47775	GPR12_HUMAN	GPR12	Gs, Gi/Go	
GPR17	Q13304	GPR17_HUMAN	GPR17	Gi/Go	Gq/G11
GPR18	Q4R613	GPR18_MACFA	-	Gi/Go, Gq/G11	
GPR20	Q99678	GPR20_HUMAN	GPR20	Gi/Go	
GPR21	Q99679	GPR21_HUMAN	GPR21		
GPR22	Q99680	GPR22_HUMAN	GPR22	Gi/Go	
LPAR4	Q99677	LPAR4_HUMAN	LPA4 receptor	Gs, Gi/Go, Gq/G11, G12/G13	
GPR26	Q8NDV2	GPR26_HUMAN	GPR26	Gs	
GPR27	Q9NS67	GPR27_HUMAN	GPR27	Gq/G11	
GPR31	O00270	GPR31_HUMAN	GPR31	Gi/Go	
GPR33	Q49SQ3	GPR33_PANTR	-	Gi/Go	
GPR34	P60019	GPR34_PANTR	-	Gi/Go	
GPR37	O15354	GPR37_HUMAN	GPR37	Gi/Go	
GPR37L1	O60883	G37L1_HUMAN	GPR37L1	Gi/Go	
GPR39	B2ZHY2	GPR39_PIG	-	Gq/G11	Gs, G12/G13
GPR55	Q9Y2T6	GPR55_HUMAN	GPR55	Gq/G11, G12/G13	
GPR61	Q9BZJ8	GPR61_HUMAN	GPR61		
GPR65	Q8IYL9	PSYR_HUMAN	GPR65	Gs	
GPR68	Q15743	OGR1_HUMAN	GPR68	Gi/Go, Gq/G11	
GPR75	O95800	GPR75_HUMAN	GPR75	Gq/G11	
GPR78	Q96P69	GPR78_HUMAN	GPR78	Gs	
GPR84	Q9NQS5	GPR84_HUMAN	GPR84	Gi/Go	
LPAR5	Q9H1C0	LPAR5_HUMAN	LPA5 receptor	Gq/G11, G12/G13	
GPR101	Q96P66	GP101_HUMAN	GPR101	Gs	
GPR119	Q8TDV5	GP119_HUMAN	GPR119	Gs	
FFAR4	C8YUV0	FFAR4_MACFA	-	Gq/G11	
GPR132	Q9UNW8	GP132_HUMAN	GPR132		
GPR139	Q6DWJ6	GP139_HUMAN	GPR139	Gq/G11	
LGR4	Q9BXB1	LGR4_HUMAN	LGR4		
MAS1	P10507	MPPB_YEAST	-	Gi/Go, Gq/G11	
MRGPRD	Q6L786	MRGRD_MACFA	-	Gi/Go, Gq/G11	
MRGPRX1	Q96LB2	MRGX1_HUMAN	MRGPRX1	Gq/G11	
MRGPRX2	Q4QXU4	MRGX2_TRAFR	-	Gi/Go, Gq/G11	
MRGPRX3	Q2LL16	MRGX3_MACMU	-	Gq/G11	
MRGPRX4	Q96LA9	MRGX4_HUMAN	MRGPRX4	Gq/G11	
OPN5	Q6U736	OPN5_HUMAN	OPN5	Gi/Go	
OXGR1	Q96P68	OXGR1_HUMAN	oxoglutarate receptor	Gq/G11	
LPAR6	P43657	LPAR6_HUMAN	LPA6 receptor	Gs, Gi/Go, G12/G13	
OPN4	Q4U4D2	OPN4_PODSI	-	Gi/Go, Gq/G11	
SUCNR1	Q9BXA5	SUCR1_HUMAN	succinate receptor	Gi/Go	Gq/G11
TAAR2	Q9P1P5	TAAR2_HUMAN	TAAR2		
TAAR6	Q5W8W0	TAAR6_PANTR	-	Gs	
ADGRB2	Q5R7Y0	AGRB2_PONAB	-		
ADGRE5	P48960	AGRE5_HUMAN	ADGRE5	G12/G13	
CELSR1	Q9NYQ6	CELR1_HUMAN	CELSR1		
CELSR2	Q9HCU4	CELR2_HUMAN	CELSR2		
CELSR3	Q9NYQ7	CELR3_HUMAN	CELSR3		
ADGRE2	Q2Q426	AGRE2_MACMU	-	Gq/G11	
ADGRG1	Q50DM5	AGRG1_PONPY	-	Gq/G11, G12/G13	
ADGRG2	Q8IZP9	AGRG2_HUMAN	ADGRG2		Gq/G11
ADGRG3	Q86Y34	AGRG3_HUMAN	ADGRG3	Gi/Go	
ADGRA1	Q86SQ6	AGRA1_HUMAN	ADGRA1	G protein (identity unknown)	G protein (identity unknown)
ADGRA2	Q96PE1	AGRA2_HUMAN	ADGRA2	G protein (identity unknown)	G protein (identity unknown)
ADGRA3	Q8IWK6	AGRA3_HUMAN	ADGRA3	G protein (identity unknown)	G protein (identity unknown)
ADGRD1	Q6QNK2	AGRD1_HUMAN	ADGRD1	Gs	Gs
ADGRD2	Q7Z7M1	AGRD2_HUMAN	ADGRD2	G protein (identity unknown)	G protein (identity unknown)
ADGRL1	O94910	AGRL1_HUMAN	ADGRL1	Gq/G11	G protein (identity unknown)
CRHR1	O62772	CRFR1_SHEEP	-	Gs	Gq/G11
CRHR2	Q13324	CRFR2_HUMAN	CRF2 receptor	Gs	Gq/G11
DRD1	O02664	DRD1_RABIT	-	Gs	Gs
DRD2	P60026	DRD2_PANTR	-	Gi/Go, G protein independent mechanism	
DRD3	Q5IS72	DRD3_PANTR	-	Gi/Go	
DRD4	Q6TLJ0	DRD4_MUSPF	-	Gi/Go	
DRD5	Q95195	DRD5_MACMU	-	Gs	
EDNRA	Q95L55	EDNRA_SHEEP	-	Gq/G11	
EDNRB	Q9N0W7	EDNRB_RABIT	-	Gs, Gi/Go, Gq/G11	
GPER1	F7EQ49	GPER1_MACMU	-	Gi/Go	Gs
FPR1	Q05394	FPR1_RABIT	-	Gi/Go	
FPR2	P79236	FPR2_PONPY	-	Gi/Go	Gq/G11
FPR3	P79237	FPR3_PONPY	-	Gi/Go	
FFAR1	Q76JU8	FFAR1_MESAU	-	Gq/G11	Gs, Gi/Go
FFAR2	O15552	FFAR2_HUMAN	FFA2 receptor	Gq/G11	Gi/Go
FFAR3	O14843	FFAR3_HUMAN	FFA3 receptor	Gi/Go	
GPR42	O15529	GPR42_HUMAN	GPR42		
FZD1	Q9UP38	FZD1_HUMAN	FZD1		Gi/Go, Gq/G11
FZD2	Q14332	FZD2_HUMAN	FZD2	Gi/Go, G protein (identity unknown)	
FZD3	Q9NPG1	FZD3_HUMAN	FZD3	Gs, G protein (identity unknown)	
FZD4	Q9ULV1	FZD4_HUMAN	FZD4	G12/G13	G12/G13
FZD5	Q13467	FZD5_HUMAN	FZD5		
FZD6	Q5RCN4	FZD6_PONAB	-	Gi/Go, Gq/G11, G protein independent mechanism	Gi/Go
FZD7	O75084	FZD7_HUMAN	FZD7	Gs, Gi/Go	
FZD8	Q9H461	FZD8_HUMAN	FZD8	G protein (identity unknown)	
FZD9	O00144	FZD9_HUMAN	FZD9		Gi/Go
FZD10	Q9ULW2	FZD10_HUMAN	FZD10		G12/G13
SMO	Q99835	SMO_HUMAN	SMO	Gi/Go, G12/G13	
GABBR1	Q9UBS5	GABR1_HUMAN	GABAB1		
GABBR2	O75899	GABR2_HUMAN	GABAB2		
GALR1	P47211	GALR1_HUMAN	GAL1 receptor	Gi/Go	
GALR2	O43603	GALR2_HUMAN	GAL2 receptor	Gq/G11	Gi/Go, G12/G13
GALR3	O60755	GALR3_HUMAN	GAL3 receptor	Gi/Go	
GHSR	A5A4K9	GHSR_RABIT	-	Gq/G11	Gi/Go, G12/G13, G protein independent mechanism
GHRHR	P34999	GHRHR_PIG	-	Gs	
GIPR	P43218	GIPR_MESAU	-	Gs	
GLP1R	P43220	GLP1R_HUMAN	GLP-1 receptor	Gs	
GLP2R	O95838	GLP2R_HUMAN	GLP-2 receptor		
GCGR	P47871	GLR_HUMAN	glucagon receptor	Gs	
SCTR	O46502	SCTR_RABIT	-		
FSHR	P35379	FSHR_SHEEP	-	Gs, Gi/Go, Gq/G11	
LHCGR	Q28585	LSHR_SHEEP	-	Gs	Gq/G11
TSHR	P56495	TSHR_SHEEP	-	Gs	Gq/G11
GNRHR	Q9TTI8	GNRHR_TRIVU	-	Gq/G11	Gi/Go
HRH1	Q9N2B0	HRH1_PONPY	-	Gq/G11	Gq/G11
HRH2	P61752	HRH2_PONPY	-	Gq/G11	Gs
HRH3	Q9Y5N1	HRH3_HUMAN	H3 receptor	Gi/Go	
HRH4	Q9H3N8	HRH4_HUMAN	H4 receptor	Gi/Go	
KISS1R	Q969F8	KISSR_HUMAN	kisspeptin receptor	Gq/G11	
LTB4R	Q15722	LT4R1_HUMAN	BLT1 receptor	Gi/Go, Gq/G11	
LTB4R2	Q9NPC1	LT4R2_HUMAN	BLT2 receptor	Gi/Go	Gq/G11
CYSLTR1	Q95N02	CLTR1_PIG	-	Gq/G11	Gi/Go
CYSLTR2	Q95N03	CLTR2_PIG	-	Gq/G11	Gi/Go
OXER1	Q8TDS5	OXER1_HUMAN	OXE receptor	Gi/Go	Gi/Go
LPAR1	P46628	LPAR1_SHEEP	-	Gi/Go, Gq/G11, G12/G13	
LPAR2	Q95KH4	LPAR2_MACFA	-	Gi/Go, Gq/G11, G12/G13	Gi/Go, Gq/G11, G12/G13
LPAR3	Q9UBY5	LPAR3_HUMAN	LPA3 receptor	Gi/Go, Gq/G11	
S1PR1	P21453	S1PR1_HUMAN	S1P1 receptor	Gi/Go	
S1PR2	O95136	S1PR2_HUMAN	S1P2 receptor	Gs, Gq/G11, G12/G13	
S1PR3	Q99500	S1PR3_HUMAN	S1P3 receptor	Gi/Go, Gq/G11, G12/G13	
S1PR4	O95977	S1PR4_HUMAN	S1P4 receptor	Gi/Go, G12/G13	
S1PR5	Q684M3	S1PR5_PIG	-	Gi/Go, G12/G13	
MCHR1	Q9MZ01	MCHR1_PIG	-	Gs, Gi/Go, Gq/G11	
MCHR2	Q8MJ88	MCHR2_MACMU	-	Gq/G11	
MC1R	Q29154	MSHR_VULVU	-	Gs	G protein (identity unknown)
MC2R	Q9TU77	ACTHR_SHEEP	-	Gs	G protein (identity unknown)
MC3R	P41968	MC3R_HUMAN	MC3 receptor	Gs	G protein (identity unknown)
