#GENE	ACC	ID	NAME	GNAS	GNAL	GNAI1	GNAI3	GNAO1	GNAZ	GNAQ	GNA14	GNA15	GNA12	GNA13
ADCYAP1R1	P41586	PACR_HUMAN	PAC1 receptor	-0.04714	-0.07294	-1.43005	-1.38698	-1.42930	-1.66373	0.00000	-0.53101	-1.95789	-1.99156	-1.76898
ADORA1	P34970	AA1R_RABIT	-	-1.98764	-2.00000	-0.47730	-0.22081	0.00000	-0.09151	-1.73486	-1.33452	-1.11974	-1.68451	-2.00000
ADORA2A	P29274	AA2AR_HUMAN	A2A receptor	0.00000	-0.04054	-0.25869	-0.20386	-0.01495	-0.14726	-0.21955	-0.07191	-2.00000	-1.51582	-1.76510
ADORA2B	Q32ZE2	AA2BR_RABIT	-	-0.13174	-0.40706	-0.24133	-0.00968	0.00000	-0.48220	-0.73528	-0.13591	-1.90502	-1.45222	-1.09877
ADORA3	P35342	AA3R_SHEEP	-	-2.00000	-2.00000	-0.15696	0.00000	-1.50925	-1.98858	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
ADRA1A	O02824	ADA1A_RABIT	-	-0.03020	-0.15054	-1.44029	-1.39376	-1.86487	-1.85710	-0.17105	0.00000	-1.83517	-1.90580	-0.96162
ADRA1B	P18841	ADA1B_MESAU	-	0.00000	-0.29882	-1.99448	-2.00000	-2.00000	-2.00000	-0.33952	-0.19594	-1.94376	-2.00000	-1.79881
ADRA1D	O02666	ADA1D_RABIT	-	-0.07828	-0.21266	-1.85888	-1.81242	-2.00000	-1.90537	-0.04641	0.00000	-2.00000	-2.00000	-2.00000
ADRA2A	P18871	ADA2A_PIG	-	-2.00000	-2.00000	-0.31720	0.00000	-0.68567	-0.04739	-2.00000	-2.00000	-1.97678	-1.95716	-1.98985
ADRA2B	O19091	ADA2B_TALEU	-	-1.85516	-2.00000	-0.19646	0.00000	-0.24760	-0.50983	-1.62882	-1.21025	-1.93874	-0.68628	-1.15422
ADRA2C	P18825	ADA2C_HUMAN	&alpha;2C-adrenoceptor	-2.00000	-2.00000	-0.13152	-0.08660	-0.62025	0.00000	-1.85928	-1.78283	-2.00000	-1.88555	-1.98989
ADRB1	Q28927	ADRB1_SHEEP	-	-0.14748	-0.34919	-1.46379	-1.48693	-1.71626	-1.76282	-1.01237	0.00000	-2.00000	-2.00000	-1.82601
ADRB2	Q4KWL2	ADRB2_TSCTR	-	0.00000	-0.23734	-1.97250	-1.62264	-1.48299	-1.84855	-0.57190	-0.00225	-2.00000	-2.00000	-2.00000
ADRB3	Q9XT58	ADRB3_SHEEP	-	0.00000	-0.30579	-2.00000	-2.00000	-1.84420	-1.98743	-1.91736	-1.75285	-2.00000	-2.00000	-2.00000
AGTR1	O77590	AGTR1_SHEEP	-	-1.44630	-1.48944	-0.44783	0.00000	-1.65227	-2.00000	-0.04236	-0.16124	-0.00412	-1.02145	-1.28022
APLNR	O97666	APJ_MACMU	-	-2.00000	-2.00000	0.00000	-0.05256	-1.16850	-1.53738	-1.09206	-0.82610	-2.00000	-1.87117	-2.00000
AVPR1A	P48043	V1AR_SHEEP	-	-0.57081	-0.65461	-1.37350	-1.41154	-2.00000	-1.98473	0.00000	-1.24571	-2.00000	-2.00000	-2.00000
AVPR1B	P47901	V1BR_HUMAN	V1B receptor	-0.32886	-0.40103	-0.93737	-0.85355	-1.50749	-1.53586	0.00000	-1.13920	-1.99464	-1.80135	-1.99432
AVPR2	P32307	V2R_PIG	-	0.00000	-0.07675	-2.00000	-2.00000	-2.00000	-1.88081	-2.00000	-2.00000	-2.00000	-1.90779	-2.00000
BDKRB1	Q8HZP1	BKRB1_TUPMI	-	-0.45126	-0.57435	-0.00073	-0.04559	-0.09400	-1.09822	0.00000	-0.11970	-0.07355	-0.54959	-0.22555
BDKRB2	Q28642	BKRB2_RABIT	-	-1.86387	-2.00000	-0.29897	0.00000	-0.75297	-1.71713	-0.02620	-0.06147	-0.19893	-0.89701	-0.69668
CCKAR	O97772	CCKAR_RABIT	-	-0.59062	-0.60688	-0.19554	-0.10113	-0.86399	-1.41199	-0.26519	0.00000	-0.78360	-0.65899	-1.04715
CCKBR	P46627	GASR_RABIT	-	-0.49648	-0.53106	-0.37191	-0.16050	-0.99106	-1.36166	-0.05118	0.00000	-0.91982	-0.73483	-0.83521
CHRM1	Q5R949	ACM1_PONAB	-	-1.29848	-1.42453	-0.59903	-0.33314	-1.21998	-1.07515	0.00000	-0.17469	-1.42943	-1.97456	-2.00000
CHRM2	P06199	ACM2_PIG	-	-2.00000	-2.00000	-0.20786	0.00000	-0.65374	-1.59967	-1.76411	-1.82396	-2.00000	-2.00000	-2.00000
CHRM3	Q9N2A2	ACM3_PONPY	-	-1.36071	-1.38240	-0.39477	-0.20727	-1.08799	-1.00073	0.00000	-0.14899	-0.73261	-1.39334	-1.95082
CHRM4	P08173	ACM4_HUMAN	M4 receptor	-1.92417	-2.00000	-0.22436	0.00000	-0.47972	-1.27647	-1.54339	-1.47796	-2.00000	-2.00000	-2.00000
CHRM5	Q5IS98	ACM5_SAIBB	-	-1.006801058	-1.055102479	-0.158510987	-0.124873767	-0.856986456	-0.783232396	-2.11636E-17	-0.083403515	-0.211568782	-1.094642399	-1.857161513
CNR1	Q9PUI7	CNR1_TARGR	-	-2.00000	-2.00000	-0.03356	-0.12272	0.00000	-0.32017	-1.68230	-0.74336	-1.67608	-0.05154	-0.23640
CNR2	B6TYV8	CNR2_MAIZE	-	-2.00000	-2.00000	0.00000	-0.01969	-0.25110	-0.63331	-2.00000	-1.33895	-2.00000	-1.92409	-2.00000
CYSLTR1	Q95N02	CLTR1_PIG	-	-1.28933	-1.42185	-0.94147	-0.53812	-1.35557	-1.76497	0.00000	-0.19681	-0.68631	-1.94305	-2.00000
CYSLTR2	Q95N03	CLTR2_PIG	-	-2.00000	-2.00000	-1.45901	-0.74971	-1.62976	-0.62547	0.00000	-0.11864	-1.81328	-1.94613	-1.99959
DRD1	O02664	DRD1_RABIT	-	0.00000	-0.15166	-0.86143	-0.88252	-1.41458	-0.34515	-0.31446	-0.08854	-2.00000	-1.70006	-1.54489
DRD2	P60026	DRD2_PANTR	-	-2.00000	-2.00000	-0.20928	0.00000	-0.42709	-0.58903	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
DRD3	Q5IS72	DRD3_PANTR	-	-2.00000	-2.00000	-0.78370	0.00000	-0.71144	-0.26208	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
