#GENE	ACC	ID	NAME	Barr1	Barr2
ADRB1	Q28927	ADRB1_SHEEP	-	 ARRB1	ARRB2	
CXCR2	P35344	CXCR2_RABIT	-	 ARRB1	-	
OPRD1	P79291	OPRD_PIG	-	 ARRB1	-	
CCR5	O97879	CCR5_TRAPH	-	 ARRB1	-	
TRHR	Q28596	TRHR_SHEEP	-	 ARRB1	-	
NTSR1	P30989	NTR1_HUMAN	NTS1 receptor	 -	ARRB2	
OXTR	Q28756	OXYR_SHEEP	-	 -	ARRB2	
PTAFR	Q9XSD4	PTAFR_PIG	-	 ARRB1	ARRB2	
AVPR2	P32307	V2R_PIG	-	 -	ARRB2	
CXCR4	Q7YS92	CXCR4_TUPCH	-	 ARRB1	-	
AGTR1	O77590	AGTR1_SHEEP	-	 ARRB1	ARRB2	
ADRB2	Q4KWL2	ADRB2_TSCTR	-	 -	ARRB2	
HTR2C	Q5IS66	5HT2C_PANTR	-	 ARRB1	-	
LHCGR	Q28585	LSHR_SHEEP	-	 -	ARRB2	
RXFP1	Q5R5V8	RXFP1_PONAB	-	 -	ARRB2	
DRD4	Q6TLJ0	DRD4_MUSPF	-	 ARRB1	-	
HCRTR1	O97661	OX1R_PIG	-	 ARRB1	ARRB2	
GPR50	Q28558	MTR1L_SHEEP	-	 ARRB1	-	
EDNRA	Q95L55	EDNRA_SHEEP	-	 ARRB1	-	
GPR3	P46089	GPR3_HUMAN	GPR3	 -	ARRB2	
PTGER2	P43116	PE2R2_HUMAN	EP2 receptor	 ARRB1	ARRB2	
CHRM1	Q5R949	ACM1_PONAB	-	 ARRB1	-	
PTGER4	Q28691	PE2R4_RABIT	-	 ARRB1	-	
TBXA2R	P21731	TA2R_HUMAN	TP receptor	 -	ARRB2	
GPR55	Q9Y2T6	GPR55_HUMAN	GPR55	 -	ARRB2	
RHO	P01122	RHO_APLCA	-	 -	ARRB2	
MC1R	Q29154	MSHR_VULVU	-	 ARRB1	ARRB2	
DRD2	P60026	DRD2_PANTR	-	 ARRB1	-	
OXER1	Q8TDS5	OXER1_HUMAN	OXE receptor	 -	ARRB2	
HTR2A	Q5R4Q6	5HT2A_PONPY	-	 -	ARRB2	
ACKR3	P25106	ACKR3_HUMAN	ACKR3	 ARRB1	-	
APLNR	O97666	APJ_MACMU	-	 -	ARRB2	
ADRA1B	P18841	ADA1B_MESAU	-	 ARRB1	-	
FPR1	Q05394	FPR1_RABIT	-	 ARRB1	-	
OPRM1	Q5IS84	OPRM_SAIBB	-	 ARRB1	ARRB2	
TACR1	Q5DUB1	NK1R_MERUN	-	 -	ARRB2	
AGTR2	Q28929	AGTR2_SHEEP	-	 ARRB1	-	
PTGER1	P34995	PE2R1_HUMAN	EP1 receptor	 ARRB1	-	
P2RY2	Q5YA25	P2RY2_PIG	-	 ARRB1	-	
CHRM2	P06199	ACM2_PIG	-	 -	ARRB2	
GPR161	Q8N6U8	GP161_HUMAN	GPR161	 -	ARRB2	
CNR1	Q9PUI7	CNR1_TARGR	-	 -	ARRB2	
XCR1	P46094	XCR1_HUMAN	XCR1	 -	ARRB2	
OR5K3	A6NET4	OR5K3_HUMAN	-	 ARRB1	ARRB2	
OR5K4	A6NMS3	OR5K4_HUMAN	-	 ARRB1	ARRB2	
OR1L8	Q8NGR8	OR1L8_HUMAN	-	 ARRB1	ARRB2	
OR12D3	Q9UGF7	O12D3_HUMAN	-	 ARRB1	-	
OPRK1	P41145	OPRK_HUMAN	&kappa; receptor	 ARRB1	ARRB2	
OR56A4	Q8NGH8	O56A4_HUMAN	-	 ARRB1	-	
OR1D2	Q9TU84	OR1D2_PONPY	-	 -	ARRB2	
OR12D2	P58182	O12D2_HUMAN	-	 ARRB1	-	
OR2M7	Q8NG81	OR2M7_HUMAN	-	 ARRB1	-	
OR10J5	Q8NHC4	O10J5_HUMAN	-	 -	ARRB2	
OR51B4	Q9Y5P0	O51B4_HUMAN	-	 -	ARRB2	
OR6B1	O95007	OR6B1_HUMAN	-	 ARRB1	ARRB2	
OR8D4	Q8NGM9	OR8D4_HUMAN	-	 -	ARRB2	
OR2J3	O76001	OR2J3_HUMAN	-	 -	ARRB2	
