"## GtoPdb Version: 2022.1 - published: 2022-03-31"
"UniProtKB ID"	"Species"	"GtoPdb IUPHAR Name"	"GtoPdb IUPHAR ID"	"GtP URL"
"O75342"	"Human"	"12R-LOX"	"1386"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1386"
"O70582"	"Mouse"	"12R-LOX"	"1386"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1386"
"Q2KMM4"	"Rat"	"12R-LOX"	"1386"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1386"
"P18054"	"Human"	"12S-LOX"	"1387"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1387"
"P39655"	"Mouse"	"12S-LOX"	"1387"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1387"
"F1LQ70"	"Rat"	"12S-LOX"	"1387"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1387"
"P16050"	"Human"	"15-LOX-1"	"1388"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1388"
"P39654"	"Mouse"	"15-LOX-1"	"1388"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1388"
"Q02759"	"Rat"	"15-LOX-1"	"1388"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1388"
"O15296"	"Human"	"15-LOX-2"	"1389"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1389"
"O35936"	"Mouse"	"15-LOX-2"	"1389"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1389"
"Q8K4F2"	"Rat"	"15-LOX-2"	"1389"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1389"
"Q06136"	"Human"	"3-ketodihydrosphingosine reductase"	"2463"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2463"
"Q6GV12"	"Mouse"	"3-ketodihydrosphingosine reductase"	"2463"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2463"
"D3Z9P1"	"Rat"	"3-ketodihydrosphingosine reductase"	"2463"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2463"
"P25325"	"Human"	"3-Mercaptopyruvate sulfurtransferase"	"1446"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1446"
"Q99J99"	"Mouse"	"3-Mercaptopyruvate sulfurtransferase"	"1446"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1446"
"P97532"	"Rat"	"3-Mercaptopyruvate sulfurtransferase"	"1446"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1446"
"O15530"	"Human"	"3-phosphoinositide dependent protein kinase 1"	"1519"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1519"
"Q9Z2A0"	"Mouse"	"3-phosphoinositide dependent protein kinase 1"	"1519"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1519"
"O55173"	"Rat"	"3-phosphoinositide dependent protein kinase 1"	"1519"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1519"
"Q07011"	"Human"	"4-1BB"	"1878"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1878"
"P20334"	"Mouse"	"4-1BB"	"1878"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1878"
"P80404"	"Human"	"4-aminobutyrate aminotransferase"	"2464"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2464"
"P61922"	"Mouse"	"4-aminobutyrate aminotransferase"	"2464"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2464"
"P50554"	"Rat"	"4-aminobutyrate aminotransferase"	"2464"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2464"
"P08195"	"Human"	"4F2hc"	"890"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=890"
"P10852"	"Mouse"	"4F2hc"	"890"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=890"
"Q794F9"	"Rat"	"4F2hc"	"890"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=890"
"P32754"	"Human"	"4-hydroxyphenylpyruvate dioxygenase"	"2621"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2621"
"P49429"	"Mouse"	"4-hydroxyphenylpyruvate dioxygenase"	"2621"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2621"
"P32755"	"Rat"	"4-hydroxyphenylpyruvate dioxygenase"	"2621"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2621"
"Q8TCD5"	"Human"	"5'(3')-nucleotidase"	"1238"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1238"
"Q9JM14"	"Mouse"	"5'(3')-nucleotidase"	"1238"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1238"
"P08908"	"Human"	"5-HT<sub>1A</sub> receptor"	"1"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1"
"Q64264"	"Mouse"	"5-HT<sub>1A</sub> receptor"	"1"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1"
"P19327"	"Rat"	"5-HT<sub>1A</sub> receptor"	"1"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1"
"P28222"	"Human"	"5-HT<sub>1B</sub> receptor"	"2"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2"
"P28334"	"Mouse"	"5-HT<sub>1B</sub> receptor"	"2"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2"
"P28564"	"Rat"	"5-HT<sub>1B</sub> receptor"	"2"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2"
"P28221"	"Human"	"5-HT<sub>1D</sub> receptor"	"3"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3"
"Q61224"	"Mouse"	"5-HT<sub>1D</sub> receptor"	"3"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3"
"P28565"	"Rat"	"5-HT<sub>1D</sub> receptor"	"3"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3"
"P28566"	"Human"	"5-ht<sub>1e</sub> receptor"	"4"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=4"
