Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.29545146443302445	0.04489680693247766	0.12940249517198543	0.20703126507804473	-0.048023908634840316	-0.21119013057941247	-0.041210703652449394	-0.009809878774430517	-0.4675820635428494	-0.09529902337293616	0.2470539613624803	-0.0023367833626900727	0.28132238066215876	0.19329940490842856	-0.17779967188747434	0.08102073674880272	-0.040234403854789234	0.04011058928947258	0.12349394028820261	-0.15283473248322063	0.23772796026712292	-0.22444023373171657	-0.2478505983295426	0.3567290133748039	0.007292137450456448	0.08687158434620078	0.09413144964651149	-0.09883947264934766	-0.12409672366721397	0.07270897474692659
ADORA2A	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.3169678917379295	-0.1719399345767643	0.14508317730408524	0.032146204937235315	0.06570203171536823	0.018582885771771255	-0.1786002336109743	-0.1796042510504875	-0.02431015553312683	0.05917380231326713	0.1635412288145694	0.03759790884811692	0.22074370972862373	-0.06020967091834971	0.07850690265718821	-0.11407774681475163	0.0953565437668295	0.19497232388675156	-0.09664500720477036	-0.14420069050856285	0.21111482825666414	-0.4506813905663903	-0.059678924402304746	0.49796605911974556	0.04363534862328521	0.32335857757782066	0.11736129198112531	-0.11315897441283813	-0.17398580997512306	-0.00015656524729975425
ADORA2B	Coupled	-	Not-coupled	-	Adenosine receptors	classA	0.042876272076545645	-0.156969896096241	0.27807706206248806	0.06755564927536156	-0.23977530094955166	0.022794796271194753	-0.2032266487870005	-0.017628922989183497	-0.057241657274596555	0.07098346540253778	-0.0560240761398593	-0.11769078741570412	-0.0862776199475572	-0.07813159632373644	0.4295303980261902	-0.24761559969500602	0.04562998781466888	0.028455388398585937	0.007581459267196567	-0.1882997253989937	0.34368685844513464	-0.18710518196626386	-0.07282469316386313	0.3048360468365846	-0.02552526550035637	0.22084301828118102	0.04941043272651218	-0.0895026288456762	0.13146370610587538	0.036155760496653096
ADORA3	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.22640939031567797	0.06456728815047805	0.3947136843674765	0.4512665995353541	-0.03518887118836237	-0.0035726768709032474	0.0009383839238551463	-0.16398081761758582	0.16567681095571185	-0.39702983491716937	0.2950668151422754	-0.10596276145592963	0.12879623534854245	0.19292086529787417	-0.4030417877702947	-0.028074845415032933	0.036485198167191805	0.20164918781399646	0.23766578414412792	-0.09239237981100155	-0.08807858385071976	-0.10648188611190698	-0.12166808823810556	-0.14222292795695618	0.047455407546798334	0.30792210935697595	0.011623359333579244	0.19364182379237135	0.0596881201849288	-0.08899261407969006
ADRA1A	Coupled	-	Not-coupled	-	Adrenoceptors	classA	-0.20881785391546293	0.059006000627245626	-0.32851037724053206	-0.3010189224334609	0.036354730053580184	0.20033782720248064	-0.3949349675958881	0.01080842837473468	-0.09419993926917532	0.2606655079790211	0.28556395395699774	-0.3850061217873256	0.0816708873666932	-0.2964577101790348	-0.19830444841624031	0.4103747317376193	0.11973088585126462	0.0356167040632545	-0.1424939579804686	0.14702639629653963	0.21972795568197276	0.011876244099836121	0.15712643801289441	-0.299455437243883	0.22365300631906274	0.03859591991660798	-0.2552401832768642	-0.06550259935177916	-0.08807750118993184	-0.3038553405968202
ADRA2A	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-0.20039085111625393	0.09984018056105745	-0.2470819664645337	-0.23465384557920646	0.1388342931810572	0.23512882878150548	-0.453970501571826	-0.2078519549305397	-0.045459219192024745	0.21307975411910768	0.042706767012490904	-0.3694640951058839	0.13621182000360849	-0.16339551696839288	-0.19937116314512413	0.388744351839652	-0.0075240727480291964	0.3003766940530379	0.01758645879048596	-0.08580570356059732	0.09285319409130931	0.12940957337614345	0.06706746708362112	0.0005595007577793971	0.19291576807656693	0.17121887696512533	-0.2791100960428402	-0.021804586199362857	0.054543237999427154	-0.216737776548337
ADRA2B	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-0.22738102848305386	0.01963249620814858	-0.24831460652212514	0.19126878799670882	-0.34598222803867573	-0.07969272956172466	-0.3891626011322375	-0.12223118267133307	0.04887619212780143	0.1603645202553562	-0.265391439309397	-0.37831025769383164	0.02654242371253347	-0.245590732773537	-0.05868806008251018	0.36616284739139143	-0.12993509568034106	0.3481785503258378	-0.1360208208758234	0.4737192470055361	0.14097439905256334	-0.06840940566434606	-0.18652933934674243	-0.25090778959113924	0.23887374724542368	-0.002031409093903099	0.08401545506742661	-0.024499828334344633	-0.06825480809372923	0.020969518476407382
ADRA2C	Not-coupled	-	Coupled	-	Adrenoceptors	classA	0.3053132138470637	0.012354908597964504	-0.11643648040741739	0.15069088032599384	-0.4818210806188695	-0.3877398617865267	0.12730355718230296	0.5756484445631272	-0.3254283834889002	0.3358081736498029	-0.39643560636690306	-0.08594491405364497	-0.29856829235082527	0.022701293956355034	-0.27300198656877245	0.27764919801002136	-0.00012038745005039903	0.34078401893735905	-0.26702316075023214	0.03196162882736939	-0.03021860573724127	-0.13887524792268022	-0.25817952133252736	-0.16524181453960135	0.12013199764759881	-0.08406025605604979	0.35220546485296733	-0.2091839059309966	0.05981200158592576	0.030585639187563747
ADRB1	Not-coupled	-	Coupled	-	Adrenoceptors	classA	0.12349148544037679	-0.025050404963465667	-0.37576316623728395	0.011974741285237723	-0.28196489653452006	-0.3413882089461592	0.0018136908324017972	0.5537613699470532	-0.05430344024870706	0.2869036856532673	0.26329719773373544	-0.026366296984106866	0.244784864564986	-0.0843269262621742	-0.184433335849728	-0.16304348255125653	0.22433696956961555	-0.016557515116111185	0.1919797859261891	0.0307484374011402	-0.09986626530250017	0.029232093666615167	-0.0399762298639479	0.11197359198098047	0.09374022238550295	0.08939988673607097	0.24396897650446928	-0.12815465082549388	-0.08676856449693275	0.1925020176403699
ADRB2	Not-coupled	-	Coupled	-	Adrenoceptors	classA	0.09906299796394873	-0.20294333419755786	0.30670272849856917	-0.07052334179157332	0.11965352863714646	-0.05108035340797313	-0.19261494890607833	0.06273052505456717	-0.16472257399891718	-0.12091081347024847	-0.18957998471513274	0.13215044168784706	-0.11058042769348296	-0.11880053296105567	-0.014082166076247732	-0.230135639281781	-0.03166557097965887	0.2638629247699398	0.2574305390906977	-0.02096433920429704	0.07535528964433807	-0.024764352663822667	0.03024307984108823	0.1610964567285847	0.02651112515746017	-0.03756194012626431	-0.03595795739480801	-0.03174276050608327	0.09077041803006462	-0.03781474494592379
