Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.11694364476248575	0.09168087410518035	0.002585448714717535	0.2112945849295731	0.11360996776794344	0.3213288845415395	0.3440958754908818	-0.04136366889622893	-0.3296662941999484	-0.2267647755222825	0.04944284287136687	0.051580343875175315	-0.24031583806688955	-0.08800707887165883	0.3230493084009776	0.169826259784673	0.022348236341648023	0.03497986600596263	0.04938304530496952	-0.1067761685416474	-0.2115751811049325	-0.30727864874140876
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.33481352675143106	-0.12727461619572514	0.07822556979711627	0.07892194568661104	0.10725572579439048	0.05702845830365046	0.1355434736512086	0.28699525277951543	-0.23554212075839784	-0.1305542448481894	-0.0013595809051708426	0.0069081133137905175	-0.26289641061661595	0.1780235499657525	0.30546879342842315	0.1243042093556902	0.14163959015747407	-0.1935935088650289	0.009990828055441731	0.035517536260158765	-0.0638988512394098	-0.3441586591831119
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.26202568410003685	-0.007212985183988971	-0.0923024132240863	0.016875582835715514	-0.15938075065665244	-0.17119548813335028	-0.05035718425047424	0.3594122955751105	-0.0016238212690155385	-0.22261828836972455	0.25994835725161264	-0.14448027656487547	-0.3417979873563747	0.33041699989928347	0.4079209425704903	0.027731424419203995	-0.14854712327738945	0.2170060941890323	-0.10990177248011633	0.04822055362030851	-0.033164720070726086	-0.2828153829870074
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.1406544626898821	-0.23073078367498107	0.1795724614533586	0.20433148173158003	-0.0989169178494302	0.08611037720388305	0.1632954961190874	-0.09069815229310658	-0.4391965997753772	-0.16769272988984774	0.3916732577388777	-0.14836985682437143	0.05371243381281249	-0.17730088652592665	0.0583847229947352	0.3591855883799513	0.07575302384276512	-0.013964356872185956	0.05722943549808144	-0.24428355195061766	-0.05234985906018257	0.1368171151006493
ADRA1A	Not-coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	0.175498595900466	0.23243439281873793	0.46947760540940586	0.3106010210069584	-0.0939808126489263	0.07153697522709536	-0.23919812081694083	-0.21626740276534062	-0.013683505735561638	0.3994025291245349	-0.19516258908470535	0.4722455784271492	-0.09763078393141507	0.10221826084396332	0.24003681894720952	-0.09568722247024501	-0.419548456041118	0.13462789195667219	0.16967179339856034	-0.05074186292822487	-0.03576565432723452	0.0422923145507602
ADRA2A	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.2049408985918449	-0.021575386021197736	0.4189438059224172	0.22546194592237986	-0.2946894727156938	-0.07994917292577029	-0.25221905608123957	-0.11050535508196202	-0.17042650777789298	0.14381472855333033	-0.24210476146923046	0.43755778897545583	-0.12682961973109208	-0.008305569893879932	0.01484807636732642	-0.03969786195884987	-0.4322860645721638	0.015363800846548403	0.04901911155670763	-0.16764604415301596	-0.19870564198329677	-0.2091549566330305
ADRA2B	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.0909308289561989	-0.2126999732612121	0.5046491874661829	0.06869649906023964	-0.21523656951336637	-0.08755762544330915	-0.06090546988957889	-0.1430628196101165	0.3639535432793722	-0.2796232907056925	-0.10921663103910875	0.5134758910482355	0.012909934296702428	-0.30457299472654503	0.2869757036056848	-0.18503381096203578	-0.11257763792635457	0.1487532093826905	0.05561232479654353	0.1676009712102738	-0.019908699504506792	0.005795559983990291
ADRA2C	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.05694658260174336	0.03346667647696654	0.3369583028132813	-0.1416069076542963	-0.14802500133650182	-0.11198125318437048	0.35800080488413666	-0.3150577986315589	0.26500810189212354	-0.20688412512654614	-0.2277618560632254	0.34720788775256334	0.23069663097137091	-0.13913074614198148	0.24129993724574428	-0.04481320232007628	0.3377172416418219	0.2674019115734655	-0.4112436905507305	0.11767221859681222	-0.08057395954340027	-0.07717270272877465
ADRB1	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.005596917679467973	0.2364122355797676	0.2678305657489945	0.22466983585012362	-0.03129740893939643	-0.011294444235407335	0.36861308273747323	0.04906480362750388	-0.08390950360580872	-0.15887091611457826	-0.32149841651796135	-0.09350239822392653	-0.27520421281531154	0.11947158953040639	-0.05672303219907977	-0.004196971782359071	0.39880075448033	-0.015596526904515767	0.0372920698175544	0.013904875306145537	0.011482846391235237	-0.02107141847594755
ADRB2	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.2946084396289506	-0.29247044870958644	0.03371517456747737	-0.17461528951420335	0.04734562619136189	-0.09337009984917397	0.0025791209526922106	-0.19962341737065392	-0.005136287630786618	0.11239600766642112	0.18555453722928156	-0.23263032005377987	-0.05109651589481458	-0.02156396867535001	0.029439569145173976	-0.06378867034155125	-0.17298515750626794	0.1800580720317964	0.012218545912282502	-0.2516944980509741	-0.056749355073526186	-0.10493546451225319
