Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-0.2514635009588966	-0.09671938617222768	-0.2703500548708821	0.18817042491422895	-0.19985110496389719	-0.17906355834590046	-0.014315500497407251	0.04592754777921026	0.011292768703945176	0.1301210771174141	-0.3168655994251147	-0.21026131601689535	0.1698377734327018	0.12946982551116124	-0.11819869433217786	0.14618282149608383	-0.17880632142143582	0.29121485851958995	0.006794481292728034	-0.1022635607658285	-0.19187961723105695	-0.17759800516546645	0.5218086776314534
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.13953234393521344	-0.16789532994881556	-0.15759800947676206	0.1489897827288135	-0.1610534121946394	-0.13241957243730038	-0.13469260028746646	0.3367328346200896	0.024664389826221714	-0.0368824703144549	-0.06486912966154791	-0.08245016849530512	-0.1339648002810663	-0.10243608063736384	0.12312153028099788	0.04611509004517824	-0.002803511436025803	0.3199070855282237	-0.03815245003429533	-0.02750274785209589	-0.17879698633129268	-0.0034076590312232605	0.5904082294460226
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.16738489691037806	-0.1365102225453035	-0.19898341001555442	-0.0346971964806871	-0.17786356593211966	-0.057907470477484194	-0.10220537442936116	0.3702853981244918	0.022859779027594687	-0.17870824679097425	0.013117844301798536	-0.13999402440889044	-0.0592152870592565	-0.004196463036009894	0.15618868438704395	-0.1255857337532355	0.02048921421479758	0.19057878589591168	-0.044926066971056354	-0.006667186305576892	-0.3403686772195013	0.1491368979417744	0.6445298862358809
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.31661387604733143	-0.17842092063954307	0.27008907359705714	0.21139110269859657	-0.01417019622312549	-0.12672964527992284	-0.2529023073276377	-0.11562537505153375	0.1385412306214473	-0.05179145222193845	-0.2935049996760307	0.06467257128077371	0.0139455919893225	-0.0341362145720711	-0.33530571797534087	-0.006609398554062753	-0.2214757751394609	0.20782724568576721	-0.01570149279493932	-0.1986448338258458	-0.008556722118041538	0.04163312525642282	-0.08632826990559823
ADRA1A	Not-coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-0.25893531851369317	-0.14487747083355357	-0.2628644774875634	0.510349901813535	-0.0635513702830909	0.020122523296670063	0.20453395416425663	-0.15704676089786565	-0.302648670598634	0.25164349375538586	-0.031711007345410366	-0.21237462406358684	0.030596957669496386	-0.2031566968620408	-0.2506308747080149	-0.04439379209654715	0.44148392950318444	-0.0996081887096125	0.048493371516189425	-0.017523483842421618	0.04437155129467783	-0.029785003845441933	-0.07832165106245019
ADRA2A	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.23445969875174333	-0.17402458163279666	-0.21865444744896612	0.5167698332450381	-0.030874623868957195	0.06961464308953454	-0.0138269180889316	-0.18665863467196517	-0.17940163210084148	0.23259536303735323	-0.155537228289212	-0.22953844719298677	-0.005046743788172622	-0.07634089520801562	-0.1532406161625912	-0.14922768620461146	0.395174485922401	-0.06119409285287231	0.03910484666721781	-0.15105455796502523	0.01091992617378733	0.10418609278410292	0.06706859669644485
ADRA2B	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.20912882628919596	-0.20914108650298402	-0.2630986150871272	0.3963254577629252	-0.020920303654070445	0.32688102664076096	0.2257615580089194	-0.06829299695444764	0.02833401846024041	0.24808427775863579	-0.038333964526678206	-0.34959642038673017	-0.14271921770559876	-0.422414161984316	0.112319907222545	-0.14011499175532344	0.4855548499585674	-0.15089992207036115	0.0027121728740250456	-0.18762911125676388	-0.0015108111232371075	-0.17507438742864923	-0.12734046035281402
ADRA2C	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.2898124003131302	-0.17112175487773038	-0.1171766910413278	0.3131770916106244	-0.05098095058502616	0.09342504959700958	0.12837171219698765	0.045985344636571515	0.5244627722413564	0.2889595764457178	0.11891066800097669	-0.15650795677766072	-0.17809762233904447	-0.35133601435057255	0.3372048232259802	0.368899283394142	-0.1581813554438215	0.24405964169199937	0.013057415863614062	-0.11151698933529905	0.25058196786033327	-0.18345882780224917	-0.3269678954405926
ADRB1	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.2930724410840252	-0.19128365776138584	-0.09750749767787054	0.2532884055690832	-0.03308862000106948	0.04548361375366287	-0.10459803030761866	0.026110483790393275	0.06187830449100388	-0.08299000898285405	0.009557190707288709	0.16037310329501164	-0.17334450556124092	0.03514556807692955	0.06363171020164096	0.3252268225417558	-0.47410683577080426	0.3621983392171432	-0.02316300569623403	0.06329853297009776	0.20662613784230816	0.07091651027866	-0.26151265351728187
ADRB2	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	0.4493565574438892	-0.18155387164266187	0.013550630103384557	-0.09912614004180678	0.05305855434812184	0.44489876253828287	-0.20562212064454538	0.021249675889141166	-0.0519002294345348	-0.14885234598339556	0.04916250016282258	0.040727640235459564	0.1534069983702639	0.08095682884624468	0.0745547489413353	-0.07540963634973115	0.09167710712433973	0.14281368210439715	-0.07767411783919813	-0.29644777289142915	-0.13087332928264198	0.07307042798663886	-0.01573276981174838
AGTR1	Not-coupled	Not-coupled	Coupled	-	Angiotensin receptors	classA	0.37082418152133134	-0.18217581726473714	-0.15452372811375104	0.023899617346211086	0.03616991517919989	0.5922256251554467	0.005118119452908712	-0.10321037059770068	-0.31258654112995016	0.023250746626285106	-0.042784271556730494	-0.024193537372487615	0.1419743042390422	0.14694776737834817	0.07991652712012304	-0.021620937148854432	-0.08127744049267496	0.06298055250651968	-0.032148295424746294	-0.1227510310974309	-0.0684678422777854	-0.15971824968587964	-0.006165389684262753
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	-0.0023755058849999388	0.05036592459929557	-0.11577622466425334	-0.2921738914277295	0.07588846767905898	0.010718551266134788	0.0800584778730552	-0.09703756228896707	-0.20934226862352853	0.2594784919499682	-0.4341557717611646	0.28010127974093696	-0.08603256619444608	-0.047733695588058005	-0.04840298524751772	-0.08728753857482906	-0.10209182052430595	0.1064221907819212	-0.09423915464111582	0.26273726716942064	-0.26836249480748603	-0.1825508589187565	-0.24824814193624445
AVPR1A	Not-coupled	Coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	0.04292356289959151	0.10114096480217659	-0.031094035223082354	-0.2894479085505866	0.05669304430028635	-0.036313444940051905	-0.02036377860066378	-0.0024952076462466614	-0.16620556271697667	0.4655466090482882	-0.3209243368812081	0.21790946525066027	-0.23170042546431516	-0.056383121753435544	0.16742101096261275	0.029374747589639247	-0.045961715181269375	0.036079987476899514	-0.08855450131443394	0.21479954121238837	-0.23851566070943508	0.0052217334706387815	-0.21051467069004812
AVPR2	Coupled	Coupled	-	-	Vasopressin and oxytocin receptors	classA	0.40439082471456117	-0.0634688415070307	-0.2665905957397986	0.07060641979529753	-0.07951285993064705	0.4339454138964697	-0.13000593060007198	-0.009917455700791698	-0.4145556877779504	0.10984298141486952	0.24009248212445436	0.18923545556323848	0.24752545445975785	0.0810706125514172	0.10499541634541781	-0.12660572658232297	0.10393455684831192	0.29560422983450374	-0.03100381665016106	0.005453177356054549	0.05247227469827505	0.09785722876445452	0.05873864286992121
BDKRB1	Not-coupled	Coupled	Not-coupled	-	Bradykinin receptors	classA	0.2656315818017868	-0.03364276712340517	-0.39695778081431893	-0.053959520961167594	-0.07882214205587883	0.3172447640754804	0.1253868768406569	-0.03320635052653401	-0.3193373641719628	-0.0336466304777484	0.2490599861739131	0.11117522935175708	0.37809877133350406	0.0070122531214908326	0.04582899875885631	0.016853176626798833	0.017344382237912466	0.23567189926955692	-0.04000491604860843	-0.05255820183466067	-0.06182518982518678	0.14317816410234555	-0.0822351909222543
BDKRB2	Coupled	Not-coupled	Coupled	-	Bradykinin receptors	classA	0.35909159476283165	0.03603794957095849	-0.2151245106935413	0.015735785426667794	-0.11441424141371116	0.09668765352885864	-0.02065158914408015	0.23978256075408555	0.10709525260546167	0.08454445257869685	0.15109831046520966	0.5122002203590189	0.07111174289317632	0.29097519870913474	-0.1889456164044453	-0.3900054784600634	0.18628822812102708	0.6475479359814346	-0.0698348532748069	-0.29545600624580187	0.01921403180403772	0.306111844374204	-0.3469367694543006
C5AR1	Not-coupled	-	Coupled	-	Complement peptide receptors	classA	-0.11119542220542264	0.560166477666271	-0.16765460787442688	-0.03424620660815752	0.2655046199696314	-0.016011895026890342	0.1410519244092723	0.038936804464553	-0.0036198926011625212	-0.31640112783179236	-0.10542374008001423	-0.10283981095857674	-0.028872076561458876	0.014442580654541699	0.26766321151580647	-0.127827435435879	-0.15060855653341446	-0.1895464199514522	-0.2978182953231435	-0.25982669534250696	-0.004239599558186933	-0.057343520772332235	-0.14338794398840185
CALCR	Coupled	-	Coupled	-	Calcitonin receptors	classB	0.015958429164246054	-0.18918454744977686	-0.1916115003849457	-0.23218319963800482	0.08609678423943994	0.5373854744351237	-0.015021736751993062	-0.09540517214288882	0.26010886944069384	0.09692356869482426	-0.1489083369577363	0.13715733404701524	-0.11364332058498836	0.16294522753163712	-0.30634542678704985	-0.10452767338874715	0.09931612905839601	0.1066432613596115	-0.11501247514722833	0.0829023317377055	0.14825683952446403	-0.030865924622726297	0.07554429553075256
CCKAR	Coupled	Coupled	Coupled	-	Cholecystokinin receptors	classA	0.4525112218466018	-0.1304584627635678	0.19335488415175353	0.03821075750626424	0.13225988068077688	-0.024312008922296468	0.005406677496880879	0.14726825284085396	0.09548212883415523	-0.00537420740882028	0.03784268199441973	-0.3979935464608774	0.17141494181136782	-0.04882447822361152	0.009719080034188239	-0.06536710799865947	-0.07459496511750197	0.2316753651997925	-0.08271227366078819	0.061518809015821	-0.17178161588945196	0.008012692314918324	-0.03327493192004258
CCR5	Not-coupled	-	Coupled	-	Chemokine receptors	classA	0.45025140711268713	-0.12104064908950364	0.09307216076230683	-0.040533203808045724	0.1313740912547914	-0.15488043410331775	0.15193746003989558	0.1065360909913551	0.09223490526026278	-0.010746260884227046	0.08817608979488206	-0.38228178507662897	0.2969956047793793	-0.11259946730031788	0.03726833730644877	0.02414098578802643	-0.0757653209988061	0.19615612974667684	-0.09850663163968047	0.050216104789839205	-0.22162980367914661	-0.1342542910145914	-0.1389235569508119
CCR6	Not-coupled	-	Coupled	-	Chemokine receptors	classA	-0.1914925414771247	-0.2745246924730915	0.2388153163717285	0.30235443365818704	0.1459426681831161	0.2235315810263687	0.26129338670685787	-0.23441740399691613	0.19167419626482324	0.11615919019292616	0.31959092362395514	0.082570688246462	-0.10241463083100233	0.5523107621259737	0.2506941744551341	0.0180492381971691	0.13783044514616016	0.095184162068249	0.012414494921094988	0.39508045233725375	-0.0148197234373845	0.020436023059386983	0.07091368954769088
CHRM1	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-0.2538454328124575	-0.29243233792670364	0.14362904996875342	0.09288540802006585	0.14338238268287845	-0.17351957606925342	-0.13660070345039071	-0.33591083691690893	0.11040057905343671	-0.26309107818433164	0.04761714427896397	-0.10053636662579274	-0.044344031416103775	0.5285771431020129	0.33572454673162117	-0.01585904050346044	0.02339041997629689	0.014325723107840272	-0.03829485318476895	0.17761169338247862	-0.07361905295815208	-0.0011542343377338145	-0.12507211925723755
