Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.043840979810769655	-0.15163845444155974	-0.028924166980396286	-0.06192291409621519	0.09586136755110311	0.3208060587050346	0.19767945592887287	-0.1196518835301275	-0.24154296472171102	-0.218736569931325	-0.19789369653205222	-0.2048437307315672
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.3018448386218159	-0.11104027123325452	0.1052045187558633	0.1295511441099252	0.16950549316766775	0.032639239519006685	0.22244560283021872	0.4368022016187229	-0.23195695659923316	0.06379858933698117	0.06942465675550726	-0.013139646027879221
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.39648799282864194	-0.19600347912249869	0.5173751276281138	0.021911340195859472	0.3511418587787822	-0.07063336929923011	-0.13897878375280467	0.4137800254156144	-0.014371323425977455	0.427118670920038	-0.0789949062713648	-0.10725109644620998
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.24480983743747153	0.4661907105127814	0.0819498523233964	-0.18915590724865244	0.18575959637408268	0.14699593519059756	0.013244234515545633	0.026375928531946174	0.08778912191969013	0.11521588302960252	0.04771120400736216	-0.03498243059184292
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	0.33242423335545723	0.30976279782926436	-0.4392004769094364	-0.09596954804212754	-0.01343137639317399	0.1456183316441713	0.3670407720966571	0.15967330724000076	0.2547088688444443	0.06746173462549741	-0.28368867481329824	0.023041429342398424
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.2762028750740109	-0.15247717496439078	-0.11173309425336295	-0.1086348399575852	-0.0357546690317914	0.012783555354186708	0.2913445461754081	0.12400957516794889	0.10641386492248707	-0.33666508783005705	-0.09436930991198897	-0.11053918255655623
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.30574594668017346	0.5100818709047298	-0.1205741304369445	-0.008547823526900075	0.23502489598036813	0.3221439175600627	0.48122997288575475	0.032710770258661814	0.0593890650846789	-0.015463393405934169	-0.0478948603270493	0.018937998785560704
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.3609053456174993	0.18004802593907412	-0.0002241667028557	-0.035161813308273976	-0.03360460551722904	-0.13148570078576885	0.42682950642970174	0.022287550301549414	-0.11106479420559962	0.27851257708268895	-0.23626579121115895	0.023095809866854028
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.03594479414492795	-0.08180343886309605	-0.27406798149359274	-0.13531482092805677	0.062173649845451394	0.40422191723769074	-0.02287916810197097	0.001456088680448525	-0.017624180180042325	-0.34036865646371883	0.11991572284395088	-0.03978502199331881
ADRB2	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.276166228177774	0.12423758904926548	-0.11795412531052503	-0.06365146729879173	-0.2012063859305	-0.11510430175129771	-0.24636056747524926	-0.07537014864697102	0.004727951494054122	0.15811207336501035	-0.4849611466635672	-0.06660328824142606
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	-0.14112852344800453	-0.027702798466230468	-0.22962006369474058	0.04465934196323389	0.24334467235287321	0.4275960503648409	-0.009082070249353364	-0.15742587830033522	0.18460370239039994	0.09901246038602636	0.29929665156989754	0.13437627997965435
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	0.11050141442477177	-0.18500217954426923	-0.13122032607937256	-0.10049752692480303	-0.06101490470308623	0.3387441628219104	0.1276764539249083	0.031664585897221216	0.1950209881123606	-0.09251709705117876	0.03089997604487307	0.19691135079316857
AVPR1A	Coupled	Coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	-0.1204957355798199	-0.13417943174639888	0.003616837643954103	0.1759167417011444	-0.07962621153733838	0.010473734515045621	0.3232968040438095	-0.12495418171222505	0.006723916409717674	-0.10546473573614971	0.05312335273994291	0.16574730404599172
AVPR2	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	-0.2807257816535664	0.00626008005748816	-0.176610603388704	0.05303740054225572	-0.1481407520036729	-0.32296770633287414	-0.023162792879187974	-0.031156627173297046	-0.1815666051706478	-0.1475484164107891	-0.13258713879339007	-0.26022627170283946
BDKRB1	Coupled	Coupled	Not-coupled	-	Bradykinin receptors	classA	-0.11806626528958972	-0.20669105142251734	0.15338303398346312	-0.09320369238086436	-0.04927382333761601	0.05567191236182949	-0.17591862314181603	-0.16305465991195317	-0.1184613587350885	-0.19194157159137223	0.14303492522117736	-0.04563939309975702
BDKRB2	Coupled	Coupled	Coupled	-	Bradykinin receptors	classA	-0.2877898013364221	0.23127115666832754	-0.026659675800756233	0.05955785514673818	-0.16908103706253386	-0.2082169284658778	0.0012415930000555866	0.04251593117825856	-0.12312730908617857	0.31944889914187274	0.133936374114947	-0.009412999248606738
C5AR1	Coupled	-	Coupled	-	Complement peptide receptors	classA	0.28025168916705234	-0.18159159607368808	-0.4084996392037852	-0.24376297949658948	0.01846633721548602	-0.08730967843291522	-0.038639386356726264	0.20379009866565545	-0.08902959466338346	0.008021636663789548	0.02024184609816169	-0.24481874603583578
CALCR	Coupled	-	Coupled	-	Calcitonin receptors	classB	0.12095346245409011	-0.19618476258213483	0.22277933717381612	-0.16411384134361745	-0.08938563472289404	-0.006691599459948466	-0.0660777397656182	-0.12424330282019229	0.3391592348189285	0.052100556536967	-0.10470996869549701	0.07456483860038808
