Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22
ADORA1	-	-	Coupled	-	Adenosine receptors	classA	-0.0703622046422395	2.196295231239381e-05	-0.23074454185046728	-0.23969796858289136	0.009594292769190039	-0.13007600716745943	-0.39469183757969634	0.013104384058890143	0.20664996548643122	-0.20869013121377555	0.02846877304566726	0.3413979787112896	0.1676222784768224	0.0418246029225554	-0.03824399422312873	-0.10303512160687037	0.5079156251115337	-0.024630343816025514	-0.243296427306354	0.013741056772044593	0.2725059094505296	-0.0010341776579389163
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	-0.2780851790176096	-0.10042022041061469	-0.007720481651569734	-0.10106448780368532	0.10237286582266336	0.05928407408463901	-0.1104442399250371	0.14614841917717583	-0.013395331384163952	-0.32831628521109013	-0.03686127077911736	0.47063172162516675	0.13532745336595076	0.14030882742483625	0.03969810084740228	-0.24031458431611366	0.21001227422224875	0.08850847207099816	-0.43503959494109806	-0.17197556838404512	0.033479118109911186	0.14148409241506152
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	-0.15850030262813228	-0.0516146783125694	-0.013428591515551666	0.12246394038616554	-0.3134823959460546	0.06311147085388324	-0.2119540667565142	0.12122990994070375	0.03826369158244541	-0.2613859227313261	-0.1318308600698102	0.6418601538661043	-0.06346253532374072	-0.021877498463066546	0.17817309407707752	-0.22166226686612736	-0.03341912133988468	0.05232973267598143	-0.4174211422883169	-0.14151607784059803	0.022453720085818456	0.1815271319021203
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	-0.10540873422761936	-0.01621897335381322	-0.28745995325813384	0.022622936896377097	-0.06282557167754083	-0.013554559130313637	0.07681325438909535	0.06412706612834916	0.1157244095930165	0.02135661432906881	0.18052147715494057	0.15392094797422354	-0.34169029961541125	-0.10372580999330701	-0.10428904380649363	-0.12065845286649826	0.4193574438218282	0.2237671632846764	0.2720956529490042	-0.015582947487341481	0.18594610432410907	0.15624079820654332
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	-0.08622834258118402	0.05401710799894903	-0.3519074197441752	0.2105353893434348	0.010744138543979502	-0.26724846915475897	-0.1300112686627455	0.040962297667146486	0.27280871679068563	-0.20729311327164157	-0.2592409994863792	-0.46817850538233974	0.19547950206945142	-0.01117238239244862	0.14849401296047254	-0.26635724057438764	-0.017833192005283296	0.06297019602232898	0.11635554617612366	-0.09585797341887924	0.1859095280515309	-0.3098977259635159
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	-0.11591810481951165	0.044471242864888634	-0.33079262515941366	0.1811208955542356	0.03111105500887613	-0.3084387745164394	-0.09151939847334806	0.04929605200761271	0.3206286606500404	-0.2431627539753347	-0.1484136739925874	-0.23083177840965136	0.013427325102061695	-0.20639022073360877	0.17681220615694077	-0.3048957432790634	-0.009478866461313655	-0.048522704614649664	0.21128619118531378	-0.15437491645765788	0.3223226951098879	-0.2874542554533798
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	-0.21146965892298517	0.035205205730950706	-0.28714476673422135	0.06964332010515696	-0.14971253280508592	-0.17109915523778615	-0.12133390003622258	0.1261807697102389	0.11551345951126345	-0.23491489356879672	-0.29458392002807887	-0.5219527235338304	0.3860956933783108	-0.08367908506586907	-0.10699971411868461	-0.3234422084324553	-0.1504917335196926	0.10879058646000733	-0.04042661393687171	-0.21359647356612785	0.20207343775731534	-0.13834193470740555
ADRA2C	-	-	Coupled	-	Adrenoceptors	classA	-0.23190668556314376	0.024454898503772703	-0.25504804011500287	-0.27909917623611247	-0.33778145858498376	0.1045136025257434	-0.040257421468561226	-0.06300109399001104	0.10490942037341518	-0.17268721728883338	-0.13272994116903927	-0.30016967393713373	0.4803072606271306	0.3742662979932614	-0.3121327238047637	0.14606382484430608	0.16646563289531255	-0.035140672553289634	-0.19789457366481916	-0.2650192755931883	0.04942319587404633	0.3325929836937865
ADRB1	-	-	Coupled	Coupled	Adrenoceptors	classA	-0.2597698383319069	-0.01794577869638966	-0.21268963078072195	-0.13972069272701682	-0.05377280927391581	0.16638759761511085	0.034608558169709557	0.033889534072421026	0.04338970347230154	0.033259371020092895	0.23858348927478332	0.11094528969307428	0.1795201793892802	0.3822354478469648	-0.09998755330114677	0.07632966737302804	0.3156035920511512	0.011292302080814163	0.03591903757860927	-0.1532059893623174	-0.16896080579416736	-0.03758508034684507
ADRB2	-	-	Coupled	Coupled	Adrenoceptors	classA	-0.06012750821410434	-0.21640902836985834	0.27843295955473873	0.16536798633936212	0.0005461951922937321	-0.25857338381216943	-0.041842824848520095	0.20898996848945053	-0.021960392710549403	-0.0714499607208939	0.19746570956917395	0.19446313075817986	-0.019144158702461667	-0.11795847385670746	-0.12933074312823037	-0.08555671826930657	-0.07646347480654052	0.09546237731399745	0.014558029694956363	0.09570055286347476	0.08042884036790415	0.08442927673849021
AGTR1	-	-	Coupled	Coupled	Angiotensin receptors	classA	-0.19133355231877602	-0.184458431453314	0.20423928728731228	-0.014607764280921892	0.29327394658015427	-0.07941867820097798	0.01487557174714971	-0.0013367273953921648	0.02817017199089723	-0.08505434999466846	0.13004505438108038	0.05080435313405776	0.4053074344410056	-0.19707650412168934	-0.26686042394938625	-0.08688989844694821	0.02563339327209594	-0.058279854644867665	0.18176727274431861	0.11227929193039381	0.11893594752904385	-0.24652503524209357
APLNR	-	-	Coupled	Coupled	Apelin receptor	classA	0.075589505373087	-0.0744055466192706	0.13339317262870032	-0.3064408840332372	0.08814328144347251	-0.10884953638719469	-0.1710771588416902	0.04377394008251188	-0.17724545481864895	0.5521573074489793	-0.16604148601762628	-0.27360201503573894	-0.0667180385194744	-0.09754374905552689	0.011206001760676532	0.16747662773257938	0.39080451884356115	0.0372541753446877	0.12206333848687667	-0.24071798191321775	-0.1517717386925647	-0.1346918784660442
AVPR1A	-	-	Coupled	-	Vasopressin and oxytocin receptors	classA	0.12548061335664515	-0.08181543023678506	0.21116066785381146	-0.2838303938077637	0.029851088941594908	-0.06069817142307744	-0.002595436223897538	-0.1298643346142615	-0.0629027450202756	0.49577345712405974	-0.29950788308481546	-0.12595038729069277	0.005151181684401234	0.06197462325986082	0.06717881181418836	0.2877466910975834	0.14191764720179456	0.17888060212931287	-0.029506429740404728	-0.4671864774887466	-0.0643135725320314	-0.10306563564424823
