Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48
ADORA1	Not-coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.36914078627495805	-0.022744223464942478	0.38240757098441414	-0.28080862269413986	0.23165271309721222	-0.32600104227702953	0.1455238164088735	0.2956129774755284	-0.2744779235150599	-0.001807446278594092	-0.16805290513586393	-0.11469755158560177	0.06071522205346944	-0.18857539810033905	0.10588128591810889	0.18216799491833324	0.041034115735320544	-0.030411373955726455	-0.039712976926913106	-0.02795627154714178	-0.1571339853349587	0.07015599840393519	-0.18854012789669647	-0.4458741232954474	0.29329512846606465	-0.165834548421253	-0.29042754907388996	0.09391861429193683	0.1574213907587013	-0.11200915814089235	-0.27534307263295354	0.15070783545967187	0.07474217918830171	-0.018017737586832786	0.1276149682900623	-0.1292752512183756	0.06751260050462744	-0.1223858806387437	0.27266403845245873	-0.2514058473629779	0.23658625977569242	-0.3044546419047009	0.1432418482474137	-0.18196448949847607	-0.3423729297339863	-0.10571570147733471	-0.1691493543113899	0.016145990896560027
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.10598506589004596	0.5251935477008123	0.13261605925664186	0.029363709619382707	0.3666062831936602	-0.012524903132981328	-0.0429453131635398	-0.03833813042615057	0.06868311413523968	0.016107626256181545	-0.3383681905482611	-0.03175694281495368	-0.0553114711921866	-0.1701508286713865	0.07926967689172709	0.19974453559571384	0.40490542334731633	-0.20651895880733767	0.048472936902153575	0.16841746362882415	-0.3263316855411178	0.3100581277876824	-0.22922136942481516	0.16640518020595832	-0.3208536044805216	-0.21922868184588473	0.1587537093308267	0.05918595715122168	0.2977899202588299	0.05671233828991243	-0.15456260420174125	0.15583679420898744	0.026723974727180168	-0.057828527261694546	0.0625617660158885	0.1192072935752539	-0.026393267204751308	0.011412067750363396	0.041559632137720924	0.15966429475308058	-0.025839998188003605	-0.21907638075040187	-0.09196869898335858	-0.06492866669938575	-0.22426207039808785	-0.06449440214765105	0.1471546888239954	-0.03913495410332761
ADORA2B	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.03368981251453457	-0.27616907460378265	0.18168605619750736	-0.006552256209225112	-0.4268200177012384	-0.49862009748912967	0.3244123124089751	-0.1692353527809417	-0.25921090633020766	0.22766396224221427	0.23762713263644586	0.27565268368890056	0.24291131827354392	0.1324997831510095	0.08732400293084962	-0.47830898657660553	0.14837725063054452	0.021806622988091974	-0.14340010640803094	0.20590370826596605	-0.027066029128681675	-0.09644346907149322	-0.08790138398526694	0.1937945608737931	-0.15601136729858028	-0.06294712747100271	0.18929039027901193	0.052412052762050625	-0.05460088578152567	-0.15370670146800314	-0.333324243442793	-0.07297716688308978	-0.09271553771242307	-0.0034792105801738737	0.03385411125036338	-0.12641954473685194	-0.12813472560985661	-0.045013864471592814	0.11123094276097273	0.13156269829713754	0.2753963138585285	-0.12408169752407187	0.3698355354497574	0.2383922096192648	-0.2648649197200404	0.11171495133599481	0.04319869932706546	0.02767821689429003
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.30086386482208843	-0.05090163222560958	0.2342547311554858	0.44051568359834253	0.061107952376075435	-0.07880353363379938	0.6587761532962177	0.25323596448009894	-0.05442787167164376	0.0008651565233706427	-0.02334772613310516	0.10708309989552546	-0.11866876179605008	-0.052308637889086615	0.3157925564037952	0.16095847007806716	-0.18290882591948338	0.6344639733791274	0.26817178105472295	-0.09532123291550117	0.004984557093598588	0.033518122210790494	-0.2775143109634776	0.2278047100841904	0.0844968769439321	-0.2331336205926996	-0.15594025616664206	0.21674649196729798	-0.4011212543578638	-0.013312411454842835	-0.11172748160954801	0.13424530687632746	-0.015474006840848067	-0.33911412938293467	-0.09197733419200978	0.16996458510117424	0.28974502804843927	-0.14162535478215302	-0.08241233256200577	-0.1335608880627001	0.17057296555793924	-0.1015909511623513	-0.15318630756369045	-0.05034960660375453	-0.13647688163031552	-0.17372534769157297	0.11663789386691827	-0.11473504633901975
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	0.4071644909522022	-0.4319039978212116	0.038742059841847525	-0.43933627650880486	-0.08592319077218158	0.02810975866208342	-0.2777953280706073	-0.1071806837038315	-0.08879507481817185	0.19988575367397662	-0.11673635037249039	-0.09166300821721901	-0.012345016624415886	-0.07479747382880107	0.3082958823234081	0.34765560864826955	0.13409571293616535	0.03250502699197875	0.1254914945899486	-0.1151212945124199	0.24304299530343915	-0.13864148227579368	0.02157104393652806	0.534300641189707	-0.036016555369736865	0.679517648573275	0.13593375826267376	-0.09337109965431209	0.37416143452840817	0.150425834238301	0.053785408425913166	0.09196705611451565	-0.05040224265637466	0.09847959018658892	0.12766845812041516	0.04412940575162564	-0.16007701075432296	-0.0636760635601033	0.19421893264377849	-0.10146069971877658	0.2930183636046414	-0.004966658811252526	-0.12301864994072567	-0.26535564069259954	-0.33482236628261175	0.18676633581241037	0.41997279568113466	-0.14466102857894103
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.3779374679537191	-0.027876687811065348	0.48030846771847885	-0.18305657787564622	-0.11503159405887946	-0.14206470043159905	-0.26918285474932097	-0.11103634272536261	0.349201956664966	0.04206374106694002	-0.24625687601586937	-0.14273393085697897	0.02655691753805567	-0.031166463521541822	0.5799549737441857	0.04637173321946999	0.039768878573701365	-0.32044176487928056	-0.0180340318911318	-0.11072220777269953	0.10770671661523556	-0.15443214004483882	0.06266240386932669	-0.17801709657978607	0.4451635887033822	0.3888918278583859	-0.2664177955257794	0.35660781468006686	-0.25987204972931177	0.41101483746961337	-0.1468898718634705	-0.060599589756137565	0.0903158213383724	0.18185113136965467	0.21544030012083853	-0.13237843687531797	0.09745387920307566	0.04623328558032761	-0.19934551138047077	-0.2085005102554718	-0.08572119427806124	-0.07364329334570104	-0.18216249744314644	-0.09146344717697444	-0.20600564993885356	0.13522251292339052	0.2460954625736746	-0.2777468299093089
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.375988404381247	0.12121268285578135	-0.3231574578008119	-0.013927914060327786	0.07309635381214784	0.2830683621447296	0.12984708447107612	-0.1904825711909357	0.22556638403713092	-0.1675225867021367	-0.10715495761236365	0.10838641638938934	0.045750445752890334	0.23729176576433914	-0.15388874865799218	0.09865394946989084	-0.2768180706797783	0.2784229644901594	-0.39811908201651613	-0.19095700850063413	-0.21934024474617728	0.04130774525772704	-0.005016241037995493	0.16843563659670488	0.21652666024160325	0.5856954559810436	0.2497502375464747	-0.3999513017594568	-0.08964122803437095	0.01648376037276909	-0.1663623924630124	0.008293070667452008	0.11095183748506911	0.03519571036364337	0.10253782844865074	0.11136007996988379	0.261271246506354	0.05540783057863543	0.04044690289349373	0.18233137694094737	0.1034273868898897	0.21583990237057168	0.08629357444698567	0.05284289249408642	-0.5335391975364402	-0.283905056925005	0.4754922212717276	0.19171123951097657
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.3565870840116401	0.01642577085888858	-0.10832588756394033	0.38821352292113304	0.4120352296905905	-0.39791837242698985	-0.1142685800027462	-0.34905944767101965	-0.3519299245450071	-0.5053723041281771	0.5862810023553701	-0.21323671031721908	-0.18911196739758682	0.47539561257080526	-0.01485350859833178	0.27299947407465014	0.03399377067982574	-0.09881489905020269	-0.09624498649319452	0.21177670534570917	-0.09418898752655584	0.13528344758467928	0.0397849710630968	0.13331742179949896	0.2701491637048573	0.24745228576570208	-0.29087585216179934	-0.014248296393665712	0.011572974898054441	0.0747986898032852	0.05927466818977864	-0.4232086866825513	0.117694261645866	0.23478472100763945	0.014736426996748231	0.003626039395633509	0.3217925238702392	-0.11690853009793137	-0.22043658933949717	0.21376236415584715	0.44901788899894945	0.07331239206365564	0.1859103086906489	-0.026028262974445434	-0.06168866971958678	-0.19413088290532782	-0.025049485608354582	0.07821176867573074
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.18052601307395374	0.2032428779098187	0.20964672736002718	-0.042719294174400305	0.2721556239619905	-0.2945144156285663	-0.10045076249390453	-0.1555650809797204	-0.3993434846711678	0.32668664326163815	-0.12895566841365239	-0.3169118830810732	0.0006702985644973565	0.21068049710252668	-0.4084066589995918	0.21526159691390523	-0.2517951556959584	-0.07526972189672128	0.029150409457663562	-0.019963830702503748	-0.39535504054481196	-0.06445112171039877	0.006670614032220308	-0.1071362297764639	-0.13842200196594112	-0.04314089407506162	-0.03407330852567878	-0.2145072806916608	-0.03006254867782856	0.20080935147362045	0.17061393885208462	0.02960236549983622	-0.19337134583435664	0.009391045926398653	-0.22713271948548477	0.10805223182525377	0.1582077326075282	-0.055118265763150015	0.22510035879564055	-0.2428557517006283	-0.20683111810946425	-0.038646325910283726	0.023726064841469486	0.003452286712128912	-0.25620230172827624	0.023447255341419296	0.07913613522624022	-0.1303807113510966
ADRB2	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.35712837037787937	0.07889124362685149	-0.03842748276975811	0.14438756943708658	-0.35958483584786854	-0.2040976760070293	-0.1722360530995558	-0.07952251103838257	-0.3495940246105395	0.04691667649851952	0.14237535363510573	0.061610990439344156	0.0389541557771869	-0.03908236135003954	0.346251679033356	-0.2243084264131215	0.13815909059250384	0.04491510254091535	-0.15033579996438423	-0.2996341202892406	-0.03710394858873419	0.10652727009551323	-0.009519982077241656	-0.17102994572218289	-0.15119159574966312	-0.013132822671011674	-0.05554445695543458	-0.07847525140484794	0.10845498264272717	-0.1312212383559597	0.15502761744408675	-0.20484717364728613	-0.09497922314453668	-0.010337948696789667	-0.07443782682813227	-0.16355173984741542	0.10988038482263397	0.010594804386992068	0.10706274829512932	0.11004494438423014	0.16780019488115147	0.1738248722244919	-0.06863937927093632	-0.3412353326351985	0.1260297372059611	0.0355056490395868	-0.037054354024967213	0.18090902978194343
