Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.35174497293681456	-0.01152173484018332	0.002378706985386183	0.1647081597022124	-0.03442436123129649	0.09647889152424347	-0.11772010004274996	-0.057691483019499334	0.05768265630969718	0.04537017666029898	-0.13631712923800163	0.043700172635469894	-0.1579313084121343	0.09838686144875819	0.030215692153674697	0.22897292995635532	0.028986471977552112	0.16967667200983177	-0.08034290440368157	-0.051506640877780376	-0.23895487827839754	0.17878027787985679	-0.16548994599420055	0.017613703664167348	0.09224325788022213	0.02720876724463725	0.08704983637436774	-0.05044676834633215	0.2008171980809456	-0.1375936235695937	0.10326166810035443	-0.14055781065923273	-0.06285966813845185
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	0.19875073589273257	-0.026434018484167144	-0.10214433794876432	-0.02190937973490876	0.27902052650989606	-0.22733855742305858	-0.09907110398494755	0.10309523449500671	0.03253044378185433	-0.13822622148867092	0.06666853211559577	-0.32562394001311495	-0.18207624671579997	-0.07528640098954476	-0.07759792629135408	0.18185133562454112	0.25618374652945314	0.17135216078011242	-0.1335587501483709	0.16580129605371693	-0.10202835204343129	0.16758229528270932	-0.04108714622981708	0.19243649063034757	-0.2999995300394233	-0.07760906892436438	0.12325824763989536	-0.18029554427986946	0.10320770116257312	-0.03582486621374399	0.029773388630175805	0.0672874282914478	0.08511110110831767
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.06219479226505747	0.10904253339021552	0.03435016632645092	-0.0365806926474502	0.2580246383381295	-0.335442431566402	-0.09600933614145189	-0.19084252458416034	0.017651360726275583	-0.19449820216007202	0.037234284260389154	0.09136850793781372	0.06770559916486939	-0.04080500146306282	0.2894911027471318	-0.026675364693017158	-0.010565731152574712	-0.07990572330231122	-0.08166613938379463	-0.20608910286654622	-0.3218974179841396	-0.008940549056656276	-0.12202525899147014	0.034345872572990356	0.04244679279306328	0.1881825118770463	0.23762838519761184	-0.29758821794686063	-0.0027515780015030184	-0.024282399804848646	-0.05380509279492942	0.16341357908201914	-0.4904844192096099
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.21650254688569814	0.06147862127493982	-0.2050479034011193	0.13960975021722946	0.09469871886516633	0.1806849762401073	-0.3907627156899697	-0.3047611627320618	0.05322006874454451	-0.09039409000314531	-0.2578054022361431	-0.06853859451090318	0.19283692119613935	0.2589534528539633	0.012718465591748437	0.5911539815822778	-0.01307479200058236	-0.07318646757475565	0.06051698284016904	0.11984408154349172	-0.13393428847912903	0.03047956942107534	0.232277574868525	0.11984165129401908	-0.1439949410996019	0.13787992764331033	-0.0594395322522925	0.0036373350260155667	0.36851242515379046	-0.16721181238349264	0.13362058009509953	-0.0977276619583412	0.169502230047651
ADRA1A	Not-coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-0.26893376881339803	0.3015945304591634	-0.35447991699887177	-0.15564847069294047	0.14524140956553097	0.6316145186261399	-0.1583143317576801	-0.09341302843711481	-0.12431169010845501	0.3653648004441812	-0.09410507020150916	-0.2397295263735406	-0.30532039714687187	-0.36509294228760425	0.6608817659353722	-0.068564417651542	0.15344131615713438	0.01361062629773475	-0.14571783696983848	0.05758337426667085	-0.26119696470145515	0.11163422239432913	-0.14603791673209238	-0.1649003761445895	0.06250016883966203	-0.1261889856955789	0.00018988683034083955	0.1686168801513318	0.15036903153270648	0.03307099138814085	0.07153421378489044	0.04527981694078122	-0.020843026649003463
ADRA2A	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.28730669327997005	0.4083210721252932	-0.3260376837836616	-0.054153299023183554	0.28915774624778506	0.47326490772471713	-0.35017370390147373	-0.21862336590957412	-0.029003657738352336	0.35779497109485286	-0.08497329805724875	0.03163358006741767	-0.0322909317557314	-0.29906516681542417	0.15325202498367219	0.028740096734891352	0.2162911113886662	0.0629361818942882	-0.14434347835649924	0.08683602950540065	-0.09216741876106258	-0.007852113546661583	-0.21237520084277015	-0.3307253976628443	-0.1957658871742127	-0.14726976273360537	-0.06826400205871544	0.07863283010736695	0.03888421867221026	0.011167937441707933	0.07556959500755894	0.18217666646802252	0.05373114691190366
ADRA2B	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.0690576493100312	0.00792818988850297	0.12076637301938643	-0.10277095344700045	0.318443892211365	0.445640031656853	-0.09671807825288244	0.5225332994186237	0.10587010611144516	0.29605640840309166	-0.03250865817956181	-0.009064326664885363	0.05187167010566393	-0.0062214665274417606	0.4734568729354477	0.019065522532147005	0.11726490403260849	0.08374628558410313	-0.11999500652369058	-0.27109022119516496	-0.1213491839583419	0.1133759203438743	-0.17910482606349667	-0.3241787947616746	-0.13179448484019357	-0.023942730278375374	0.04194183159942847	-0.18783700411356835	-0.14184873820877147	0.03260174954513801	0.1125910256030473	0.04903551535371142	-0.04097728217089907
ADRA2C	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.28389436954850794	-0.3695024175898451	0.3486418628227039	-0.035107884226375854	0.17799755146504112	0.27068518135291614	0.41851007710326626	0.7193036690109611	0.16642933399687823	0.27530186820513775	0.2500689683770302	0.17513064474694198	0.30551404072793253	0.04037054928999376	0.14024213292644092	-0.2592093048117511	-0.15912067834722682	0.14556180432292884	-0.31237256009217224	0.011494024692464596	0.21336809477679985	0.08257227504623371	0.25067716639337895	-0.17966618449022584	-0.03611760798554627	-0.0077823477503800855	0.21819218827703815	-0.23716336222143983	0.4081771954624482	0.017592775344149676	0.06672931128818703	0.13847355025031827	0.048358003049781204
ADRB1	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	0.034684876803853834	-0.1946373334796971	0.11459543198398482	-0.005907718620971727	0.08681589768739255	0.1811576155565659	0.3207493197935282	-0.019794910581072484	0.0582148329013091	-0.15602716734494285	0.14625760110388375	-0.14188881781434087	0.09254403006221971	-0.23359879306269327	0.13827569808631812	-0.058277184364579744	-0.0834550666683849	0.481077773529084	-0.04710423684364124	-0.22666453547300705	0.35350156071108413	0.13906415229985505	-0.016298945444944903	-0.031076346840357927	0.10349754326613038	0.18050836083996954	0.09920603045743735	-0.04848363743301655	0.060513627021954904	-0.06566893953557956	0.06568789918163948	0.05160202026290864	0.24239894814244453
ADRB2	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.20955201432929027	0.1521917732530846	-0.044841463286027713	-0.2374022164532809	0.05439524630672484	-0.15738854101456168	0.13603837560336957	0.12145633900821083	0.11398233394034776	-0.19581698584260873	0.05670572543004346	0.11958359221508727	-0.1272123144026299	0.029510672579934855	-0.030501780115860928	0.24809089262145095	-0.005130428684737462	-0.23833066359219593	-0.19711580139626386	0.19947486670029493	-0.004557356885683294	-0.0684057014493999	-0.043444713139850676	-0.07829437150160232	0.17046920512178473	0.17730540437823814	0.09506944377317879	-0.15453495667649986	-0.14931732579379023	-0.04862182733565243	-0.04778533467356219	-0.05935927818407789	0.03128775296681247
