Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	0.09010040361306443	0.32153482054980853	-0.1348377966947663	0.15473939227643688	-0.18199024140644063	0.24744335709303472	-0.14164763055152668	-0.2949814994421319	0.1386194249571727	-0.05177221131390147	0.27915286663198785	-0.0832783681160795	0.15162534875667602	0.2543237462689316	0.10885401613796417	-0.07479101604815173	-0.4079253026835959	0.31732181211808475	0.04523526196718419	-0.02162710745083869	-0.028719709994313225	-0.0685253414910218	-0.11900541900880195	0.10847033066206445	-0.017738744305496257	0.09919226988943994
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.18059356942654237	0.2513633179323422	0.17913464527723566	-0.09357055976370736	0.007638669640727183	0.0766355131074811	-0.44725638662685346	-0.07218784705242598	0.021083862673884575	-0.13492096693756464	-0.12761704774245397	-0.26271241821510705	-0.14051191086447984	0.32569007262324967	-0.03251376868754982	-0.08622326646106236	-0.3394159031476526	0.1070048817988745	0.0777924685233441	-0.23466499979540556	-0.0735169590079329	-0.23201561956461192	-0.13362753350144926	0.09218075168731367	0.08935736304957706	-0.19589509301484645
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.159815972511324	0.08504267084493654	-0.10613864922574942	-0.1762076747637648	-0.31744404085362504	-0.030924056638537204	0.06306164731537453	0.08369649662309671	0.0353518077336236	-0.1274265112134634	-0.1696324445486521	-0.2449219195601953	-0.13067560456725233	0.39575315252790405	-0.11481676996279704	0.43519303573888685	-0.15406052756494557	0.23749376289175433	-0.20783193217591955	-0.2237600579961811	-0.008214057293851197	-0.06393780489606678	-0.11016934472175911	0.01324647919262333	0.0138474372841744	0.1165165559056705
ADORA3	Coupled	-	Not-coupled	-	Adenosine receptors	classA	0.0840764140752577	-0.07880488583598041	-0.042624500549368616	0.33960366013133775	-0.21076489388963282	0.01707985979980508	0.04613415800874194	0.012780984555354518	0.32931318057217396	-0.44444323364887695	0.028867841411431953	-0.05287403632360693	0.25599548788710247	-0.08685579564792037	0.13012070092322692	-0.309392500014945	-0.3017686267855094	0.2821114320719764	-0.21473277608373598	0.01633997311492504	0.17688544938870734	-0.054076007181787705	0.06792128271583951	0.12211040959501827	0.013844942634650996	0.06208357129377128
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	0.0274042812069615	-0.24296867362600996	-0.024291623295661747	0.45263306528113334	-0.5143840224270919	-0.3921092612756334	-0.15284622228545028	0.1776670210238036	-0.31585008828292666	0.38153740227016353	0.19090084308638022	0.09906694940548015	0.2912570674250644	0.016717611215581088	-0.3420883385445659	0.012992961176004597	0.012043640923037939	-0.03463783987526003	0.3861889352619786	0.14834939747222178	-0.1647969507420377	0.13696071294161824	-0.0523752583538595	-0.28046037676385366	0.08189931241201961	0.10490919067161078
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	0.06170093554210333	-0.18112558281516508	0.3089001976388595	0.4690848321162016	-0.2777575951925167	-0.4187891478479978	0.04785447420288141	-0.051775168645241565	-0.22832486768398133	0.23031735876896023	0.06807063822791404	0.0024135920600453714	0.08431225478521184	0.07303254327818985	-0.21183692998057102	-0.125652171853097	0.07561925636833221	0.24470116748473547	0.3305950313686229	0.06920733267844821	-0.14453597052142367	0.04116440696596419	-0.07537781134399596	-0.10739832740541345	0.06354752338970547	0.03797079290034016
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	0.00707692479899209	-0.14753133061849025	0.4840672707333149	0.4451178044540194	-0.10045557704448799	-0.09773149370105362	-0.01173199783423002	-0.16477497072135977	0.0035003742648641676	0.14221945791083734	0.043414613590784336	-0.2644411456976077	0.1408734374860531	0.2521890428895071	-0.40459628491290667	0.31665389534092836	-0.1075176478816742	-0.20815242590164937	0.17086062775239536	0.4711415691853675	0.07392948922760785	-0.003458705658091227	-0.12218896705316279	-0.07848641854934355	0.15165858081604855	0.3130553057789769
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	0.014003109488069957	0.2534782462517241	0.3366096746243518	0.22210626782880097	0.21815920399260186	0.3662797006144124	0.26496258757571717	-0.05366093234960829	-0.15700333957624243	0.1386075194926332	-0.05553936352286582	0.059443911579680826	-0.057024137683654066	0.20688341654903308	-0.2224772952757642	0.05922288393198367	-0.20550506928345305	-0.09328986959026238	-0.11678908974404029	0.7292843019576652	-0.26855823142899543	0.01957301953807068	-0.12407505291771508	-0.2115313000687952	0.07715454946302232	0.06224199555854371
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.029029163054430835	-0.09562500863020336	0.03179483267839626	0.16823994941627696	0.023618131811873114	0.37990298143035917	-0.2210445706384058	-0.006855500172791187	0.056215406247673134	0.4154729692103401	0.16573237252127673	-0.2974252477204934	-0.01743698164146765	0.10337811259392214	-0.09195775347906124	-0.17321470009382164	0.015726707442985346	0.09802829848052791	-0.10878508324396514	-0.05032079383509448	-0.24281809696337733	-0.07116901579055286	0.03152167001481628	0.07518876034237658	0.11005570865725994	-0.08072016596548216
ADRB2	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.24847624237367508	-0.061881707539774254	0.20583237540995025	-0.13577861393184776	0.028436876259279067	0.049799588873674694	0.25796547192719504	0.03746810497763608	-0.16879350377094157	-0.35794162205067764	0.14953985633943784	0.07762526211071243	-0.10084808754234507	0.16575416136529922	-0.09276012764756748	-0.09759598461053687	-0.07648033198161286	0.10251050086122294	-0.026769745587148498	-0.25137065287205496	0.03560507682034735	-0.053527657828854575	-0.13912731328527886	0.06273776868163772	0.06473794046037878	0.22262900463845472
AGTR1	Coupled	-	Coupled	-	Angiotensin receptors	classA	-0.17074071835353247	-0.0880098115713303	-0.24387841749504577	-0.015109376541035278	0.34724412693315815	0.261452321497016	0.1048052800860069	-0.4085376045847808	0.4468905016837967	0.017904735738023585	0.3539651891381543	0.030479820805257775	-0.004773591475503665	0.1394101987157904	-0.17545488703439754	0.010325967450658568	-0.08414194606932533	0.012003180698861114	0.23054768527475855	-0.27918960149958455	-0.16268496511830743	-0.06553710640790114	-0.008914164735995558	0.27042164004568675	0.13881768921967905	0.16459012687472516
APLNR	Coupled	-	Coupled	-	Apelin receptor	classA	-0.09878049709125773	-0.20225280508140467	-0.29231958694217497	0.08470712480603128	0.13072496802479788	-0.08897471284927583	-0.4328493284461844	0.3308478227108403	0.12560376283381544	-0.014652327154242587	0.10590701191092966	0.15700349168167374	0.2394356885617178	-0.006046537214779644	0.056018734254399016	-0.19811330480046413	0.03191557020254893	-0.12636435969483092	-0.06638264598030472	0.21197405620105977	-0.16097490413467866	0.1695967035499687	-0.009627488145424794	0.5592559515118237	0.03780916293769354	-0.15977530314169916
AVPR1A	Not-coupled	-	Coupled	-	Vasopressin and oxytocin receptors	classA	-0.1503128990114587	0.010301853151009635	-0.14000794723910007	-0.06386165963465927	0.3226384042883576	0.04046447442130431	-0.08104068584886208	-0.010513730802210004	0.20727996408975013	0.0009127840214937758	-0.2121364578411588	-0.0034278386050477817	0.054001031367533994	-0.15409637316456845	-0.09029187507846108	0.07124159505534425	0.10958593952854839	0.03768947701177119	0.08394949961730172	0.48350267449759693	-0.18778216126902333	0.2559063573095839	-0.04607060709235364	0.32691559326886405	0.03643859594260421	-0.20448239403035762
