Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.03371785408641706	0.346823972947416	0.17487429119844616	-0.06525425857626244	-0.20469202561718913	0.08270201121808571	-0.036261369587124434	0.4005835861929444	0.11432993511199162	0.14260353562329356	0.04325664238027414	-0.10249358691667414	-0.04237701858261339	-0.20154882246250214	0.13671247985450405	0.051401251122007864	0.10748790280982573	0.06551470911580237	-0.13172849320819208	0.11154675490174357	0.18497805396393444	-0.0036287086552863343	-0.37326576121466243	-0.30874304580564005	0.26700593028910374	0.09220726811732771
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.26974277257972956	-0.0579905489581011	-0.11091476540553992	-0.20354953542784018	0.03496323636277828	0.0520110069793002	-0.030352417169143393	0.2127740761120668	0.1043597662627465	0.09044071803880649	0.12588045970558184	0.2465770987558225	0.11697957480269815	-0.1053762224685526	0.05764311216190143	0.01429380690455406	-0.022998580750165976	-0.11017441334444883	-0.443715737304667	-0.037889600925148356	0.3340395886643337	0.013212719177725839	-0.07470392623931549	-0.2389733746017282	0.06961364754505307	0.2286825850136861
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.206654134059231	0.08584515024134882	-0.006361051782459925	-0.0807827477525321	0.043675106742615044	0.03646193885011911	0.35218569948447354	0.03050665684457368	0.26629203384358097	-0.08139095338519745	-0.1934420926541241	0.01134312912820653	0.16230380205714529	-0.12588530992416647	-0.1593909284769502	0.25336972609621683	0.009068698993827768	-0.04051823993498428	-0.27797450942023555	0.03368557413964358	0.17719027553580033	0.2884372703113961	0.058119694582966064	-0.09009922092236518	0.1583588401329955	0.5022070062545538
ADORA3	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.1346090749061655	-0.3549150585383772	-0.15867460569121689	-0.17363634387523919	-0.27446391282435095	0.40352571567621026	0.37445568826975245	-0.0085423573860777	0.2642438536800795	0.16239449216101356	-0.2735433168712729	0.02574759815300835	-0.03477707216108004	-0.025206307310969102	0.023173848154770065	0.02266771136793594	0.16680755297600042	-0.06434955523196015	0.07795775089330954	0.1637743475525853	0.21938034773856488	-0.07375163588501103	-0.45798512822863513	-0.03277366626841977	-0.15797903435683897	-0.07756742925985967
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	0.0760310787176177	0.5203354686213739	-0.40157759720550096	-0.22932310953803808	-0.3627494574342893	-0.14165545114248945	-0.11525241847950038	-0.18566202185798922	0.09892025777348079	-0.21200629861426637	-0.06035974834873364	-0.10084533874508284	-0.31963507360796795	-0.006794539647977669	0.2742606853355174	-0.14185613872908462	0.05403259351988444	0.2689036018119068	-0.23917097533118387	-0.23660475719155177	0.08955232833529846	-0.34647749903080605	0.093038970796548	0.073903425028943	0.18141725653190272	-0.2528606606940027
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	0.054336394712402605	0.4728824608543234	-0.21153991855241164	-0.20882436271455526	-0.34778610121034204	-0.13402300485428484	-0.11431791392925773	-0.3439608936881902	0.1690077273731296	-0.022468366070620922	-0.2101840126314995	-0.2419702347730694	-0.298912705330289	-0.2138277506462178	0.28816260253841175	0.0874317909926837	0.01026116855495926	0.3488594161001627	-0.13410132056041157	-0.042935352370781464	0.16971603134315316	-0.31798893813770357	-0.038510095730554736	0.17736679182261034	0.12679726307678188	-0.12961533705936565
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	0.007417994921634845	0.4546992743557812	-0.2670265321884825	-0.3387572265276701	-0.30081762826564945	-0.3502322633119139	0.024596926418830035	-0.06542732914765685	0.21285866896435385	-0.26421514732488677	0.13984559343900974	-0.1888336909686206	0.05731368875653234	-0.08286563549958163	0.40734546743312805	0.07458761839526729	0.08915712295400095	0.22234947532849644	-0.29608464771854714	-0.25528274546633006	0.05314602487870512	-0.120069177606854	0.2882153920806691	-0.03941808454056747	-0.06719569871650488	-0.15265189657255185
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.03714393873737223	0.3645927938400924	0.09180007637257663	-0.2785416279986942	-0.23129191988999664	-0.030332274201015298	0.09435697495579613	0.3434732664797395	0.2601676311470671	-0.18327342403659513	0.4800553867849009	0.035059599226003796	0.31743956654543015	-0.0908361645708093	0.440633278791215	0.2700252476135259	-0.3946413136647159	-0.0890504643664233	0.3332577133344627	-0.15588484956821766	-0.19310566968293022	0.031019265527939727	0.040773811317697015	-0.5884600811803548	-0.13387559414295647	0.03590012070668685
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.06462869701063184	0.2917559119880278	0.11415177968016559	-0.22223427669949108	-0.19708854476482704	0.14099057144542007	-0.028477987834835933	0.08052916894822336	-0.17081022714407873	-0.10642646532586315	0.13609495844716588	0.05731255861617906	0.25021022170517615	0.1513992750885302	0.10443236810825367	-0.11421101505207146	-0.21491056891795587	-0.43611480699573285	0.1272847343322684	0.030575753452585244	-0.021453240286626114	0.006794941184963621	-0.286766683795179	-0.19483889718077224	-0.12586433715140052	-0.10103702924897567
ADRB2	Coupled	-	Not-coupled	-	Adrenoceptors	classA	-0.17422269781314673	-0.02941406611564958	-0.28813783156513917	-0.0770325835328653	0.2477729816340344	0.003910989042305003	0.3556242424241828	-0.007234577243882516	-0.004952550634346096	0.09973817526978032	-0.03870788761267274	-0.08687026011500569	-0.08386871957920092	-0.3182436027571464	-0.13537629913065524	-0.027196764128232666	0.26155321449169305	0.021586973063254848	0.0015050297679592025	0.15038603672335898	0.02114673926894224	0.04471010795049633	0.0655419754132613	-0.05190235298777245	-0.2150605516048623	0.19772961656859345
