Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	0.05803243483332807	-0.26408960501181333	0.06271356500405162	-0.20404804334089674	-0.2527929082784909	-0.23692566012228589	-0.31215406728041317	-0.2430025323777038	0.07033909523888068	-0.14018854427530578	-0.38277675124098587	-0.281499037178992	0.07830228332573386	0.1169074184951504	0.08357750608276492	-0.10048423616637164	-0.06217345526244184	-0.0678335062934759	0.01030395763831957	0.04691455448624033	-0.030091128395352773	-0.14620304731258538	-0.07743747616520942	-0.10701936163592843
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.31392445003038477	-0.21220713861482202	0.0279074855291941	-0.14105367933331175	0.18638890041972062	-0.37403574597867306	-0.09458739527710293	-0.14901059273790904	0.12375766620897874	0.1440776160856543	-0.14762589006494764	-0.3439955308172456	0.004293733897453805	-0.1226379626473476	0.17828709447105548	-0.11226131762137428	0.266588912036396	-0.0720357446608828	-0.08139645901520473	-0.19474088519595942	-0.04488294670428186	0.0336199805332064	0.031108721303883664	-0.001002375464251333
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.27960950169456694	-0.11390929693163143	-0.11468659284100602	0.32059200208426636	0.1953852697656648	-0.2927502784904578	-0.11158790903053188	-0.2703876202101007	0.15204613443198223	0.13399936945646532	0.03490817448077287	-0.0024735722711924724	-0.15945059513499354	-0.04234114347907966	-0.24482073062571508	-0.08761942888946779	0.2518713683312339	0.0770277266586319	0.11833711518397123	0.2437439644939118	-0.10461495562907866	-0.0005320445193344591	0.03689122897827475	0.0010383256997932983
ADORA3	Coupled	-	Not-coupled	-	Adenosine receptors	classA	0.057250684792727574	-0.28443286139003654	0.23398006022874956	-0.12252278346345438	0.00164400245230097	-0.2482151120368748	0.18634033563901511	-0.20478258498249727	0.11212397576212581	-0.20936321402224153	-0.46394922608259376	-0.2407968412012187	-0.07879845201702558	0.29167008964897717	-0.03978222464512881	0.03896135222371591	-0.06076666728799027	-0.030460777310710452	0.31642025900102444	0.05681281551427751	0.04606088372766127	-0.07741979523971114	-0.15172890168668401	0.0019044327228730255
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	0.07794264780733379	0.1299522361858376	0.5402477784368005	-0.0017347756164552734	0.020022559445755147	0.43284860893073257	-0.16915365834599252	-0.1902665982940571	0.02417682359759919	-0.1336649926966069	-0.013680845484834538	0.2617329911025331	0.3480723352985035	0.2791185429797254	-0.0897142257134698	0.0675428543262547	0.23223755259997692	0.4047176318828237	-0.4474082753102295	0.18070152250233013	0.2635333386993008	-0.012078478337103625	-0.0038035139336349325	-0.07554220946018188
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	0.11706279533959849	0.11348793715383296	0.4864980888795053	0.05446831220443354	0.22121708348359173	0.2615227946921459	-0.15615839660647343	-0.039642486687775265	0.06316340763806413	-0.08743157655593486	-0.13420307400789486	0.0003643563469911207	0.3403409302755416	0.1467089503222348	-0.06907836401710991	0.2273409742286442	-0.050521721866570404	0.4223039198558811	-0.4356950832466544	0.1566108991095354	0.09722118453191313	-0.06196821719794401	-0.2266507925243143	-0.13124225375086274
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.001940571063860159	0.21496033686651475	0.592163476918979	-0.06450311547003394	0.1887432402219935	0.06855278342102473	-0.11966547299495439	-0.3410913339803573	0.029242740455536473	-0.0923453678054946	0.3135340258721703	0.0957743854752149	0.4755294778198057	-0.1978685953430659	-0.18111368022204696	0.15273246729278148	-0.2528383271068293	0.12956420550585174	-0.14182923788309162	0.018197864759687703	0.14887023275876446	-0.1268526811132814	0.20134482943212087	-0.041499514948751454
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	0.008957948694420658	-0.02294165583122371	0.41486864113225536	-0.10232956173010382	-0.22440085264511103	-0.17984352148581073	-0.3147636581078185	-0.19894473770362558	-0.24348961370654718	-0.05878169755002354	0.03821305325328757	0.20539160570161935	0.3841433351079969	-0.16960097429237442	-0.4334606589937019	0.12621865746240205	-0.2988482878235726	-0.40613096974878965	-0.030672198033668503	-0.07697120732424613	-0.42702462466294927	0.026849457764792944	0.22712636250073392	-0.020780812982379538
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.08004295593038234	-0.08290954944564642	0.30851052707598003	0.06698983403200134	-0.37809166224401086	-0.21929107127448863	0.1271954007750449	0.14803364444625108	-0.17613915293732094	-0.02328558833116569	-0.09605062313043847	-0.14336913117783626	-0.11581030586438348	0.01979579116295553	-0.09672646160456394	-0.06597579304586274	0.10767848670562363	-0.3291705809979823	-0.3129173366716914	-0.07584555704452185	-0.03535153885227492	-0.2440442357113869	0.09197089304215215	0.02023695652585555
ADRB2	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.24954111065777826	0.07131284301196397	-0.03909930046916589	-0.2020072329535704	0.12288242207816591	-0.012368841860243444	-0.06528659778291074	-0.14484792653087894	0.21633718646444264	0.1542993061702601	-0.0656106141425214	0.17751680063675404	-0.2216084494952553	-0.06500816959503658	0.01832585943185999	0.22844788436283017	0.12267515233852333	0.004605076331905864	0.06534497225939229	0.2592874941687217	-0.052675845750014806	-0.029040462186155934	-0.26622613486581864	0.0408155214195564
