Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.18742403771677918	-0.2738041593945712	-0.14664520527903932	0.08353926838362626	-0.08750538269634063	0.1236719508142508	-0.008781048110578355	-0.09442723586298292	-0.29421668747404406	0.4692325985390456	-0.09151838568015994	-0.07647620782976897	0.021053278380124087	-0.04925641935987017	-0.08694557192253032	0.14082384782230747	0.006343869245151304
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.022041813517436025	-0.3158716967418362	-0.08115857024462075	0.25148904197965116	-0.34844592606591984	0.1819248247177869	0.08580352799216252	-0.14038211696068434	-0.2677746379191392	0.16023732201751428	0.04178033609652045	0.08996432271398822	0.07195649821535821	0.19682758791153324	0.132928869628246	0.2585182882152753	-0.16189757110611935
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.01872169007820377	-0.27944116217017334	-0.06848448431379622	0.31339947027468246	-0.4766578875964456	0.1405618698558453	0.07264769347221713	0.014078157226394881	0.064167840173223	0.056570677850814044	0.10894876087192364	-0.01458792062883445	-0.03998360647720461	0.11196008219685454	0.1821228863602726	0.32166411536679207	-0.10885611982479633
ADORA3	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.21539994715275523	-0.2634501390791818	-0.1792089173251862	-0.13044843402876632	0.057702908680481696	-0.04840497184762345	-0.015084683214250988	-0.23713345379642217	0.09415021125549132	0.3481512588735906	0.151985148724353	0.0034205076248732314	-0.14288173834944956	-0.01088640400721321	-0.14931928162161787	-0.2693376910912301	-0.10161817354402525
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-0.20950796586852377	-0.2750641865544676	-0.33360569307089644	-0.2101314782045952	0.054727524708670046	-0.33827714715028917	0.019546244946514687	-0.2697821920284749	-0.25386799359887835	-0.2994702250739481	-0.14265068941160544	0.07383521374100373	0.2405751916697502	-0.2027453685073101	-0.24046202929594798	0.06540462783574426	0.14773461270450966
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.1866952351799955	-0.2819275692247743	-0.3482256687585554	-0.1985885882953734	0.07108171615450842	-0.24566706665629046	0.03288444447471188	-0.37346337486153386	-0.07904809135749495	-0.2745336992829832	0.0041497371792627745	0.08868950354002958	0.17809146889984037	-0.17186173118097528	-0.21838383916844484	0.051164634698828225	0.1480434835294574
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.1399906295428705	-0.2981294684905059	-0.3035610855883641	-0.1850827186274802	0.018461838091062433	-0.4630687470217666	0.06693140800402116	-0.31029219190001	-0.2890427369013123	-0.2680347886270512	-0.23798891487241708	0.2132450473664739	0.37453895503821377	-0.15731482515387715	-0.042727205978045676	0.10790655096584426	0.1152624974746766
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.23014042659056147	-0.24855936252741329	-0.07934466910985673	-0.1258611778579963	0.15357005531314089	-0.10351375044050828	0.010250056500417066	0.23971397321275778	-0.3273589436433496	0.20322940139310675	-0.27996361246409346	0.2847688023349726	0.3525408148188468	-0.08543315692491721	0.14454578405071378	-0.021139109614741233	-0.11244772379296693
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.17820739541287192	-0.2807006927056115	-0.08544253632433636	-0.07439410030365541	0.0618837946002906	0.07509582782151678	0.019683614003815107	0.36570748154172983	-0.2652184605639497	0.3145457430241932	0.09697534147023867	0.14694378608532768	-0.05176310146127772	0.06475294096962796	0.14141559646095686	-0.07881935560388201	-0.24049558219631334
ADRB2	Coupled	-	Not-coupled	-	Adrenoceptors	classA	0.4915161565847795	-0.02742019926077706	-0.05924274291266851	0.001603443054727781	-0.02531236244831061	0.08469760655631373	0.07798756639956761	-0.10146664741440824	0.11906962310063526	0.08774748851600343	0.03346602737279905	-0.15945837091720233	-0.008899202881478309	-0.09091110723100072	0.28791150067974786	-0.010145125735678568	0.10185981737023056
