Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.2556925019133662	0.03882289863922334	-0.21003545705232324	0.013457331065105802	0.1775805028981193	0.47389617416148255	0.18528949449609397	-0.044185326865520874	0.20240572161785228	-0.041087176201625907	-0.13155665859931423	0.03972690242964727	0.31617713202641734	-0.23786530090205033	-0.10743508345776215	-0.17813511047426325	-0.16699818440691114	-0.05538528667807869	-0.13955221054177777	-0.14688296455224342	-0.0215062704846556	-0.41131768654109935	-0.0014443147351918544	-0.061115219311734546	-0.2233374639120851	-0.3847598860971172	0.2052349672939003	0.2125249726852742
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.17040379766513764	-0.06780233347201799	0.10084532387998864	-0.20059506066645644	-0.022389417299727914	0.221082285506803	0.07586200397171847	0.01364868088650074	0.15842111894587327	-0.11865662565624639	0.01913309131601697	-0.08831618513752273	0.12491758672416173	-0.308196463885593	-0.29872786675147317	-0.13729579974283526	-0.24113223148706198	-0.03709954386432241	0.24694456932694683	0.09976692730045453	0.0852708614748238	-0.29519912862620895	-0.19586259287402397	-0.03643747185391265	-0.30273166588061945	-0.31983459472678444	0.37006368272296664	0.2508396778075643
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.1523796678977338	-0.07830028680985102	-0.20849302921156151	-0.21916087346178376	0.15859573777823638	0.1703752563378304	-0.24742606914246779	-0.008536421971589726	0.006713830689924957	-0.15684448020575295	-0.005638304015118131	-0.26892799859501715	0.1405473436339444	-0.23064746976410222	0.054246555942395205	0.13463801117290103	-0.4276516855182529	0.115979132440753	0.16948104392727967	0.15550357608961993	0.0587854971056167	-0.21293503783015688	-0.16332558544122702	-0.26831395101672806	-0.19518654843541355	-0.24797665997395366	0.4995900810028	0.3475392922012854
ADORA3	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.38417456691315266	-0.13704260431151108	0.23433220439065722	-0.1737108842797437	-0.1816731981922236	0.4469705296016009	0.1501623011152551	0.08589137979871476	-0.43936554140461365	0.11352549460746643	-0.10511981396387494	0.5000541195164304	0.03181468427107787	-0.28763260145133535	-0.2095548416365553	0.000868640060965388	0.05462862206760852	-0.05466284797084338	-0.05512503430792643	-0.23256198619659535	0.017129707196405934	-0.3085622878833583	0.08615628657988084	0.0688337672910198	0.11503379977573847	0.06723960663731356	-0.32151783594711425	0.004349309815836238
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-0.3507284586496584	-0.01804044695107359	-0.037946708961470135	-0.14661073465750576	0.3434014002238118	-0.05962878701469007	0.5733366662633828	0.06176701839567791	0.017926801124812708	0.4335104485589528	-0.022193359100131448	0.10798238538314452	-0.14235192581651676	0.3342341728345527	0.22821781040048852	-0.1569167562387865	0.04249778728785709	-0.22999106256251992	-0.02405811311177273	0.2734859454399044	-0.0840021641111902	0.021123764726459406	-0.009426746243891554	-0.03766143502343402	-0.05954258770239018	0.18597929468761087	0.21554988200797284	-0.11375244790390883
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.32449311584597457	-0.02918869565817629	-0.020159269990235353	-0.16016822735535183	0.29093483508515017	0.07383389239085753	0.5821916981807347	0.062490513372812466	-0.05176995291670807	0.4332420608789637	-0.015755847173628552	0.18850194654853206	-0.10575505692590624	0.23893379077505955	0.26273311553537254	-0.13821505955687763	0.06223319018243882	-0.017393556555574893	-0.008561928921315326	0.11174152729021812	-0.1336028413403335	-0.24136804492064007	0.03913899949930107	-0.05663682568739373	-0.006211418382309706	0.25485010092512755	0.32723685103133654	-0.07071919373950208
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.3095317377510976	-0.08603705036062469	-0.059481869751151	-0.06316691039189165	0.5830674787981602	-0.030726717702010384	0.5292537853008145	0.006962064883171287	0.092908198221472	0.09211718817348641	0.04948649073918118	0.07430796628756799	0.04326386117391028	0.28752596509099393	0.14407252141262988	-0.0726122747355275	-0.09242567194148546	-0.1640467998641046	0.3470157653321709	0.4228631543212492	-0.05878577633722845	0.016156035997578966	-0.04139610874083872	0.22167144984466974	-0.10284220059502493	0.15527455043888422	0.24659541464789225	-0.25325458460528666
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.3305772853095643	-0.020895984345439413	-0.10039180723245515	0.1426522984186213	0.1499757429426179	0.443458336151007	0.5256009770281045	0.005832724080026421	0.0896128594992692	-0.38955304999931584	-0.06547486915575454	-0.5166972006893595	0.10758457344622793	0.10944240274896173	-0.016630205910980873	-0.03784344419673399	-0.009010251946541195	0.021962995217916625	0.2058670713369278	0.08329776692517324	0.046785513840455074	0.33762257569914184	-0.20407337189670105	0.5880038856661878	-0.027891307490555437	0.005677008550606128	-0.20292731144467213	-0.1771704729033215
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.3634022158361399	-0.17590847625072328	0.28853443857232697	-0.17598890864632813	-0.4485757538211081	0.40955796982202847	0.19315789514936638	0.10908241098878971	0.030858910093401536	-0.01116934161892067	-0.009490945950811474	-0.3113759452551663	-0.13077213121273207	0.22357469719763917	0.15817781437986342	0.003306361973108881	-0.04112203854401823	-0.030038862440282164	-0.006549889808266756	-0.2855086950296133	0.0484756264774078	0.1352718593216554	-0.18171899496597366	0.179527569536378	0.15061831527156125	-0.07488252939205728	-0.35504875363082916	0.1363626143193852
ADRB2	Coupled	-	Coupled	-	Adrenoceptors	classA	0.44356880480439237	-0.2596945873036232	0.13976844670745123	-0.13044118694426945	0.2700407965172967	0.11992625079382273	-0.1929804613245401	-0.03608550454147151	-0.18305506604509725	-0.09027149135339911	0.07279268345509748	0.12678530619686207	0.28862064191110876	0.17630815268331687	0.11950291883520009	-0.07706776563791572	-0.11735827586043877	0.1460906221429259	0.016945145459332938	-0.1549211631357123	0.2752229495611356	-0.1867472398031884	-0.03914905509145113	-0.13290827138781183	0.037503422236461595	0.22182599971954958	0.10488963994754673	0.04780897289504255
AGTR1	Coupled	-	Coupled	-	Angiotensin receptors	classA	0.382147690114694	-0.22346122885108816	-0.017307283039297083	0.053511966619408886	0.08911480128126364	-0.0005132056636934778	0.043366087809380206	-0.05349161882163895	-0.013182620819573082	-0.02574604204952996	0.07880632118829953	0.19334599817133447	0.5950392498407022	0.43274185566766366	0.10928426255933613	-0.08027630824463172	-0.1843060735954483	0.0948269512533279	-0.12236492415368765	-0.12498947535050056	0.07129096655916929	-0.11891373493049036	-0.0558980444024135	-0.0018219338121986776	0.03495037653288601	-0.08839720899146777	-0.0702901771979694	-0.025996443325722658
APLNR	Coupled	-	Coupled	-	Apelin receptor	classA	-0.007901636351227839	0.015056606479180617	-0.09409564669824245	0.29085244764005064	0.15686379827522257	-0.2070227472811484	-0.07170201681965191	-0.2581962886258757	0.053795594657217276	0.009780894176894804	0.0696839302032394	0.05297180526762261	-0.062433405858240705	0.16512027936485227	-0.16882754930420296	-0.08144870564076201	0.005025555508947938	-0.4088278940832628	0.2532849612362529	-0.17688340059313837	-0.37523495553624187	-0.12929468660398963	-0.01020799959478735	-0.1970049265279561	0.13393068158159277	-0.07481484231514458	-0.3184814567869239	0.17757462273304436
AVPR1A	Not-coupled	-	Coupled	-	Vasopressin and oxytocin receptors	classA	0.08378092824314853	0.08859998318649172	-0.024841963625256574	0.4751129292616693	0.11122442106710512	-0.1552922300599076	0.09369834976676732	-0.3161969420780887	0.05234986294297552	-0.10872448945820223	0.10333706920472614	-0.20595634558331408	-0.22064511705895412	0.114281085205145	-0.1799529503993901	-0.2432952993443328	-0.08859147029578807	-0.22280667000471074	0.39587072635813647	-0.05547011715588344	-0.31646357080614285	-0.05402120260220067	-0.0828030938648871	-0.21417593482569147	0.10954109993668305	-0.002355218884758781	-0.17206254351421243	0.21251382841002617
AVPR2	Not-coupled	-	-	-	Vasopressin and oxytocin receptors	classA	0.46427573913639314	-0.03107509750738783	-0.16839221634479024	0.024445603907506875	-0.0780422665785984	-0.1603034441732025	0.09726392174030259	-0.06793054319850839	-0.5106019726976834	0.031056557887810025	0.019552963554854568	0.03950857499144674	0.0833012900827461	0.48873919098689866	-0.06778493269124294	0.042688460796428254	-0.18458407661986556	0.05296510796705336	-0.2950983636871949	-0.03231792578296723	0.20649679181517824	0.05367517126342887	-0.3387065345665227	-0.14136462418765894	-0.04806598177514907	0.012415725981757693	0.2582165005461282	0.06258125115509015
BDKRB1	Coupled	-	Not-coupled	-	Bradykinin receptors	classA	0.3013862860448648	-0.0643093007821851	-0.14667375339053731	0.00037590001663898	-0.00949340925227352	-0.06253566064372369	-0.07500211144971658	-0.04624550826697801	-0.1457133579880677	0.009763212308810488	-0.04366040071183203	0.1283625125839869	0.15665722405599533	0.3928243354134959	-0.0562807584867112	0.030455502006043217	-0.12980072469743886	-0.14737551764669787	-0.36664084241454786	-0.12540120008842945	0.22804082819679675	0.19245332140843455	-0.41511726802753235	-0.12561906516359572	0.011163225052078967	0.037432025457979745	0.09587831060559052	-0.0157897752044538
