Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-0.07861715669312737	-0.007112697510581015	-0.18173267366626106	0.143460400767956	-0.09349884814710782	-0.14887574997356925	-0.3775715678513083	-0.031133217503005815	0.11598370396173352	0.06723188746638559	0.2688837217927037	0.019950242446043025	0.06747849423554535	-0.03943344073752351	0.04833704245785329	0.07148698816605882	-0.24529512743384552	-0.040531206081047724	-0.04017111603587983	0.1531422308916606	0.1438617707836399	0.4001416511357755	0.20182183343891555	-0.15479173988606834	-0.261544221360558	-0.0947940578879732	0.062031753241437136	0.1867766969226237	0.1126579568972147	0.023887772368935897	-0.09583757339240061	-0.040167684272040635	0.11334795382132652	-0.09143907843319012
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.07263379806684915	-0.243525374948095	-0.07998356343637511	0.43089731585973906	-0.19290321698201507	-0.20942407369465052	-0.13968714029101478	-0.10406509482803629	-0.15628691428288477	-0.11753509991819226	0.2909936300095999	0.15424906451141482	-0.10666647254303768	0.024385077141110975	-0.09386476842668123	-0.12625724298860064	-0.36824530291215907	0.05432028330232752	-0.11957675555807125	-0.4190390969735863	-0.07641896640055894	0.07992869007784732	-0.2537027114082707	-0.14492065940887572	-0.29285119121829195	-0.026083943056685235	-0.014103180195536035	0.14354826678081434	0.1292363016153755	0.15997959903186093	-0.12595417187445127	0.009419974859510793	0.04317853306868336	-0.07194385467125637
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.05529844310518223	0.23344084629010023	0.08418489693782766	0.379854507673182	0.20931772651663988	0.5315478268475252	0.1345396563813803	0.1412573347505704	-0.06015016566646805	-0.2672226755735719	-0.1972933586333526	0.3911329361016469	-0.14399155824141868	-0.09879765589238718	0.08505454448365933	0.18901730190197263	0.0565755477527	0.017014784196769054	0.02619638169577555	0.12871374593504378	0.11442858940393763	0.03318527816084787	0.027720772242452583	0.06734695335388335	-0.11847785942205666	0.1055494415784893	0.3019581854155119	0.08439941200359038	-0.057242468136233265	0.0884303666989394	-0.08596351395763209	-0.004089326926052275	-0.1115736655698632	0.1035734931118597
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.02405920952264384	-0.2037532703665515	-0.14028679853067844	-0.030094720094521146	-0.11660499446280186	-0.08434679149945659	0.004080725191450919	-0.34323117368297434	0.31665827338343566	-0.16510571529786944	-0.4460799219482328	0.13760136155223052	0.17161822163264984	-0.16785328739719774	0.23520742996246918	-0.3594369505857206	-0.0740622466905531	-0.1936205410374204	0.11854085572407261	0.007446247457703443	0.06386673681420232	0.07508396545752405	-0.22606497446909352	-0.039430662895115605	-0.17354538982801493	0.10081356921908455	0.4273327804518072	-0.2229267054245935	0.05124995180577596	-0.07778176936101552	-0.1516330769718555	-0.06127612519819865	0.18439640400056143	-0.04567976631492346
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-0.04665885441377208	0.40116837746754047	-0.45923715155306966	-0.37211772468877985	-0.020902815361287262	-0.02130653732502124	0.3481195674720951	-0.18110751846369988	-0.11575358650733315	0.22362619248210452	-0.010521463317286437	0.21786210591624877	-0.004993959378720249	0.13273388482119775	0.5203230383833645	0.4934130327878722	-0.22964290262716616	0.43386771374983557	-0.11684777881059077	-0.11401387459077132	-0.12332220946918951	0.015036572274882582	0.008542476523895816	-0.01237969179160968	-0.26354486828354917	-0.19790538105141586	-0.10929902712254348	-0.11510181539178513	0.15563764184354806	-0.10206470587245052	0.10407205364690746	-0.18510744642373755	0.08448880124038476	-0.007689734586512088
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.03280478778953845	0.026572437007600116	-0.44332429735245027	-0.41561663756345985	0.06405230844916078	0.14050449571197088	0.2147839258444739	-0.00613302763993181	-0.16245393596400542	0.23497266889752486	-0.22252638339211808	0.43634640049052376	0.14505327782691405	-0.14217028299105222	0.44259798526703387	-0.009822252019830035	-0.0030196890766575227	0.28695745302253595	-0.22396568189209912	-0.11963325700097227	-0.2966711558979854	0.09719306634431277	-0.14413014138627914	-0.2289524602069788	-0.09310771255263858	-0.1195108486475556	-0.08359581809313055	-0.0602932023213993	0.05402487871828663	-0.2022253961759432	0.08297146096633581	-0.15259820437358232	0.10425526000046548	-0.10808264791334062
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.021876795726472307	0.558812172185215	-0.37791888587339756	-0.1267843425935747	0.09749225376611291	-0.07748353149586247	0.3505429805514611	-0.10684134886902179	0.05556068487714522	0.1664840962313402	-0.07200721655148662	-0.29169807757793786	-0.2251351081355504	-0.0073076838860195855	-0.0060672644418795964	0.22333853216827754	0.002638628739696329	0.2783554141023063	-0.46286689657829766	-0.009749977910160466	0.07816179411045117	0.1285192782601816	-0.19092566347747253	-0.08940782580367711	-0.28379705133423394	-0.13973627085305487	0.41753557597840774	0.021190393422708745	0.0003037141008376986	-0.13546437134659764	0.02308172847346757	-0.21704377113642492	0.09599052575783619	0.0663360077647633
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.1596092323843823	0.40261408561373957	-0.4503088421580091	-0.0110950403852929	0.6690834041722443	-0.15076339439390102	0.12579399594814747	0.11228295615204635	0.1906373841641196	0.3005978615001371	0.14076200197117283	0.31545657778751585	0.22460945733447069	0.03774269720784523	-0.2795772973041251	-0.24849087886359256	0.25431045761302495	-0.2415672058536736	-0.2756902811299781	-0.09512309482148154	0.5475123755107294	-0.021120405306057657	-0.3401873627959751	-0.313613640685155	0.24817524016664172	0.16729702838099067	-0.18026162280099717	-0.020717169697303795	0.1581242595202304	0.26635737055609043	0.0007825942596465425	-0.1501444144245775	-0.0986659059897024	0.038186267339910124
ADRB1	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.2038346946762815	-0.03096861158335163	-0.35028746708414665	0.13527222244024223	-0.04111206347968041	0.07327278153565553	0.15159252550241947	-0.08231503167748841	0.3532744084424238	-0.14910517298186562	-0.10071066265981375	0.08276648141912205	0.20349542027611092	0.31405389842472	-0.19172576258571383	0.0497009153626451	-0.03219427317237305	0.13792889454818044	-0.13313584760018507	0.012696348457452235	0.3590040336396557	0.04104579404928061	0.18621941313730614	-0.09420760262496332	0.2345441770259412	0.014925613557574007	0.030958975442013047	0.11568551671880167	0.2722249587123461	0.06632348124428411	0.0974239896001819	0.09867050589338798	0.11152181582408074	-0.17519292101960565
ADRB2	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.21963999605512724	0.11867677722000225	0.1881857105756557	0.08312336196630744	-0.043976981778889736	0.21279006505120135	-0.041140131185477914	-0.07934153868763066	-0.23695339188641235	-0.08640843750133172	-0.11152236153391797	-0.1957775287283376	0.4009388167669922	0.03914799726410095	0.035314052806110566	0.0077761009657567205	-0.07580884596465316	0.03336784766733481	0.0735468367833786	0.2647997269871075	0.14338144066207723	0.025366208552873304	-0.12266739483936234	-0.08504727071624255	-0.16001395992032544	0.0036989072864289318	-0.09870945246669555	0.055526865344220584	0.021118147820210605	-0.09704202447476323	-0.21274109771159153	0.05308635998360961	-0.16546660141206831	0.11175843709496194
